player,position,season,cap_hit,age,total_cap,percent_cap_hit,type
Adam Clendening,RD,2012-13,742500,20,60000000,0.012375,Entry_Level
Adam Henrique,C/LW,2012-13,575000,22,60000000,0.009583,Entry_Level
Adam Larsson,RD,2012-13,925000,20,60000000,0.015417,Entry_Level
Alec Martinez,LD,2012-13,737500,25,60000000,0.012292,Standard (1-way)
Alex Biega,RD,2012-13,577500,24,60000000,0.009625,Standard (2-way)
Alex Chiasson,RW,2012-13,866667,22,60000000,0.014444,Entry_Level
Alex Galchenyuk,LW/C/RW,2012-13,925000,18,60000000,0.015417,Entry_Level
Alex Goligoski,LD/RD,2012-13,4600000,27,60000000,0.076667,Standard (1-way)
Alex Killorn,LW,2012-13,875000,23,60000000,0.014583,Entry_Level
Alex Ovechkin,LW,2012-13,9538462,27,60000000,0.158974,Standard (1-way)
Alex Petrovic,RD,2012-13,795000,20,60000000,0.01325,Entry_Level
Alex Pietrangelo,RD,2012-13,816667,22,60000000,0.013611,Entry_Level
Alexander Edler,LD,2012-13,3250000,26,60000000,0.054167,Standard (1-way)
Anders Lee,LW/C,2012-13,900000,22,60000000,0.015,Entry_Level
Andrej Sekera,LD/RD,2012-13,2750000,26,60000000,0.045833,Standard (1-way)
Andrej Sustr,RD,2012-13,925000,22,60000000,0.015417,Entry_Level
Andrew Cogliano,LW,2012-13,2390000,25,60000000,0.039833,Standard (1-way)
Andrew Ladd,LW,2012-13,4400000,27,60000000,0.073333,Standard (1-way)
Andrew Shaw,C/RW,2012-13,573333,21,60000000,0.009556,Entry_Level
Andy Andreoff,LW/C,2012-13,593333,21,60000000,0.009889,Entry_Level
Andy Greene,LD/RD,2012-13,3000000,30,60000000,0.05,Standard (1-way)
Anthony Bitetto,LD,2012-13,627500,22,60000000,0.010458,Entry_Level
Antoine Roussel,LW,2012-13,612500,23,60000000,0.010208,Entry_Level
Anton Stralman,RD,2012-13,1700000,26,60000000,0.028333,Standard (1-way)
Anze Kopitar,C,2012-13,6800000,25,60000000,0.113333,Standard (1-way)
Austin Watson,RW/LW,2012-13,900000,20,60000000,0.015,Entry_Level
Ben Chiarot,LD/RD,2012-13,618333,21,60000000,0.010306,Entry_Level
Blake Comeau,RW/LW,2012-13,1250000,26,60000000,0.020833,Standard (1-way)
Blake Wheeler,RW/C,2012-13,2550000,26,60000000,0.0425,Standard (1-way)
Boone Jenner,C/LW,2012-13,809167,19,60000000,0.013486,Entry_Level
Brad Malone,C/LW,2012-13,700000,23,60000000,0.011667,Entry_Level
Brad Marchand,LW,2012-13,2500000,24,60000000,0.041667,Standard (1-way)
Brad Richardson,C,2012-13,1175000,27,60000000,0.019583,Standard (1-way)
Brandon Davidson,LD,2012-13,615000,21,60000000,0.01025,Entry_Level
Brandon Saad,LW/RW,2012-13,764167,20,60000000,0.012736,Entry_Level
Brandon Sutter,RW/C,2012-13,2066667,23,60000000,0.034444,Standard (1-way)
Brayden Mcnabb,LD,2012-13,715000,21,60000000,0.011917,Entry_Level
Brayden Schenn,C/LW,2012-13,870000,21,60000000,0.0145,Entry_Level
Brendan Gallagher,RW,2012-13,685000,20,60000000,0.011417,Entry_Level
Brendan Gaunce,LW/C,2012-13,925000,18,60000000,0.015417,Entry_Level
Brendan Smith,LD/RD,2012-13,875000,23,60000000,0.014583,Entry_Level
Brenden Dillon,LD,2012-13,743333,22,60000000,0.012389,Entry_Level
Brent Burns,RD,2012-13,5760000,27,60000000,0.096,Standard (1-way)
Brent Seabrook,RD,2012-13,5800000,27,60000000,0.096667,Standard (1-way)
Brett Connolly,RW/LW,2012-13,900000,20,60000000,0.015,Entry_Level
Brett Ritchie,RW,2012-13,845000,19,60000000,0.014083,Entry_Level
Brian Boyle,LW/C,2012-13,1700000,28,60000000,0.028333,Standard (1-way)
Brian Dumoulin,LD,2012-13,831667,21,60000000,0.013861,Entry_Level
Brian Flynn,RW,2012-13,925000,24,60000000,0.015417,Entry_Level
Brian Lashoff,LD,2012-13,525000,22,60000000,0.00875,Entry_Level
Brock Nelson,C/LW,2012-13,900000,21,60000000,0.015,Entry_Level
Bryan Little,C/RW,2012-13,2383333,25,60000000,0.039722,Standard (1-way)
Byron Froese,C,2012-13,598333,21,60000000,0.009972,Entry_Level
Cal Clutterbuck,RW,2012-13,1400000,25,60000000,0.023333,Standard (1-way)
Calle Jarnkrok,LW/C/RW,2012-13,715000,21,60000000,0.011917,Entry_Level
Calvin De Haan,LD/RD,2012-13,870000,21,60000000,0.0145,Entry_Level
Cam Atkinson,RW/LW,2012-13,775000,23,60000000,0.012917,Entry_Level
Cam Fowler,LD/RD,2012-13,900000,21,60000000,0.015,Entry_Level
Carl Hagelin,LW,2012-13,637500,24,60000000,0.010625,Entry_Level
Casey Cizikas,C,2012-13,793333,21,60000000,0.013222,Entry_Level
Chad Ruhwedel,RD,2012-13,925000,22,60000000,0.015417,Entry_Level
Charlie Coyle,C/RW,2012-13,900000,20,60000000,0.015,Entry_Level
Chris Kreider,LW,2012-13,800000,21,60000000,0.013333,Entry_Level
Chris Wagner,RW/C,2012-13,900000,21,60000000,0.015,Entry_Level
Chris Wideman,RD,2012-13,590000,22,60000000,0.009833,Entry_Level
Christopher Tanev,RD,2012-13,900000,23,60000000,0.015,Entry_Level
Claude Giroux,C/RW,2012-13,3750000,24,60000000,0.0625,Standard (1-way)
Cody Ceci,RD,2012-13,925000,19,60000000,0.015417,Entry_Level
Cody Eakin,C,2012-13,571667,21,60000000,0.009528,Entry_Level
Colton Sceviour,RW/C,2012-13,525000,23,60000000,0.00875,Standard (2-way)
Colton Sissons,RW/C,2012-13,656667,19,60000000,0.010944,Entry_Level
Connor Murphy,RD,2012-13,894167,19,60000000,0.014903,Entry_Level
Corey Perry,RW,2012-13,5325000,27,60000000,0.08875,Standard (1-way)
Craig Smith,RW/C,2012-13,715000,23,60000000,0.011917,Entry_Level
Damon Severson,RD,2012-13,650833,18,60000000,0.010847,Entry_Level
Danny Dekeyser,LD,2012-13,925000,22,60000000,0.015417,Entry_Level
Darren Helm,C/LW/RW,2012-13,2125000,25,60000000,0.035417,Standard (1-way)
David Perron,RW/LW,2012-13,3812500,24,60000000,0.063542,Standard (1-way)
David Savard,RD,2012-13,740167,22,60000000,0.012336,Entry_Level
Derek Grant,C/RW,2012-13,605000,22,60000000,0.010083,Entry_Level
Derek Stepan,C,2012-13,820833,22,60000000,0.013681,Entry_Level
Derick Brassard,LW/C,2012-13,3200000,25,60000000,0.053333,Standard (1-way)
Dmitrij Jaskin,RW/LW,2012-13,772500,19,60000000,0.012875,Entry_Level
Dmitry Kulikov,LD/RD,2012-13,2500000,22,60000000,0.041667,Standard (1-way)
Dmitry Orlov,LD/RD,2012-13,690000,21,60000000,0.0115,Entry_Level
Dougie Hamilton,RD,2012-13,925000,19,60000000,0.015417,Entry_Level
Drew Doughty,RD,2012-13,7000000,23,60000000,0.116667,Standard (1-way)
Duncan Keith,LD,2012-13,5538462,29,60000000,0.092308,Standard (1-way)
Dustin Brown,RW/LW,2012-13,3175000,28,60000000,0.052917,Standard (1-way)
Dylan Demelo,RD,2012-13,658333,19,60000000,0.010972,Entry_Level
Dylan Mcilrath,RD,2012-13,703333,20,60000000,0.011722,Entry_Level
Eric Gelinas,LD,2012-13,660000,21,60000000,0.011,Entry_Level
Erik Gudbranson,RD,2012-13,900000,20,60000000,0.015,Entry_Level
Erik Johnson,RD,2012-13,3750000,24,60000000,0.0625,Standard (1-way)
Erik Karlsson,RD,2012-13,6500000,22,60000000,0.108333,Standard (1-way)
Evander Kane,LW/RW,2012-13,5250000,21,60000000,0.0875,Standard (1-way)
