player,position,season,cap_hit,age,total_cap,percent_cap_hit,type
Adam Henrique,C/LW,2010-11,575000,20,59400000,0.00968,Entry_Level
Alec Martinez,LD,2010-11,637500,22,59400000,0.010732,Entry_Level
Alex Biega,RD,2010-11,527500,22,59400000,0.00888,Entry_Level
Alex Goligoski,LD/RD,2010-11,1833333,24,59400000,0.030864,Standard (1-way)
Alex Ovechkin,LW,2010-11,9538462,24,59400000,0.16058,Standard (1-way)
Alex Pietrangelo,RD,2010-11,816667,20,59400000,0.013749,Entry_Level
Alexander Edler,LD,2010-11,3250000,24,59400000,0.054714,Standard (1-way)
Andrej Sekera,LD/RD,2010-11,1000000,24,59400000,0.016835,Standard (1-way)
Andrew Cogliano,LW,2010-11,1000000,23,59400000,0.016835,Standard (1-way)
Andrew Ladd,LW,2010-11,2350000,24,59400000,0.039562,Standard (1-way)
Andy Greene,LD/RD,2010-11,737500,27,59400000,0.012416,Standard (1-way)
Anton Stralman,RD,2010-11,1950000,23,59400000,0.032828,Standard (1-way)
Anze Kopitar,C,2010-11,6800000,22,59400000,0.114478,Standard (1-way)
Blake Comeau,RW/LW,2010-11,650000,24,59400000,0.010943,Standard (1-way)
Blake Wheeler,RW/C,2010-11,2200000,23,59400000,0.037037,Standard (1-way)
Brad Marchand,LW,2010-11,590000,22,59400000,0.009933,Entry_Level
Brad Richardson,C,2010-11,900000,25,59400000,0.015152,Standard (1-way)
Brandon Sutter,RW/C,2010-11,875000,21,59400000,0.014731,Entry_Level
Brayden Schenn,C/LW,2010-11,900000,18,59400000,0.015152,Entry_Level
Brendan Smith,LD/RD,2010-11,875000,21,59400000,0.014731,Entry_Level
Brent Burns,RD,2010-11,3550000,25,59400000,0.059764,Standard (1-way)
Brent Seabrook,RD,2010-11,3500000,25,59400000,0.058923,Standard (1-way)
Brian Boyle,LW/C,2010-11,525000,25,59400000,0.008838,Standard (1-way)
Brian Lashoff,LD,2010-11,525000,19,59400000,0.008838,Entry_Level
Bryan Little,C/RW,2010-11,2383333,22,59400000,0.040123,Standard (1-way)
Cal Clutterbuck,RW,2010-11,1400000,22,59400000,0.023569,Standard (1-way)
Calvin De Haan,LD/RD,2010-11,900000,19,59400000,0.015152,Entry_Level
Cam Fowler,LD/RD,2010-11,900000,18,59400000,0.015152,Entry_Level
Christopher Tanev,RD,2010-11,900000,20,59400000,0.015152,Entry_Level
Claude Giroux,C/RW,2010-11,821667,22,59400000,0.013833,Entry_Level
Cody Eakin,C,2010-11,595555,19,59400000,0.010026,Entry_Level
Colton Sceviour,RW/C,2010-11,585833,21,59400000,0.009863,Entry_Level
Corey Perry,RW,2010-11,5325000,25,59400000,0.089646,Standard (1-way)
Darren Helm,C/LW/RW,2010-11,912500,23,59400000,0.015362,Standard (1-way)
David Perron,RW/LW,2010-11,2150000,22,59400000,0.036195,Standard (1-way)
David Savard,RD,2010-11,740167,19,59400000,0.012461,Entry_Level
Derek Stepan,C,2010-11,820833,20,59400000,0.013819,Entry_Level
Derick Brassard,LW/C,2010-11,3200000,22,59400000,0.053872,Standard (1-way)
Dmitry Kulikov,LD/RD,2010-11,900000,19,59400000,0.015152,Entry_Level
Drew Doughty,RD,2010-11,875000,20,59400000,0.014731,Entry_Level
Duncan Keith,LD,2010-11,5538462,26,59400000,0.09324,Standard (1-way)
Dustin Brown,RW/LW,2010-11,3175000,25,59400000,0.053451,Standard (1-way)
Eric Gelinas,LD,2010-11,690000,19,59400000,0.011616,Entry_Level
Erik Johnson,RD,2010-11,2600000,22,59400000,0.043771,Standard (1-way)
Erik Karlsson,RD,2010-11,875000,20,59400000,0.014731,Entry_Level
Evander Kane,LW/RW,2010-11,900000,18,59400000,0.015152,Entry_Level
Evgeni Dadonov,RW/LW,2010-11,654167,21,59400000,0.011013,Entry_Level
Evgeni Malkin,C,2010-11,8700000,23,59400000,0.146465,Standard (1-way)
Frans Nielsen,C/LW,2010-11,525000,26,59400000,0.008838,Standard (1-way)
Gabriel Dumont,C,2010-11,571667,19,59400000,0.009624,Entry_Level
Ian Cole,LD/RD,2010-11,875000,21,59400000,0.014731,Entry_Level
Jack Johnson,LD,2010-11,1425000,23,59400000,0.02399,Standard (1-way)
Jake Muzzin,LD,2010-11,606667,21,59400000,0.010213,Entry_Level
Jakub Voracek,RW/LW,2010-11,845833,20,59400000,0.01424,Entry_Level
James Neal,RW/LW,2010-11,2875000,22,59400000,0.048401,Standard (1-way)
James Van Riemsdyk,LW/RW,2010-11,875000,21,59400000,0.014731,Entry_Level
Jamie Benn,LW/C,2010-11,630000,20,59400000,0.010606,Entry_Level
Jared Spurgeon,RD,2010-11,526667,20,59400000,0.008866,Entry_Level
Jason Spezza,C/RW,2010-11,7000000,27,59400000,0.117845,Standard (1-way)
Jay Beagle,C,2010-11,512500,24,59400000,0.008628,Standard (1-way)
Jeff Carter,C/RW,2010-11,5000000,25,59400000,0.084175,Standard (1-way)
Jeff Petry,RD,2010-11,850000,22,59400000,0.01431,Entry_Level
Jeff Skinner,LW/RW,2010-11,900000,18,59400000,0.015152,Entry_Level
Joe Pavelski,RW/C,2010-11,4000000,25,59400000,0.06734,Standard (1-way)
Joe Thornton,C/LW,2010-11,7200000,30,59400000,0.121212,Standard (1-way)
John Carlson,RD,2010-11,845833,20,59400000,0.01424,Entry_Level
John Moore,LD,2010-11,870000,19,59400000,0.014646,Entry_Level
John Tavares,C,2010-11,900000,19,59400000,0.015152,Entry_Level
Johnny Boychuk,RD,2010-11,1875000,26,59400000,0.031566,Standard (1-way)
Jonathan Toews,C,2010-11,6300000,22,59400000,0.106061,Standard (1-way)
Jordan Eberle,RW,2010-11,875000,20,59400000,0.014731,Entry_Level
Jordan Staal,C/LW,2010-11,4000000,21,59400000,0.06734,Standard (1-way)
Josh Bailey,RW/LW,2010-11,875000,20,59400000,0.014731,Entry_Level
Justin Braun,RD,2010-11,662500,23,59400000,0.011153,Entry_Level
Keith Yandle,LD,2010-11,1200000,23,59400000,0.020202,Standard (1-way)
Kevin Connauton,LD/RD,2010-11,681667,20,59400000,0.011476,Entry_Level
Kevin Shattenkirk,RD,2010-11,875000,21,59400000,0.014731,Entry_Level
Kris Letang,RD,2010-11,3500000,23,59400000,0.058923,Standard (1-way)
Kris Russell,LD/RD,2010-11,1300000,23,59400000,0.021886,Standard (1-way)
Kyle Clifford,LW,2010-11,710000,19,59400000,0.011953,Entry_Level
Kyle Okposo,RW,2010-11,821667,22,59400000,0.013833,Entry_Level
Kyle Palmieri,RW/LW,2010-11,900000,19,59400000,0.015152,Entry_Level
Kyle Turris,C/RW,2010-11,845833,20,59400000,0.01424,Entry_Level
Lars Eller,C,2010-11,845833,21,59400000,0.01424,Entry_Level
Logan Couture,C/LW,2010-11,816667,21,59400000,0.013749,Entry_Level
Loui Eriksson,LW/RW,2010-11,4250000,24,59400000,0.071549,Standard (1-way)
Luke Schenn,RD,2010-11,875000,20,59400000,0.014731,Entry_Level
Marc Edouard Vlasic,LD/RD,2010-11,3100000,23,59400000,0.052189,Standard (1-way)
Marc Staal,LD,2010-11,3975000,23,59400000,0.066919,Standard (1-way)
Marco Scandella,LD,2010-11,643333,20,59400000,0.010831,Entry_Level
Marcus Johansson,C/LW/RW,2010-11,900000,19,59400000,0.015152,Entry_Level
Mark Giordano,LD,2010-11,891667,26,59400000,0.015011,Entry_Level
Mathieu Perreault,LW/RW/C,2010-11,675000,22,59400000,0.011364,Entry_Level
Mats Zuccarello,RW/LW,2010-11,900000,22,59400000,0.015152,Entry_Level
Matt Duchene,C/LW/RW,2010-11,900000,19,59400000,0.015152,Entry_Level
Matt Irwin,LD/RD,2010-11,740000,22,59400000,0.012458,Entry_Level
Matt Martin,LW/RW,2010-11,631667,21,59400000,0.010634,Entry_Level
Max Pacioretty,LW,2010-11,875000,21,59400000,0.014731,Entry_Level
Michael Del Zotto,LD,2010-11,875000,20,59400000,0.014731,Entry_Level
Michael Sgarbossa,C,2010-11,561666,17,59400000,0.009456,Entry_Level
Michael Stone,RD,2010-11,591667,20,59400000,0.009961,Entry_Level
Mikael Backlund,C,2010-11,845833,21,59400000,0.01424,Entry_Level
Mike Hoffman,LW/RW,2010-11,610000,20,59400000,0.010269,Entry_Level
Milan Lucic,LW,2010-11,4083333,22,59400000,0.068743,Standard (1-way)
Nate Thompson,C,2010-11,625000,25,59400000,0.010522,Standard (1-way)
Nathan Gerbe,LW/RW,2010-11,850000,22,59400000,0.01431,Entry_Level
Nazem Kadri,C,2010-11,870000,19,59400000,0.014646,Entry_Level
Nick Bonino,C,2010-11,796250,22,59400000,0.013405,Entry_Level
Nick Foligno,LW/C/RW,2010-11,1200000,22,59400000,0.020202,Standard (1-way)
Nick Holden,LD,2010-11,775000,23,59400000,0.013047,Entry_Level
Nick Leddy,LD,2010-11,900000,19,59400000,0.015152,Entry_Level
Nicklas Backstrom,C,2010-11,6700000,22,59400000,0.112795,Standard (1-way)
Nino Niederreiter,LW/RW,2010-11,900000,17,59400000,0.015152,Entry_Level
Oliver Ekman Larsson,LD,2010-11,900000,18,59400000,0.015152,Entry_Level
