player,position,season,cap_hit,age,total_cap,percent_cap_hit,type
Aaron Ekblad,RD,2015-16,925000,19,71400000,0.012955,Entry_Level
Adam Clendening,RD,2015-16,761250,23,71400000,0.010662,Standard (2-way)
Adam Erne,LW/RW,2015-16,874167,20,71400000,0.012243,Entry_Level
Adam Henrique,C/LW,2015-16,4000000,25,71400000,0.056022,Standard (1-way)
Adam Larsson,RD,2015-16,4166666,23,71400000,0.058357,Standard (1-way)
Adam Lowry,C,2015-16,828333,22,71400000,0.011601,Entry_Level
Adam Pelech,LD,2015-16,854333,21,71400000,0.011965,Entry_Level
Adrian Kempe,LW/RW,2015-16,925000,19,71400000,0.012955,Entry_Level
Alec Martinez,LD,2015-16,4000000,28,71400000,0.056022,Standard (1-way)
Aleksander Barkov,C,2015-16,925000,20,71400000,0.012955,Entry_Level
Alex Biega,RD,2015-16,600000,27,71400000,0.008403,Standard (1-way)
Alex Chiasson,RW,2015-16,1200000,25,71400000,0.016807,Standard (1-way)
Alex Galchenyuk,LW/C/RW,2015-16,2800000,21,71400000,0.039216,Standard (1-way)
Alex Goligoski,LD/RD,2015-16,4600000,30,71400000,0.064426,Standard (1-way)
Alex Killorn,LW,2015-16,2550000,26,71400000,0.035714,Standard (1-way)
Alex Ovechkin,LW,2015-16,9538462,30,71400000,0.133592,Standard (1-way)
Alex Petrovic,RD,2015-16,1050000,23,71400000,0.014706,Standard (1-way)
Alex Pietrangelo,RD,2015-16,6500000,25,71400000,0.091036,Standard (1-way)
Alexander Edler,LD,2015-16,5000000,29,71400000,0.070028000000000007,Standard (1-way)
Alexander Wennberg,C,2015-16,925000,21,71400000,0.012955,Entry_Level
Alexandre Carrier,RD,2015-16,690000,19,71400000,0.009664,Entry_Level
Anders Lee,LW/C,2015-16,3750000,25,71400000,0.052521,Standard (1-way)
Andre Burakovsky,LW/RW,2015-16,894167,20,71400000,0.012523,Entry_Level
Andreas Athanasiou,LW/RW,2015-16,628333,21,71400000,0.0088,Entry_Level
Andreas Johnsson,LW/RW,2015-16,750833,21,71400000,0.010516,Entry_Level
Andrej Sekera,LD/RD,2015-16,5500000,29,71400000,0.077031,Standard (1-way)
Andrej Sustr,RD,2015-16,1450000,25,71400000,0.020308,Standard (1-way)
Andrew Agozzino,C/LW,2015-16,600000,24,71400000,0.008403,Standard (1-way)
Andrew Cogliano,LW,2015-16,3000000,28,71400000,0.042017,Standard (1-way)
Andrew Copp,LW/C,2015-16,925000,21,71400000,0.012955,Entry_Level
Andrew Ladd,LW,2015-16,4400000,30,71400000,0.061625,Standard (1-way)
Andrew Shaw,C/RW,2015-16,2000000,24,71400000,0.028011,Standard (1-way)
Andy Andreoff,LW/C,2015-16,587500,24,71400000,0.008228,Standard (1-way)
Andy Greene,LD/RD,2015-16,5000000,33,71400000,0.070028000000000007,Standard (1-way)
Anthony Beauvillier,LW/RW,2015-16,925000,18,71400000,0.012955,Entry_Level
Anthony Bitetto,LD,2015-16,665500,25,71400000,0.009321,Standard (2-way)
Anthony Deangelo,RD,2015-16,894167,20,71400000,0.012523,Entry_Level
Anthony Duclair,LW/RW,2015-16,772500,20,71400000,0.010819,Entry_Level
Anthony Mantha,RW/LW,2015-16,863333,21,71400000,0.012091,Entry_Level
Anthony Richard,C,2015-16,690000,19,71400000,0.009664,Entry_Level
Antoine Roussel,LW,2015-16,2000000,26,71400000,0.028011,Standard (1-way)
Anton Blidh,LW,2015-16,784167,20,71400000,0.010983,Entry_Level
Anton Stralman,RD,2015-16,4500000,29,71400000,0.063025,Standard (1-way)
Anze Kopitar,C,2015-16,6800000,28,71400000,0.095238,Standard (1-way)
Artemi Panarin,LW,2015-16,812500,24,71400000,0.01138,Entry_Level
Ashton Sautner,LD,2015-16,675000,21,71400000,0.009454,Entry_Level
Austin Czarnik,C/RW,2015-16,817500,23,71400000,0.01145,Entry_Level
Austin Watson,RW/LW,2015-16,575000,23,71400000,0.008053,Standard (1-way)
Barclay Goodrow,LW/C/RW,2015-16,626667,22,71400000,0.008777,Entry_Level
Ben Chiarot,LD/RD,2015-16,850000,24,71400000,0.011905,Standard (1-way)
Ben Harpur,LD,2015-16,653333,20,71400000,0.00915,Entry_Level
Ben Hutton,LD,2015-16,896250,22,71400000,0.012553,Entry_Level
Blake Coleman,LW/RW,2015-16,680000,24,71400000,0.009524,Entry_Level
Blake Comeau,RW/LW,2015-16,2400000,29,71400000,0.033613,Standard (1-way)
Blake Wheeler,RW/C,2015-16,5600000,29,71400000,0.078431,Standard (1-way)
Bo Horvat,C,2015-16,894167,20,71400000,0.012523,Entry_Level
Boone Jenner,C/LW,2015-16,778333,22,71400000,0.010901,Entry_Level
Brad Hunt,LD,2015-16,600000,27,71400000,0.008403,Standard (1-way)
Brad Malone,C/LW,2015-16,650000,26,71400000,0.009104,Standard (1-way)
Brad Marchand,LW,2015-16,4500000,27,71400000,0.063025,Standard (1-way)
Brad Richardson,C,2015-16,2083333,30,71400000,0.029178,Standard (1-way)
Brady Skjei,LD,2015-16,925000,21,71400000,0.012955,Entry_Level
Brandon Carlo,RD,2015-16,820000,19,71400000,0.011485,Entry_Level
Brandon Davidson,LD,2015-16,585000,24,71400000,0.008193,Standard (2-way)
Brandon Montour,LD/RD,2015-16,925000,21,71400000,0.012955,Entry_Level
Brandon Saad,LW/RW,2015-16,6000000,23,71400000,0.084034,Standard (1-way)
Brandon Sutter,RW/C,2015-16,3300000,26,71400000,0.046218,Standard (1-way)
Brandon Tanev,RW/LW,2015-16,2266250,24,71400000,0.03174,Entry_Level
Brayden Mcnabb,LD,2015-16,650000,24,71400000,0.009104,Standard (1-way)
