PLAYER,AGE,POS,GP,G,A,P,P/GP,PLUSMINUS,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,TYPE,EXPIRY,CAP HIT,CAP HIT %
Max Domi,24,"LW, C",71,17,27,44,0.62,-3,179,0.1,17:05:00,17.37,179,322,241,0.86,8.85,15.92,11.91,735,585,55.68,1380,1005,57.86,1024,792,56.39,71.98,54.98,56.7,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"3,150,000",0.0420
Derek Ryan,32,"C, RW",68,10,19,29,0.43,9,102,0.1,14:32:00,10.72,103,170,137,0.65,6.25,10.31,8.31,460,525,46.7,865,977,46.96,660,738,47.21,41.1,44.13,48.22,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"3,125,000",0.0390
Petr Mrázek,27,G,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,16,3,2.69,0.905,2.69,2.76,0.07,Standard (1-way),UFA,"3,125,000",0.0380
Ryan Strome,25,"C, RW",70,18,41,59,0.84,21,154,0.12,19:35:00,20.46,154,241,205,0.9,6.74,10.55,8.97,798,764,51.09,1374,1395,49.62,1088,1087,50.02,88,84.57,50.99,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"3,100,000",0.0390
Joel Edmundson,26,LD,68,7,13,20,0.29,7,97,0.07,18:26:00,4.84,97,179,128,0.23,4.63,8.57,6.13,577,725,44.32,1035,1258,45.14,786,965,44.89,50.88,71.73,41.5,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"3,100,000",0.0380
Jean-Gabriel Pageau,26,C,67,26,16,42,0.63,4,151,0.17,19:09:00,17.61,151,244,206,0.82,7.06,11.41,9.63,686,702,49.42,1231,1350,47.69,947,983,49.07,65.51,66.47,49.64,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"3,100,000",0.0410
Phillip Danault,26,C,71,13,34,47,0.66,18,131,0.1,18:50:00,16.13,131,209,171,0.72,5.87,9.36,7.67,813,680,54.45,1486,1203,55.26,1106,940,54.06,73.53,65.19,53.01,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"3,083,333",0.0390
Jay Beagle,33,C,55,2,6,8,0.15,-9,49,0.04,12:33:00,5.2,49,73,67,0.45,4.25,6.34,5.82,237,490,32.6,395,938,29.63,319,663,32.47,19.42,45.43,29.95,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"3,000,000",0.0380
Conor Sheary,27,"LW, RW",63,10,13,23,0.37,-5,102,0.1,13:06:00,9.43,102,168,140,0.69,7.41,12.21,10.17,435,379,53.44,769,685,52.89,577,541,51.61,35.15,33.93,50.88,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"3,000,000",0.0400
Neal Pionk,23,RD,71,6,39,45,0.63,10,177,0.03,23:22:00,7.86,177,340,245,0.28,6.4,12.29,8.86,1008,856,54.08,1768,1429,55.3,1358,1148,54.19,100.03,81.42,55.13,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"3,000,000",0.0370
Patrik Nemeth,27,LD,64,1,8,9,0.14,-10,89,0.01,22:02:00,4.04,89,172,128,0.17,3.79,7.32,5.45,592,836,41.46,1042,1443,41.93,801,1103,42.07,51.77,78.59,39.71,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"3,000,000",0.0370
Antoine Roussel,29,LW,41,7,6,13,0.32,0,55,0.13,11:50:00,6.91,55,92,77,0.85,6.8,11.38,9.52,273,275,49.82,497,473,51.24,389,352,52.5,23.9,21.6,52.53,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"3,000,000",0.0380
Valtteri Filppula,35,"C, LW",70,6,15,21,0.3,-42,63,0.1,16:36:00,8.66,63,104,86,0.45,3.25,5.37,4.44,487,655,42.64,873,1107,44.09,687,898,43.34,45.71,68.16,40.14,-,-,-,-,-,-,-,-,35+ (1-way),UFA,"3,000,000",0.0370
Leo Komarov,32,"RW, LW, C",48,4,10,14,0.29,2,46,0.09,12:35:00,5.78,46,65,55,0.56,4.55,6.45,5.46,238,326,42.2,438,657,40,307,467,39.65,21.96,26.89,44.95,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"3,000,000",0.0380
Andreas Athanasiou,24,"LW, RW",55,11,15,26,0.47,-46,129,0.09,15:51:00,13.66,129,208,175,0.94,8.88,14.32,12.05,448,438,50.56,769,759,50.33,624,589,51.44,42.5,46.62,47.69,-,-,-,-,-,-,-,-,Standard (1-way),"UFA
No QO","3,000,000",0.0380
Kevin Fiala,22,"RW, LW",64,23,31,54,0.84,-1,175,0.13,15:24:00,15.4,175,312,232,0.94,10.65,18.98,14.12,598,454,56.84,1094,814,57.34,822,615,57.2,50.49,36.6,57.97,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"3,000,000",0.0370
Jonathan Bernier,30,G,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,22,1,2.95,0.907,2.95,2.95,-0.01,Standard (1-way),UFA,"3,000,000",0.0380
Chris Tierney,25,C,71,11,26,37,0.52,-6,102,0.11,17:11:00,11.38,102,181,143,0.56,5.01,8.9,7.03,559,724,43.57,1054,1294,44.89,799,995,44.54,54.54,65.06,45.6,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"2,937,500",0.0370
Adam Lowry,26,C,49,4,6,10,0.2,-4,68,0.06,14:57:00,8.05,68,112,91,0.66,5.57,9.17,7.45,296,407,42.11,530,768,40.83,402,590,40.52,23.09,38.92,37.24,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,916,667",0.0370
Marcus Foligno,27,"LW, RW",59,11,14,25,0.42,8,86,0.13,14:35:00,9.74,86,134,116,0.68,6,9.34,8.09,399,422,48.6,701,820,46.09,542,610,47.05,29.19,33.67,46.44,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,875,000",0.0380
Colton Sissons,25,"RW, C",57,9,6,15,0.26,-2,52,0.17,14:19:00,6.16,52,92,80,0.45,3.82,6.76,5.88,328,449,42.21,587,889,39.77,463,631,42.32,26.47,38.6,40.68,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,857,143",0.0350
Jake McCabe,25,LD/RD,66,3,10,13,0.2,-11,75,0.04,18:31:00,1.95,75,148,102,0.1,3.68,7.26,5,533,638,45.52,931,1148,44.78,726,888,44.98,38.18,55.25,40.86,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,850,000",0.0350
Brandon Carlo,22,RD,67,4,15,19,0.28,16,111,0.04,20:28:00,4.01,111,180,141,0.18,4.86,7.88,6.17,616,741,45.39,1084,1323,45.04,834,1036,44.6,50.89,64.76,44,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"2,850,000",0.0350
Matt Calvert,29,"LW, RW",50,12,13,25,0.5,13,89,0.13,14:05:00,8.57,89,141,104,0.73,7.58,12.01,8.86,367,398,47.97,633,704,47.34,471,526,47.24,29.59,36.09,45.05,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,850,000",0.0360
Danton Heinen,23,"LW, RW",67,10,16,26,0.39,-2,109,0.09,14:28:00,11.48,109,184,139,0.71,6.75,11.39,8.6,554,476,53.79,971,861,53,724,652,52.62,46.48,38.35,54.79,-,-,-,-,-,-,-,-,Standard (1-way),"UFA
No QO","2,800,000",0.0340
Ryan Reaves,32,RW,71,8,7,15,0.21,-5,61,0.13,10:08:00,7.99,61,99,83,0.67,5.08,8.25,6.92,371,342,52.03,682,594,53.45,516,439,54.03,35.1,27.64,55.95,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,775,000",0.0350
Cam Talbot,31,G,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,10,2,2.64,0.919,2.63,2.65,0.01,Standard (1-way),UFA,"2,750,000",0.0340
David Rittich,26,G,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,17,2,2.97,0.907,2.97,2.76,-0.21,Standard (1-way),UFA,"2,750,000",0.0340
Erik Haula,28,"C, LW",48,12,12,24,0.5,1,92,0.13,15:49:00,13.91,92,154,134,1.1,7.26,12.16,10.58,422,370,53.28,767,646,54.28,593,503,54.11,46.28,39.95,53.67,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,750,000",0.0370
Carter Hutton,33,G,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,14,2,3.18,0.898,3.18,2.72,-0.46,Standard (1-way),UFA,"2,750,000",0.0350
Riley Nash,30,"C, RW",64,5,9,14,0.22,6,64,0.08,11:50:00,5.42,64,94,74,0.43,5.07,7.44,5.86,308,368,45.56,513,709,41.98,398,506,44.03,22.2,26.47,45.61,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,750,000",0.0350
Richard Pánik,28,"LW, RW",59,9,13,22,0.37,16,67,0.13,11:20:00,6.78,68,125,95,0.61,6.1,11.21,8.52,333,322,50.84,643,552,53.81,474,432,52.32,28.86,27.61,51.11,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,750,000",0.0340
Carl Hagelin,30,LW,58,8,17,25,0.43,12,107,0.07,14:19:00,11.51,107,154,138,0.83,7.73,11.13,9.97,372,420,46.97,680,793,46.16,517,585,46.91,31.29,42.06,42.66,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,750,000",0.0350
Oskar Sundqvist,25,"C, RW",57,12,11,23,0.4,5,97,0.12,14:22:00,12.26,97,167,134,0.9,7.1,12.22,9.81,364,437,45.44,644,782,45.16,494,596,45.32,36.9,40.47,47.69,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,750,000",0.0340
Jaroslav Halák,34,G,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,6,3,2.39,0.919,2.39,2.49,0.1,Standard (1-way),UFA,"2,750,000",0.0350
Miles Wood,23,LW,68,11,12,23,0.34,-19,141,0.08,13:14:00,13.61,141,221,182,0.91,9.4,14.74,12.14,457,525,46.54,791,971,44.89,602,733,45.09,39.32,46.7,45.71,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"2,750,000",0.0350
John Moore,28,LD,24,2,1,3,0.13,-2,33,0.06,16:32:00,1.15,33,68,45,0.18,4.99,10.28,6.8,201,211,48.79,349,381,47.81,269,289,48.21,14.09,15.63,47.41,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,750,000",0.0350
Mark Pysyk,27,"RD, RW",58,9,9,18,0.31,4,64,0.14,12:45:00,6.25,65,105,78,0.51,5.27,8.52,6.33,328,407,44.63,587,774,43.13,441,574,43.45,28.87,34.57,45.51,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,733,333",0.0360
Markus Nutivaara,25,LD/RD,37,3,6,9,0.24,2,47,0.06,15:55:00,2.06,47,89,65,0.21,4.79,9.06,6.62,315,288,52.24,543,541,50.09,410,394,51,22.19,21.6,50.67,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,700,000",0.0360
Ondrej Kase,23,RW,55,7,17,24,0.44,-7,144,0.05,16:32:00,11.6,144,250,198,0.77,9.5,16.48,13.06,503,426,54.14,948,752,55.76,721,592,54.91,43.65,40.25,52.03,-,-,-,-,-,-,-,-,Standard (1-way),"UFA
No QO","2,600,000",0.0330
Anders Nilsson,29,G,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,0,3.18,0.908,3.18,2.79,-0.39,Standard (1-way),UFA,"2,600,000",0.0330
Colin Wilson,29,"C, LW",9,0,4,4,0.44,6,12,0,12:38:00,1.17,12,20,17,0.62,6.33,10.55,8.97,67,54,55.37,120,93,56.34,83,70,54.25,5.09,3.09,62.22,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,600,000",0.0320
Joel Armia,26,"RW, LW",58,16,14,30,0.52,2,155,0.1,17:13:00,16.87,155,265,207,1.01,9.31,15.91,12.43,542,529,50.61,1015,928,52.24,761,724,51.25,51.24,49.8,50.71,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,600,000",0.0320
Sam Bennett,23,C,52,8,4,12,0.23,-1,82,0.1,12:30:00,8.78,82,150,119,0.81,7.56,13.83,10.97,335,335,50,643,593,52.02,473,454,51.02,32.69,25.08,56.59,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"2,550,000",0.0310
Frank Vatrano,25,"RW, LW",69,16,18,34,0.49,-8,162,0.1,15:01:00,15.74,162,238,199,0.91,9.38,13.78,11.52,548,542,50.28,964,970,49.84,729,733,49.86,47.77,47,50.41,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,533,333",0.0320
Derek Forbort,27,LD,20,0,1,1,0.05,-5,22,0,17:49:00,0.62,22,55,36,0.1,3.71,9.26,6.06,160,198,44.69,292,358,44.92,229,275,45.44,12.61,16.8,42.88,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,525,000",0.0340
Thomas Hickey,30,LD,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,500,000",0.0310
Brayden McNabb,28,LD,71,2,7,9,0.13,1,73,0.03,20:00:00,3.96,73,176,119,0.17,3.08,7.43,5.01,700,814,46.24,1261,1500,45.67,968,1108,46.63,68.22,78.09,46.63,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,500,000",0.0330
Anton Khudobin,33,G,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,8,0,2.22,0.93,2.22,2.43,0.21,Standard (1-way),UFA,"2,500,000",0.0310
Michal Kempný,28,LD,58,3,15,18,0.31,19,73,0.04,18:38:00,2.88,73,170,109,0.16,4.05,9.44,6.05,519,563,47.97,977,1052,48.15,720,778,48.06,43.63,50.79,46.21,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,500,000",0.0310
Matt Martin,30,"LW, RW",55,5,3,8,0.15,-1,49,0.1,10:25:00,5.62,49,94,72,0.59,5.13,9.84,7.54,218,275,44.22,419,548,43.33,296,398,42.65,17.41,19.77,46.83,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,500,000",0.0340
Nick Jensen,28,RD,68,0,8,8,0.12,1,61,0,17:49:00,2.35,61,148,88,0.12,3.02,7.33,4.36,533,594,47.29,1009,1121,47.37,761,830,47.83,44.5,53.31,45.5,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,500,000",0.0310
Oliver Bjorkstrand,24,"RW, LW",49,21,15,36,0.73,8,162,0.13,17:56:00,15.83,162,277,220,1.08,11.06,18.91,15.01,550,365,60.11,962,678,58.66,745,492,60.23,46.59,27,63.31,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"2,500,000",0.0310
Kevan Miller,31,RD,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,500,000",0.0350
Alex Iafallo,25,"LW, C",70,17,26,43,0.61,1,142,0.12,18:55:00,15.73,142,231,187,0.71,6.43,10.46,8.47,731,607,54.63,1352,1143,54.19,1028,869,54.19,67.56,63.42,51.58,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,425,000",0.0300
Blake Comeau,33,"RW, LW",55,8,8,16,0.29,-6,74,0.11,14:56:00,7.63,74,121,91,0.56,5.4,8.84,6.64,337,448,42.93,625,826,43.07,442,609,42.06,28.59,40.61,41.31,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,400,000",0.0300
Mike Condon,29,G,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,Standard (1-way),UFA,"2,400,000",0.0320
Artturi Lehkonen,23,"LW, RW",70,13,14,27,0.39,2,140,0.09,15:25:00,14.7,140,250,195,0.82,7.78,13.89,10.83,506,644,44,991,1119,46.97,706,860,45.08,43.1,54.84,44.01,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"2,400,000",0.0290
Stephen Johns,27,RD,17,2,3,5,0.29,0,30,0.07,17:39:00,0.96,30,65,43,0.19,5.99,12.99,8.59,135,150,47.37,268,275,49.36,189,202,48.34,10.35,12.18,45.94,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,350,000",0.0300
Dale Weise,30,"RW, LW",23,1,4,5,0.22,1,15,0.07,9:16:00,1.56,15,22,19,0.44,4.22,6.19,5.35,103,114,47.47,168,204,45.16,127,157,44.72,7.35,9.64,43.26,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,350,000",0.0320
Troy Stecher,25,RD,69,5,12,17,0.25,10,86,0.06,15:20:00,2.56,86,177,120,0.15,4.87,10.02,6.8,526,613,46.18,981,1095,47.25,746,810,47.94,40.53,47.95,45.81,-,-,-,-,-,-,-,-,Standard (1-way),"UFA
No QO","2,325,000",0.0290
Mattias Janmark,26,"LW, C",62,6,15,21,0.34,-5,86,0.07,14:37:00,9.28,87,152,119,0.61,5.76,10.06,7.88,437,471,48.13,793,865,47.83,595,643,48.06,39.04,40.67,48.98,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,300,000",0.0290
Devin Shore,24,"LW, C, RW",45,5,7,12,0.27,-10,50,0.1,11:38:00,5.15,50,79,69,0.59,5.72,9.03,7.9,266,294,47.5,479,529,47.52,377,415,47.6,21.78,24.63,46.93,-,-,-,-,-,-,-,-,Standard (1-way),"UFA
No QO","2,300,000",0.0290
Trevor van Riemsdyk,27,LD/RD,49,1,7,8,0.16,-7,58,0.02,14:51:00,1.41,58,113,78,0.12,4.79,9.33,6.44,337,362,48.21,640,622,50.71,478,487,49.53,29.8,30.67,49.28,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,300,000",0.0290
Scott Laughton,25,"C, LW",49,13,14,27,0.55,13,74,0.18,14:36:00,7.87,74,122,90,0.66,6.2,10.23,7.54,329,355,48.1,566,701,44.67,426,523,44.89,27.12,33.92,44.43,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,300,000",0.0280
Andrew Copp,24,"LW, RW, C",63,10,16,26,0.41,-3,121,0.08,17:41:00,11.55,121,203,158,0.62,6.51,10.93,8.5,551,580,48.72,1004,1035,49.24,738,807,47.77,46.73,55.08,45.9,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"2,280,000",0.0280
Jimmy Vesey,26,"LW, RW",64,9,11,20,0.31,12,93,0.1,13:48:00,11.35,93,163,137,0.77,6.32,11.07,9.3,407,465,46.67,746,807,48.04,576,632,47.68,33.76,39.54,46.06,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,275,000",0.0290
Brandon Manning,29,LD,9,1,0,1,0.11,-1,8,0.13,11:02:00,0.28,8,16,13,0.18,4.83,9.66,7.85,38,36,51.35,77,75,50.66,62,51,54.87,3.23,3.13,50.79,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,250,000",0.0280
Matt Hunwick,34,LD,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,250,000",0.0300
Pavel Zacha,22,"LW, C",65,8,24,32,0.49,-12,97,0.08,16:16:00,9.59,97,154,129,0.54,5.5,8.74,7.32,518,621,45.48,871,1111,43.95,686,833,45.16,46.69,58.75,44.28,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"2,250,000",0.0280
Zach Hyman,27,"LW, RW",51,21,16,37,0.73,13,106,0.2,19:05:00,20.27,106,189,147,1.25,6.53,11.65,9.06,545,531,50.65,995,977,50.46,752,746,50.2,57.17,50.87,52.92,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,250,000",0.0300
Greg Pateryn,29,RD,20,0,3,3,0.15,1,22,0,15:28:00,0.52,22,53,35,0.1,4.26,10.28,6.79,134,174,43.51,245,361,40.43,182,254,41.74,9.65,14.2,40.46,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,250,000",0.0280
Nick Holden,32,LD,61,6,8,14,0.23,-1,101,0.06,18:51:00,4.13,101,204,140,0.22,5.27,10.64,7.3,625,549,53.24,1090,997,52.23,844,768,52.36,57.29,48.58,54.11,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,200,000",0.0280
Radek Faksa,25,C,66,11,9,20,0.3,-6,109,0.1,15:53:00,13.68,109,197,156,0.78,6.24,11.27,8.92,492,544,47.49,914,1012,47.46,662,760,46.55,48.15,48.26,49.94,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"2,200,000",0.0290
Alex Chiasson,28,RW,65,11,13,24,0.37,-3,97,0.11,13:07:00,13.24,97,158,132,0.93,6.82,11.11,9.27,467,354,56.88,889,669,57.06,643,504,56.06,47.84,30.78,60.85,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,150,000",0.0260
Jamie Oleksiak,26,LD/RD,69,3,7,10,0.14,-6,76,0.04,15:48:00,3.36,76,149,106,0.18,4.18,8.19,5.83,546,516,51.41,1022,970,51.31,742,709,51.14,44.54,37.33,54.4,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,137,500",0.0270
Anthony Beauvillier,22,"LW, RW",68,18,21,39,0.57,-11,132,0.14,17:15:00,17.82,132,235,189,0.91,6.75,12.01,9.66,612,575,51.56,1106,1113,49.84,824,822,50.06,56.75,49.27,53.53,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"2,100,000",0.0260
Brock McGinn,25,"LW, RW",68,7,10,17,0.25,-4,93,0.08,13:12:00,9.24,93,158,127,0.62,6.22,10.56,8.49,401,483,45.36,758,905,45.58,567,684,45.32,34.79,49.4,41.33,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,100,000",0.0260
Connor Brown,25,"LW, RW",71,16,27,43,0.61,-6,173,0.09,20:06:00,18.73,173,287,238,0.79,7.27,12.06,10,701,803,46.61,1306,1474,46.98,997,1101,47.52,72.56,73.98,49.52,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"2,100,000",0.0280
Brian Elliott,34,G,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,7,2,2.87,0.9,2.87,2.65,-0.22,Standard (1-way),UFA,"2,000,000",0.0250
Evan Rodrigues,25,"RW, C",45,6,4,10,0.22,-8,75,0.08,11:16:00,6.44,75,112,93,0.76,8.86,13.23,10.99,259,261,49.81,453,454,49.94,338,352,48.99,18.52,22.36,45.3,-,-,-,-,-,-,-,-,Standard (1-way),"UFA
No QO","2,000,000",0.0250
Calle Järnkrok,27,"LW, C, RW",64,15,19,34,0.53,4,136,0.11,15:56:00,12.36,136,231,180,0.73,8,13.59,10.59,559,514,52.1,1016,925,52.34,774,701,52.47,47.24,48.39,49.4,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,000,000",0.0270
Zdeno Chara,42,LD,68,5,9,14,0.21,26,86,0.06,21:00:00,2.98,86,156,117,0.13,3.61,6.55,4.91,620,838,42.52,1068,1524,41.2,845,1162,42.1,54.02,70.2,43.49,-,-,-,-,-,-,-,-,35+ (1-way),UFA,"2,000,000",0.0250
Joe Thornton,39,"C, LW",70,7,24,31,0.44,-19,76,0.09,15:30:00,7.83,76,125,100,0.43,4.2,6.91,5.53,616,471,56.67,1174,839,58.32,862,627,57.89,59.59,46.02,56.42,-,-,-,-,-,-,-,-,35+ (1-way),UFA,"2,000,000",0.0250
Mike Smith,37,G,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,12,1,2.95,0.903,2.95,2.76,-0.19,35+ (1-way),UFA,"2,000,000",0.0250
Ryan Pulock,24,RD,68,10,25,35,0.51,8,163,0.06,22:24:00,6.37,163,315,215,0.25,6.42,12.4,8.47,746,758,49.6,1310,1554,45.74,983,1093,47.35,69.88,66.88,51.1,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"2,000,000",0.0250
Jordan Martinook,26,"RW, LW",45,2,11,13,0.29,-2,44,0.05,11:15:00,4.98,44,95,72,0.59,5.21,11.25,8.52,225,254,46.97,436,441,49.71,328,330,49.85,19.87,21.67,47.83,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,000,000",0.0250
Jordie Benn,31,LD/RD,44,1,6,7,0.16,-7,58,0.02,16:17:00,1.32,58,115,76,0.11,4.86,9.63,6.36,297,461,39.18,524,823,38.9,413,610,40.36,22.66,40.08,36.11,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,000,000",0.0250
Adrian Kempe,22,"LW, RW",69,11,21,32,0.46,-10,148,0.07,16:00:00,15.46,148,262,208,0.84,8.03,14.23,11.3,684,459,59.84,1235,837,59.6,943,646,59.35,62.55,48,56.58,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"2,000,000",0.0250
Trevor Lewis,32,RW,56,6,6,12,0.21,-7,92,0.07,11:54:00,8.11,92,150,127,0.73,8.28,13.51,11.44,333,328,50.38,614,612,50.08,479,468,50.58,27.17,28.86,48.49,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,000,000",0.0270
Melker Karlsson,28,"RW, C",61,6,6,12,0.2,-7,56,0.11,12:16:00,6.46,56,94,73,0.52,4.49,7.54,5.85,261,422,38.21,488,769,38.82,364,588,38.24,21.47,41.32,34.19,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"2,000,000",0.0270
Matt Nieto,26,"LW, RW",70,8,13,21,0.3,7,85,0.09,13:30:00,8.58,85,141,115,0.54,5.4,8.94,7.3,422,547,43.55,779,1002,43.74,568,746,43.23,33.04,52.67,38.56,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"1,975,000",0.0250
Zack Kassian,28,RW,59,15,19,34,0.58,0,99,0.15,15:39:00,12.36,99,164,131,0.8,6.43,10.65,8.51,492,504,49.4,841,873,49.07,650,664,49.47,44.73,49.11,47.67,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"1,950,000",0.0260
Ryan Hartman,24,"C, RW",69,9,11,20,0.29,4,114,0.08,12:15:00,9.38,114,189,148,0.67,8.09,13.41,10.5,417,396,51.29,765,768,49.9,580,564,50.7,33.78,30.95,52.19,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"1,900,000",0.0230
Matthew Benning,25,RD,43,1,7,8,0.19,8,38,0.03,13:13:00,1.23,38,81,58,0.13,4.01,8.53,6.12,251,259,49.22,448,511,46.72,340,371,47.82,21.09,23.02,47.81,-,-,-,-,-,-,-,-,Standard (1-way),"UFA
No QO","1,900,000",0.0250
Ryan Donato,23,"LW, C",62,14,9,23,0.37,5,95,0.15,10:38:00,10.81,95,185,147,0.98,8.64,16.82,13.38,357,303,54.09,662,564,54,505,423,54.42,29.24,21.63,57.48,-,-,-,-,-,-,-,-,Standard (1-way),"UFA
No QO","1,900,000",0.0230
Aaron Dell,30,G,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,15,0,3.01,0.907,2.98,2.99,0.02,Standard (1-way),UFA,"1,900,000",0.0250
Tim Schaller,28,LW,53,5,1,6,0.11,-14,49,0.1,11:34:00,5.08,49,86,68,0.5,4.8,8.42,6.66,202,393,33.95,366,751,32.77,285,537,34.67,15.65,36.74,29.87,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"1,900,000",0.0240
