PLAYER,AGE,POS,GP,G,A,P,P/GP,PLUSMINUS,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,TYPE,EXPIRY,CAP HIT,CAP HIT %
Mikko Koivu,36,C,55,4,17,21,0.38,2,74,0.05,15:34:00,7.27,74,114,97,0.51,5.18,7.99,6.8,428,460,48.2,787,821,48.94,590,623,48.64,40.51,39.06,50.91,-,-,-,-,-,-,-,-,35+ (1-way),UFA,"5,500,000",0.0730
Tyson Barrie,27,RD,70,5,34,39,0.56,-7,169,0.03,21:52:00,7.07,169,373,234,0.28,6.62,14.61,9.17,925,755,55.06,1748,1312,57.12,1299,1039,55.56,84.27,72.7,53.69,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,500,000",0.0750
Nick Foligno,31,"LW, C, RW",67,10,21,31,0.46,-3,131,0.08,18:40:00,15.6,131,198,167,0.75,6.28,9.5,8.01,702,582,54.67,1165,1124,50.9,909,790,53.5,56.66,52.82,51.75,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,500,000",0.0800
Alex Goligoski,33,LD/RD,70,4,28,32,0.46,8,101,0.04,23:03:00,3.92,101,212,131,0.15,3.75,7.88,4.87,838,836,50.06,1461,1590,47.89,1105,1192,48.11,69.9,80.03,46.62,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,475,000",0.0750
Teuvo Teräväinen,24,"RW, LW",68,15,48,63,0.93,20,182,0.08,19:11:00,20.6,182,317,249,0.95,8.36,14.58,11.45,850,550,60.71,1543,963,61.57,1167,765,60.4,100.49,62.11,61.8,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,400,000",0.0680
Seth Jones,24,RD,56,6,24,30,0.54,10,126,0.05,25:16:00,5.48,126,244,169,0.23,5.34,10.34,7.16,758,691,52.31,1275,1294,49.63,982,967,50.38,61.64,61.75,49.96,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,400,000",0.0740
Rasmus Ristolainen,24,RD,69,6,27,33,0.48,-2,128,0.05,22:47:00,6.96,128,214,166,0.27,4.88,8.16,6.33,721,836,46.31,1272,1457,46.61,996,1164,46.11,67.78,82.27,45.17,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,400,000",0.0740
Mike Green,33,RD,50,3,8,11,0.22,-34,76,0.04,20:52:00,3.84,76,166,113,0.22,4.37,9.53,6.5,501,492,50.45,880,875,50.14,677,651,50.98,44.34,42.64,50.98,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,375,000",0.0680
Mikael Backlund,30,C,70,16,29,45,0.64,3,157,0.1,17:56:00,18.91,157,285,223,0.9,7.5,13.62,10.66,672,655,50.64,1227,1211,50.33,926,935,49.76,63.38,62.65,50.29,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,350,000",0.0710
Jaden Schwartz,27,LW,71,22,35,57,0.8,3,162,0.14,18:10:00,24.5,162,286,232,1.13,7.54,13.31,10.8,745,530,58.43,1317,922,58.82,1003,718,58.28,73.33,53.78,57.69,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,350,000",0.0730
Mika Zibanejad,26,C,57,41,34,75,1.32,9,208,0.2,21:37:00,23.5,208,350,285,1.13,10.11,17.03,13.87,707,677,51.08,1264,1179,51.74,978,920,51.53,72.73,80.22,47.55,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,350,000",0.0710
Ondrej Palat,28,"LW, RW",69,17,24,41,0.59,25,128,0.13,16:11:00,15.98,128,220,171,0.86,6.87,11.81,9.18,594,515,53.56,1093,941,53.74,804,700,53.46,56.4,43.14,56.66,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,300,000",0.0710
Tomas Tatar,28,"LW, RW",68,22,39,61,0.9,5,162,0.14,16:17:00,16.72,162,264,210,0.91,8.77,14.3,11.37,787,479,62.16,1449,838,63.36,1083,648,62.56,75.54,48.27,61.01,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,300,000",0.0710
Patric Hörnqvist,32,RW,52,17,15,32,0.62,9,168,0.1,15:56:00,20.91,168,234,208,1.51,12.17,16.95,15.06,509,362,58.44,886,629,58.48,689,477,59.09,54,32,62.79,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,300,000",0.0710
Jaccob Slavin,25,LD,68,6,30,36,0.53,30,145,0.04,23:24:00,5.92,145,293,207,0.22,5.47,11.05,7.81,900,763,54.12,1537,1379,52.71,1210,1062,53.26,92.88,79.77,53.8,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,300,000",0.0710
Nathan Horton,34,RW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,300,000",0.0820
Bryan Little,31,"C, RW",7,2,3,5,0.71,4,13,0.15,16:09:00,1.34,13,25,15,0.71,6.9,13.27,7.96,79,64,55.24,132,100,56.9,95,80,54.29,5.13,5.6,47.81,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,291,667",0.0710
Marián Hossa,40,RW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,275,000",0.0930
Jeff Carter,34,"C, RW",60,17,10,27,0.45,-21,182,0.09,16:56:00,17.37,182,292,253,1.03,10.75,17.23,14.94,602,524,53.46,1088,943,53.57,839,739,53.17,53.08,58.13,47.73,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,272,727",0.0890
Frans Nielsen,35,"C, LW",60,4,5,9,0.15,-13,86,0.05,13:41:00,7.74,86,128,108,0.56,6.29,9.35,7.89,326,448,42.12,568,806,41.34,437,618,41.42,25.66,46.61,35.51,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,250,000",0.0720
Jakob Silfverberg,28,"RW, LW",66,21,18,39,0.59,0,155,0.14,17:40:00,16.37,155,270,218,0.84,7.97,13.88,11.21,596,566,51.29,1146,1055,52.07,860,809,51.53,61.59,55.37,52.66,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,250,000",0.0660
Torey Krug,28,LD,61,9,40,49,0.8,-4,144,0.06,20:29:00,7.35,144,273,187,0.35,6.91,13.11,8.98,836,499,62.62,1497,920,61.94,1118,726,60.63,72.03,47.77,60.13,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,250,000",0.0720
J.T. Miller,26,"LW, C",69,27,45,72,1.04,11,165,0.16,20:06:00,19.69,165,290,242,0.85,7.14,12.54,10.47,862,620,58.16,1613,1116,59.11,1209,818,59.64,82.16,65.23,55.74,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,250,000",0.0660
Nino Niederreiter,26,"LW, RW",67,11,18,29,0.43,-3,115,0.1,14:49:00,15.07,115,216,174,0.91,6.95,13.06,10.52,552,408,57.5,1086,714,60.33,813,563,59.08,53.74,39.56,57.6,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,250,000",0.0700
David Clarkson,35,RW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,250,000",0.0820
Brady Skjei,25,LD,67,8,16,24,0.36,-10,139,0.06,20:41:00,5.91,139,239,178,0.26,6.02,10.34,7.7,668,887,42.96,1178,1609,42.27,914,1256,42.12,56.44,85.99,39.63,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,250,000",0.0660
Hampus Lindholm,25,LD,55,2,20,22,0.4,-10,109,0.02,23:04:00,4,109,237,153,0.19,5.15,11.21,7.24,656,650,50.23,1211,1158,51.12,929,896,50.9,55.88,60.48,48.02,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,205,556",0.0710
Shea Theodore,23,LD/RD,71,13,33,46,0.65,12,219,0.06,22:14:00,12.27,219,460,315,0.47,8.32,17.48,11.97,1089,636,63.13,1965,1130,63.49,1498,888,62.78,105.41,61.15,63.29,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,200,000",0.0650
Mike Hoffman,29,"LW, RW",69,29,30,59,0.86,-5,214,0.14,16:50:00,20.23,214,414,287,1.04,11.05,21.38,14.82,706,540,56.66,1332,885,60.08,974,696,58.32,74,52.98,58.28,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,187,500",0.0710
Jared Spurgeon,29,RD,62,12,20,32,0.52,-1,112,0.11,22:34:00,7.83,112,234,162,0.34,4.8,10.02,6.95,733,751,49.39,1359,1305,51.01,1017,1004,50.32,66.87,60.72,52.41,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"5,187,500",0.0730
