player,position,season,cap_hit,age,total_cap,percent_cap_hit,type
Adam Clendening,RD,2013-14,742500,20,64300000,0.011547,Entry_Level
Adam Henrique,C/LW,2013-14,4000000,23,64300000,0.062208,Standard (1-way)
Adam Larsson,RD,2013-14,925000,20,64300000,0.014386,Entry_Level
Adam Lowry,C,2013-14,828333,20,64300000,0.012882,Entry_Level
Alec Martinez,LD,2013-14,1100000,25,64300000,0.017107,Standard (1-way)
Aleksander Barkov,C,2013-14,925000,17,64300000,0.014386,Entry_Level
Alex Biega,RD,2013-14,600000,25,64300000,0.009331,Standard (1-way)
Alex Chiasson,RW,2013-14,866667,22,64300000,0.013478,Entry_Level
Alex Galchenyuk,LW/C/RW,2013-14,925000,19,64300000,0.014386,Entry_Level
Alex Goligoski,LD/RD,2013-14,4600000,27,64300000,0.07154,Standard (1-way)
Alex Killorn,LW,2013-14,875000,23,64300000,0.013608,Entry_Level
Alex Ovechkin,LW,2013-14,9538462,27,64300000,0.148343,Standard (1-way)
Alex Petrovic,RD,2013-14,795000,21,64300000,0.012364,Entry_Level
Alex Pietrangelo,RD,2013-14,6500000,23,64300000,0.101089,Standard (1-way)
Alexander Edler,LD,2013-14,5000000,27,64300000,0.07776,Standard (1-way)
Anders Lee,LW/C,2013-14,900000,22,64300000,0.013997,Entry_Level
Andre Burakovsky,LW/RW,2013-14,925000,18,64300000,0.014386,Entry_Level
Andreas Athanasiou,LW/RW,2013-14,650833,18,64300000,0.010122,Entry_Level
Andrej Sekera,LD/RD,2013-14,2750000,27,64300000,0.042768,Standard (1-way)
Andrej Sustr,RD,2013-14,925000,22,64300000,0.014386,Entry_Level
Andrew Agozzino,C/LW,2013-14,590000,22,64300000,0.009176,Entry_Level
Andrew Cogliano,LW,2013-14,2390000,26,64300000,0.03717,Standard (1-way)
Andrew Ladd,LW,2013-14,4400000,27,64300000,0.068429,Standard (1-way)
Andrew Shaw,C/RW,2013-14,573333,21,64300000,0.008917,Entry_Level
Andy Andreoff,LW/C,2013-14,593333,22,64300000,0.009228,Entry_Level
Andy Greene,LD/RD,2013-14,3000000,30,64300000,0.046656,Standard (1-way)
Anthony Bitetto,LD,2013-14,627500,22,64300000,0.009759,Entry_Level
Anthony Duclair,LW/RW,2013-14,803333,17,64300000,0.012494,Entry_Level
Anthony Mantha,RW/LW,2013-14,925000,18,64300000,0.014386,Entry_Level
Antoine Roussel,LW,2013-14,612500,23,64300000,0.009526,Entry_Level
Anton Stralman,RD,2013-14,1700000,26,64300000,0.026439,Standard (1-way)
Anze Kopitar,C,2013-14,6800000,25,64300000,0.105754,Standard (1-way)
Austin Watson,RW/LW,2013-14,900000,21,64300000,0.013997,Entry_Level
Ben Chiarot,LD/RD,2013-14,618333,22,64300000,0.009616,Entry_Level
Blake Comeau,RW/LW,2013-14,1000000,27,64300000,0.015552,Standard (1-way)
Blake Wheeler,RW/C,2013-14,5600000,26,64300000,0.087092,Standard (1-way)
Bo Horvat,C,2013-14,925000,18,64300000,0.014386,Entry_Level
Boone Jenner,C/LW,2013-14,778333,20,64300000,0.012105,Entry_Level
Brad Hunt,LD,2013-14,550000,24,64300000,0.008554,Entry_Level
Brad Malone,C/LW,2013-14,735000,24,64300000,0.011431,Standard (2-way)
Brad Marchand,LW,2013-14,4500000,25,64300000,0.069984,Standard (1-way)
Brad Richardson,C,2013-14,1150000,28,64300000,0.017885,Standard (1-way)
Brandon Davidson,LD,2013-14,615000,21,64300000,0.009565,Entry_Level
Brandon Saad,LW/RW,2013-14,764167,20,64300000,0.011884,Entry_Level
Brandon Sutter,RW/C,2013-14,2066667,24,64300000,0.032141,Standard (1-way)
Brayden Mcnabb,LD,2013-14,715000,22,64300000,0.01112,Entry_Level
Brayden Schenn,C/LW,2013-14,870000,21,64300000,0.01353,Entry_Level
Brendan Gallagher,RW,2013-14,685000,21,64300000,0.010653,Entry_Level
Brendan Gaunce,LW/C,2013-14,894167,19,64300000,0.013906,Entry_Level
Brendan Smith,LD/RD,2013-14,1262500,24,64300000,0.019635,Standard (1-way)
Brenden Dillon,LD,2013-14,743333,22,64300000,0.01156,Entry_Level
Brent Burns,RD,2013-14,5760000,28,64300000,0.08958,Standard (1-way)
Brent Seabrook,RD,2013-14,5800000,28,64300000,0.090202,Standard (1-way)
Brett Connolly,RW/LW,2013-14,900000,21,64300000,0.013997,Entry_Level
Brett Ritchie,RW,2013-14,814167,20,64300000,0.012662,Entry_Level
Brian Boyle,LW/C,2013-14,1700000,28,64300000,0.026439,Standard (1-way)
Brian Dumoulin,LD,2013-14,831667,21,64300000,0.012934,Entry_Level
Brian Flynn,RW,2013-14,637500,24,64300000,0.009914,Standard (2-way)
Brian Lashoff,LD,2013-14,725000,22,64300000,0.011275,Standard (1-way)
Brock Mcginn,LW/RW,2013-14,842500,19,64300000,0.013103,Entry_Level
Brock Nelson,C/LW,2013-14,900000,21,64300000,0.013997,Entry_Level
Bryan Little,C/RW,2013-14,4700000,25,64300000,0.073095,Standard (1-way)
Buddy Robinson,RW,2013-14,925000,21,64300000,0.014386,Entry_Level
Byron Froese,C,2013-14,598333,22,64300000,0.009305,Entry_Level
Cal Clutterbuck,RW,2013-14,2750000,25,64300000,0.042768,Standard (1-way)
Calle Jarnkrok,LW/C/RW,2013-14,715000,21,64300000,0.01112,Entry_Level
Calvin De Haan,LD/RD,2013-14,870000,22,64300000,0.01353,Entry_Level
Cam Atkinson,RW/LW,2013-14,1150000,24,64300000,0.017885,Standard (1-way)
Cam Fowler,LD/RD,2013-14,4000000,21,64300000,0.062208,Standard (1-way)
Carl Hagelin,LW,2013-14,2250000,24,64300000,0.034992,Standard (1-way)
Casey Cizikas,C,2013-14,793333,22,64300000,0.012338,Entry_Level
Cedric Paquette,C/LW/RW,2013-14,633333,19,64300000,0.00985,Entry_Level
Chad Ruhwedel,RD,2013-14,925000,23,64300000,0.014386,Entry_Level
Charles Hudon,LW/RW,2013-14,650000,19,64300000,0.010109,Entry_Level
Charlie Coyle,C/RW,2013-14,900000,21,64300000,0.013997,Entry_Level
Chris Kreider,LW,2013-14,800000,22,64300000,0.012442,Entry_Level
Chris Tierney,C,2013-14,742500,19,64300000,0.011547,Entry_Level
Chris Wagner,RW/C,2013-14,900000,22,64300000,0.013997,Entry_Level
Chris Wideman,RD,2013-14,590000,23,64300000,0.009176,Entry_Level
Christopher Tanev,RD,2013-14,1500000,23,64300000,0.023328,Standard (1-way)
Claude Giroux,C/RW,2013-14,3750000,25,64300000,0.05832,Standard (1-way)
