player,position,season,cap_hit,age,total_cap,percent_cap_hit,type
Adam Henrique,C/LW,2011-12,575000,21,64300000,0.008942,Entry_Level
Adam Larsson,RD,2011-12,925000,19,64300000,0.014386,Entry_Level
Alec Martinez,LD,2011-12,737500,24,64300000,0.01147,Standard (1-way)
Alex Biega,RD,2011-12,527500,23,64300000,0.008204,Entry_Level
Alex Goligoski,LD/RD,2011-12,1833333,26,64300000,0.028512,Standard (1-way)
Alex Ovechkin,LW,2011-12,9538462,26,64300000,0.148343,Standard (1-way)
Alex Petrovic,RD,2011-12,825000,19,64300000,0.01283,Entry_Level
Alex Pietrangelo,RD,2011-12,816667,21,64300000,0.012701,Entry_Level
Alexander Edler,LD,2011-12,3250000,25,64300000,0.050544,Standard (1-way)
Alexander Radulov,RW,2011-12,NA,25,64300000,NA,Entry_Level
Andrej Sekera,LD/RD,2011-12,2750000,25,64300000,0.042768,Standard (1-way)
Andrew Cogliano,LW,2011-12,2390000,24,64300000,0.03717,Standard (1-way)
Andrew Ladd,LW,2011-12,4400000,26,64300000,0.068429,Standard (1-way)
Andrew Shaw,C/RW,2011-12,573333,20,64300000,0.008917,Entry_Level
Andy Andreoff,LW/C,2011-12,593333,20,64300000,0.009228,Entry_Level
Andy Greene,LD/RD,2011-12,3000000,29,64300000,0.046656,Standard (1-way)
Anton Stralman,RD,2011-12,900000,25,64300000,0.013997,Standard (1-way)
Anze Kopitar,C,2011-12,6800000,24,64300000,0.105754,Standard (1-way)
Austin Watson,RW/LW,2011-12,900000,19,64300000,0.013997,Entry_Level
Ben Chiarot,LD/RD,2011-12,618333,20,64300000,0.009616,Entry_Level
Blake Comeau,RW/LW,2011-12,2500000,25,64300000,0.03888,Standard (1-way)
Blake Wheeler,RW/C,2011-12,2550000,25,64300000,0.039658,Standard (1-way)
Brad Malone,C/LW,2011-12,700000,22,64300000,0.010886,Entry_Level
Brad Marchand,LW,2011-12,2500000,23,64300000,0.03888,Standard (1-way)
Brad Richardson,C,2011-12,1175000,26,64300000,0.018274,Standard (1-way)
Brandon Saad,LW/RW,2011-12,795000,19,64300000,0.012364,Entry_Level
Brandon Sutter,RW/C,2011-12,2066667,22,64300000,0.032141,Standard (1-way)
Brayden Mcnabb,LD,2011-12,715000,20,64300000,0.01112,Entry_Level
Brayden Schenn,C/LW,2011-12,870000,20,64300000,0.01353,Entry_Level
Brendan Gallagher,RW,2011-12,715000,19,64300000,0.01112,Entry_Level
Brendan Smith,LD/RD,2011-12,875000,22,64300000,0.013608,Entry_Level
Brenden Dillon,LD,2011-12,743333,21,64300000,0.01156,Entry_Level
Brent Burns,RD,2011-12,3550000,26,64300000,0.05521,Standard (1-way)
Brent Seabrook,RD,2011-12,5800000,26,64300000,0.090202,Standard (1-way)
Brett Connolly,RW/LW,2011-12,900000,19,64300000,0.013997,Entry_Level
Brian Boyle,LW/C,2011-12,1700000,27,64300000,0.026439,Standard (1-way)
Brian Lashoff,LD,2011-12,525000,21,64300000,0.008165,Entry_Level
Bryan Little,C/RW,2011-12,2383333,24,64300000,0.037066,Standard (1-way)
Byron Froese,C,2011-12,598333,20,64300000,0.009305,Entry_Level
Cal Clutterbuck,RW,2011-12,1400000,24,64300000,0.021773,Standard (1-way)
Calvin De Haan,LD/RD,2011-12,870000,20,64300000,0.01353,Entry_Level
Cam Atkinson,RW/LW,2011-12,775000,22,64300000,0.012053,Entry_Level
Cam Fowler,LD/RD,2011-12,900000,20,64300000,0.013997,Entry_Level
Carl Hagelin,LW,2011-12,637500,23,64300000,0.009914,Entry_Level
Casey Cizikas,C,2011-12,793333,20,64300000,0.012338,Entry_Level
Chris Kreider,LW,2011-12,800000,20,64300000,0.012442,Entry_Level
Christopher Tanev,RD,2011-12,900000,22,64300000,0.013997,Entry_Level
Claude Giroux,C/RW,2011-12,3750000,23,64300000,0.05832,Standard (1-way)
Cody Eakin,C,2011-12,571667,20,64300000,0.008891,Entry_Level
Colton Sceviour,RW/C,2011-12,525000,22,64300000,0.008165,Standard (2-way)
Connor Murphy,RD,2011-12,925000,18,64300000,0.014386,Entry_Level
Corey Perry,RW,2011-12,5325000,26,64300000,0.082815,Standard (1-way)
Craig Smith,RW/C,2011-12,715000,22,64300000,0.01112,Entry_Level
Darren Helm,C/LW/RW,2011-12,912500,24,64300000,0.014191,Standard (1-way)
David Perron,RW/LW,2011-12,2150000,23,64300000,0.033437,Standard (1-way)
David Savard,RD,2011-12,740167,21,64300000,0.011511,Entry_Level
Derek Grant,C/RW,2011-12,605000,21,64300000,0.009409,Entry_Level
Derek Stepan,C,2011-12,820833,21,64300000,0.012766,Entry_Level
Derick Brassard,LW/C,2011-12,3200000,24,64300000,0.049767,Standard (1-way)
Dmitry Kulikov,LD/RD,2011-12,900000,21,64300000,0.013997,Entry_Level
Dmitry Orlov,LD/RD,2011-12,690000,20,64300000,0.010731,Entry_Level
Dougie Hamilton,RD,2011-12,925000,18,64300000,0.014386,Entry_Level
Drew Doughty,RD,2011-12,7000000,22,64300000,0.108865,Standard (1-way)
Duncan Keith,LD,2011-12,5538462,28,64300000,0.086135,Standard (1-way)
Dustin Brown,RW/LW,2011-12,3175000,27,64300000,0.049378,Standard (1-way)
Dylan Mcilrath,RD,2011-12,733333,19,64300000,0.011405,Entry_Level
Eric Gelinas,LD,2011-12,660000,20,64300000,0.010264,Entry_Level
Erik Gudbranson,RD,2011-12,900000,19,64300000,0.013997,Entry_Level
Erik Johnson,RD,2011-12,2600000,23,64300000,0.040435,Standard (1-way)
Erik Karlsson,RD,2011-12,875000,21,64300000,0.013608,Entry_Level
Evander Kane,LW/RW,2011-12,900000,20,64300000,0.013997,Entry_Level
Evgeni Dadonov,RW/LW,2011-12,654167,22,64300000,0.010174,Entry_Level
Evgeni Malkin,C,2011-12,8700000,25,64300000,0.135303,Standard (1-way)
Frans Nielsen,C/LW,2011-12,525000,27,64300000,0.008165,Standard (1-way)
Gabriel Dumont,C,2011-12,571667,21,64300000,0.008891,Entry_Level
Gabriel Landeskog,LW/C,2011-12,925000,19,64300000,0.014386,Entry_Level
Greg Mckegg,C/LW,2011-12,690000,19,64300000,0.010731,Entry_Level
Gustav Nyquist,RW/LW,2011-12,762500,22,64300000,0.011858,Entry_Level
Ian Cole,LD/RD,2011-12,875000,22,64300000,0.013608,Entry_Level
Jack Johnson,LD,2011-12,4357143,24,64300000,0.067763,Standard (1-way)
Jaden Schwartz,LW,2011-12,830000,19,64300000,0.012908,Entry_Level
Jake Gardiner,LD,2011-12,875000,21,64300000,0.013608,Entry_Level
Jake Muzzin,LD,2011-12,606667,22,64300000,0.009435,Entry_Level
Jakob Silfverberg,RW/LW,2011-12,863333,21,64300000,0.013427,Entry_Level
Jakub Voracek,RW/LW,2011-12,2250000,22,64300000,0.034992,Standard (1-way)
James Neal,RW/LW,2011-12,2875000,24,64300000,0.044712,Standard (1-way)
James Van Riemsdyk,LW/RW,2011-12,875000,22,64300000,0.013608,Entry_Level
Jamie Benn,LW/C,2011-12,630000,22,64300000,0.009798,Entry_Level
Jamie Oleksiak,LD/RD,2011-12,925000,19,64300000,0.014386,Entry_Level
Jared Spurgeon,RD,2011-12,526667,22,64300000,0.008191,Entry_Level
Jarred Tinordi,LD,2011-12,900000,19,64300000,0.013997,Entry_Level
Jason Spezza,C/RW,2011-12,7000000,28,64300000,0.108865,Standard (1-way)
Jason Zucker,LW/RW,2011-12,771667,19,64300000,0.012001,Entry_Level
Jay Beagle,C,2011-12,512500,26,64300000,0.00797,Standard (1-way)
Jeff Carter,C/RW,2011-12,5272727,26,64300000,0.082002,Standard (1-way)
Jeff Petry,RD,2011-12,850000,24,64300000,0.013219,Entry_Level
Jeff Skinner,LW/RW,2011-12,900000,19,64300000,0.013997,Entry_Level
Joe Pavelski,RW/C,2011-12,4000000,27,64300000,0.062208,Standard (1-way)
Joe Thornton,C/LW,2011-12,7000000,32,64300000,0.108865,Standard (1-way)
Johan Larsson,C/LW,2011-12,793333,19,64300000,0.012338,Entry_Level
John Carlson,RD,2011-12,845833,21,64300000,0.013154,Entry_Level
John Klingberg,RD,2011-12,743333,19,64300000,0.01156,Entry_Level
John Moore,LD,2011-12,840000,21,64300000,0.013064,Entry_Level
John Tavares,C,2011-12,900000,21,64300000,0.013997,Entry_Level
Johnny Boychuk,RD,2011-12,1875000,27,64300000,0.02916,Standard (1-way)
Jonas Brodin,LD,2011-12,925000,18,64300000,0.014386,Entry_Level
Jonathan Huberdeau,LW,2011-12,925000,18,64300000,0.014386,Entry_Level
Jonathan Toews,C,2011-12,6300000,23,64300000,0.097978,Standard (1-way)
Jordan Eberle,RW,2011-12,875000,21,64300000,0.013608,Entry_Level
Jordan Staal,C/LW,2011-12,4000000,23,64300000,0.062208,Standard (1-way)
Jordie Benn,LD/RD,2011-12,550000,24,64300000,0.008554,Entry_Level
Josh Bailey,RW/LW,2011-12,1050000,22,64300000,0.01633,Standard (1-way)
Jt Miller,LW/C,2011-12,925000,18,64300000,0.014386,Entry_Level
Justin Braun,RD,2011-12,662500,24,64300000,0.010303,Entry_Level
Justin Faulk,RD,2011-12,840000,19,64300000,0.013064,Entry_Level
Keith Yandle,LD,2011-12,5250000,25,64300000,0.081649,Standard (1-way)
Kevin Connauton,LD/RD,2011-12,681667,21,64300000,0.010601,Entry_Level
Kevin Shattenkirk,RD,2011-12,875000,22,64300000,0.013608,Entry_Level
Kris Letang,RD,2011-12,3500000,24,64300000,0.054432,Standard (1-way)
Kris Russell,LD/RD,2011-12,1300000,24,64300000,0.020218,Standard (1-way)
Kyle Clifford,LW,2011-12,710000,20,64300000,0.011042,Entry_Level
Kyle Okposo,RW,2011-12,2800000,23,64300000,0.043546,Standard (1-way)
Kyle Palmieri,RW/LW,2011-12,900000,20,64300000,0.013997,Entry_Level
Kyle Turris,C/RW,2011-12,1400000,22,64300000,0.021773,Standard (1-way)
Lars Eller,C,2011-12,845833,22,64300000,0.013154,Entry_Level
Logan Couture,C/LW,2011-12,816667,22,64300000,0.012701,Entry_Level
Loui Eriksson,LW/RW,2011-12,4250000,26,64300000,0.066096,Standard (1-way)
Luke Schenn,RD,2011-12,3600000,22,64300000,0.055988,Standard (1-way)
Marc Edouard Vlasic,LD/RD,2011-12,3100000,24,64300000,0.048212,Standard (1-way)
Marc Staal,LD,2011-12,3975000,24,64300000,0.06182,Standard (1-way)
Marco Scandella,LD,2011-12,643333,21,64300000,0.010005,Entry_Level
Marcus Foligno,LW/RW,2011-12,826667,20,64300000,0.012856,Entry_Level
Marcus Johansson,C/LW/RW,2011-12,900000,21,64300000,0.013997,Entry_Level
Mark Borowiecki,LD,2011-12,610000,22,64300000,0.009487,Entry_Level
Mark Giordano,LD,2011-12,4020000,28,64300000,0.062519,Standard (1-way)
Mark Pysyk,RD/RW,2011-12,900000,19,64300000,0.013997,Entry_Level
Mark Scheifele,C,2011-12,925000,18,64300000,0.014386,Entry_Level
Mark Stone,RW,2011-12,630000,19,64300000,0.009798,Entry_Level
Mathieu Perreault,LW/RW/C,2011-12,525000,23,64300000,0.008165,Standard (2-way)
Mats Zuccarello,RW/LW,2011-12,900000,24,64300000,0.013997,Entry_Level
Matt Duchene,C/LW/RW,2011-12,900000,20,64300000,0.013997,Entry_Level
Matt Irwin,LD/RD,2011-12,740000,24,64300000,0.011509,Entry_Level
Matt Martin,LW/RW,2011-12,631667,22,64300000,0.009824,Entry_Level
Mattias Ekholm,LD,2011-12,900000,21,64300000,0.013997,Entry_Level
Max Pacioretty,LW,2011-12,1625000,23,64300000,0.025272,Standard (1-way)
Michael Del Zotto,LD,2011-12,875000,21,64300000,0.013608,Entry_Level
Michael Sgarbossa,C,2011-12,555000,19,64300000,0.008631,Entry_Level
Michael Stone,RD,2011-12,591667,21,64300000,0.009202,Entry_Level
Micheal Ferland,LW/RW,2011-12,639167,19,64300000,0.00994,Entry_Level
Mika Zibanejad,C,2011-12,925000,18,64300000,0.014386,Entry_Level
Mikael Backlund,C,2011-12,845833,22,64300000,0.013154,Entry_Level
Mike Hoffman,LW/RW,2011-12,610000,22,64300000,0.009487,Entry_Level
Milan Lucic,LW,2011-12,4083333,23,64300000,0.063504,Standard (1-way)
Nate Thompson,C,2011-12,900000,27,64300000,0.013997,Standard (1-way)
Nathan Gerbe,LW/RW,2011-12,1450000,24,64300000,0.022551,Standard (1-way)
Nazem Kadri,C,2011-12,870000,21,64300000,0.01353,Entry_Level
Nick Bonino,C,2011-12,693000,23,64300000,0.010778,Standard (2-way)
Nick Foligno,LW/C/RW,2011-12,1200000,24,64300000,0.018663,Standard (1-way)
Nick Holden,LD,2011-12,675000,24,64300000,0.010498,Standard (2-way)
