player,position,season,cap_hit,age,total_cap,percent_cap_hit,type
Cam Fowler,LD/RD,2014-15,4000000,22,69000000,0.057971,Standard (1-way)
Carl Hagelin,LW,2014-15,2250000,25,69000000,0.032609,Standard (1-way)
Carter Verhaeghe,LW/C,2014-15,809167,18,69000000,0.011727,Entry_Level
Casey Cizikas,C,2014-15,1000000,23,69000000,0.014493,Standard (1-way)
Cedric Paquette,C/LW/RW,2014-15,633333,20,69000000,0.009179,Entry_Level
Chad Ruhwedel,RD,2014-15,650000,24,69000000,0.00942,Standard (2-way)
Chandler Stephenson,C/LW,2014-15,725833,20,69000000,0.010519,Entry_Level
Charles Hudon,LW/RW,2014-15,625000,20,69000000,0.009058,Entry_Level
Charlie Coyle,C/RW,2014-15,900000,22,69000000,0.013043,Entry_Level
Chris Kreider,LW,2014-15,2475000,23,69000000,0.03587,Standard (1-way)
Chris Tierney,C,2014-15,711667,19,69000000,0.010314,Entry_Level
Chris Wagner,RW/C,2014-15,900000,23,69000000,0.013043,Entry_Level
Chris Wideman,RD,2014-15,700000,24,69000000,0.010145,Standard (2-way)
Christopher Tanev,RD,2014-15,2000000,24,69000000,0.028986,Standard (1-way)
Claude Giroux,C/RW,2014-15,8275000,26,69000000,0.119928,Standard (1-way)
Cody Ceci,RD,2014-15,894167,20,69000000,0.012959,Entry_Level
Cody Eakin,C,2014-15,1900000,23,69000000,0.027536,Standard (1-way)
Colin Miller,RD,2014-15,602500,21,69000000,0.008732,Entry_Level
Colton Sceviour,RW/C,2014-15,650000,25,69000000,0.00942,Standard (1-way)
Colton Sissons,RW/C,2014-15,635000,20,69000000,0.009203,Entry_Level
Connor Brown,LW/RW,2014-15,686667,20,69000000,0.009952,Entry_Level
Connor Carrick,RD,2014-15,636667,20,69000000,0.009227,Entry_Level
Connor Murphy,RD,2014-15,863333,21,69000000,0.012512,Entry_Level
Corey Perry,RW,2014-15,8625000,29,69000000,0.125,Standard (1-way)
Craig Smith,RW/C,2014-15,2000000,24,69000000,0.028986,Standard (1-way)
Curtis Lazar,C/RW,2014-15,894167,19,69000000,0.012959,Entry_Level
Damon Severson,RD,2014-15,605833,19,69000000,0.00878,Entry_Level
Danny Dekeyser,LD,2014-15,2187500,24,69000000,0.031703,Standard (1-way)
Darnell Nurse,LD,2014-15,894167,19,69000000,0.012959,Entry_Level
Darren Helm,C/LW/RW,2014-15,2125000,27,69000000,0.030797,Standard (1-way)
David Pastrnak,RW,2014-15,925000,18,69000000,0.013406,Entry_Level
David Perron,RW/LW,2014-15,3812500,26,69000000,0.055254,Standard (1-way)
David Savard,RD,2014-15,1300000,23,69000000,0.018841,Standard (1-way)
Derek Forbort,LD,2014-15,863333,22,69000000,0.012512,Entry_Level
Derek Grant,C/RW,2014-15,700000,24,69000000,0.010145,Standard (2-way)
Derek Stepan,C,2014-15,3075000,24,69000000,0.044565,Standard (1-way)
Derick Brassard,LW/C,2014-15,5000000,26,69000000,0.072464,Standard (1-way)
Dmitrij Jaskin,RW/LW,2014-15,772500,21,69000000,0.011196,Entry_Level
Dmitry Kulikov,LD/RD,2014-15,4333333,23,69000000,0.062802,Standard (1-way)
Dmitry Orlov,LD/RD,2014-15,2000000,22,69000000,0.028986,Standard (1-way)
Dougie Hamilton,RD,2014-15,925000,21,69000000,0.013406,Entry_Level
Drew Doughty,RD,2014-15,7000000,24,69000000,0.101449,Standard (1-way)
Duncan Keith,LD,2014-15,5538462,30,69000000,0.080268,Standard (1-way)
Dustin Brown,RW/LW,2014-15,5875000,29,69000000,0.085145,Standard (1-way)
Dylan Demelo,RD,2014-15,633333,21,69000000,0.009179,Entry_Level
Dylan Mcilrath,RD,2014-15,703333,22,69000000,0.010193,Entry_Level
Elias Lindholm,C/RW,2014-15,925000,19,69000000,0.013406,Entry_Level
Eric Gelinas,LD,2014-15,900000,23,69000000,0.013043,Standard (1-way)
Erik Gudbranson,RD,2014-15,2500000,22,69000000,0.036232,Standard (1-way)
Erik Haula,C/LW,2014-15,900000,23,69000000,0.013043,Entry_Level
Erik Johnson,RD,2014-15,3750000,26,69000000,0.054348,Standard (1-way)
Erik Karlsson,RD,2014-15,6500000,24,69000000,0.094203,Standard (1-way)
Esa Lindell,LD,2014-15,745833,20,69000000,0.010809,Entry_Level
Evander Kane,LW/RW,2014-15,5250000,22,69000000,0.076087,Standard (1-way)
Evgeni Malkin,C,2014-15,9500000,27,69000000,0.137681,Standard (1-way)
Evgeny Kuznetsov,C,2014-15,900000,22,69000000,0.013043,Entry_Level
Filip Forsberg,LW,2014-15,894167,19,69000000,0.012959,Entry_Level
Frans Nielsen,C/LW,2014-15,2750000,30,69000000,0.039855,Standard (1-way)
Frederik Gauthier,C,2014-15,894167,19,69000000,0.012959,Entry_Level
Fredrik Claesson,LD,2014-15,623333,21,69000000,0.009034,Entry_Level
Gabriel Dumont,C,2014-15,562500,23,69000000,0.008152,Standard (1-way)
Gabriel Landeskog,LW/C,2014-15,5571429,21,69000000,0.080745,Standard (1-way)
Gemel Smith,C,2014-15,645000,20,69000000,0.009348,Entry_Level
Greg Mckegg,C/LW,2014-15,660000,22,69000000,0.009565,Entry_Level
Greg Pateryn,RD,2014-15,562500,24,69000000,0.008152,Standard (2-way)
Gustav Nyquist,RW/LW,2014-15,950000,24,69000000,0.013768,Standard (1-way)
Gustav Olofsson,LD,2014-15,795000,19,69000000,0.011522,Entry_Level
Hampus Lindholm,LD,2014-15,894167,20,69000000,0.012959,Entry_Level
Haydn Fleury,LD/RD,2014-15,925000,17,69000000,0.013406,Entry_Level
Ian Cole,LD/RD,2014-15,825000,25,69000000,0.011957,Standard (1-way)
Ivan Barbashev,C/LW,2014-15,803333,18,69000000,0.011643,Entry_Level
Jack Johnson,LD,2014-15,4357143,27,69000000,0.063147,Standard (1-way)
Jacob Trouba,RD,2014-15,894167,20,69000000,0.012959,Entry_Level
Jaden Schwartz,LW,2014-15,2350000,22,69000000,0.034058,Standard (1-way)
Jake Gardiner,LD,2014-15,4050000,23,69000000,0.058696,Standard (1-way)
Jake Mccabe,LD/RD,2014-15,925000,20,69000000,0.013406,Entry_Level
Jake Muzzin,LD,2014-15,1000000,25,69000000,0.014493,Standard (1-way)
Jakob Silfverberg,RW/LW,2014-15,850000,23,69000000,0.012319,Standard (1-way)
Jakub Voracek,RW/LW,2014-15,4250000,24,69000000,0.061594,Standard (1-way)
Jakub Vrana,LW,2014-15,925000,18,69000000,0.013406,Entry_Level
James Neal,RW/LW,2014-15,5000000,26,69000000,0.072464,Standard (1-way)
James Van Riemsdyk,LW/RW,2014-15,4250000,25,69000000,0.061594,Standard (1-way)
Jamie Benn,LW/C,2014-15,5250000,24,69000000,0.076087,Standard (1-way)
Jamie Oleksiak,LD/RD,2014-15,894167,21,69000000,0.012959,Entry_Level
Jared Mccann,C/LW,2014-15,925000,18,69000000,0.013406,Entry_Level
Jared Spurgeon,RD,2014-15,2666667,24,69000000,0.038647,Standard (1-way)
Jarred Tinordi,LD,2014-15,870000,22,69000000,0.012609,Entry_Level
Jason Dickinson,C/LW,2014-15,925000,18,69000000,0.013406,Entry_Level
Jason Spezza,C/RW,2014-15,7000000,31,69000000,0.101449,Standard (1-way)
Jason Zucker,LW/RW,2014-15,900250,22,69000000,0.013047,Standard (2-way)
Jay Beagle,C,2014-15,900000,28,69000000,0.013043,Standard (1-way)
Jaycob Megna,LD,2014-15,786667,21,69000000,0.011401,Entry_Level
Jayson Megna,RW,2014-15,874125,24,69000000,0.012668,Standard (2-way)
Jean Gabriel Pageau,C,2014-15,613333,21,69000000,0.008889,Entry_Level
Jeansebastien Dea,C,2014-15,593333,20,69000000,0.008599,Entry_Level
Jeff Carter,C/RW,2014-15,5272727,29,69000000,0.076416,Standard (1-way)
Jeff Petry,RD,2014-15,3075000,26,69000000,0.044565,Standard (1-way)
Jeff Skinner,LW/RW,2014-15,5725000,22,69000000,0.082971,Standard (1-way)
Jesper Fast,RW,2014-15,805000,22,69000000,0.011667,Entry_Level
Joe Hicketts,LD,2014-15,600000,18,69000000,0.008696,Entry_Level
Joe Pavelski,RW/C,2014-15,6000000,29,69000000,0.086957,Standard (1-way)
Joe Thornton,C/LW,2014-15,6750000,34,69000000,0.097826,Standard (1-way)
Joel Armia,RW/LW,2014-15,894167,21,69000000,0.012959,Entry_Level
Joel Edmundson,LD,2014-15,742500,21,69000000,0.010761,Entry_Level
Johan Larsson,C/LW,2014-15,763333,21,69000000,0.011063,Entry_Level
John Carlson,RD,2014-15,3966667,24,69000000,0.057488,Standard (1-way)
John Klingberg,RD,2014-15,713333,21,69000000,0.010338,Entry_Level
John Moore,LD,2014-15,850500,23,69000000,0.012326,Standard (1-way)
John Tavares,C,2014-15,5500000,23,69000000,0.07971,Standard (1-way)
Johnny Boychuk,RD,2014-15,3366667,30,69000000,0.048792,Standard (1-way)
Johnny Gaudreau,LW,2014-15,925000,20,69000000,0.013406,Entry_Level
Jon Merrill,LD,2014-15,840000,22,69000000,0.012174,Entry_Level
Jonas Brodin,LD,2014-15,925000,20,69000000,0.013406,Entry_Level
Jonathan Drouin,LW/RW/C,2014-15,894167,19,69000000,0.012959,Entry_Level
Jonathan Huberdeau,LW,2014-15,894167,21,69000000,0.012959,Entry_Level
Jonathan Marchessault,LW/RW,2014-15,925000,23,69000000,0.013406,Entry_Level
Jonathan Toews,C,2014-15,6300000,26,69000000,0.091304,Standard (1-way)
Jordan Eberle,RW,2014-15,6000000,24,69000000,0.086957,Standard (1-way)
Jordan Martinook,RW/LW,2014-15,658250,21,69000000,0.00954,Entry_Level
Jordan Oesterle,LD/RD,2014-15,767500,22,69000000,0.011123,Entry_Level
Jordan Staal,C/LW,2014-15,6000000,25,69000000,0.086957,Standard (1-way)
Jordie Benn,LD/RD,2014-15,700000,26,69000000,0.010145,Standard (1-way)
Joseph Cramarossa,C,2014-15,752500,21,69000000,0.010906,Entry_Level
Josh Anderson,RW/LW,2014-15,678333,20,69000000,0.009831,Entry_Level
Josh Archibald,RW/LW,2014-15,659167,21,69000000,0.009553,Entry_Level
Josh Bailey,RW/LW,2014-15,3300000,24,69000000,0.047826,Standard (1-way)
Josh Leivo,RW/LW,2014-15,792500,21,69000000,0.011486,Entry_Level
Josh Manson,RD,2014-15,925000,22,69000000,0.013406,Entry_Level
Joshua Morrissey,LD,2014-15,894167,19,69000000,0.012959,Entry_Level
Jt Miller,LW/C,2014-15,894167,21,69000000,0.012959,Entry_Level
Jujhar Khaira,C/LW,2014-15,875000,19,69000000,0.012681,Entry_Level
Justin Bailey,RW,2014-15,661666,18,69000000,0.009589,Entry_Level
Justin Braun,RD,2014-15,1250000,27,69000000,0.018116,Standard (1-way)
Justin Dowling,C/LW,2014-15,610000,23,69000000,0.008841,Entry_Level
Justin Faulk,RD,2014-15,4833333,22,69000000,0.070048,Standard (1-way)
Justin Schultz,RD,2014-15,3675000,23,69000000,0.053261,Standard (1-way)
Kasperi Kapanen,RW,2014-15,925000,17,69000000,0.013406,Entry_Level
Keith Yandle,LD,2014-15,5250000,27,69000000,0.076087,Standard (1-way)
Kevin Connauton,LD/RD,2014-15,683333,24,69000000,0.009903,Standard (1-way)
Kevin Czuczman,LD,2014-15,925000,23,69000000,0.013406,Entry_Level
Kevin Fiala,LW/RW,2014-15,925000,17,69000000,0.013406,Entry_Level
Kevin Hayes,C,2014-15,900000,22,69000000,0.013043,Entry_Level
Kevin Shattenkirk,RD,2014-15,4250000,25,69000000,0.061594,Standard (1-way)
Kris Letang,RD,2014-15,7250000,27,69000000,0.105072,Standard (1-way)
Kris Russell,LD/RD,2014-15,2600000,27,69000000,0.037681,Standard (1-way)
Kurtis Gabriel,RW,2014-15,666667,21,69000000,0.009662,Entry_Level
Kurtis Macdermid,LD/RD,2014-15,578333,20,69000000,0.008382,Entry_Level
Kyle Clifford,LW,2014-15,1075000,23,69000000,0.01558,Standard (1-way)
Kyle Okposo,RW,2014-15,2800000,26,69000000,0.04058,Standard (1-way)
Kyle Palmieri,RW/LW,2014-15,1466667,23,69000000,0.021256,Standard (1-way)
Kyle Turris,C/RW,2014-15,3500000,24,69000000,0.050725,Standard (1-way)
Lars Eller,C,2014-15,3500000,25,69000000,0.050725,Standard (1-way)
Laurent Dauphin,C,2014-15,775833,19,69000000,0.011244,Entry_Level
Leo Komarov,RW/LW/C,2014-15,2950000,27,69000000,0.042754,Standard (1-way)
Leon Draisaitl,C/LW,2014-15,925000,18,69000000,0.013406,Entry_Level
Liam Obrien,LW/C,2014-15,621667,19,69000000,0.00901,Entry_Level
Logan Couture,C/LW,2014-15,6000000,25,69000000,0.086957,Standard (1-way)
Logan Shaw,C/RW,2014-15,674167,21,69000000,0.009771,Entry_Level
Loui Eriksson,LW/RW,2014-15,4250000,28,69000000,0.061594,Standard (1-way)
Luke Glendening,C/RW/LW,2014-15,628333,25,69000000,0.009106,Standard (1-way)
Luke Schenn,RD,2014-15,3600000,24,69000000,0.052174,Standard (1-way)
Luke Witkowski,RW/RD,2014-15,627500,24,69000000,0.009094,Entry_Level
Mackenzie Weegar,LD/RD,2014-15,680000,20,69000000,0.009855,Entry_Level
Madison Bowey,RD,2014-15,725833,19,69000000,0.010519,Entry_Level
Marc Edouard Vlasic,LD/RD,2014-15,4250000,27,69000000,0.061594,Standard (1-way)
Marc Staal,LD,2014-15,3975000,27,69000000,0.057609,Standard (1-way)
Marco Scandella,LD,2014-15,1025000,24,69000000,0.014855,Standard (1-way)
Marcus Foligno,LW/RW,2014-15,1875000,22,69000000,0.027174,Standard (1-way)
Marcus Johansson,C/LW/RW,2014-15,2000000,23,69000000,0.028986,Standard (1-way)
Mark Borowiecki,LD,2014-15,575000,24,69000000,0.008333,Standard (1-way)
Mark Giordano,LD,2014-15,4020000,30,69000000,0.058261,Standard (1-way)
Mark Pysyk,RD/RW,2014-15,900000,22,69000000,0.013043,Entry_Level
Mark Scheifele,C,2014-15,863333,21,69000000,0.012512,Entry_Level
Mark Stone,RW,2014-15,603333,22,69000000,0.008744,Entry_Level
Martin Frk,RW,2014-15,639167,20,69000000,0.009263,Entry_Level
Mathieu Perreault,LW/RW/C,2014-15,3000000,26,69000000,0.043478,Standard (1-way)
