PLAYER,AGE,POS,GP,G,A,P,P/GP,PLUSMINUS,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,TYPE,EXPIRY,CAP HIT,CAP HIT %
Connor McDavid,23,C,56,33,72,105,1.88,21,200,0.17,22:09:00,24.25,195,307,251,1.2,9.68,15.23,12.45,854,524,61.97,1508,912,62.31,1141,709,61.68,97.47,43.47,69.16,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"12,500,000",0.1670
Artemi Panarin,28,LW,42,17,41,58,1.38,14,106,0.16,19:38:00,11.2,106,222,165,0.81,7.71,16.14,12,511,355,59.01,936,621,60.12,718,474,60.23,57.54,30.54,65.33,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"11,642,857",0.1430
Auston Matthews,22,C,52,41,25,66,1.27,21,222,0.18,21:33:00,26.46,214,356,306,1.47,11.86,19.73,16.96,644,427,60.13,1182,821,59.01,905,611,59.7,77.02,40.53,65.52,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"11,640,250",0.1460
Erik Karlsson,30,RD,52,8,14,22,0.42,-18,110,0.07,23:35:00,6.13,109,236,157,0.3,5.42,11.73,7.81,668,622,51.78,1203,1123,51.72,909,863,51.3,62.84,62.42,50.17,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"11,500,000",0.1450
Drew Doughty,30,RD,56,8,26,34,0.61,-14,101,0.08,26:22:00,6.46,95,224,143,0.27,3.99,9.41,6,724,648,52.77,1319,1182,52.74,999,909,52.36,69.88,70.83,49.66,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"11,000,000",0.1380
John Tavares,29,C,56,19,31,50,0.89,12,163,0.12,18:11:00,22.31,154,265,210,1.36,9.36,16.12,12.78,587,430,57.72,1062,786,57.47,805,593,57.58,69.83,39.89,63.64,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"11,000,000",0.1380
Mitchell Marner,23,RW,55,20,47,67,1.22,21,156,0.13,22:25:00,19.76,153,290,204,0.98,7.58,14.36,10.1,681,528,56.33,1209,992,54.93,934,742,55.73,81.98,51.27,61.52,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"10,903,000",0.1340
Jonathan Toews,32,C,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"10,500,000",0.1520
Carey Price,32,G,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,7,1,2.64,0.901,2.64,2.34,-0.3,Standard (1-way),UFA,"10,500,000",0.1400
Patrick Kane,31,RW,56,15,51,66,1.18,-7,191,0.08,22:13:00,16.54,191,323,240,0.8,9.21,15.57,11.57,693,643,51.87,1183,1100,51.82,874,851,50.67,66.87,63.28,51.38,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"10,500,000",0.1520
