PLAYER,AGE,POS,GP,G,A,P,P/GP,PLUSMINUS,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,TYPE,EXPIRY,CAP HIT,CAP HIT %
Sergei Bobrovsky,31,G,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,8,0,2.91,0.906,2.91,2.54,-0.37,Standard (1-way),UFA,"10,000,000",0.1230
Jack Eichel,23,C,21,2,16,18,0.86,-9,61,0.03,20:29:00,5.76,61,107,92,0.8,8.5,14.91,12.82,254,157,61.8,458,273,62.65,371,212,63.64,23.99,17.84,57.35,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"10,000,000",0.1330
Anze Kopitar,32,C,56,13,37,50,0.89,-7,118,0.11,21:10:00,12.62,115,212,158,0.66,6,11.07,8.25,609,538,53.1,1137,984,53.61,851,756,52.96,62.61,59.98,51.07,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"10,000,000",0.1400
Tyler Seguin,28,"C, RW",3,2,0,2,0.67,0,8,0.25,17:04:00,0.77,8,12,8,0.91,9.44,14.17,9.44,29,24,54.72,40,39,50.63,31,31,50,1.51,2.17,41.03,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"9,850,000",0.1240
Alex Ovechkin,34,LW,45,24,18,42,0.93,-7,182,0.13,19:30:00,17.39,178,342,259,1.22,12.44,23.9,18.1,494,393,55.69,914,708,56.35,695,556,55.56,47.57,37.86,55.68,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"9,538,462",0.1900
Nikita Kucherov,27,RW,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"9,500,000",0.1190
Mark Stone,28,RW,55,21,40,61,1.11,26,98,0.21,19:03:00,16.28,97,172,144,0.95,5.64,10.01,8.38,634,438,59.14,1148,858,57.23,881,613,58.97,66.98,38.84,63.3,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"9,500,000",0.1190
Andrei Vasilevskiy,25,G,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,10,5,2.21,0.925,2.21,2.51,0.3,Standard (1-way),UFA,"9,500,000",0.1170
Evgeni Malkin,33,C,33,8,20,28,0.85,-4,72,0.11,17:44:00,6.06,72,126,92,0.62,7.38,12.91,9.43,343,266,56.32,616,443,58.17,464,335,58.07,35.97,28.59,55.72,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"9,500,000",0.1480
Jamie Benn,30,"LW, C",52,11,24,35,0.67,13,124,0.09,17:47:00,12.87,124,209,165,0.84,8.05,13.56,10.71,520,357,59.29,979,710,57.96,733,537,57.72,53.1,35.42,59.99,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"9,500,000",0.1300
Mikko Rantanen,23,"RW, C",52,30,36,66,1.27,30,177,0.17,19:55:00,20.03,171,298,230,1.2,10.22,17.8,13.74,716,338,67.93,1338,597,69.15,980,451,68.48,76.39,28.06,73.14,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"9,250,000",0.1130
Nicklas Bäckström,32,C,55,15,38,53,0.96,0,91,0.16,18:35:00,10.39,90,160,125,0.62,5.38,9.56,7.47,550,418,56.82,1009,775,56.56,768,592,56.47,51.31,39.32,56.61,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"9,200,000",0.1130
Roman Josi,30,LD,48,8,25,33,0.69,-11,141,0.06,24:20:00,8,141,290,202,0.41,7.24,14.89,10.38,689,547,55.74,1243,982,55.87,948,742,56.09,60.23,49.84,54.72,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"9,059,000",0.1110
P.K. Subban,31,RD,44,5,14,19,0.43,-16,99,0.05,22:21:00,4.38,99,195,138,0.27,6.04,11.89,8.42,496,521,48.77,909,833,52.18,689,676,50.48,42.01,49.96,45.68,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"9,000,000",0.1300
Jeff Skinner,28,"LW, RW",53,7,7,14,0.26,-11,111,0.06,14:31:00,10.42,111,189,153,0.81,8.68,14.78,11.96,364,354,50.7,669,630,51.5,520,499,51.03,29.31,30.6,48.92,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"9,000,000",0.1130
Alex Pietrangelo,30,RD,41,7,16,23,0.56,20,126,0.06,24:25:00,6.09,119,267,173,0.37,7.27,16.32,10.57,549,477,53.51,1056,928,53.23,764,670,53.28,56.65,46.29,55.03,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,800,000",0.1080
Sidney Crosby,32,C,55,24,38,62,1.13,8,159,0.15,20:23:00,19.66,159,251,208,1.05,8.51,13.44,11.13,663,513,56.38,1164,864,57.4,892,684,56.6,67.58,47.88,58.53,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,700,000",0.1450
Leon Draisaitl,24,"C, LW",56,31,53,84,1.5,29,168,0.18,22:11:00,21.77,162,293,220,1.08,8.07,14.6,10.96,766,555,57.99,1358,991,57.81,1035,758,57.72,87.85,52.86,62.43,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,500,000",0.1130
Steven Stamkos,30,"RW, C, LW",38,17,17,34,0.89,4,91,0.19,18:16:00,10.81,91,153,120,0.93,7.87,13.23,10.37,410,336,54.96,741,536,58.03,561,430,56.61,40.9,30.59,57.21,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,500,000",0.1160
Sebastian Aho,22,"C, LW",56,24,33,57,1.02,16,148,0.16,19:28:00,20.49,148,251,208,1.12,8.15,13.82,11.45,697,484,59.02,1286,843,60.4,957,644,59.78,82.48,51.9,61.38,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,460,250",0.1040
Claude Giroux,32,"C, RW",54,16,27,43,0.8,-4,120,0.13,18:06:00,12.76,120,211,176,0.78,7.36,12.95,10.8,591,416,58.69,1082,730,59.71,821,560,59.45,56.04,37.47,59.92,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,275,000",0.1290
Oliver Ekman-Larsson,28,LD,46,3,21,24,0.52,-17,83,0.04,20:58:00,3.18,83,175,122,0.2,5.16,10.89,7.59,431,506,46,807,863,48.32,610,693,46.82,36.9,47.36,43.79,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,250,000",0.1040
Ryan Getzlaf,35,C,48,5,12,17,0.35,-14,70,0.07,16:34:00,8.48,70,133,100,0.64,5.28,10.02,7.54,378,354,51.64,781,644,54.81,558,487,53.4,37.89,34.76,52.15,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,250,000",0.1280
Jakub Voracek,30,"RW, LW",53,9,34,43,0.81,-12,104,0.09,16:55:00,10.06,104,195,142,0.67,6.96,13.05,9.5,503,401,55.64,955,693,57.95,712,533,57.19,47.92,37.32,56.22,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,250,000",0.1160
Blake Wheeler,33,"RW, C",50,15,31,46,0.92,-17,113,0.13,18:20:00,12.11,110,166,141,0.82,7.48,11.29,9.59,496,426,53.8,884,755,53.94,676,572,54.17,49.99,50.55,49.72,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,250,000",0.1040
Logan Couture,31,"C, LW",53,17,14,31,0.58,-11,114,0.15,19:15:00,14.11,114,196,154,0.83,6.7,11.51,9.05,544,555,49.5,1011,971,51.01,757,758,49.97,56.87,53.72,51.42,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,000,000",0.1010
John Carlson,30,RD,52,10,34,44,0.85,-5,128,0.08,23:46:00,7.98,128,251,191,0.39,6.21,12.18,9.27,656,579,53.12,1201,1064,53.02,929,826,52.93,65.87,56.49,53.83,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,000,000",0.1010
Phil Kessel,32,RW,56,20,23,43,0.77,-17,115,0.17,17:05:00,11.09,115,206,144,0.7,7.21,12.92,9.02,473,438,51.92,884,784,53,651,612,51.54,43.82,47.45,48.01,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,000,000",0.1240
Jacob Trouba,26,RD,38,2,10,12,0.32,3,70,0.03,21:29:00,3.36,70,156,99,0.25,5.14,11.46,7.27,391,395,49.75,694,762,47.66,533,550,49.22,36.42,35.75,50.46,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,000,000",0.0980
Matt Duchene,29,"C, LW, RW",34,6,7,13,0.38,-12,73,0.08,15:49:00,8.39,73,126,102,0.94,8.14,14.04,11.37,373,267,58.28,643,447,58.99,496,343,59.12,30.75,23.8,56.37,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,000,000",0.0980
Brent Burns,35,RD,56,7,22,29,0.52,-13,138,0.05,26:08:00,7.68,137,288,190,0.32,5.71,12,7.92,740,774,48.88,1331,1423,48.33,1005,1069,48.46,79.22,73.72,51.8,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,000,000",0.1100
Thomas Chabot,23,LD,49,6,25,31,0.63,-15,120,0.05,26:17:00,5.4,120,241,162,0.25,5.59,11.24,7.55,692,645,51.76,1287,1205,51.65,978,901,52.05,67.23,59.84,52.91,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,000,000",0.0980
Taylor Hall,28,LW,53,10,23,33,0.62,-6,136,0.07,17:51:00,13.18,136,236,185,0.84,8.61,14.96,11.73,567,397,58.82,1034,654,61.26,806,509,61.29,52.82,39.6,57.15,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,000,000",0.0980
Ryan Johansen,27,"C, RW",48,7,15,22,0.46,0,67,0.1,16:56:00,8.44,67,105,87,0.62,4.94,7.75,6.42,487,366,57.09,854,656,56.56,660,499,56.95,40.59,35.36,53.44,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"8,000,000",0.1070
Victor Hedman,29,LD,54,9,36,45,0.83,5,136,0.07,25:02:00,7.81,136,316,207,0.35,6.03,14.02,9.18,722,619,53.84,1279,1037,55.22,980,805,54.9,68.72,58.97,53.82,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,875,000",0.1080
Shea Weber,34,RD,48,6,13,19,0.4,-4,104,0.06,22:42:00,3.71,104,215,146,0.2,5.73,11.84,8.03,583,549,51.5,1036,985,51.26,777,755,50.72,49.52,53.98,47.85,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,857,143",0.1310
Evgeny Kuznetsov,28,C,41,9,20,29,0.71,7,78,0.12,16:34:00,7.26,78,122,102,0.64,6.89,10.77,9.01,367,296,55.35,673,518,56.51,529,414,56.1,36.19,27.52,56.8,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,800,000",0.1040
Jared Spurgeon,30,RD,54,7,18,25,0.46,-2,94,0.07,22:05:00,5.82,94,189,135,0.3,4.8,9.67,6.9,611,581,51.26,1081,1104,49.47,817,807,50.31,55.24,47.24,53.9,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,575,000",0.0930
Ryan Suter,35,LD,56,3,16,19,0.34,9,86,0.03,22:11:00,3.64,83,193,121,0.18,4.13,9.64,6.04,585,644,47.6,1062,1164,47.71,818,878,48.23,52.85,49.97,51.4,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,538,462",0.1260
Zach Parise,35,LW,45,7,11,18,0.4,7,90,0.08,13:56:00,9.75,88,119,111,0.96,8.63,11.67,10.89,305,300,50.41,533,568,48.41,413,414,49.94,31.35,24.87,55.76,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,538,462",0.1260
Vladimir Tarasenko,28,RW,24,4,10,14,0.58,-7,65,0.06,17:25:00,4.84,65,111,81,0.7,9.33,15.93,11.62,248,173,58.91,445,370,54.6,326,257,55.92,19.54,18.21,51.76,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,500,000",0.1050
Aaron Ekblad,24,RD,35,11,11,22,0.63,5,101,0.11,25:05:00,6.81,101,193,144,0.47,6.9,13.19,9.84,527,401,56.79,867,692,55.61,689,552,55.52,52.76,38.31,57.93,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,500,000",0.1030
Ryan O'Reilly,29,C,56,24,30,54,0.96,26,129,0.19,20:44:00,12.15,123,178,154,0.64,6.52,9.43,8.16,648,532,54.92,1136,970,53.94,840,736,53.3,57.15,59.49,49,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,500,000",0.1050
Kris Letang,33,RD,55,7,38,45,0.82,19,132,0.05,24:38:00,5.14,132,261,179,0.23,5.84,11.55,7.92,734,663,52.54,1265,1135,52.71,977,900,52.05,72.67,61.48,54.17,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,250,000",0.1130
Nico Hischier,21,C,21,6,5,11,0.52,-9,44,0.14,18:31:00,5.14,44,77,62,0.79,6.79,11.88,9.57,193,192,50.13,375,351,51.65,267,273,49.44,17.89,18.36,49.35,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,250,000",0.0890
David Krejci,34,C,51,8,36,44,0.86,16,83,0.1,17:08:00,7.29,83,141,112,0.5,5.7,9.68,7.69,536,346,60.77,975,616,61.28,753,479,61.12,46.52,24.65,65.36,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,250,000",0.1050
Clayton Keller,21,"RW, LW",56,14,21,35,0.63,-5,124,0.11,16:39:00,13.11,124,212,176,0.84,7.98,13.64,11.32,536,391,57.82,1010,694,59.27,762,530,58.98,50.83,39.54,56.25,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,150,000",0.0880
Kevin Hayes,28,C,55,12,19,31,0.56,-2,127,0.09,17:31:00,14.76,127,226,178,0.92,7.91,14.07,11.08,488,456,51.69,888,805,52.45,689,635,52.04,49.41,42.79,53.59,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,142,857",0.0900
Kyle Connor,23,LW,56,26,24,50,0.89,-4,166,0.16,18:44:00,18.26,159,293,219,1.08,9.38,17.28,12.91,573,452,55.9,1060,829,56.11,782,627,55.5,55.24,52.5,51.27,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,142,857",0.0880
Anders Lee,29,"LW, C",27,12,7,19,0.7,11,80,0.15,17:31:00,9.59,80,117,99,1.22,10.14,14.84,12.55,298,194,60.57,520,359,59.16,401,269,59.85,32.15,17.85,64.31,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,000,000",0.0860
Matthew Tkachuk,22,"LW, RW",56,16,27,43,0.77,6,151,0.11,18:09:00,17.73,140,235,189,1.12,8.9,14.94,12.02,586,392,59.92,1063,691,60.6,808,546,59.68,56.28,36.34,60.76,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"7,000,000",0.0860
Marc-Édouard Vlasic,33,LD/RD,51,1,5,6,0.12,-8,37,0.03,17:30:00,1.39,37,86,62,0.1,2.54,5.91,4.26,371,465,44.38,664,903,42.37,514,670,43.41,30.5,39.32,43.68,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,000,000",0.0930
Max Pacioretty,31,LW,48,24,27,51,1.06,20,174,0.14,17:56:00,16.5,174,285,231,1.14,12.12,19.86,16.1,553,379,59.33,984,723,57.64,749,513,59.35,56.22,33.47,62.68,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,000,000",0.0880
Marc-André Fleury,35,G,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,10,6,1.99,0.928,2.04,2.55,0.51,Standard (1-way),UFA,"7,000,000",0.0880
Mathew Barzal,23,C,55,17,28,45,0.82,15,134,0.13,18:43:00,16.97,134,217,173,0.99,7.8,12.63,10.07,632,411,60.59,1076,770,58.29,833,565,59.59,62.48,37.95,62.21,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"7,000,000",0.0860
Evander Kane,28,"LW, RW",56,22,27,49,0.88,-1,194,0.11,20:11:00,20.87,193,321,254,1.12,10.39,17.28,13.67,628,591,51.52,1132,1032,52.31,849,804,51.36,64.89,55.36,53.96,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,000,000",0.0930
Joe Pavelski,35,"RW, C",56,25,26,51,0.91,22,139,0.18,19:01:00,18.45,139,242,211,1.04,7.83,13.63,11.88,605,403,60.02,1184,751,61.19,889,565,61.14,64.77,38.51,62.71,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,000,000",0.0860
James van Riemsdyk,31,"LW, RW",56,17,26,43,0.77,2,132,0.13,16:32:00,14.76,132,197,169,0.96,8.55,12.76,10.95,538,368,59.38,1034,653,61.29,765,492,60.86,51.3,30.12,63.01,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"7,000,000",0.0880
Tuukka Rask,33,G,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,5,2,2.28,0.913,2.27,2.25,-0.02,Standard (1-way),UFA,"7,000,000",0.1090
William Nylander,24,"RW, LW",51,17,25,42,0.82,10,133,0.13,16:36:00,17.69,129,207,174,1.3,9.52,15.27,12.83,491,336,59.37,902,614,59.5,691,471,59.47,55.96,29.7,65.33,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,962,366",0.0880
Brent Seabrook,35,RD,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,875,000",0.0960
Ryan Kesler,35,"C, RW",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,875,000",0.0960
Patrice Bergeron,34,C,54,23,25,48,0.89,27,182,0.13,18:13:00,18.96,182,298,256,1.15,11.1,18.18,15.62,683,356,65.73,1172,668,63.7,929,506,64.73,60.69,33.85,64.2,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,875,000",0.1070
Mark Giordano,36,LD,56,9,17,26,0.46,5,142,0.06,22:56:00,4.99,126,279,192,0.25,6.38,14.14,9.73,567,572,49.78,1088,1052,50.84,820,764,51.77,55.47,59.73,48.15,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,750,000",0.0950
Johnny Gaudreau,26,LW,56,19,30,49,0.88,2,112,0.17,18:24:00,11.84,102,180,141,0.74,6.41,11.31,8.86,575,404,58.73,1010,703,58.96,789,549,58.97,57.63,36.61,61.15,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,750,000",0.0920
Ivan Provorov,23,LD,56,7,19,26,0.46,4,126,0.06,24:59:00,5.54,126,252,166,0.24,5.4,10.8,7.11,673,703,48.91,1236,1266,49.4,931,967,49.05,60.77,67.95,47.21,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,750,000",0.0830
Patrik Laine,22,"LW, RW",46,12,12,24,0.52,-28,82,0.15,17:27:00,5.36,82,160,109,0.4,6.13,11.97,8.15,409,429,48.81,675,737,47.8,525,571,47.9,29.51,41.44,41.59,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"6,750,000",0.0830
Brayden Point,24,"C, RW",56,23,25,48,0.86,2,131,0.18,18:26:00,17.05,131,213,178,0.99,7.61,12.38,10.35,595,421,58.56,1064,728,59.38,811,546,59.76,61.56,36.47,62.79,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"6,750,000",0.0830
Ryan McDonagh,31,LD,50,4,8,12,0.24,13,85,0.05,21:53:00,4.53,85,160,114,0.25,4.66,8.77,6.25,508,536,48.66,883,985,47.27,683,727,48.44,48.62,48.65,49.98,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,750,000",0.0850
David Pastrnak,24,RW,48,20,28,48,1,10,176,0.11,18:36:00,14.65,176,334,247,0.98,11.82,22.42,16.57,610,323,65.38,1090,555,66.26,853,432,66.38,51.7,26.37,66.22,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,666,667",0.0890
Cam Fowler,28,LD/RD,56,5,18,23,0.41,-4,75,0.07,21:45:00,3.79,75,181,105,0.19,3.69,8.91,5.17,542,579,48.35,1094,1024,51.65,787,796,49.72,50.5,61.57,45.06,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,500,000",0.0870
Torey Krug,29,LD,51,2,30,32,0.63,11,110,0.02,22:32:00,5.3,105,200,143,0.28,5.68,10.82,7.73,637,499,56.07,1092,919,54.3,834,702,54.3,55.74,49.55,52.94,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,500,000",0.0800
Derek Stepan,30,C,20,1,5,6,0.3,-6,44,0.02,15:03:00,3.43,44,70,57,0.68,8.76,13.94,11.35,179,154,53.75,293,279,51.22,243,214,53.17,14.96,14.94,50.03,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,500,000",0.0910
Justin Faulk,28,RD,56,7,18,25,0.45,11,117,0.06,24:15:00,5.54,116,218,146,0.25,5.26,9.89,6.63,601,706,45.98,1048,1254,45.53,794,958,45.32,50.27,67.95,42.52,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,500,000",0.0800
Brayden Schenn,28,"C, LW",56,16,20,36,0.64,-2,113,0.14,19:08:00,14.97,110,176,149,0.86,6.33,10.13,8.58,573,483,54.26,1021,917,52.68,746,662,52.98,53.35,47.35,52.98,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,500,000",0.0800
Chris Kreider,29,LW,50,20,10,30,0.6,-1,102,0.2,17:23:00,17.42,102,177,145,1.2,7.04,12.21,10,511,351,59.28,953,645,59.64,720,474,60.3,57.81,29.1,66.52,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,500,000",0.0800
Paul Stastny,34,"LW, C",56,13,16,29,0.52,-3,101,0.13,17:24:00,14.58,99,153,131,0.92,6.24,9.65,8.26,561,400,58.38,1002,755,57.03,746,571,56.64,55.24,42.8,56.34,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,500,000",0.0820
Alex DeBrincat,22,"LW, RW",52,32,24,56,1.08,3,155,0.21,20:32:00,19.13,155,268,199,1.08,8.72,15.07,11.19,586,546,51.77,1015,926,52.29,749,712,51.27,60.71,53.47,53.17,-,-,-,-,-,-,-,-,Standard (1-way),RFA,"6,400,000",0.0790
John Gibson,26,G,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,19,3,2.99,0.903,2.98,2.87,-0.11,Standard (1-way),UFA,"6,400,000",0.0810
Sean Monahan,25,C,50,10,18,28,0.56,-6,98,0.1,17:41:00,13.3,98,154,133,0.9,6.66,10.46,9.03,495,406,54.94,884,697,55.91,692,543,56.03,51.58,35.61,59.15,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,375,000",0.0870
Keith Yandle,33,LD,56,3,24,27,0.48,-8,113,0.03,17:14:00,4.01,113,217,143,0.25,7.02,13.48,8.88,690,391,63.83,1158,623,65.02,901,504,64.13,63.45,34.33,64.89,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,350,000",0.0870
Nathan MacKinnon,24,"C, RW",48,20,45,65,1.35,22,206,0.1,20:21:00,20.09,206,374,280,1.23,12.64,22.94,17.18,722,333,68.44,1329,591,69.22,992,451,68.75,78.95,30.26,72.29,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,300,000",0.0860
Ryan Ellis,29,RD,35,5,13,18,0.51,1,75,0.07,23:46:00,3.4,75,145,93,0.25,5.41,10.45,6.71,435,413,51.3,778,729,51.63,588,557,51.35,35.97,39.57,47.62,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,250,000",0.0790
Joshua Morrissey,25,LD,56,4,17,21,0.38,-1,116,0.03,23:32:00,4.83,113,240,156,0.23,5.3,11.26,7.32,650,682,48.8,1179,1229,48.96,896,942,48.75,59.9,70.17,46.05,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,250,000",0.0770
Matt Murray,26,G,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,13,2,3.38,0.893,3.38,2.72,-0.66,Standard (1-way),UFA,"6,250,000",0.0770
Alexander Radulov,33,RW,11,4,8,12,1.09,9,25,0.16,17:47:00,3.51,25,45,34,1.08,7.67,13.8,10.43,125,46,73.09,238,109,68.59,179,73,71.03,13.8,4.96,73.56,-,-,-,-,-,-,-,-,Standard (1-way),UFA,"6,250,000",0.0830
Connor Hellebuyck,27,G,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,17,4,2.58,0.916,2.66,2.94,0.28,Standard (1-way),UFA,"6,166,666",0.0780
