player,position,team,season,age,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,plusMinus,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,total_cap,percent_cap_hit,covid
Alex Ovechkin,F,WSH,2014-15,28,Standard (1-way),9538462,R,26,10,0,0,7,81,0.18,0.040000000000000036,0.39,0.09999999999999998,387,59,46,28,62,4,2,-2,0,254,45,98784,75012,52,17233,395,222,0,125,53,21,0,24,259,242,0,6,45,35,0,3,58,52,0,4,39,13,0,19,18,3,0,12,2,1,0,0,3,1,0,0,32,30,0,0,28,16,0,6,2,8,-2,-8,69000000,0.138239,pre-covid
Evgeni Malkin,F,PIT,2014-15,27,Standard (1-way),9500000,L,9,17,0,0,-3,69,0.15999999999999998,0.040000000000000036,0.53,-0.010000000000000009,278,37,36,22,40,10,0,5,0,201,25,78554,60309,261,14163,212,128,0,58,28,17,0,7,24,18,0,3,45,35,1,3,53,33,0,15,21,11,0,8,10,7,0,2,322,306,0,4,433,401,4,2,18,14,1,0,42,22,0,13,2,-4,0,-2,69000000,0.137681,pre-covid
P.K. Subban,D,MTL,2014-15,25,Standard (1-way),9000000,R,8,14,0,0,22,82,0.10000000000000003,0.06,0.03,0.010000000000000009,139,40,32,1,45,15,8,-7,-8,178,26,128920,95400,10093,17152,170,88,3,61,15,7,0,7,97,80,6,3,29,21,4,3,112,81,14,9,7,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,142,109,7,18,45,24,0,11,-26,-14,-6,0,69000000,0.130435,pre-covid
Sidney Crosby,F,PIT,2014-15,26,Standard (1-way),8700000,L,10,21,0,0,6,77,0.15000000000000002,0.050000000000000044,0,0.040000000000000036,384,43,51,23,132,14,7,3,-1,243,26,92210,70043,1373,15834,237,160,0,52,28,16,0,9,66,59,0,2,37,29,0,3,53,36,0,14,26,11,0,10,10,2,0,5,797,550,15,164,800,563,95,18,29,21,0,4,56,29,0,19,24,18,0,2,69000000,0.126087,pre-covid
Corey Perry,F,ANA,2014-15,29,Standard (1-way),8625000,R,6,5,0,0,19,67,0.08999999999999997,0,0.07999999999999999,0.010000000000000009,161,25,11,5,28,9,3,0,-1,133,11,72765,57745,773,10559,193,139,1,36,33,22,0,4,64,57,0,4,25,21,1,2,46,35,0,8,22,8,0,7,12,4,0,3,3,3,0,0,9,5,0,0,27,24,0,1,22,15,0,3,4,4,2,-2,69000000,0.125,pre-covid
Claude Giroux,F,PHI,2014-15,26,Standard (1-way),8275000,R,14,23,0,0,-3,81,0.14999999999999997,0.050000000000000044,0.020000000000000004,0.06000000000000005,312,36,38,17,61,4,-1,-1,-9,226,39,99946,75836,3587,15265,279,188,2,57,25,11,0,11,110,102,1,4,40,34,1,0,36,25,1,7,22,11,0,6,7,2,0,3,1063,733,80,177,815,557,88,52,28,25,0,0,48,20,0,20,8,2,4,0,69000000,0.119928,pre-covid
Ryan Getzlaf,F,ANA,2014-15,29,Standard (1-way),8250000,R,5,13,0,2,21,77,0.050000000000000044,0,-0.03999999999999998,0.040000000000000036,178,19,3,-1,62,10,-6,-5,-13,176,14,92823,67006,7167,13106,191,128,5,41,25,18,0,3,100,93,3,0,55,43,8,3,71,50,5,12,13,6,0,3,6,2,0,3,632,513,30,54,617,499,56,23,95,79,0,11,45,29,2,9,-30,-20,0,-6,69000000,0.119565,pre-covid
Eric Staal,F,CAR,2014-15,29,Standard (1-way),8250000,L,7,10,0,0,-13,76,0.13,0.07999999999999996,0.09000000000000001,0.010000000000000009,343,12,34,9,169,-6,12,1,0,159,20,85836,68815,447,10863,241,189,0,36,22,12,0,7,65,62,0,1,38,33,0,1,47,37,0,7,23,14,0,4,10,5,0,3,333,235,3,80,317,236,26,3,27,27,0,0,31,19,0,6,8,6,2,-2,69000000,0.119565,pre-covid
Phil Kessel,F,TOR,2014-15,26,Standard (1-way),8000000,R,8,17,0,0,-34,82,0.11000000000000004,-0.009999999999999953,0.41000000000000003,0.030000000000000027,106,1,10,6,-110,-21,-15,-3,0,182,23,92463,70554,53,16755,280,187,0,59,25,15,0,4,18,17,0,0,34,31,0,1,64,46,0,16,20,9,0,4,8,2,0,2,2,1,0,0,3,2,0,0,13,11,0,0,36,16,0,16,-12,-8,0,-4,69000000,0.115942,pre-covid
Shea Weber,D,NSH,2014-15,28,Standard (1-way),7857143,R,5,10,1,0,15,78,-0.030000000000000027,-0.040000000000000036,-0.05000000000000002,-0.030000000000000027,87,13,-12,-2,57,19,3,4,-20,162,17,123407,92708,11043,13532,237,150,6,62,15,8,1,4,166,141,11,3,23,18,2,1,53,39,5,4,5,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,147,100,2,29,30,17,0,10,-30,-26,-2,-4,69000000,0.113872,pre-covid
