player,position,team,season,age,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,plusMinus,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,total_cap,percent_cap_hit,covid
Rick Nash,F,NYR,2014-15,30,Standard (1-way),7800000,L,8,7,4,1,37,79,0.07000000000000006,0.020000000000000018,0.1,-0.020000000000000018,235,46,11,10,77,24,-6,-3,-3,153,20,82727,61421,6182,11688,304,226,17,44,42,29,4,5,45,39,5,0,74,53,15,2,42,26,4,8,35,15,4,5,11,3,2,3,2,2,0,0,2,2,0,0,33,28,1,4,27,19,1,6,-14,-10,-4,2,69000000,0.113043,pre-covid
Zach Parise,F,MIN,2014-15,29,Standard (1-way),7538462,L,12,8,1,0,21,74,0.12999999999999995,0.040000000000000036,-0.020000000000000004,0.030000000000000027,345,44,57,22,133,20,23,10,-1,211,21,85085,64582,1476,13773,259,176,2,57,33,17,0,10,86,79,1,4,47,38,1,6,24,21,0,3,52,33,0,11,21,10,0,5,2,2,0,0,10,4,2,0,56,49,0,3,29,21,0,5,16,8,4,-2,69000000,0.109253,pre-covid
Ryan Suter,D,MIN,2014-15,29,Standard (1-way),7538462,L,1,12,0,1,-1,77,0.06000000000000005,0.010000000000000009,0.04999999999999999,0.010000000000000009,253,13,48,12,79,4,27,8,-13,242,19,134016,101198,8785,16803,150,101,0,40,2,1,0,1,69,56,2,4,33,23,4,4,46,37,3,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,127,100,2,11,36,19,1,10,-28,-22,-6,0,69000000,0.109253,pre-covid
Steven Stamkos,F,T.B,2014-15,24,Standard (1-way),7500000,R,15,18,0,0,4,82,0.09999999999999998,0,-0.009999999999999995,-0.020000000000000018,213,35,14,8,59,7,-9,-4,-1,129,22,95289,72056,713,15775,268,175,0,64,43,26,0,10,91,82,0,2,34,29,1,2,37,23,0,12,26,12,0,5,11,3,0,3,469,382,15,37,474,408,15,5,35,29,1,1,29,17,0,11,26,26,0,-4,69000000,0.108696,pre-covid
Pavel Datsyuk,F,DET,2014-15,35,35+ (1-way),7500000,L,9,17,0,0,9,63,0.18000000000000005,0.08999999999999997,-0.11,0,298,41,26,13,116,9,-5,-2,-3,134,25,72014,57049,395,10208,165,110,0,37,26,13,0,8,51,51,0,0,59,52,0,3,29,21,0,6,23,8,0,6,11,2,0,5,601,426,11,107,521,384,40,9,28,24,2,0,39,18,0,14,26,20,0,0,69000000,0.108696,pre-covid
Kris Letang,D,PIT,2014-15,27,Standard (1-way),7250000,R,2,22,1,0,12,69,0.06000000000000005,0.050000000000000044,-0.010000000000000009,-0.020000000000000018,188,31,25,17,115,10,6,5,-13,189,26,105482,73957,10963,15028,197,130,7,46,11,5,1,2,131,98,13,15,39,23,5,6,60,35,7,12,13,3,3,3,3,1,1,1,0,0,0,0,1,0,0,1,117,86,4,16,43,15,0,19,-20,-10,-2,-6,69000000,0.105072,pre-covid
Brian Campbell,D,FLA,2014-15,35,Standard (1-way),7142875,L,1,11,0,0,4,82,0.09999999999999998,0.06000000000000005,0.009999999999999995,0,268,12,12,3,152,6,2,-1,-7,169,15,114176,90608,4517,13825,118,70,0,36,3,2,0,1,44,32,5,3,16,14,0,1,34,26,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,71,1,5,24,11,0,10,-12,-10,0,-2,69000000,0.10352,pre-covid
Dion Phaneuf,D,TOR,2014-15,29,Standard (1-way),7000000,L,2,13,0,1,-11,70,0.009999999999999953,-0.010000000000000009,-0.04999999999999999,-0.010000000000000009,-152,-4,-30,-4,-120,-7,-22,-1,-16,147,19,99614,69972,10951,14018,138,79,3,38,3,1,0,1,166,135,7,8,30,18,4,2,43,22,12,6,6,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,126,86,3,25,26,10,1,11,-6,2,3,-5,69000000,0.101449,pre-covid
Paul Stastny,F,STL,2014-15,28,Standard (1-way),7000000,L,7,8,0,0,2,74,0.08999999999999997,0.030000000000000027,0.010000000000000009,0.06000000000000005,237,29,24,13,104,6,3,0,-1,149,25,78266,61406,3857,10120,143,99,4,24,16,7,0,7,22,20,1,1,28,23,4,0,9,6,0,2,25,13,0,8,8,2,0,4,671,526,37,66,487,390,35,26,30,22,0,6,30,19,0,7,-20,-18,0,0,69000000,0.101449,pre-covid
Henrik Sedin,F,VAN,2014-15,33,Standard (1-way),7000000,L,6,21,0,0,10,82,0.13999999999999996,0.06000000000000005,0.06,0.08000000000000007,305,46,4,26,135,6,-17,0,-4,177,32,91503,68181,3751,13688,101,75,1,16,18,7,0,5,25,22,2,0,33,27,3,0,38,24,0,9,21,9,0,5,14,4,0,4,704,518,23,105,861,630,95,45,24,18,2,3,55,26,0,17,6,10,-2,0,69000000,0.101449,pre-covid
Jason Spezza,F,DAL,2014-15,31,Standard (1-way),7000000,R,4,22,0,0,-7,82,0.14,0.040000000000000036,0.009999999999999981,0.06000000000000005,313,32,52,13,71,6,8,-2,-2,211,33,84720,63488,316,16852,204,142,0,44,17,12,0,3,16,16,0,0,51,45,0,5,75,55,2,17,30,16,0,7,8,3,0,3,682,506,2,121,580,453,31,6,26,21,1,0,45,18,0,20,2,6,0,-2,69000000,0.101449,pre-covid
Daniel Sedin,F,VAN,2014-15,33,Standard (1-way),7000000,L,4,23,0,0,4,82,0.13999999999999996,0.050000000000000044,0.10999999999999999,0.07000000000000006,289,40,2,23,117,0,-22,-3,-4,180,32,90255,67623,3420,13859,226,159,7,38,20,11,0,3,21,17,1,1,19,14,2,0,36,26,1,6,13,4,0,4,7,1,0,2,2,2,0,0,3,2,1,0,16,15,0,1,56,25,0,19,12,12,-2,2,69000000,0.101449,pre-covid
Alexander Semin,F,CAR,2014-15,30,Standard (1-way),7000000,R,0,4,0,0,-10,57,0.06999999999999995,0.030000000000000027,0.9,-0.040000000000000036,93,-3,0,2,32,-6,-6,-1,0,51,6,54459,47205,44,4724,93,78,0,10,6,6,0,0,30,27,0,2,48,45,0,0,34,30,0,3,8,5,0,1,2,2,0,0,3,2,0,1,6,6,0,0,17,16,0,0,13,9,0,4,6,4,0,0,69000000,0.101449,pre-covid
Drew Doughty,D,L.A,2014-15,24,Standard (1-way),7000000,R,1,16,0,1,3,82,0.030000000000000027,0.020000000000000018,-0.039999999999999994,0.06000000000000005,232,13,3,-2,214,10,3,2,-19,182,27,142660,107289,12459,15826,219,145,1,52,7,6,0,1,152,127,12,3,12,6,5,1,80,51,15,8,6,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,144,95,3,30,39,21,1,14,-32,-30,0,0,69000000,0.101449,pre-covid
Zdeno Chara,D,BOS,2014-15,37,Standard (1-way),6916667,L,4,1,0,3,0,63,-0.020000000000000018,0.040000000000000036,-0.08,-0.050000000000000044,7,-9,3,-3,82,-3,12,1,-19,71,10,88255,66530,10944,7413,138,98,5,27,8,3,0,4,125,108,12,1,14,7,4,0,55,41,6,5,7,0,0,5,3,0,0,2,1,1,0,0,0,0,0,0,99,70,2,22,12,5,2,1,-20,-8,-2,-6,69000000,0.100242,pre-covid
Patrice Bergeron,F,BOS,2014-15,28,Standard (1-way),6875000,R,4,10,1,1,2,81,0.13,0.08999999999999997,0.009999999999999981,0.07000000000000006,313,10,36,10,176,-3,12,2,-13,186,21,88117,65287,7915,10798,234,173,6,40,23,16,1,4,57,46,3,8,48,38,7,1,29,20,2,6,27,17,3,6,10,6,1,3,1175,792,122,172,776,525,102,98,60,45,1,8,32,18,1,9,-12,-14,0,4,69000000,0.099638,pre-covid
Anze Kopitar,F,L.A,2014-15,26,Standard (1-way),6800000,L,6,18,0,0,-2,79,0.06999999999999995,0.04999999999999993,-0.06000000000000001,0.07000000000000006,243,14,11,-5,178,8,15,-1,-15,148,25,91819,66838,7401,12481,134,102,2,22,16,10,0,5,105,90,4,5,29,24,2,0,48,28,4,13,14,9,0,4,4,1,0,2,752,522,71,98,678,478,66,75,46,34,0,9,48,24,0,15,28,24,0,-2,69000000,0.098551,pre-covid
Joe Thornton,F,S.J,2014-15,34,Standard (1-way),6750000,L,4,18,0,0,-4,78,0.18,0.08999999999999997,-0.020000000000000018,0.12,405,32,47,20,142,-2,13,-2,-4,259,37,86225,65974,1583,14124,131,91,0,25,16,7,0,4,39,36,0,1,60,53,2,3,91,75,1,12,16,6,0,3,8,1,0,2,554,408,36,77,401,287,38,33,26,21,1,2,49,25,0,18,0,0,0,0,69000000,0.097826,pre-covid
Mikko Koivu,F,MIN,2014-15,31,Standard (1-way),6750000,L,5,13,0,0,-2,80,0.08999999999999997,0.050000000000000044,-0.05000000000000002,0.030000000000000027,262,23,34,14,95,4,12,7,-5,229,23,92406,65951,5909,14886,179,103,4,55,14,8,0,3,40,35,1,3,60,51,4,4,26,13,1,9,14,5,0,4,4,2,0,1,989,660,85,167,802,539,102,82,41,33,1,3,34,20,0,11,-26,-22,0,-4,69000000,0.097826,pre-covid
Nicklas Backstrom,F,WSH,2014-15,26,Standard (1-way),6700000,L,4,30,0,0,2,82,0.10999999999999999,0.040000000000000036,-0.039999999999999994,0.09000000000000008,252,38,33,17,72,0,7,-5,-7,217,38,101008,75324,4369,14088,153,107,5,29,18,13,0,3,91,81,1,1,55,46,2,2,36,25,0,7,13,6,0,2,4,2,0,0,862,666,45,79,747,559,56,53,52,37,1,8,60,27,0,26,-12,-16,2,2,69000000,0.097101,pre-covid
Patrick Marleau,F,S.J,2014-15,34,Standard (1-way),6666667,L,7,17,0,0,-17,82,0.06000000000000005,-0.020000000000000018,-0.020000000000000018,0.08000000000000007,183,7,24,7,-21,-10,-6,-5,-17,260,38,96267,69302,6539,15132,233,139,7,63,19,8,0,7,85,76,1,5,44,31,8,4,75,54,2,18,39,19,0,9,10,3,0,5,171,130,15,16,185,144,9,17,28,17,2,7,38,19,0,16,8,12,0,0,69000000,0.096618,pre-covid
Alex Pietrangelo,D,STL,2014-15,24,Standard (1-way),6500000,R,1,11,0,0,-1,81,-0.050000000000000044,-0.030000000000000027,-0.04999999999999999,-0.020000000000000018,-7,-8,-22,-4,29,1,-4,1,-23,145,17,123487,92266,14200,11771,195,133,3,41,7,5,0,1,70,59,7,0,33,19,7,3,38,26,6,3,5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,161,113,2,36,39,23,0,10,12,4,-2,6,69000000,0.094203,pre-covid
Thomas Vanek,F,MIN,2014-15,30,Standard (1-way),6500000,R,5,13,0,0,-13,80,0.07000000000000006,-0.050000000000000044,-0.11,-0.030000000000000027,198,17,41,13,-34,-4,14,4,0,200,20,77799,60883,19,13564,171,107,0,50,21,13,0,5,32,31,0,1,28,23,0,3,52,36,0,15,26,12,0,11,11,6,0,3,10,6,0,3,10,5,0,0,13,12,0,0,31,18,0,10,-25,-15,0,-8,69000000,0.094203,pre-covid
Erik Karlsson,D,OTT,2014-15,24,Standard (1-way),6500000,R,7,26,0,0,5,82,0.14999999999999997,0.050000000000000044,0.09,0.030000000000000027,313,42,30,21,10,10,-4,0,-3,284,31,134095,103150,2731,22548,292,180,2,90,21,14,0,6,93,80,3,5,59,48,1,3,99,77,3,11,6,2,0,4,5,2,0,3,0,0,0,0,0,0,0,0,89,74,3,0,45,18,0,20,-2,0,2,-2,69000000,0.094203,pre-covid
Jonathan Toews,F,CHI,2014-15,26,Standard (1-way),6300000,L,9,13,3,2,37,81,0.08999999999999997,0.030000000000000027,0.06,0.06000000000000005,269,52,37,23,71,23,-1,2,-9,212,26,95037,68388,6510,15492,192,112,8,52,28,16,1,6,56,48,0,4,45,37,3,2,34,23,4,6,33,14,5,7,10,4,0,2,947,640,40,195,728,521,105,33,16,8,0,4,38,24,1,11,18,18,4,-4,69000000,0.091304,pre-covid
Patrick Kane,F,CHI,2014-15,25,Standard (1-way),6300000,L,8,21,0,0,17,61,0.10999999999999999,-0.010000000000000009,-0.12,0.030000000000000027,261,40,21,18,36,8,-7,-1,0,170,23,72668,55991,120,12841,186,125,0,37,27,19,0,6,22,20,0,2,36,29,1,3,30,23,0,5,17,9,0,5,13,6,0,5,3,2,0,0,4,4,0,0,14,14,0,0,37,14,0,12,24,16,0,0,69000000,0.091304,pre-covid
Mike Green,D,WSH,2014-15,28,Standard (1-way),6083333,R,1,16,0,0,14,72,0.10999999999999999,0.010000000000000009,0.13,0.030000000000000027,210,46,13,15,34,11,-2,-3,0,157,29,82544,65336,2341,10988,159,111,6,33,10,9,0,1,82,76,3,1,30,19,3,5,61,49,3,4,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,93,80,1,5,35,15,0,15,-8,-8,0,-2,69000000,0.088164,pre-covid
Henrik Zetterberg,F,DET,2014-15,33,Standard (1-way),6083333,L,4,26,0,0,-10,77,0.12,0.010000000000000009,0.13,-0.030000000000000027,251,32,42,13,44,4,1,2,-1,170,27,88293,68744,422,14110,227,149,0,45,17,8,0,4,55,51,1,0,37,32,1,3,29,19,0,10,12,5,0,3,4,1,0,1,541,408,9,93,523,397,32,1,26,20,0,0,49,19,0,20,-2,6,0,-8,69000000,0.088164,pre-covid
Taylor Hall,F,EDM,2014-15,22,Standard (1-way),6000000,L,3,3,0,0,-1,53,0.11000000000000004,0.030000000000000027,0.030000000000000013,0.020000000000000018,74,8,12,10,-42,3,-4,4,-1,99,7,61051,50403,744,7502,158,104,2,36,14,8,0,2,67,58,0,6,35,25,1,5,56,46,1,7,17,11,0,1,7,4,0,0,45,41,1,0,53,40,1,0,37,33,1,1,24,19,0,3,-14,-10,0,-4,69000000,0.086957,pre-covid
Logan Couture,F,S.J,2014-15,25,Standard (1-way),6000000,L,6,18,2,0,-6,82,0.06000000000000005,-0.020000000000000018,0.08,0.08000000000000007,189,19,23,10,-18,-4,-4,-6,-13,253,36,93717,66970,6793,14848,264,167,18,59,27,16,2,6,85,81,3,0,56,39,5,6,72,52,0,14,29,11,2,8,13,4,1,5,477,418,23,16,513,428,10,46,71,50,0,14,40,17,0,15,24,18,0,4,69000000,0.086957,pre-covid
Ryan O'Reilly,F,COL,2014-15,23,Standard (1-way),6000000,L,2,10,1,1,-5,82,0.07,0.040000000000000036,-0.020000000000000004,0.030000000000000027,-4,6,13,4,-70,6,5,5,-10,136,22,96953,70746,8374,11574,171,121,6,21,17,12,1,2,38,32,1,3,98,73,15,4,26,22,0,2,27,15,2,5,11,7,1,2,713,441,102,101,621,406,79,79,48,38,2,7,38,25,1,8,16,14,0,2,69000000,0.086957,pre-covid
Matt Duchene,F,COL,2014-15,23,Standard (1-way),6000000,L,2,5,0,0,3,82,0.06,0,-0.039999999999999994,-0.06000000000000005,-31,13,1,3,-136,7,-14,-1,-1,88,7,91373,74565,673,10232,207,158,0,32,21,18,0,2,43,39,1,0,49,44,0,0,34,26,0,6,17,11,0,2,8,6,0,1,635,534,5,48,582,485,12,5,74,64,1,1,34,27,0,3,38,32,2,0,69000000,0.086957,pre-covid
Joe Pavelski,F,S.J,2014-15,29,Standard (1-way),6000000,R,19,12,0,0,12,82,0.12,0.07999999999999996,-0.09000000000000001,0.09999999999999998,335,40,39,18,126,12,14,0,-12,263,36,99015,71248,7074,15144,261,159,2,83,37,16,0,17,97,90,4,1,57,49,4,3,64,44,0,17,42,18,0,18,16,1,0,12,642,410,76,106,505,335,64,66,86,64,3,13,33,18,0,11,30,26,4,0,69000000,0.086957,pre-covid
Jordan Eberle,F,EDM,2014-15,24,Standard (1-way),6000000,R,6,15,0,0,-16,81,0.11999999999999994,0.030000000000000027,0.10999999999999999,0.010000000000000009,170,10,10,21,-9,-4,-6,11,0,147,19,92545,76520,302,11894,183,132,0,41,24,18,0,6,62,59,1,1,37,34,0,3,73,59,0,12,17,11,0,3,10,7,0,3,1,1,0,0,5,5,0,0,36,35,0,1,39,23,0,13,8,8,0,0,69000000,0.086957,pre-covid
Ryan Nugent-Hopkins,F,EDM,2014-15,21,Standard (1-way),6000000,L,2,12,0,1,-12,76,0.06000000000000005,0.030000000000000027,0.06,0.010000000000000009,70,-6,-3,13,-12,-7,-3,9,-16,147,17,94121,71630,7192,11497,189,136,9,27,24,19,0,2,92,81,2,7,54,47,4,1,43,30,4,7,15,10,0,1,8,6,0,1,620,473,15,95,736,597,79,13,37,31,1,2,32,18,1,10,26,30,-2,0,69000000,0.086957,pre-covid
Jordan Staal,F,CAR,2014-15,25,Standard (1-way),6000000,L,1,6,0,0,-6,47,0.10999999999999999,0.07999999999999996,-0.14,0,175,5,15,1,106,-3,10,-2,-2,64,12,52446,43599,566,5355,95,71,0,16,7,5,0,1,85,81,0,1,39,35,0,0,24,19,0,4,15,6,0,5,2,0,0,1,509,425,3,45,395,327,17,6,15,13,0,0,18,10,0,6,-2,2,0,0,69000000,0.086957,pre-covid
Milan Lucic,F,BOS,2014-15,26,Standard (1-way),6000000,L,2,6,0,0,13,81,0.040000000000000036,-0.010000000000000009,-0.13,-0.09999999999999998,0,25,6,11,-85,12,1,6,0,78,10,79498,68237,182,8614,141,119,0,11,18,13,0,2,259,233,1,14,31,30,0,0,46,40,1,4,14,9,0,0,5,2,0,0,34,14,0,20,42,14,2,0,23,22,0,0,26,18,0,6,-8,-8,0,0,69000000,0.086957,pre-covid
Patrick Sharp,F,CHI,2014-15,32,Standard (1-way),5900000,R,9,9,0,0,-6,68,0.10999999999999999,0.020000000000000018,0.18000000000000002,0.010000000000000009,220,10,9,1,66,-4,-6,-9,0,138,15,68588,54847,113,11121,230,164,0,51,16,7,0,7,74,70,0,2,38,34,0,3,25,21,0,3,15,6,0,6,7,1,0,5,53,42,0,3,55,36,1,0,15,14,0,0,27,20,0,6,0,0,0,0,69000000,0.085507,pre-covid
Dustin Brown,F,L.A,2014-15,29,Standard (1-way),5875000,R,1,5,0,0,-17,82,0,-0.010000000000000009,-0.030000000000000013,-0.030000000000000027,79,-14,-12,-9,75,-7,7,-1,-8,75,10,81263,65163,6223,7094,189,160,8,17,11,10,0,1,242,218,7,7,29,24,5,0,46,35,2,7,9,6,0,1,1,1,0,0,15,6,1,8,20,11,6,2,24,18,0,5,16,11,0,5,42,34,8,0,69000000,0.085145,pre-covid
Alexander Steen,F,STL,2014-15,30,Standard (1-way),5800000,L,8,18,1,0,5,74,0.06000000000000005,0.010000000000000009,0.030000000000000013,0.06000000000000005,219,31,21,15,82,11,8,3,-12,203,30,88714,63341,7185,14209,223,147,8,55,24,14,0,6,32,29,2,0,39,28,7,2,32,19,2,7,19,14,0,4,8,4,0,3,218,148,52,4,215,153,1,33,37,17,4,15,40,22,0,16,20,22,0,4,69000000,0.084058,pre-covid
Brent Seabrook,D,CHI,2014-15,29,Standard (1-way),5800000,R,5,11,0,1,2,82,-0.020000000000000018,-0.020000000000000018,0.03,-0.020000000000000018,97,4,22,13,46,-1,10,2,-14,148,18,109122,84553,8586,11575,181,114,2,52,8,4,0,4,135,116,11,2,27,22,3,0,65,50,8,7,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,141,104,3,27,23,11,1,11,-8,-8,-2,2,69000000,0.084058,pre-covid
Ryan Callahan,F,T.B,2014-15,29,Standard (1-way),5800000,R,11,7,0,0,12,77,0.09999999999999998,0,0.07,0.010000000000000009,196,35,-1,5,65,14,-10,-3,-1,113,20,81937,64160,656,12667,191,147,0,27,24,12,0,8,184,177,0,2,43,37,3,0,25,21,0,4,21,10,0,6,11,4,0,4,15,10,0,5,16,9,0,0,46,41,0,2,30,22,0,5,7,8,5,-4,69000000,0.084058,pre-covid
