player,position,team,season,age,plusMinus,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,total_cap,percent_cap_hit,covid
Connor McDavid,F,EDM,2021-22,24,28,Standard (1-way),12500000,L,11,39,0,2,80,0.15999999999999998,0.06999999999999995,0.15,0.040000000000000036,522,80,104,47,214,23,32,6,0,278,44,105918,82080,1047,17109,315,207,0,74,44,22,0,10,75,65,0,6,73,66,1,1,68,48,0,16,54,33,0,9,22,8,0,5,562,535,4,13,484,440,11,5,26,25,0,0,79,36,1,30,69,55,6,0,81500000,0.153374,post-covid
Artemi Panarin,F,NYR,2021-22,29,21,Standard (1-way),11642857,R,7,35,0,0,75,0.12999999999999995,0.020000000000000018,0.92,-0.020000000000000018,200,66,58,30,-34,17,-5,-2,0,188,41,86501,69318,37,12988,177,119,1,38,22,13,0,4,22,21,0,1,56,48,0,3,71,51,0,13,16,3,0,4,9,2,0,3,1,1,0,0,1,0,0,0,14,10,0,0,74,35,0,30,16,16,0,0,81500000,0.142857,post-covid
Auston Matthews,F,TOR,2021-22,23,20,Standard (1-way),11640250,L,17,14,0,0,73,0.15000000000000002,0.08999999999999997,0.55,0.010000000000000009,451,66,65,26,229,28,33,4,0,197,38,90270,72301,227,12924,348,244,0,71,60,38,0,14,67,60,2,1,92,80,0,3,48,39,0,4,40,19,0,13,19,4,0,9,691,629,6,19,538,476,13,5,62,53,0,0,46,28,0,11,8,8,0,-2,81500000,0.142825,post-covid
Erik Karlsson,D,SJS,2021-22,31,-14,Standard (1-way),11500000,R,0,10,0,0,50,0.09000000000000002,0.04999999999999999,0.11000000000000001,0.020000000000000018,85,-4,4,-8,35,2,-1,-2,-4,83,11,70411,54724,4187,8083,117,88,1,18,10,7,0,0,18,15,1,1,52,45,3,1,63,52,3,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,45,42,0,2,25,13,0,9,8,6,0,2,81500000,0.141104,post-covid
Drew Doughty,D,LAK,2021-22,31,4,Standard (1-way),11000000,R,4,9,0,0,39,0.04999999999999993,0.039999999999999925,-0.05,0.040000000000000036,175,1,9,4,132,2,4,4,-15,95,11,60222,45975,4632,7077,99,62,4,25,7,2,0,4,60,55,2,1,9,5,0,4,24,20,2,1,4,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,53,35,0,14,24,14,0,9,-22,-20,0,0,81500000,0.134969,post-covid
John Tavares,F,TOR,2021-22,30,-8,Standard (1-way),11000000,L,11,17,0,0,79,0.07999999999999996,-0.020000000000000018,-0.22,0.010000000000000009,267,40,57,18,18,-4,15,-2,0,222,42,85671,67887,81,13438,237,152,0,63,27,15,0,9,90,83,0,5,40,33,0,4,65,55,0,6,42,26,0,8,11,6,0,3,813,612,2,153,529,395,17,1,44,39,0,0,49,24,0,15,4,4,2,-6,81500000,0.134969,post-covid
Mitchell Marner,F,TOR,2021-22,24,23,Standard (1-way),10903000,R,6,21,3,2,72,0.08999999999999997,0.05999999999999994,-0.01999999999999999,-0.020000000000000018,294,44,66,23,147,24,31,7,-15,200,33,90214,64417,8307,12667,224,129,20,52,35,22,2,5,75,66,3,4,72,54,14,1,63,49,7,4,31,13,2,6,16,7,1,3,10,3,4,0,8,1,0,5,31,22,2,4,62,39,1,17,12,8,2,2,81500000,0.133779,post-covid
Jonathan Toews,F,CHI,2021-22,33,-14,Standard (1-way),10500000,L,4,3,1,0,71,0.04999999999999999,0.02999999999999997,-0.039999999999999994,0.020000000000000018,-36,-12,4,-6,-59,-4,12,4,-10,110,10,74445,54322,5514,10931,125,88,6,21,12,7,1,4,25,18,1,3,48,39,5,2,34,25,2,7,12,8,0,3,5,3,0,2,788,497,94,130,548,365,57,85,22,15,0,6,25,20,0,3,-10,-6,-4,0,81500000,0.128834,post-covid
Patrick Kane,F,CHI,2021-22,32,-19,Standard (1-way),10500000,L,9,22,0,0,78,0.15000000000000008,0.03999999999999998,-0.08,0.05999999999999994,241,19,4,5,0,-2,-5,-6,0,213,28,102133,80355,116,16991,287,171,0,85,26,15,0,9,11,8,0,2,42,35,0,3,49,40,0,8,17,10,0,5,7,2,0,4,4,4,0,0,4,3,0,0,26,20,0,0,66,34,0,17,12,18,0,-2,81500000,0.128834,post-covid
Jack Eichel,F,VGK,2021-22,24,3,Standard (1-way),10000000,R,3,5,0,0,34,0.04999999999999993,-0.040000000000000036,-0.02,0.020000000000000018,109,16,0,0,21,6,0,1,0,67,12,39559,31606,82,5715,133,99,0,21,14,10,0,3,45,43,0,0,25,23,0,0,29,22,0,7,10,6,0,2,2,1,0,1,184,143,0,24,195,163,2,1,35,33,0,0,11,5,0,5,8,4,0,0,81500000,0.122699,post-covid
