player,position,team,season,age,plusMinus,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,total_cap,percent_cap_hit,covid
Justin Williams,F,WSH,2016-17,34,14,Standard (1-way),3250000,R,6,7,0,0,79,0.08999999999999997,0.030000000000000027,-0.04000000000000001,-0.030000000000000027,221,33,14,2,107,18,4,-7,-1,112,18,73413,60665,1813,9422,166,137,0,24,23,18,0,4,28,24,0,4,36,29,4,3,42,35,1,5,24,17,0,6,6,2,0,3,64,18,1,43,53,21,18,0,41,38,0,2,24,19,0,4,-18,-16,-2,0,73000000,0.044521,pre-covid
Clayton Stoner,D,ANA,2016-17,31,0,Standard (1-way),3250000,L,0,0,0,0,14,-0.040000000000000036,0.050000000000000044,0.04000000000000001,-0.88,0,-1,2,-1,17,0,4,0,-1,0,0,14743,12643,1813,46,16,15,1,0,1,1,0,0,35,33,2,0,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,0,4,2,2,0,0,2,2,-2,2,73000000,0.044521,pre-covid
Jonathan Huberdeau,F,FLA,2016-17,23,-2,Standard (1-way),3250000,L,3,4,0,0,31,0.14,0.06000000000000005,0.26,0,126,9,13,-3,29,1,1,-4,0,68,7,33330,26974,135,4317,86,57,0,15,10,4,0,2,18,18,0,0,15,12,0,0,24,15,0,5,12,8,0,2,4,2,0,1,4,4,0,0,5,5,0,0,7,6,0,0,16,11,0,4,2,2,0,0,73000000,0.044521,pre-covid
Tyler Toffoli,F,L.A,2016-17,24,6,Standard (1-way),3250000,R,4,3,0,1,63,0.08999999999999997,0.029999999999999916,0.06,0.06999999999999995,197,11,19,3,97,1,7,1,-6,110,12,62694,48498,3751,8066,165,123,2,25,16,9,0,4,54,50,2,1,19,14,3,1,31,26,2,3,21,12,0,7,8,5,0,2,2,1,0,1,3,1,0,0,4,2,0,1,18,9,1,2,-5,-7,2,0,73000000,0.044521,pre-covid
Charlie Coyle,F,MIN,2016-17,24,13,Standard (1-way),3200000,R,4,5,0,0,82,0.06000000000000005,0.010000000000000009,0.039999999999999994,-0.040000000000000036,195,26,30,20,71,8,20,6,-3,120,14,82174,67626,1783,10051,159,131,1,17,18,11,0,4,101,96,2,2,30,26,1,1,34,29,1,3,16,10,0,3,10,5,0,2,114,89,1,18,134,103,9,0,63,56,0,3,38,27,0,5,16,18,2,-4,73000000,0.043836,pre-covid
Zbynek Michalek,D,ARI,2016-17,33,1,Standard (1-way),3200000,R,0,0,0,0,2,-0.13,-0.15000000000000002,0,0,-12,0,-2,0,-12,0,-2,0,0,0,0,2143,1983,77,0,2,2,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,73000000,0.043836,pre-covid
Matt Stajan,F,CGY,2016-17,32,3,Standard (1-way),3125000,L,0,0,0,2,81,-0.09000000000000002,-0.020000000000000018,-0.05,-0.12,-116,-18,-26,-10,-5,0,-12,-2,-18,4,0,61631,51539,8216,382,59,50,6,2,6,6,0,0,60,59,1,0,30,24,6,0,22,19,2,0,5,4,1,0,1,1,0,0,385,317,57,5,383,301,9,28,39,27,0,7,17,14,2,0,-14,-18,0,2,73000000,0.042808,pre-covid
Martin Hanzal,F,MIN,2016-17,29,-17,Standard (1-way),3100000,L,5,4,0,0,70,0.07,0.030000000000000027,0.05000000000000002,0.06000000000000005,53,-10,-2,-2,-11,-11,3,-1,-12,109,14,74193,56082,5331,9533,167,123,12,26,20,14,0,5,144,134,1,5,31,21,4,3,28,18,1,8,24,17,0,5,9,7,0,2,754,578,52,82,582,434,56,46,58,53,0,1,19,12,0,4,6,2,6,-2,73000000,0.042466,pre-covid
Kris Russell,D,EDM,2016-17,29,5,Standard (1-way),3100000,L,0,1,0,0,67,-0.11000000000000004,-0.04999999999999999,0,-0.050000000000000044,-114,-10,-26,-8,-1,7,0,0,-11,11,1,85253,72326,8505,1093,67,62,0,2,1,1,0,0,67,63,4,0,36,34,2,0,59,47,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,164,0,18,12,11,0,1,6,8,-4,2,73000000,0.042466,pre-covid
Marcus Kruger,F,CHI,2016-17,26,7,Standard (1-way),3083333,L,0,0,0,0,70,-0.09000000000000002,0.010000000000000009,0.03,-0.31999999999999995,-73,-8,-5,-6,76,6,11,0,-13,0,0,58886,47852,8898,395,83,70,12,0,5,4,0,0,31,28,2,0,24,20,3,0,10,8,2,0,8,5,0,0,1,0,0,0,357,319,25,0,370,290,5,26,62,48,0,4,12,12,0,0,-18,-16,-2,0,73000000,0.042237,pre-covid
