player,position,team,season,age,plusMinus,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,total_cap,percent_cap_hit,covid
P.K. Subban,D,NSH,2018-19,29,5,Standard (1-way),9000000,R,2,8,1,0,63,0.06000000000000005,0.040000000000000036,-0.01999999999999999,0.010000000000000009,116,10,-7,0,69,5,1,2,-11,93,12,85567,66721,5379,8961,168,132,1,30,9,6,1,2,56,50,2,0,22,17,1,1,57,51,2,3,3,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,75,56,4,7,22,11,0,7,-14,-18,2,2,79500000,0.113208,pre-covid
Sidney Crosby,F,PIT,2018-19,30,18,Standard (1-way),8700000,L,12,17,0,2,79,0.11999999999999994,0.08000000000000007,0,0.010000000000000009,286,56,46,24,165,40,8,6,-4,153,26,99481,76523,2383,14288,220,158,4,43,35,20,0,11,85,82,1,0,54,45,3,4,67,47,1,12,39,21,1,13,15,5,0,8,1011,745,14,180,815,624,76,21,43,37,0,1,66,42,1,17,24,14,4,2,79500000,0.109434,pre-covid
Corey Perry,F,ANA,2018-19,33,-16,Standard (1-way),8625000,R,2,2,0,0,31,0.06,-0.030000000000000027,-0.09,-0.050000000000000044,22,-12,-3,0,-10,-12,-6,-1,0,30,2,27485,23508,21,3195,60,51,0,9,6,4,0,2,21,19,0,1,12,10,0,1,11,10,0,0,3,2,0,1,1,0,0,1,0,0,0,0,2,2,0,0,14,12,0,0,4,2,0,2,2,4,2,-6,79500000,0.108491,pre-covid
Steven Stamkos,F,T.B,2018-19,28,4,Standard (1-way),8500000,R,19,22,2,0,82,0.09999999999999998,0.010000000000000009,0,0.040000000000000036,173,64,43,26,22,8,-1,-7,1,185,46,89974,65506,2761,16619,234,130,3,82,45,23,2,16,71,65,0,2,28,25,2,1,60,45,0,12,21,8,1,10,11,2,1,7,506,371,74,34,447,335,24,55,40,32,1,2,53,26,0,17,12,18,-4,0,79500000,0.106918,pre-covid
Leon Draisaitl,F,EDM,2018-19,22,2,Standard (1-way),8500000,L,16,13,3,0,82,0.09000000000000002,0,0.09,0.07000000000000006,114,31,22,16,-80,0,0,7,-7,214,39,111102,84317,5513,15434,231,140,11,64,50,28,3,15,57,54,1,2,71,53,12,3,116,84,5,19,29,11,3,12,17,5,2,10,678,456,55,111,663,427,107,59,26,20,0,4,55,33,1,12,8,4,0,2,79500000,0.106918,pre-covid
Claude Giroux,F,PHI,2018-19,30,9,Standard (1-way),8275000,R,2,21,1,0,82,0.11999999999999994,0.050000000000000044,0.11,0.10999999999999999,223,29,20,11,8,7,-21,-2,-10,241,29,105535,74212,7863,16579,230,151,10,51,22,16,1,2,28,21,1,1,45,35,6,1,48,40,0,6,12,6,1,2,4,1,0,1,675,407,69,154,489,323,79,55,19,15,0,3,62,34,0,20,4,2,0,2,79500000,0.104088,pre-covid
Jakub Voracek,F,PHI,2018-19,28,-16,Standard (1-way),8250000,L,4,14,0,0,78,0.10999999999999993,0.010000000000000009,-0.17,0.06999999999999995,240,14,33,10,-6,-8,-5,-5,0,213,24,87298,66736,39,14467,210,134,0,53,21,13,0,4,17,14,0,2,32,24,0,5,58,45,0,9,26,14,0,9,10,5,0,4,12,11,0,0,18,16,0,0,29,28,0,0,45,23,0,14,11,11,0,-2,79500000,0.103774,pre-covid
Ryan Getzlaf,F,ANA,2018-19,33,-19,Standard (1-way),8250000,R,1,10,0,0,67,0.11000000000000004,0.04999999999999999,-0.03,-0.020000000000000018,78,-9,-12,0,29,-7,-10,2,-3,108,9,77986,61068,2231,10190,133,100,0,25,14,11,0,1,150,136,2,6,60,55,1,3,79,58,4,10,6,4,0,0,4,3,0,0,551,453,20,41,463,385,18,25,74,65,1,5,34,21,0,10,-21,-23,4,-2,79500000,0.103774,pre-covid
John Carlson,D,WSH,2018-19,28,21,Standard (1-way),8000000,R,3,34,0,0,80,0.07,0.030000000000000027,0.01999999999999999,0.04999999999999993,175,43,-6,-1,58,30,-17,-1,-19,222,37,120345,82964,11805,19221,185,128,7,34,13,8,0,2,54,39,9,3,55,33,4,13,87,62,9,7,4,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,164,109,8,35,57,25,0,27,-8,0,-4,-4,79500000,0.100629,pre-covid
Brent Burns,D,S.J,2018-19,33,13,Standard (1-way),8000000,R,8,25,1,4,82,0.06999999999999995,0.039999999999999925,0,-0.010000000000000009,290,34,33,25,175,10,17,7,-11,188,29,123437,91150,9653,15070,300,212,9,53,16,6,1,4,90,74,12,2,88,65,13,5,118,91,15,7,10,1,1,5,5,0,0,3,0,0,0,0,1,0,0,1,105,84,5,8,66,36,3,19,-12,-12,-2,-2,79500000,0.100629,pre-covid
Phil Kessel,F,PIT,2018-19,30,-19,Standard (1-way),8000000,R,12,25,0,0,82,0.06000000000000005,-0.040000000000000036,-0.29,0,131,25,42,16,-62,9,-5,0,0,167,26,88401,68907,12,14841,215,144,0,49,27,15,0,9,12,12,0,0,33,30,0,0,78,55,0,20,25,11,0,9,11,4,0,5,4,2,0,0,5,5,0,0,18,17,0,0,54,28,0,22,-20,-14,0,-4,79500000,0.100629,pre-covid
Ryan Johansen,F,NSH,2018-19,25,7,Standard (1-way),8000000,R,0,16,1,1,80,0.07999999999999996,0.040000000000000036,0.07,0.030000000000000027,183,26,29,15,58,5,12,1,0,132,13,93846,67349,6429,13053,136,100,2,21,14,10,1,0,95,83,4,4,43,30,10,3,67,41,4,17,23,22,0,0,4,3,0,0,783,603,49,81,678,505,70,44,23,17,1,1,50,31,1,12,-16,-16,0,2,79500000,0.100629,pre-covid
Victor Hedman,D,T.B,2018-19,27,24,Standard (1-way),7875000,L,2,23,0,1,70,0.050000000000000044,0.020000000000000018,0.04000000000000001,0.030000000000000027,84,57,33,25,22,17,5,3,-8,153,44,95619,69355,8367,13444,183,135,5,28,12,8,0,2,59,55,4,0,32,23,6,1,50,31,5,12,9,7,0,1,2,2,0,0,0,0,0,0,1,0,0,0,97,69,3,19,42,13,1,23,-23,-19,0,-2,79500000,0.099057,pre-covid
Shea Weber,D,MTL,2018-19,32,15,Standard (1-way),7857143,R,5,1,0,0,58,-0.020000000000000018,-0.010000000000000009,0,-0.07000000000000006,57,16,13,9,49,11,6,2,-9,91,11,81721,60347,9160,8497,166,118,9,34,14,9,0,5,129,115,6,6,17,7,6,4,67,45,12,4,5,0,0,4,3,0,0,3,0,0,0,0,0,0,0,0,109,73,6,22,18,16,0,1,-24,-20,-4,0,79500000,0.098832,pre-covid
Evgeny Kuznetsov,F,WSH,2018-19,26,7,Standard (1-way),7800000,L,8,18,0,0,76,0.10000000000000003,-0.030000000000000027,0.09999999999999998,0.07999999999999996,143,43,4,9,-71,16,-15,2,-3,199,34,85697,63975,977,16394,194,108,2,63,21,9,0,8,46,41,2,2,46,41,1,2,62,45,0,13,18,9,0,7,6,3,0,2,397,363,4,17,628,571,8,5,20,18,0,0,51,35,0,13,-18,-4,-4,-6,79500000,0.098113,pre-covid
Dustin Byfuglien,D,WPG,2018-19,33,4,Standard (1-way),7600000,R,1,17,0,1,42,0.08000000000000007,0.020000000000000018,0.05000000000000002,0.050000000000000044,105,18,23,11,44,3,7,2,-6,109,18,61014,45451,4357,7400,115,84,3,23,4,2,0,1,77,60,9,2,21,15,2,1,39,32,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,40,2,6,26,9,0,14,-44,-36,0,-6,79500000,0.095597,pre-covid
Ryan Suter,D,MIN,2018-19,33,-8,Standard (1-way),7538462,L,3,12,1,1,82,0.020000000000000018,0.010000000000000009,-0.009999999999999995,0,57,-9,19,-2,86,-3,22,-1,-24,135,19,130503,98109,10317,13861,133,96,1,26,6,3,0,1,77,67,4,3,25,19,2,2,30,27,0,3,7,4,0,2,3,1,0,1,1,0,0,0,0,0,0,0,108,92,1,8,40,23,0,9,-20,-22,0,4,79500000,0.094823,pre-covid
Zach Parise,F,MIN,2018-19,33,-2,Standard (1-way),7538462,L,10,6,0,2,74,0.050000000000000044,0,-0.04000000000000001,0.010000000000000009,176,9,22,10,89,1,6,1,-11,130,17,82355,60476,4830,11859,228,152,4,53,28,16,0,8,49,42,0,3,22,16,2,2,25,19,1,5,35,16,0,12,13,3,0,6,9,5,1,2,25,14,0,5,71,58,0,7,33,19,0,6,20,22,-2,2,79500000,0.094823,pre-covid
Vladimir Tarasenko,F,STL,2018-19,26,8,Standard (1-way),7500000,L,17,12,0,0,76,0.13,0.030000000000000027,-0.16,0,345,38,26,12,108,4,-4,-2,0,188,29,83399,65108,279,12272,274,185,0,65,33,19,0,12,88,86,0,1,34,28,1,3,31,25,0,3,25,11,0,10,12,5,0,7,4,3,1,0,2,2,0,0,40,36,0,1,34,16,0,11,22,26,0,-4,79500000,0.09434,pre-covid
Jason Spezza,F,DAL,2018-19,35,-13,Standard (1-way),7500000,R,3,12,0,0,76,0.11999999999999994,0.010000000000000009,-0.07,0.030000000000000027,139,14,20,5,-34,-8,-7,-5,0,136,25,60427,48414,54,9653,121,90,0,22,8,6,0,1,16,14,0,1,26,19,0,4,53,47,0,5,8,4,0,0,1,0,0,0,469,401,2,50,337,287,4,1,30,30,0,0,20,8,0,10,-12,-6,0,-6,79500000,0.09434,pre-covid
Aaron Ekblad,D,FLA,2018-19,22,1,Standard (1-way),7500000,R,5,5,0,0,82,-0.020000000000000018,0.010000000000000009,0.06,-0.020000000000000018,84,-3,-19,-5,46,0,-11,-8,-17,99,12,115980,91446,11082,8035,181,127,11,37,14,8,0,5,114,99,9,3,47,37,8,0,123,99,9,8,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,88,73,0,11,23,14,0,5,-14,-8,-10,6,79500000,0.09434,pre-covid
Ryan O'Reilly,F,STL,2018-19,27,22,Standard (1-way),7500000,L,7,20,1,2,82,0.050000000000000044,0.020000000000000018,-0.010000000000000009,0.010000000000000009,216,41,12,5,93,23,-5,0,-10,191,30,101793,72244,9070,13039,234,165,5,46,28,18,0,6,31,26,0,2,94,68,13,6,33,27,2,4,24,13,1,6,9,3,0,4,1084,741,110,144,820,560,90,100,36,26,1,4,47,24,1,14,30,30,2,0,79500000,0.09434,pre-covid
Mark Stone,F,VGK,2018-19,26,17,Standard (1-way),7350000,R,8,16,1,0,77,0.12000000000000005,0.08000000000000002,0.09,0.06999999999999995,188,32,59,15,63,19,31,14,-9,129,20,91646,71074,4935,10686,198,139,13,33,33,22,1,6,72,59,6,3,122,102,9,6,62,46,4,10,28,16,2,6,10,5,0,4,28,21,0,6,34,27,2,2,71,63,0,5,39,22,0,12,24,22,0,2,79500000,0.092453,pre-covid
David Krejci,F,BOS,2018-19,32,7,Standard (1-way),7250000,R,6,13,0,0,81,0.08999999999999997,0.040000000000000036,-0.05000000000000002,-0.06999999999999995,193,33,-1,-2,100,18,-1,0,-1,61,11,85944,69862,789,9195,140,110,0,19,20,12,0,4,28,26,0,1,54,44,0,0,44,37,0,5,10,6,0,2,5,3,0,1,530,453,14,31,565,495,16,12,24,20,0,0,52,35,0,8,20,20,2,-2,79500000,0.091195,pre-covid
Bobby Ryan,F,OTT,2018-19,31,-29,Standard (1-way),7250000,R,7,9,0,0,78,0.07,0,0.07999999999999999,0.040000000000000036,1,-5,-4,-4,-121,-20,-26,-11,0,105,19,73377,59761,384,10545,160,114,1,38,15,7,0,7,77,70,0,7,50,43,0,3,48,38,0,10,18,6,0,9,7,0,0,6,8,5,0,1,18,15,0,1,49,48,0,0,27,17,0,8,0,4,0,-2,79500000,0.091195,pre-covid
Kris Letang,D,PIT,2018-19,31,13,Standard (1-way),7250000,R,2,17,1,1,65,0.09000000000000002,0.07000000000000006,0,-0.04999999999999993,170,31,26,16,144,26,10,8,-9,115,19,101218,76144,7772,11952,207,165,6,22,17,10,0,2,116,92,13,5,63,49,5,4,75,46,14,8,6,0,0,3,4,0,0,2,0,0,0,0,0,0,0,0,111,84,2,18,39,22,1,16,-16,-8,2,-6,79500000,0.091195,pre-covid
Evander Kane,F,S.J,2018-19,26,-4,Standard (1-way),7000000,L,5,7,1,1,75,0.039999999999999925,0.010000000000000009,0.04999999999999999,0.020000000000000018,206,11,36,13,138,4,25,7,-1,100,16,82846,65742,4225,8032,268,210,10,34,30,21,1,5,173,162,6,4,48,40,5,1,38,34,0,4,35,20,4,9,8,3,0,4,92,66,8,15,120,82,20,7,25,24,0,0,26,18,1,6,-50,-50,-2,0,79500000,0.08805,pre-covid
Drew Doughty,D,L.A,2018-19,28,-34,Standard (1-way),7000000,R,7,17,0,1,82,0,-0.020000000000000018,-0.04999999999999999,0,-141,-39,-28,-17,-124,-19,-11,-6,-30,127,14,130010,97883,11419,13124,153,98,3,32,8,0,0,4,168,140,17,6,23,18,2,1,105,72,14,12,5,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,119,96,4,13,37,16,1,13,-26,-32,6,2,79500000,0.08805,pre-covid
Marc-Edouard Vlasic,D,S.J,2018-19,31,-6,Standard (1-way),7000000,L,0,1,0,1,72,-0.12999999999999995,-0.06999999999999995,-0.09,0.020000000000000018,-122,-21,-20,-3,0,-10,-5,-3,-20,39,8,90903,72761,10542,3023,100,77,9,9,3,3,0,0,23,21,0,0,24,16,3,2,51,41,8,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,114,91,4,6,21,17,0,1,0,0,2,0,79500000,0.08805,pre-covid
Dion Phaneuf,D,L.A,2018-19,33,-21,Standard (1-way),7000000,L,0,0,0,0,67,0.010000000000000009,0.010000000000000009,0.04000000000000001,-0.06999999999999995,-51,-29,-9,-5,-45,-18,-1,2,-8,15,0,60287,52884,2894,2539,80,70,0,8,1,1,0,0,128,123,3,0,6,5,1,0,30,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,71,1,4,5,5,0,0,-4,-4,-7,2,79500000,0.08805,pre-covid
James van Riemsdyk,F,PHI,2018-19,29,-10,Standard (1-way),7000000,L,8,5,0,0,66,0.07000000000000006,-0.020000000000000018,-0.06,-0.040000000000000036,54,12,6,9,-104,-9,-19,1,0,127,17,65788,52452,28,10490,167,113,0,41,27,14,0,7,34,28,0,4,25,23,0,0,19,17,0,2,29,10,0,14,14,5,0,6,6,6,0,0,5,4,0,0,16,14,0,0,19,13,0,3,-6,-2,0,-4,79500000,0.08805,pre-covid
Ryan Kesler,F,ANA,2018-19,33,-19,Standard (1-way),6875000,R,1,2,0,0,60,-0.07,-0.06,-0.06,-0.020000000000000018,-176,-37,-38,-23,-75,-6,-10,-2,-24,58,2,59326,43105,7614,5957,86,68,4,11,5,4,0,1,93,89,0,4,18,11,7,0,26,18,1,6,8,4,0,3,1,1,0,0,582,407,93,61,463,320,27,76,56,36,0,14,3,1,0,2,-16,-4,-4,-8,79500000,0.086478,pre-covid
Brent Seabrook,D,CHI,2018-19,33,-6,Standard (1-way),6875000,R,2,8,0,1,78,-0.04999999999999999,-0.030000000000000027,0.020000000000000004,-0.010000000000000009,-133,-22,-23,-3,-65,-6,-12,5,-22,87,8,89320,70001,9170,7291,165,130,1,30,5,3,0,1,124,105,13,1,19,16,1,1,72,55,13,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,181,149,2,20,23,13,1,6,-16,-18,0,0,79500000,0.086478,pre-covid
Patrice Bergeron,F,BOS,2018-19,32,23,Standard (1-way),6875000,R,16,21,4,4,65,0.09999999999999998,0.05999999999999994,0.04999999999999999,0.12,197,54,16,9,88,17,4,0,-6,139,33,71906,49346,6023,11306,205,127,8,46,32,14,3,7,43,36,2,4,41,30,1,6,27,23,1,2,16,7,0,4,10,2,0,3,786,507,73,141,602,389,94,62,59,44,0,5,46,21,3,17,-4,-6,0,2,79500000,0.086478,pre-covid
Johnny Gaudreau,F,CGY,2018-19,24,18,Standard (1-way),6750000,L,6,21,0,0,82,0.09999999999999998,0.010000000000000009,0.16,0,326,57,51,29,90,16,8,2,0,198,36,98889,77264,184,15563,245,186,0,39,36,24,0,6,12,11,0,1,58,55,0,1,124,97,0,25,26,11,0,8,10,4,0,3,1,0,0,1,2,2,0,0,12,11,0,0,64,37,0,20,56,54,0,-2,79500000,0.084906,pre-covid
Mark Giordano,D,CGY,2018-19,34,39,Standard (1-way),6750000,L,3,20,4,2,78,0.04999999999999993,0.04999999999999993,-0.03,-0.020000000000000018,244,55,29,19,160,27,2,1,-10,185,35,113655,81519,11418,14795,221,152,6,48,17,10,4,2,58,51,5,1,73,54,8,6,65,46,9,6,9,0,3,4,5,0,2,2,0,0,0,0,0,0,0,0,144,96,8,29,54,29,1,17,-42,-34,0,-4,79500000,0.084906,pre-covid
Nicklas Backstrom,F,WSH,2018-19,30,2,Standard (1-way),6700000,L,9,19,0,0,80,0.09000000000000002,0.010000000000000009,0.07999999999999999,0.07999999999999996,207,36,12,12,21,10,-6,-2,-8,218,35,95782,68322,3937,17377,171,119,7,31,22,13,0,4,54,48,0,1,53,39,3,5,62,43,1,13,20,6,1,7,5,0,0,2,701,532,32,75,737,567,66,28,30,23,0,3,52,29,0,17,-4,-4,4,-2,79500000,0.084277,pre-covid
David Pastrnak,F,BOS,2018-19,22,6,Standard (1-way),6666667,R,20,22,0,0,66,0.14,0.030000000000000027,-0.15,0.05999999999999994,274,52,6,15,84,15,-2,5,-1,156,30,74076,57504,95,11709,235,147,0,71,38,20,0,16,57,53,0,2,36,32,0,2,89,67,0,19,20,8,0,8,9,2,0,5,1,1,0,0,2,1,0,0,25,23,0,0,43,19,0,13,30,28,0,-4,79500000,0.083857,pre-covid
Kevin Shattenkirk,D,NYR,2018-19,29,-15,Standard (1-way),6650000,R,1,6,0,0,73,0.11000000000000004,0.04999999999999999,0.039999999999999994,0.030000000000000027,140,-5,11,-2,19,-7,1,-2,-2,123,10,83030,67706,1884,10229,148,107,1,31,2,1,0,1,73,69,0,3,39,31,2,4,55,44,0,7,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,104,95,1,3,25,15,0,6,-6,-4,0,-2,79500000,0.083648,pre-covid
Jimmy Schuldt,D,VGK,2018-19,23,-1,Entry-Level,6567500,L,0,0,0,0,1,0.06000000000000005,-0.07999999999999996,-0.06,0.32999999999999996,-2,-1,-4,-2,-1,0,-3,-1,0,0,0,1263,1147,2,109,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,79500000,0.08261,pre-covid
Cam Fowler,D,ANA,2018-19,26,-14,Standard (1-way),6500000,L,1,5,0,1,59,0.019999999999999962,-0.02999999999999997,-0.03,0.06999999999999995,-96,-3,-25,-5,-115,-3,-28,-4,-7,103,14,82687,66352,5173,8396,88,58,2,22,5,2,0,1,32,28,1,0,24,20,2,2,43,33,3,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,90,77,2,9,18,10,1,5,-12,-8,0,-4,79500000,0.081761,pre-covid
Alex Pietrangelo,D,STL,2018-19,28,2,Standard (1-way),6500000,R,3,16,0,1,71,0.030000000000000027,0.020000000000000018,0.03,-0.07000000000000006,159,10,9,-2,99,7,3,1,-16,119,23,102175,76922,7979,10935,168,119,9,26,13,6,0,3,61,46,9,4,55,36,11,5,50,40,3,6,8,3,0,2,3,0,0,2,0,0,0,0,1,0,0,0,139,105,5,20,28,13,1,12,10,6,0,4,79500000,0.081761,pre-covid
