player,position,team,season,age,plusMinus,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,total_cap,percent_cap_hit,covid
Connor McDavid,F,EDM,2018-19,21,3,Standard (1-way),12500000,L,9,24,1,1,78,0.12000000000000005,0.030000000000000027,0.14,0.07999999999999996,168,32,2,13,-47,0,-22,3,-6,211,38,107037,83276,2979,15164,240,159,4,58,41,25,2,8,39,31,1,3,98,87,0,6,89,68,0,16,30,17,0,10,14,7,0,6,428,393,7,15,490,445,13,7,30,25,0,1,74,40,1,23,50,46,2,0,79500000,0.157233,pre-covid
John Tavares,F,TOR,2018-19,27,19,Standard (1-way),11000000,L,10,10,0,0,82,0.08999999999999997,0.020000000000000018,-0.009999999999999981,0.06000000000000005,221,47,43,15,14,22,8,-3,-3,205,25,93782,75274,900,12076,286,200,1,66,47,33,0,8,59,51,0,5,53,49,0,1,72,57,1,11,47,25,0,17,15,6,0,7,833,619,23,135,693,553,46,20,53,48,0,1,40,27,0,8,18,14,2,0,79500000,0.138365,pre-covid
Jonathan Toews,F,CHI,2018-19,30,2,Standard (1-way),10500000,L,9,14,1,0,82,0.06000000000000005,0.010000000000000009,0.020000000000000004,0.030000000000000027,81,12,-28,-5,-28,4,-16,1,-22,190,29,103333,75242,7837,15072,236,156,6,44,35,20,1,8,42,34,1,2,72,58,9,2,52,41,6,3,28,19,0,3,14,7,0,3,1058,706,108,152,821,544,103,103,43,29,0,6,45,23,0,11,-6,4,-2,-6,79500000,0.132075,pre-covid
Patrick Kane,F,CHI,2018-19,29,2,Standard (1-way),10500000,L,9,21,0,0,81,0.11000000000000004,-0.010000000000000009,0.22000000000000003,0.030000000000000027,138,42,-16,10,-108,16,-16,5,0,205,31,109202,86793,183,17057,340,216,1,83,44,26,0,8,21,19,0,1,42,36,0,0,53,43,0,8,24,8,0,4,11,3,0,3,1,0,0,0,4,3,0,0,18,17,0,0,64,39,0,15,24,26,0,-4,79500000,0.132075,pre-covid
William Nylander,F,TOR,2018-19,22,-4,Standard (1-way),10277778,R,1,5,0,0,54,0.07999999999999996,0.040000000000000036,-0.17,-0.06999999999999995,133,7,24,1,64,7,7,-1,-1,47,4,50377,42923,115,5672,130,113,0,10,7,6,0,1,16,16,0,0,28,25,0,3,25,20,0,5,12,9,0,3,1,1,0,0,203,180,0,18,165,136,4,0,14,13,0,0,20,15,0,3,10,10,0,0,79500000,0.12928,pre-covid
Anze Kopitar,F,L.A,2018-19,30,-20,Standard (1-way),10000000,L,1,18,2,0,81,0.020000000000000018,-0.02999999999999997,-0.030000000000000013,0,-49,-20,-19,-12,-93,-9,-17,-5,-22,126,16,107966,79512,8983,12403,156,111,9,22,22,17,2,1,59,51,5,0,57,47,4,0,58,42,3,9,19,8,2,6,8,5,0,1,1003,738,103,100,817,594,76,80,66,55,0,9,39,17,0,14,16,12,2,-2,79500000,0.125786,pre-covid
Jack Eichel,F,BUF,2018-19,21,-11,Standard (1-way),10000000,R,8,18,0,0,77,0.10999999999999993,0.020000000000000018,0.14,0.030000000000000027,273,19,25,11,43,-1,15,2,-5,214,26,94078,71218,2504,15458,303,201,5,67,28,16,0,8,70,63,1,3,38,29,4,2,76,61,2,10,32,17,1,6,11,4,0,5,599,437,15,95,672,528,48,18,51,45,0,1,53,31,0,15,24,24,4,-6,79500000,0.125786,pre-covid
Alex Ovechkin,F,WSH,2018-19,32,7,Standard (1-way),9538462,R,21,10,0,0,81,0.11999999999999994,0,-0.14,0.04999999999999993,199,53,8,13,-32,17,-18,-3,0,228,37,101709,75229,35,21012,338,201,0,113,51,29,0,17,223,204,0,7,47,34,0,11,70,51,0,12,33,15,0,11,18,4,0,10,1,1,0,0,4,3,0,0,41,32,0,0,38,22,0,9,0,2,0,-2,79500000,0.119981,pre-covid
Evgeni Malkin,F,PIT,2018-19,31,-25,Standard (1-way),9500000,L,10,17,0,0,68,0.09000000000000008,0,0.12000000000000002,0.04999999999999993,145,14,39,15,-17,-1,-2,-1,0,153,23,76668,59093,150,13073,188,118,0,56,21,11,0,9,54,48,1,3,64,55,0,3,83,66,0,12,22,11,0,6,8,2,0,5,381,367,0,7,453,421,9,1,33,28,0,0,51,30,0,12,-26,-20,0,-12,79500000,0.119497,pre-covid
Jamie Benn,F,DAL,2018-19,28,14,Standard (1-way),9500000,L,9,4,0,0,78,0.10000000000000003,0.020000000000000018,0.04000000000000001,0.010000000000000009,182,40,36,13,3,21,3,4,-3,159,24,85291,66923,1534,11646,189,140,1,39,27,18,0,8,142,132,0,8,44,35,1,4,80,64,2,10,38,16,0,16,12,5,0,6,205,145,4,41,213,145,32,11,71,63,2,2,26,19,0,1,-11,-3,-2,-2,79500000,0.119497,pre-covid
