player,position,team,season,age,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,plusMinus,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,total_cap,percent_cap_hit,covid
Alex Ovechkin,F,WSH,2013-14,27,Standard (1-way),9538462,R,24,15,0,1,-35,78,0.19999999999999996,0.020000000000000018,-0.08,0.20000000000000007,308,27,19,17,-74,-27,-17,-11,0,337,51,96152,69861,45,22392,386,225,0,130,51,21,0,22,204,183,0,13,32,27,0,4,48,30,0,15,23,9,0,12,15,3,0,10,2,1,1,0,1,1,0,0,22,20,0,0,28,9,0,15,0,8,0,-12,64300000,0.148343,pre-covid
Evgeni Malkin,F,PIT,2013-14,26,Standard (1-way),8700000,L,8,24,0,0,16,60,0.2,0.06000000000000005,-0.08,-0.010000000000000009,355,54,44,29,63,13,9,2,-1,261,35,72226,52753,166,15880,191,95,0,79,23,15,0,6,27,21,0,2,37,28,0,7,58,43,1,12,23,13,0,4,9,4,0,3,303,283,2,4,318,304,0,0,18,15,0,0,49,22,0,21,4,20,2,-14,64300000,0.135303,pre-covid
Sidney Crosby,F,PIT,2013-14,25,Standard (1-way),8700000,L,11,31,0,0,14,80,0.18,0.07,0.020000000000000004,0.040000000000000036,452,72,67,40,133,18,19,4,-2,323,46,105467,77947,2225,19855,259,170,1,70,36,20,0,11,47,41,1,3,41,35,1,1,56,32,0,21,28,13,0,9,12,3,0,7,991,640,38,238,896,618,119,44,28,26,0,1,68,35,0,24,16,12,0,2,64300000,0.135303,pre-covid
Corey Perry,F,ANA,2013-14,28,Standard (1-way),8625000,R,10,12,0,0,30,81,0.12999999999999995,0.040000000000000036,0.05,0.020000000000000018,358,58,39,10,140,33,14,2,-5,211,26,94679,70529,2600,16001,280,195,8,58,43,31,1,7,81,73,1,5,31,26,3,2,56,48,3,5,43,21,3,10,15,8,1,6,9,8,1,0,16,15,0,1,28,20,0,4,39,28,0,9,28,27,6,-5,64300000,0.134137,pre-covid
Ryan Getzlaf,F,ANA,2013-14,28,Standard (1-way),8250000,R,6,23,0,1,26,77,0.06000000000000005,0.010000000000000009,-0.03,0,203,45,19,6,80,34,10,7,-12,203,24,98338,67217,9358,15867,204,137,4,49,31,23,0,4,110,83,10,6,53,35,11,5,76,48,3,25,19,13,2,2,10,7,0,1,692,507,89,48,719,513,34,116,87,60,2,17,56,36,0,16,18,20,-2,0,64300000,0.128305,pre-covid
Eric Staal,F,CAR,2013-14,28,Standard (1-way),8250000,L,1,11,2,2,-13,79,0.08999999999999997,0.030000000000000027,0.09,0.020000000000000018,178,4,29,6,8,-7,7,-2,-1,188,13,96162,72355,3639,14630,230,168,6,37,21,15,2,1,67,61,0,4,77,66,4,4,61,46,1,10,27,15,1,5,5,0,1,1,754,551,28,113,676,515,90,25,28,24,0,1,40,24,2,8,-26,-24,2,-8,64300000,0.128305,pre-covid
Shea Weber,D,NSH,2013-14,27,Standard (1-way),7857143,R,12,14,0,0,-2,79,0.010000000000000009,-0.010000000000000009,0.009999999999999995,0.020000000000000018,-7,8,12,15,-29,-2,5,7,-20,166,28,127395,96268,11999,13946,195,120,10,48,23,8,0,11,169,137,18,4,35,26,4,2,50,44,4,1,9,1,0,7,9,1,0,7,0,0,0,0,0,0,0,0,173,124,2,36,33,18,0,12,-18,-26,2,6,64300000,0.122195,pre-covid
Rick Nash,F,NYR,2013-14,29,Standard (1-way),7800000,L,5,4,2,2,9,65,0.08999999999999997,0.020000000000000018,0.12,0.010000000000000009,189,25,2,6,77,12,-6,6,2,114,10,66369,51909,1782,9009,258,195,5,40,26,18,2,3,11,11,0,0,51,44,3,3,49,36,0,11,16,7,1,2,8,6,0,1,2,0,2,0,0,0,0,0,29,22,0,1,13,8,2,3,22,22,0,-2,64300000,0.121306,pre-covid
Zach Parise,F,MIN,2013-14,28,Standard (1-way),7538462,L,16,7,1,1,7,67,0.14999999999999997,0.09000000000000002,0.039999999999999994,0,264,27,43,16,130,12,14,3,-8,167,23,82071,61072,4026,12452,245,152,9,67,29,11,1,14,70,62,2,2,46,37,5,2,18,13,1,3,37,17,2,15,15,4,0,9,10,10,0,0,14,11,1,1,45,37,0,5,27,18,0,6,6,4,0,4,64300000,0.117239,pre-covid
Ryan Suter,D,MIN,2013-14,28,Standard (1-way),7538462,L,4,17,0,1,10,82,0.04999999999999999,0,-0.009999999999999995,0.040000000000000036,37,28,35,19,-33,15,4,7,-17,222,26,144666,109670,11137,17448,150,95,2,35,8,3,0,2,72,55,6,2,30,21,3,1,41,26,0,10,9,2,1,5,2,1,0,1,1,0,0,1,0,0,0,0,132,92,7,21,35,18,1,13,-20,-20,0,2,64300000,0.117239,pre-covid
Steven Stamkos,F,T.B,2013-14,23,Standard (1-way),7500000,R,9,5,1,0,10,37,0.11999999999999994,0.020000000000000018,0.1,0.020000000000000018,102,27,18,13,1,9,5,3,-1,91,15,44953,33454,1179,7976,124,66,2,42,25,14,1,8,50,46,1,1,24,20,1,1,13,11,0,2,17,9,1,5,10,4,1,4,260,196,9,37,269,207,26,14,16,13,0,1,15,9,0,3,12,10,2,-2,64300000,0.116641,pre-covid
Dany Heatley,F,MIN,2013-14,32,Standard (1-way),7500000,L,4,6,0,0,-12,76,0.030000000000000027,-0.06,-0.09,-0.030000000000000027,32,0,18,6,-77,-12,-4,2,0,108,12,67573,54779,26,10955,110,74,0,34,12,8,0,3,33,32,0,1,21,16,0,4,19,11,0,7,19,10,0,8,8,5,0,2,7,5,0,1,10,6,0,0,30,29,0,0,16,10,0,6,6,6,0,-2,64300000,0.116641,pre-covid
Marian Gaborik,F,L.A,2013-14,31,Standard (1-way),7500000,L,4,11,0,0,13,41,0.08999999999999997,0,-0.1,-0.039999999999999925,144,19,20,5,54,13,12,3,0,87,10,41814,33164,77,6649,103,78,0,17,11,9,0,1,15,14,0,0,11,10,0,1,15,11,0,3,8,6,0,1,2,1,0,0,0,0,0,0,2,0,0,1,10,8,0,0,19,13,0,6,2,2,0,0,64300000,0.116641,pre-covid
Brian Campbell,D,FLA,2013-14,34,Standard (1-way),7142875,L,2,10,0,2,-6,82,0.08000000000000007,0.030000000000000027,0.010000000000000009,0.040000000000000036,114,-1,3,-14,37,-5,-4,-11,-12,199,16,132529,99638,8632,18113,116,74,1,32,7,5,0,2,50,38,8,3,43,31,4,7,45,33,5,7,3,1,0,2,2,1,0,1,0,0,0,0,1,1,0,0,108,88,4,10,30,15,2,8,0,-4,0,4,64300000,0.111087,pre-covid
Thomas Vanek,F,MTL,2013-14,29,Standard (1-way),7142857,R,11,11,0,0,3,78,0.11000000000000004,-0.010000000000000009,-0.12,0.010000000000000009,104,33,22,9,-127,18,1,4,0,192,14,90505,69571,203,16775,248,167,0,62,27,19,0,6,30,26,0,4,31,29,0,2,50,42,0,5,29,18,0,8,9,5,0,3,20,14,0,5,26,18,4,0,17,15,0,0,41,31,0,9,-22,-20,0,-6,64300000,0.111086,pre-covid
Joe Thornton,F,S.J,2013-14,33,Standard (1-way),7000000,L,3,18,0,1,14,82,0.16000000000000003,0.05999999999999994,-0.020000000000000004,0.040000000000000036,494,55,56,20,190,20,4,-2,-3,298,33,93141,70070,1742,17110,122,77,0,40,11,8,0,1,54,45,0,5,76,64,4,2,96,66,5,18,18,8,0,7,3,2,0,0,617,436,39,100,482,352,49,29,34,30,2,1,65,39,1,16,10,10,2,-4,64300000,0.108865,pre-covid
Drew Doughty,D,L.A,2013-14,23,Standard (1-way),7000000,R,7,19,0,1,19,78,0.04999999999999993,0.019999999999999907,0,-0.020000000000000018,248,29,31,10,153,16,11,5,-14,209,22,120309,85290,11361,17492,177,103,6,55,10,4,0,5,180,147,19,6,16,14,1,1,82,49,11,16,7,1,0,4,2,0,0,2,0,0,0,0,0,0,0,0,91,59,2,19,27,10,1,6,-28,-24,-2,0,64300000,0.108865,pre-covid
Alexander Semin,F,CAR,2013-14,29,Standard (1-way),7000000,R,6,6,1,0,1,65,0.12,0.06000000000000005,0.10999999999999999,-0.010000000000000009,223,15,21,5,73,7,-1,-3,-3,135,6,77648,59328,1999,12288,210,146,2,42,22,12,1,4,22,19,1,1,49,40,2,2,56,41,3,9,17,7,0,4,7,3,0,1,1,0,1,0,9,4,1,3,30,25,0,2,20,14,0,3,4,0,2,0,64300000,0.108865,pre-covid
Jason Spezza,F,OTT,2013-14,30,Standard (1-way),7000000,R,9,13,0,0,-26,75,0.07000000000000006,-0.010000000000000009,0.04000000000000001,0.010000000000000009,83,-6,16,6,-23,-18,-2,-1,-7,140,17,81870,61513,3364,12991,223,149,4,55,23,13,0,8,17,17,0,0,47,36,7,2,68,53,2,8,27,11,1,11,13,5,0,6,775,558,44,124,661,478,73,40,26,19,0,5,43,24,0,13,-32,-32,-2,0,64300000,0.108865,pre-covid
Zdeno Chara,D,BOS,2013-14,36,Standard (1-way),6916667,L,12,6,0,1,29,77,0.010000000000000009,0.020000000000000018,-0.020000000000000018,-0.010000000000000009,128,25,35,15,134,18,17,4,-24,143,23,113899,84685,13792,10446,168,117,4,32,17,7,0,10,163,132,22,5,20,16,2,1,62,44,9,5,19,2,0,15,9,2,0,7,0,0,0,0,0,0,0,0,104,65,0,27,23,13,1,5,-16,-18,-8,6,64300000,0.107569,pre-covid
Patrick Marleau,F,S.J,2013-14,33,Standard (1-way),6900000,L,11,13,2,0,0,82,0.039999999999999925,-0.010000000000000009,-0.039999999999999994,0.020000000000000018,297,23,60,21,96,2,21,5,-13,273,31,100968,71504,8070,16893,285,172,8,74,33,15,2,11,85,79,1,3,50,40,6,2,65,47,2,13,34,16,1,13,11,3,0,8,163,120,25,5,145,93,4,38,29,20,1,6,37,23,0,11,4,2,0,-4,64300000,0.107309,pre-covid
Anze Kopitar,F,L.A,2013-14,25,Standard (1-way),6800000,L,11,19,0,0,43,82,0.07999999999999996,0.05999999999999994,-0.01999999999999999,0.020000000000000018,363,40,40,14,235,31,27,9,-23,220,23,102765,71958,9168,15976,200,141,5,35,29,18,0,7,90,75,5,5,52,38,5,3,41,24,3,12,30,15,0,9,11,6,0,3,773,523,67,113,678,456,81,79,44,28,1,9,41,21,0,12,22,16,0,2,64300000,0.105754,pre-covid
Mikko Koivu,F,MIN,2013-14,30,Standard (1-way),6750000,L,2,19,0,3,-4,65,0.12999999999999995,0.09000000000000008,0.009999999999999995,0.020000000000000018,202,10,32,11,106,4,19,7,-12,166,20,81599,59650,5274,12563,147,111,1,26,11,8,0,2,33,28,2,1,49,39,4,2,27,15,2,8,10,8,0,2,3,2,0,1,719,484,67,119,592,409,81,59,32,26,0,3,43,19,2,15,2,6,-2,-2,64300000,0.104977,pre-covid
Pavel Datsyuk,F,DET,2013-14,34,Standard (1-way),6700000,L,7,7,0,0,2,45,0.13,0.040000000000000036,0.1,0.010000000000000009,178,17,10,8,52,3,-1,-2,-4,119,17,54722,42118,1477,7702,126,81,5,25,17,9,0,5,30,27,0,1,59,45,3,8,21,19,0,2,12,6,0,4,7,3,0,3,446,298,22,73,389,280,34,18,22,16,0,1,20,13,0,5,26,24,2,0,64300000,0.104199,pre-covid
Nicklas Backstrom,F,WSH,2013-14,25,Standard (1-way),6700000,L,6,38,1,0,-20,82,0.13000000000000006,0.020000000000000018,0.03,0.07000000000000006,170,24,-3,15,-69,-16,-12,-4,-4,281,45,97426,71743,4264,17097,196,125,6,51,18,10,1,6,89,77,3,3,54,43,1,4,24,15,0,9,14,6,1,5,4,0,1,2,714,522,28,100,701,543,50,29,54,42,0,9,61,18,0,36,-10,-12,2,-4,64300000,0.104199,pre-covid
Jay Bouwmeester,D,STL,2013-14,29,Standard (1-way),6680000,L,1,10,0,0,25,82,-0.040000000000000036,0.010000000000000009,-0.05,-0.030000000000000027,-7,22,-5,3,70,19,2,3,-15,92,14,118319,88138,15274,10122,152,112,4,24,4,2,0,1,51,37,8,3,18,12,4,0,22,17,4,1,1,0,0,1,0,0,0,0,3,0,2,1,1,0,0,1,106,71,1,21,33,23,0,9,-2,-2,-2,0,64300000,0.103888,pre-covid
Brad Richards,F,NYR,2013-14,33,Standard (1-way),6666666,L,7,17,0,0,-10,82,0.14,0.020000000000000018,-0.14,0,400,29,22,14,129,0,-10,-5,0,228,25,91923,69767,117,16867,259,169,0,65,20,15,0,3,24,22,0,2,33,29,0,2,46,31,0,13,12,5,0,2,3,1,0,1,512,445,0,26,517,448,5,5,43,36,0,0,31,15,0,11,-2,0,0,-2,64300000,0.103681,pre-covid
Dan Boyle,D,S.J,2013-14,36,Standard (1-way),6666666,R,6,15,0,0,-9,75,0.07999999999999996,-0.010000000000000009,-0.010000000000000009,0.020000000000000018,348,20,46,18,83,-4,9,4,0,250,22,95772,75330,1169,15480,154,90,0,48,12,5,0,5,46,39,0,5,26,22,0,4,59,47,0,8,12,4,0,5,4,0,0,3,0,0,0,0,0,0,0,0,92,80,5,2,24,8,0,11,-6,-8,0,0,64300000,0.103681,pre-covid
Paul Stastny,F,COL,2013-14,27,Standard (1-way),6600000,L,5,11,1,1,8,71,0.09000000000000002,0.03999999999999998,-0.009999999999999995,-0.040000000000000036,112,26,20,6,36,12,6,-1,-1,100,16,78351,62760,2430,9444,151,120,1,13,25,17,0,3,54,45,0,4,35,28,2,1,20,15,0,4,29,18,0,3,13,6,0,3,655,503,24,79,555,446,33,16,46,37,1,2,35,20,1,10,4,6,0,0,64300000,0.102644,pre-covid
Dion Phaneuf,D,TOR,2013-14,28,Standard (1-way),6500000,L,2,9,0,1,2,80,0,-0.030000000000000027,-0.020000000000000004,-0.010000000000000009,-237,-2,-23,2,-198,4,-10,1,-22,183,18,113079,79936,12692,15121,145,100,1,28,8,5,0,2,227,204,13,4,32,20,5,4,60,40,11,5,4,1,0,2,3,0,0,2,0,0,0,0,1,0,0,0,156,118,6,24,23,9,1,8,-52,-42,0,-6,64300000,0.101089,pre-covid
Erik Karlsson,D,OTT,2013-14,23,Standard (1-way),6500000,R,5,26,0,0,-15,82,0.10999999999999993,0.040000000000000036,0.04000000000000001,-0.010000000000000009,179,5,31,12,56,-4,-8,-4,-20,221,26,133074,100154,6923,19147,257,184,5,50,20,14,0,4,122,104,11,2,68,57,4,3,115,89,7,14,13,2,1,8,3,0,0,2,0,0,0,0,0,0,0,0,101,82,3,8,54,23,0,22,6,10,-2,-2,64300000,0.101089,pre-covid
Alex Pietrangelo,D,STL,2013-14,23,Standard (1-way),6500000,R,2,17,0,1,21,81,0,0.030000000000000027,-0.06000000000000001,-0.040000000000000036,54,24,3,5,111,21,11,5,-17,118,20,123245,89239,15405,12675,164,114,4,33,8,5,0,2,24,20,4,0,37,30,3,1,34,26,5,2,9,2,0,5,4,1,0,2,0,0,0,0,0,0,0,0,164,100,6,42,43,23,1,14,-2,2,0,-2,64300000,0.101089,pre-covid
Jonathan Toews,F,CHI,2013-14,25,Standard (1-way),6300000,L,7,13,4,2,29,76,0.09999999999999998,0.04999999999999993,0.09,-0.030000000000000027,345,48,33,27,209,20,6,10,-7,167,25,93328,69346,6592,13666,194,141,10,33,28,19,3,5,29,24,0,3,51,40,5,5,30,24,1,5,22,13,1,6,13,9,1,3,884,615,37,169,660,481,90,35,20,15,0,5,40,25,2,10,20,20,6,-4,64300000,0.097978,pre-covid
Patrick Kane,F,CHI,2013-14,24,Standard (1-way),6300000,L,11,19,0,0,12,69,0.10999999999999999,0,0.26,-0.020000000000000018,314,39,39,26,116,15,18,10,0,160,24,81186,65169,65,13024,227,164,0,46,29,18,0,8,16,13,0,2,44,37,0,3,23,19,0,4,25,13,0,7,11,3,0,6,4,3,0,0,4,3,0,0,15,13,0,0,40,23,0,13,6,6,0,0,64300000,0.097978,pre-covid
Henrik Sedin,F,VAN,2013-14,32,Standard (1-way),6100000,L,4,14,0,0,3,82,0.16999999999999998,0.07000000000000006,0.06,0.07000000000000006,396,16,24,2,140,12,6,0,-8,263,22,101228,75637,4618,16152,120,90,4,19,12,8,0,4,50,44,2,2,31,25,2,1,39,25,2,8,16,8,0,6,6,3,0,3,577,432,16,78,528,395,58,20,26,18,0,4,42,27,0,13,2,4,4,-4,64300000,0.094868,pre-covid
