player,team,position,season,games_played,cap_hit,projected_cap_hit
Connor McDavid,EDM,F,2020-21,56,12500000,10185685
Auston Matthews,TOR,F,2020-21,52,11640250,9462074
Patrick Kane,CHI,F,2020-21,56,10500000,8953022
Mitchell Marner,TOR,F,2020-21,55,10903000,8650678
Artemi Panarin,NYR,F,2020-21,42,11642857,8637974
Leon Draisaitl,EDM,F,2020-21,56,8500000,8598164
Sidney Crosby,PIT,F,2020-21,55,8700000,8563788
John Tavares,TOR,F,2020-21,56,11000000,8438662
Alex Ovechkin,WSH,F,2020-21,45,9538462,8180325
Evgeni Malkin,PIT,F,2020-21,33,9500000,8068285
Anze Kopitar,L.A,F,2020-21,56,10000000,8044342
Brent Burns,S.J,D,2020-21,56,8000000,8017430
Kris Letang,PIT,D,2020-21,55,7250000,7577580
Roman Josi,NSH,D,2020-21,48,9059000,7512872.5
John Carlson,WSH,D,2020-21,52,8000000,7507271.5
Victor Hedman,T.B,D,2020-21,54,7875000,7502819.5
Mikko Rantanen,COL,F,2020-21,52,9250000,7495846
Jack Eichel,BUF,F,2020-21,21,10000000,7442306
Jakub Voracek,PHI,F,2020-21,53,8250000,7339231
Joe Pavelski,DAL,F,2020-21,56,7000000,7285069
David Krejci,BOS,F,2020-21,51,7250000,7257134.5
Claude Giroux,PHI,F,2020-21,54,8275000,7248387
Patrice Bergeron,BOS,F,2020-21,54,6875000,7188879.5
Drew Doughty,L.A,D,2020-21,56,11000000,7182737.5
Thomas Chabot,OTT,D,2020-21,49,8000000,7124822.5
Ryan O'Reilly,STL,F,2020-21,56,7500000,7070645.5
Nathan MacKinnon,COL,F,2020-21,48,6300000,7060812.5
Sebastian Aho,CAR,F,2020-21,56,8460250,7031852
Logan Couture,S.J,F,2020-21,53,8000000,6982628
Aleksander Barkov,FLA,F,2020-21,50,5900000,6932708
Erik Karlsson,S.J,D,2020-21,52,11500000,6889861
Mark Giordano,CGY,D,2020-21,56,6750000,6856655.5
Jonathan Huberdeau,FLA,F,2020-21,55,5900000,6839247
Jamie Benn,DAL,F,2020-21,52,9500000,6822457
Brad Marchand,BOS,F,2020-21,53,6125000,6802669
Mark Scheifele,WPG,F,2020-21,56,6125000,6794430.5
Ryan Getzlaf,ANA,F,2020-21,48,8250000,6737076.5
Alex Pietrangelo,VGK,D,2020-21,41,8800000,6707843.5
Steven Stamkos,T.B,F,2020-21,38,8500000,6699629
Blake Wheeler,WPG,F,2020-21,50,8250000,6698919.5
Ryan Suter,MIN,D,2020-21,56,7538462,6693536
Gabriel Landeskog,COL,F,2020-21,54,5571429,6627136
Brayden Point,T.B,F,2020-21,56,6750000,6580426.5
Jared Spurgeon,MIN,D,2020-21,54,7575000,6580131
P.K. Subban,N.J,D,2020-21,44,9000000,6576315
Duncan Keith,CHI,D,2020-21,54,5538462,6555711
Paul Stastny,WPG,F,2020-21,56,6500000,6542675.5
Alex DeBrincat,CHI,F,2020-21,52,6400000,6532200.5
Evgeny Kuznetsov,WSH,F,2020-21,41,7800000,6480068.5
J.T. Miller,VAN,F,2020-21,53,5250000,6440747.5
Shea Weber,MTL,D,2020-21,48,7857143,6424965
Jeff Petry,MTL,D,2020-21,55,5500000,6396807
Keith Yandle,FLA,D,2020-21,56,6350000,6379031
Evander Kane,S.J,F,2020-21,56,7000000,6378066
Dougie Hamilton,CAR,D,2020-21,55,5750000,6374557.5
Johnny Gaudreau,CGY,F,2020-21,56,6750000,6300175.5
Torey Krug,STL,D,2020-21,51,6500000,6288975
Taylor Hall,BOS,F,2020-21,53,8000000,6260914.5
Matt Duchene,NSH,F,2020-21,34,8000000,6256736
Brayden Schenn,STL,F,2020-21,56,6500000,6244273
Mathew Barzal,NYI,F,2020-21,55,7000000,6155303.5
Mikael Granlund,NSH,F,2020-21,51,3750000,6144952
Max Pacioretty,VGK,F,2020-21,48,7000000,6143190.5
Jordan Staal,CAR,F,2020-21,53,6000000,6128854.5
Morgan Rielly,TOR,D,2020-21,55,5000000,6115904
T.J. Oshie,WSH,F,2020-21,53,5750000,6074493.5
Ivan Provorov,PHI,D,2020-21,56,6750000,6070596
David Perron,STL,F,2020-21,56,4000000,6069057
Mikael Backlund,CGY,F,2020-21,54,5350000,6043535.5
Phil Kessel,ARI,F,2020-21,56,8000000,6018614
Mika Zibanejad,NYR,F,2020-21,56,5350000,6008931.5
Bo Horvat,VAN,F,2020-21,56,5500000,5947635.5
William Nylander,TOR,F,2020-21,51,6962366,5921550.5
Matthew Tkachuk,CGY,F,2020-21,56,7000000,5915927.5
Kevin Hayes,PHI,F,2020-21,55,7142857,5889342.5
Mats Zuccarello,MIN,F,2020-21,42,6000000,5884264.5
Ryan Johansen,NSH,F,2020-21,48,8000000,5880179.5
James van Riemsdyk,PHI,F,2020-21,56,7000000,5879230.5
Tomas Hertl,S.J,F,2020-21,50,5625000,5860491
Shea Theodore,VGK,D,2020-21,53,5200000,5813461
Elias Lindholm,CGY,F,2020-21,56,4850000,5804771.5
