player,position,team,season,age,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,plusMinus,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,total_cap,percent_cap_hit,covid
Scott Gomez,F,MTL,2010-11,30,Standard (1-way),7357143,L,3,15,0,1,-22,80,0.08000000000000007,0.020000000000000018,0.03,0,220,5,19,1,97,-10,-6,-8,-4,140,20,89105,68787,4478,12332,157,113,3,33,7,4,0,3,32,26,3,1,56,39,10,3,28,19,2,5,12,5,0,5,3,2,0,1,575,422,18,98,622,441,82,35,24,18,0,4,31,13,1,13,0,6,0,-2,59400000,0.123858,pre-covid
Joe Thornton,F,S.J,2010-11,30,Standard (1-way),7200000,L,7,32,2,0,0,80,0.08999999999999997,0.010000000000000009,0.010000000000000009,0.020000000000000018,302,48,52,22,33,9,6,-1,-6,288,40,95377,70590,5365,14928,149,86,3,43,21,8,1,8,56,48,5,1,114,87,15,5,98,76,2,14,20,7,1,8,9,2,0,4,675,468,54,102,565,428,61,28,35,30,1,2,49,24,0,21,-3,14,-15,-4,59400000,0.121212,pre-covid
Brian Campbell,D,CHI,2010-11,31,Standard (1-way),7142875,L,2,5,0,0,30,65,0.030000000000000027,0.030000000000000027,0.06,0.050000000000000044,159,29,-6,-2,116,27,0,3,-11,86,14,89625,72897,6431,7771,84,61,2,14,5,3,0,2,28,23,1,1,21,15,2,3,42,27,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,77,0,18,22,14,0,4,4,0,2,2,59400000,0.12025,pre-covid
Thomas Vanek,F,BUF,2010-11,26,Standard (1-way),7142857,R,15,17,0,0,0,80,0.12999999999999995,0.010000000000000009,0.44999999999999996,0.040000000000000036,299,40,33,21,33,12,1,5,0,208,27,83259,64936,211,14326,238,151,2,59,32,18,0,8,30,29,0,1,43,37,0,4,45,34,0,9,28,10,0,12,11,2,0,6,8,1,2,4,18,7,4,0,12,10,0,0,41,23,0,14,32,26,2,-4,59400000,0.12025,pre-covid
Chris Drury,F,NYR,2010-11,33,Standard (1-way),7050000,R,0,0,0,0,2,24,-0.09000000000000002,-0.040000000000000036,-0.03,-0.030000000000000027,-54,-2,-5,0,-20,0,1,2,-4,6,1,17303,13984,2373,772,26,24,1,1,1,1,0,0,19,19,0,0,9,6,3,0,3,3,0,0,2,2,0,0,0,0,0,0,127,93,21,4,98,75,7,9,12,11,0,1,4,4,0,0,-8,-4,-4,0,59400000,0.118687,pre-covid
Jarome Iginla,F,CGY,2010-11,33,Standard (1-way),7000000,R,14,16,0,0,0,82,0.09999999999999998,-0.010000000000000009,0.10999999999999999,0.010000000000000009,271,39,36,14,43,14,1,0,0,191,25,103000,79443,452,18439,289,201,0,62,43,25,0,11,103,90,0,9,40,35,0,2,70,50,0,16,28,9,0,13,15,5,0,8,227,131,0,76,193,100,11,3,28,26,0,0,43,25,0,11,12,10,4,-6,59400000,0.117845,pre-covid
Jason Spezza,F,OTT,2010-11,27,Standard (1-way),7000000,R,7,10,0,1,-6,62,0.08000000000000002,0.020000000000000018,0.020000000000000018,0.020000000000000018,65,10,-2,2,14,1,2,3,-7,140,23,75140,52572,6407,12988,188,120,8,47,21,13,0,6,14,13,0,0,52,39,5,4,62,42,3,15,14,6,0,3,7,3,0,2,681,434,98,111,529,334,80,70,24,15,0,8,36,21,1,10,6,4,4,-2,59400000,0.117845,pre-covid
Patrick Marleau,F,S.J,2010-11,30,Standard (1-way),6900000,L,14,16,2,1,-4,82,0.039999999999999925,-0.010000000000000009,-0.010000000000000009,0,228,18,34,9,21,-2,7,1,-23,290,35,102286,73263,9062,15168,279,169,18,71,37,18,2,11,86,82,1,2,35,23,6,6,66,45,1,19,31,7,1,17,16,4,1,7,288,161,68,32,261,163,16,60,31,20,1,8,36,18,1,10,10,2,2,2,59400000,0.116162,pre-covid
Anze Kopitar,F,L.A,2010-11,22,Standard (1-way),6800000,L,6,12,1,0,25,75,0.07000000000000006,0.040000000000000036,-0.010000000000000009,0.020000000000000018,192,36,37,25,77,29,24,15,-12,190,18,97143,68687,8776,15312,233,151,8,50,25,17,0,3,92,72,7,5,62,43,9,7,40,25,3,9,31,18,1,3,16,10,0,3,579,431,24,82,581,442,59,32,45,31,1,8,48,33,0,11,36,24,2,4,59400000,0.114478,pre-covid
Pavel Datsyuk,F,DET,2010-11,31,Standard (1-way),6700000,L,8,15,1,0,19,56,0.12,0.040000000000000036,0.21000000000000002,0.010000000000000009,209,31,29,11,62,9,5,5,-2,121,18,64924,50135,1977,10061,137,106,5,17,23,15,1,6,54,48,1,1,71,57,6,1,38,25,0,12,11,3,3,3,6,3,1,2,429,276,32,88,356,239,54,27,20,18,0,1,36,19,0,9,28,24,0,4,59400000,0.112795,pre-covid
Nicklas Backstrom,F,WSH,2010-11,22,Standard (1-way),6700000,L,4,19,1,0,23,77,0.10999999999999999,0.040000000000000036,0.04000000000000001,0.07000000000000006,322,43,49,15,114,18,20,1,-9,221,19,94711,69424,6484,13841,202,125,14,41,18,9,0,3,69,59,4,3,73,63,5,4,42,30,3,7,25,11,2,4,9,3,0,2,690,470,42,113,625,431,96,32,64,54,0,6,47,23,0,15,-12,-10,2,-2,59400000,0.112795,pre-covid
Jay Bouwmeester,D,CGY,2010-11,26,Standard (1-way),6680000,L,1,7,0,0,-1,82,-0.06000000000000005,-0.010000000000000009,-0.1,0.040000000000000036,-80,-22,7,-14,18,0,9,-1,-33,154,19,127852,93773,15799,12775,121,78,3,33,4,3,0,1,72,49,12,2,23,16,3,3,57,47,2,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,134,82,3,35,20,13,0,7,-32,-22,-6,-2,59400000,0.112458,pre-covid
Dan Boyle,D,S.J,2010-11,33,Standard (1-way),6666666,R,6,28,0,0,-4,76,0.06999999999999995,0,0.020000000000000004,0.010000000000000009,365,38,53,23,79,10,22,6,-16,367,43,119641,86626,9448,18147,199,98,1,87,9,5,0,3,55,39,8,3,34,28,4,1,51,34,3,11,5,1,0,2,2,1,0,1,0,0,0,0,2,0,0,0,139,107,4,19,41,16,0,19,-36,-18,-2,-14,59400000,0.112233,pre-covid
Ilya Kovalchuk,F,N.J,2010-11,27,Standard (1-way),6666666,R,9,12,0,0,-25,81,0.10999999999999999,-0.020000000000000018,0.12000000000000002,0.06000000000000005,237,1,23,9,-19,-18,0,-2,0,231,13,109655,84934,684,19222,245,158,0,65,31,17,0,6,28,24,0,0,43,35,1,3,104,74,1,23,20,11,0,7,11,4,0,5,9,6,0,1,22,21,0,0,12,10,1,0,29,16,0,9,24,18,0,-2,59400000,0.112233,pre-covid
Paul Stastny,F,COL,2010-11,24,Standard (1-way),6600000,L,3,15,1,0,-9,74,0.07,0,-0.09000000000000001,0.040000000000000036,36,6,24,9,-67,0,9,6,-14,161,16,87629,66020,4295,12474,181,126,1,37,22,14,0,4,74,65,3,3,52,46,2,1,22,14,0,7,28,13,0,10,9,4,0,3,810,561,51,128,714,519,76,61,31,24,0,5,35,17,0,11,-20,-14,-2,-2,59400000,0.111111,pre-covid
Ed Jovanovski,D,ARI,2010-11,34,Standard (1-way),6500000,L,1,1,0,1,1,50,-0.08000000000000002,-0.030000000000000027,-0.07999999999999999,-0.05999999999999994,-133,-12,-22,3,-10,-1,-5,4,-14,30,2,61435,48128,7836,3563,73,64,0,5,5,4,0,1,87,67,18,0,9,7,1,0,37,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,69,0,15,9,5,1,1,-6,4,-13,9,59400000,0.109428,pre-covid
Dion Phaneuf,D,TOR,2010-11,25,Standard (1-way),6500000,L,3,9,0,1,-3,66,0.040000000000000036,-0.010000000000000009,-0.010000000000000009,-0.010000000000000009,-1,7,9,1,-63,2,-1,-5,-11,126,17,100201,74364,7410,14189,190,118,2,51,8,4,0,3,186,166,6,10,31,24,4,0,53,46,3,4,9,0,0,7,3,0,0,2,0,0,0,0,0,0,0,0,121,102,4,10,22,12,1,8,-18,-8,-6,0,59400000,0.109428,pre-covid
Daniel Briere,F,PHI,2010-11,32,Standard (1-way),6500000,R,7,10,0,0,13,77,0.09000000000000008,-0.010000000000000009,0,0.030000000000000027,205,45,44,12,12,21,-2,-1,0,143,16,84537,67973,293,13108,246,185,0,41,34,25,0,6,36,31,0,4,33,30,0,1,16,9,0,6,29,14,0,10,11,5,0,3,395,331,5,41,425,375,14,2,17,16,0,0,34,23,0,7,-7,6,2,-8,59400000,0.109428,pre-covid
Kimmo Timonen,D,PHI,2010-11,35,Standard (1-way),6333333,L,1,18,2,0,14,82,0.020000000000000018,0.010000000000000009,-0.05000000000000002,0.020000000000000018,112,10,26,8,59,0,-2,0,-18,179,26,110520,73742,15202,15157,147,86,12,28,6,3,2,0,96,66,20,4,43,30,7,4,39,24,8,2,8,2,1,1,1,0,1,0,0,0,0,0,1,0,0,1,175,120,1,45,31,13,0,13,-6,-8,-2,4,59400000,0.106622,pre-covid
Jonathan Toews,F,CHI,2010-11,22,Standard (1-way),6300000,L,10,17,2,1,22,80,0.07999999999999996,0.05999999999999994,0.03,0.010000000000000009,251,49,7,9,162,30,-3,-2,-11,177,32,99668,73147,8864,13641,233,164,10,41,32,20,1,8,74,68,2,2,93,73,14,5,30,19,3,7,26,14,2,9,11,4,0,6,937,601,109,158,716,480,104,75,28,19,0,8,44,27,1,13,34,34,4,-2,59400000,0.106061,pre-covid
Patrick Kane,F,CHI,2010-11,21,Standard (1-way),6300000,L,6,21,0,0,7,73,0.14,0.040000000000000036,0.31,0,328,41,22,21,123,15,-8,3,0,158,28,84467,67794,172,13066,216,164,0,33,27,21,0,5,17,17,0,0,55,51,0,1,40,31,0,6,19,8,0,7,10,5,0,4,2,0,0,1,12,8,0,0,17,17,0,0,46,26,0,16,18,20,0,-2,59400000,0.106061,pre-covid
Ryan Smyth,F,L.A,2010-11,34,Standard (1-way),6250000,L,9,6,0,0,2,82,0.10999999999999999,0.030000000000000027,0,-0.040000000000000036,232,21,46,23,49,4,22,8,-1,169,16,88749,70786,1537,13681,195,153,1,32,23,12,0,9,25,24,0,0,33,29,0,2,46,37,0,8,27,12,0,12,16,6,0,8,57,23,2,25,75,31,23,4,18,18,0,0,24,19,0,4,10,12,0,-2,59400000,0.105219,pre-covid
Nicklas Lidstrom,D,DET,2010-11,40,35+ (1-way),6200000,L,9,34,0,1,4,82,0.020000000000000018,-0.030000000000000027,-0.020000000000000018,0.010000000000000009,128,24,14,7,-4,2,-6,-4,-24,262,42,115465,79730,12581,18419,175,90,4,56,16,4,0,5,49,38,8,0,33,21,9,1,33,20,4,6,10,0,0,5,6,0,0,3,0,0,0,0,0,0,0,0,92,68,2,14,46,13,1,29,-20,-16,-2,0,59400000,0.104377,pre-covid
Daniel Sedin,F,VAN,2010-11,29,Standard (1-way),6100000,L,23,29,0,0,21,82,0.18000000000000005,0.06000000000000005,-0.16,0.050000000000000044,397,86,41,33,96,32,-9,-4,0,260,51,91281,70103,578,16827,266,189,0,58,41,22,0,18,13,12,0,1,36,31,0,2,48,36,0,10,27,8,0,17,19,3,0,15,4,4,0,0,13,12,0,0,12,11,0,0,63,36,0,21,-6,-2,0,-8,59400000,0.102694,pre-covid
Henrik Sedin,F,VAN,2010-11,29,Standard (1-way),6100000,L,10,36,0,0,15,82,0.17000000000000004,0.050000000000000044,-0.15,0.07000000000000006,408,81,45,34,106,24,-11,-6,-1,262,51,94757,72954,833,16787,157,111,0,36,19,9,0,8,15,14,0,0,43,37,0,2,38,25,0,9,17,7,0,7,11,3,0,6,721,553,13,101,666,541,46,9,21,18,0,0,75,45,0,25,-12,-2,0,-6,59400000,0.102694,pre-covid
Henrik Zetterberg,F,DET,2010-11,29,Standard (1-way),6083333,L,11,23,0,1,3,80,0.09999999999999998,0.010000000000000009,0.1,0.030000000000000027,249,34,30,26,29,-3,-12,1,-3,207,33,94002,72455,2475,14717,306,211,5,69,24,11,0,9,38,31,0,3,54,46,3,1,60,44,1,13,11,1,0,5,4,0,0,3,516,367,16,80,468,339,47,14,19,14,0,3,56,29,1,17,8,12,2,-2,59400000,0.102413,pre-covid
Brian Rafalski,D,DET,2010-11,36,Standard (1-way),6000000,R,2,17,0,0,7,63,0.14,0.04999999999999993,0.19999999999999998,-0.020000000000000018,318,45,10,14,113,13,-18,0,1,171,28,77198,61279,840,12311,106,60,0,39,4,4,0,0,49,43,0,5,12,8,0,3,57,48,1,7,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,54,51,0,0,44,24,0,14,-14,-8,2,-6,59400000,0.10101,pre-covid
Patrik Elias,F,N.J,2010-11,34,Standard (1-way),6000000,L,7,12,1,0,-2,81,0.10999999999999999,0.06999999999999995,0.1,0.040000000000000036,236,3,20,4,129,1,7,3,-14,162,11,90583,63973,9646,12366,204,134,10,33,21,11,1,4,62,50,3,8,45,31,10,1,55,34,1,14,16,3,0,4,8,2,0,2,224,176,24,10,274,220,9,27,25,17,2,5,41,23,0,7,12,6,4,2,59400000,0.10101,pre-covid
Alexander Semin,F,WSH,2010-11,26,Standard (1-way),6000000,R,6,12,1,0,24,65,0.13,0.040000000000000036,0.19,0.010000000000000009,222,41,30,11,43,21,6,1,-2,147,13,70027,52202,3539,11027,196,138,8,32,28,18,1,5,27,22,0,4,62,44,9,2,42,29,3,8,16,8,1,4,9,3,0,3,4,2,0,2,9,6,1,0,6,5,0,0,26,14,0,8,-35,-27,-2,-8,59400000,0.10101,pre-covid
Bryan McCabe,D,NYR,2010-11,35,Standard (1-way),5750000,L,4,10,0,0,2,67,0.08000000000000007,0,0.07,0.019999999999999907,117,13,11,1,-28,5,6,1,-5,139,10,78660,58872,3729,13399,122,69,1,35,7,3,0,1,86,77,6,2,8,5,0,2,31,22,2,7,4,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,72,54,3,11,21,11,0,6,-14,-16,2,-6,59400000,0.096801,pre-covid
Mike Richards,F,PHI,2010-11,25,Standard (1-way),5750000,L,6,16,3,3,11,81,0.030000000000000027,0,0.05000000000000002,0.020000000000000018,104,16,35,17,40,4,16,10,-9,128,20,91584,64420,9668,13162,184,122,17,27,23,14,3,3,104,80,12,7,62,37,14,6,46,30,5,9,33,19,4,5,8,5,1,2,606,433,43,77,610,485,50,35,73,57,0,10,43,22,3,11,4,2,4,-2,59400000,0.096801,pre-covid
Andrei Markov,D,MTL,2010-11,31,Standard (1-way),5750000,L,0,1,0,0,2,7,0.06000000000000005,0.010000000000000009,0.14,0.12,1,4,1,2,-1,2,-3,0,0,15,2,9624,6989,869,1457,20,14,4,2,1,1,0,0,2,1,1,0,3,2,0,1,9,7,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,2,1,0,1,0,0,0,0,59400000,0.096801,pre-covid
Lubomir Visnovsky,D,ANA,2010-11,33,Standard (1-way),5600000,L,5,28,0,0,18,81,0.19000000000000006,0.08000000000000002,-0.05,0.06000000000000005,294,70,36,26,-8,16,6,1,-3,288,44,118063,91053,2205,18988,152,94,1,38,18,11,0,4,52,48,2,1,30,22,0,6,45,36,1,4,4,2,0,2,3,1,0,2,0,0,0,0,0,0,0,0,116,99,1,8,50,22,0,21,-8,-8,0,0,59400000,0.094276,pre-covid
Duncan Keith,D,CHI,2010-11,26,Standard (1-way),5538462,L,4,21,1,0,-4,82,0.040000000000000036,0.040000000000000036,-0.03,0.07000000000000006,156,14,-14,-2,135,-3,-14,-9,-18,168,34,132273,101649,12139,13775,173,120,3,40,7,3,1,2,45,40,3,2,56,37,16,0,83,59,8,11,3,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,149,109,2,22,38,16,0,15,-10,-6,-2,-2,59400000,0.09324,pre-covid
Sergei Gonchar,D,OTT,2010-11,36,35+ (1-way),5500000,L,5,15,0,0,-13,67,0.06000000000000005,-0.010000000000000009,-0.039999999999999994,0.06000000000000005,64,6,11,8,-22,-13,-2,-3,-9,172,25,93232,68077,6025,15001,107,58,1,39,7,1,0,4,54,47,5,1,22,19,0,2,48,31,4,9,7,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,94,75,3,9,20,5,0,13,0,6,0,-4,59400000,0.092593,pre-covid
Shawn Horcoff,F,EDM,2010-11,31,Standard (1-way),5500000,L,4,5,0,1,-2,47,0.04999999999999999,0.02999999999999997,-0.010000000000000009,-0.040000000000000036,-49,-7,-9,-12,-56,-1,-6,-7,-17,52,12,52693,38906,4222,7271,78,52,2,17,9,4,0,5,32,27,1,2,29,26,1,1,24,20,0,3,13,6,1,4,3,1,0,2,393,294,30,45,420,282,52,47,20,17,0,2,18,10,1,5,-6,-10,0,2,59400000,0.092593,pre-covid
Phil Kessel,F,TOR,2010-11,22,Standard (1-way),5400000,R,12,10,1,0,-21,82,0.08000000000000002,-0.010000000000000009,0.24000000000000002,0.010000000000000009,92,11,19,9,-101,-13,-8,-3,1,158,23,96660,74811,580,16771,325,233,2,65,32,18,1,10,11,10,0,0,45,38,2,4,45,35,0,10,23,8,0,10,9,1,0,7,24,17,0,5,35,29,0,0,22,20,0,0,32,19,0,9,22,24,-2,-2,59400000,0.090909,pre-covid
Corey Perry,F,ANA,2010-11,25,Standard (1-way),5325000,R,15,19,5,1,10,82,0.12,0.03999999999999998,0,0.040000000000000036,119,39,26,17,-71,3,4,1,-14,246,37,109780,80935,7933,16064,290,199,7,66,50,25,3,14,64,54,3,5,55,42,8,1,54,36,2,11,40,16,2,13,22,7,1,11,9,4,4,0,13,9,0,4,41,23,0,12,48,25,1,13,7,13,8,-8,59400000,0.089646,pre-covid
Ryan Getzlaf,F,ANA,2010-11,25,Standard (1-way),5325000,R,7,23,0,0,16,67,0.16000000000000003,0.04999999999999999,-0.03,0.040000000000000036,188,53,37,28,-48,11,13,8,-1,209,27,87849,68402,1793,13353,117,67,0,35,19,8,0,5,189,173,1,7,35,30,1,1,81,58,0,17,13,4,0,4,6,1,0,2,542,399,12,97,641,482,55,21,57,46,1,4,57,32,0,14,-4,-2,0,-6,59400000,0.089646,pre-covid
Jason Pominville,F,BUF,2010-11,27,Standard (1-way),5300000,R,5,12,1,0,4,73,0.09000000000000008,0.040000000000000036,0.01999999999999999,0.06000000000000005,229,19,9,9,89,8,-4,3,-9,185,20,79454,56169,8108,11786,215,151,5,36,22,14,1,4,35,28,1,3,43,31,7,4,27,15,2,6,17,9,1,3,7,4,1,1,67,35,5,18,88,40,32,3,50,30,1,14,30,19,0,7,26,20,2,4,59400000,0.089226,pre-covid
Marian Hossa,F,CHI,2010-11,31,Standard (1-way),5275000,L,9,11,2,2,8,65,0.030000000000000027,-0.010000000000000009,0.020000000000000004,0,106,23,1,5,44,8,-4,0,-12,124,25,76856,57196,6491,9933,205,137,11,40,25,13,1,7,48,42,1,4,53,45,8,0,32,22,4,4,19,6,0,7,9,2,0,3,3,2,1,0,1,0,0,1,23,18,0,1,32,19,1,11,-12,-8,-2,-4,59400000,0.088805,pre-covid
Simon Gagne,F,T.B,2010-11,30,Standard (1-way),5250000,L,7,11,0,0,-5,63,0.07999999999999996,-0.010000000000000009,0.19999999999999998,0.020000000000000018,150,13,23,11,12,-7,2,-3,-1,120,13,63839,49257,747,10806,154,108,2,25,17,7,0,5,49,38,0,9,23,19,0,1,21,12,0,6,19,10,0,5,10,3,0,3,6,3,0,2,10,6,0,4,20,18,0,0,23,14,0,6,4,6,0,-2,59400000,0.088384,pre-covid
