player,position,team,season,age,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,plusMinus,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,total_cap,percent_cap_hit,covid
Alex Ovechkin,F,WSH,2010-11,24,Standard (1-way),9538462,R,8,20,0,0,21,79,0.16999999999999998,0.040000000000000036,-0.11,0.07000000000000006,456,61,73,28,113,15,21,1,-1,278,27,100534,75881,169,19339,367,229,0,83,32,17,0,5,241,220,0,13,48,31,0,13,59,45,0,10,34,11,0,9,11,1,0,4,6,5,0,0,12,11,0,0,23,21,1,0,53,30,0,13,40,38,2,-6,59400000,0.16058,pre-covid
Evgeni Malkin,F,PIT,2010-11,23,Standard (1-way),8700000,L,5,9,0,0,-3,43,0.2,0.06999999999999995,0.17,0.050000000000000044,270,23,41,16,83,-1,9,2,0,161,22,51148,35052,157,12617,182,97,0,53,15,7,0,4,32,26,0,5,29,23,0,2,40,20,0,16,25,13,0,6,9,3,0,4,77,65,0,8,123,105,5,1,11,10,0,0,22,13,0,7,26,18,4,0,59400000,0.146465,pre-covid
Sidney Crosby,F,PIT,2010-11,22,Standard (1-way),8700000,L,10,9,1,0,22,41,0.14,0,0.020000000000000018,0.07000000000000006,218,45,33,21,32,17,3,4,-1,162,21,53917,36936,1003,12232,161,104,2,41,32,20,0,9,31,28,1,0,15,14,0,1,29,14,0,10,21,11,0,6,12,5,0,5,546,338,24,125,435,275,68,23,23,19,2,1,34,18,0,7,16,16,2,-6,59400000,0.146465,pre-covid
Eric Staal,F,CAR,2010-11,25,Standard (1-way),8250000,L,12,17,3,0,-10,81,0.11000000000000004,0.050000000000000044,0.05,0.020000000000000018,116,24,21,9,-39,-8,2,-10,-10,218,34,106996,73417,6356,19501,296,181,13,69,33,15,2,11,81,69,6,4,64,45,5,6,44,25,1,15,34,15,5,8,14,3,1,7,840,545,61,156,911,615,150,64,31,22,1,4,43,17,0,13,-6,2,0,-6,59400000,0.138889,pre-covid
Brad Richards,F,DAL,2010-11,30,Standard (1-way),7800000,L,7,21,0,0,-2,72,0.14999999999999997,0,0.03,0.030000000000000027,181,37,19,18,-90,16,-12,7,-4,270,28,93850,66365,1439,22058,272,145,2,108,28,20,0,6,20,19,0,1,47,40,1,5,73,44,3,21,12,4,0,4,4,3,0,1,501,435,7,25,489,420,15,14,22,16,3,1,49,25,0,20,4,10,0,-6,59400000,0.131313,pre-covid
Rick Nash,F,CBJ,2010-11,26,Standard (1-way),7800000,L,6,8,0,0,1,75,0.13999999999999996,0.020000000000000018,0.08000000000000002,0.050000000000000044,255,18,34,10,22,6,6,-2,-6,196,13,85170,64043,1230,14803,305,217,1,52,32,22,0,5,91,87,0,1,47,43,2,0,24,14,0,9,24,9,0,8,10,4,0,3,7,5,0,2,17,7,4,0,19,15,0,3,34,24,0,6,26,22,2,-2,59400000,0.131313,pre-covid
Vincent Lecavalier,F,T.B,2010-11,30,Standard (1-way),7727272,L,14,20,0,0,2,65,0.10999999999999999,-0.010000000000000009,0.08,0.019999999999999907,197,25,28,11,30,8,9,1,-1,154,13,71934,53853,782,14407,210,128,0,60,25,13,0,5,93,79,0,9,35,24,2,5,26,11,0,13,22,14,0,4,8,4,0,1,591,401,12,129,570,401,68,8,25,23,0,0,29,12,0,13,-7,6,4,-19,59400000,0.130089,pre-covid
Zdeno Chara,D,BOS,2010-11,33,Standard (1-way),7500000,L,9,7,1,1,50,81,0.06000000000000005,0.050000000000000044,0.04000000000000001,0.030000000000000027,120,32,-8,4,101,34,0,10,-21,158,17,123613,91734,12594,14510,264,165,9,63,14,5,1,4,153,126,18,7,32,24,4,0,62,43,7,8,5,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,111,79,0,20,30,20,1,7,-25,-21,0,-2,59400000,0.126263,pre-covid
Dany Heatley,F,S.J,2010-11,29,Standard (1-way),7500000,L,11,20,1,1,7,80,0.06999999999999995,-0.020000000000000018,0.05000000000000002,-0.010000000000000009,285,49,47,20,20,14,10,-2,-5,272,36,94327,72076,4602,14352,217,142,6,56,26,13,0,9,104,93,4,2,29,22,1,3,68,49,1,16,30,16,0,9,10,3,0,4,9,6,3,0,11,9,1,1,29,22,1,5,38,18,1,16,-16,-10,2,-10,59400000,0.126263,pre-covid
Marian Gaborik,F,NYR,2010-11,28,Standard (1-way),7500000,L,7,9,0,0,6,62,0.09000000000000008,-0.020000000000000018,0.05000000000000002,0.07999999999999996,126,31,25,10,-39,11,5,2,-1,125,16,67274,51805,779,10343,192,136,1,42,22,14,0,6,46,39,1,3,34,28,0,2,26,19,0,7,21,14,0,5,8,5,0,2,0,0,0,0,0,0,0,0,22,19,0,0,26,17,0,6,2,2,0,-4,59400000,0.126263,pre-covid
