player,team,position,season,games_played,cap_hit,projected_cap_hit
Patrick Kane,CHI,F,2016-17,82,10500000,8097416
Dustin Byfuglien,WPG,D,2016-17,80,7600000,7625394
Evgeni Malkin,PIT,F,2016-17,62,9500000,7542916.5
Sidney Crosby,PIT,F,2016-17,75,8700000,7505189
Ryan Getzlaf,ANA,F,2016-17,76,8250000,7193004
Henrik Zetterberg,DET,F,2016-17,82,6083333,7170688.5
Claude Giroux,PHI,F,2016-17,82,8275000,7164247.5
Anze Kopitar,L.A,F,2016-17,76,10000000,7104279.5
Phil Kessel,PIT,F,2016-17,82,8000000,7090732.5
Brent Burns,S.J,D,2016-17,81,5760000,7063459
Ryan Suter,MIN,D,2016-17,82,7538462,6891112
Jonathan Toews,CHI,F,2016-17,72,10500000,6811834.5
Duncan Keith,CHI,D,2016-17,80,5538462,6718889.5
Erik Karlsson,OTT,D,2016-17,77,6500000,6693005
Ryan Kesler,ANA,F,2016-17,82,6875000,6434000
Patrice Bergeron,BOS,F,2016-17,79,6875000,6429257
Drew Doughty,L.A,D,2016-17,82,7000000,6407417
Henrik Sedin,VAN,F,2016-17,82,7000000,6390517.5
Jason Spezza,DAL,F,2016-17,68,7500000,6332290
Shea Weber,MTL,D,2016-17,78,7857143,6326267.5
Jakub Voracek,PHI,F,2016-17,82,8250000,6313774
Mark Giordano,CGY,D,2016-17,81,6750000,6289324.5
Joe Pavelski,S.J,F,2016-17,80,6000000,6244674.5
Mikko Koivu,MIN,F,2016-17,80,6750000,6190345
Alex Ovechkin,WSH,F,2016-17,81,9538462,6186908
Joe Thornton,S.J,F,2016-17,78,6750000,6186680
Blake Wheeler,WPG,F,2016-17,82,5600000,6138287.5
Alex Pietrangelo,STL,D,2016-17,80,6500000,6120322.5
David Krejci,BOS,F,2016-17,82,7250000,6063610.5
Ryan O'Reilly,BUF,F,2016-17,74,7500000,6061951.5
Vladimir Tarasenko,STL,F,2016-17,82,7500000,6004195.5
Corey Perry,ANA,F,2016-17,82,8625000,5971728
Keith Yandle,FLA,D,2016-17,81,6350000,5966024
Dion Phaneuf,OTT,D,2016-17,81,7000000,5956580.5
Kris Letang,PIT,D,2016-17,41,7250000,5923400.5
Patrick Marleau,S.J,F,2016-17,81,6666667,5878689.5
Paul Stastny,STL,F,2016-17,66,7000000,5861459
Mark Scheifele,WPG,F,2016-17,79,6125000,5837079
Johnny Gaudreau,CGY,F,2016-17,72,6750000,5809878
John Tavares,NYI,F,2016-17,77,5500000,5792552.5
Brent Seabrook,CHI,D,2016-17,79,6875000,5750361
Rasmus Ristolainen,BUF,D,2016-17,79,5400000,5747313.5
Alexander Steen,STL,F,2016-17,76,5800000,5746272
Daniel Sedin,VAN,F,2016-17,82,7000000,5730468.5
Jeff Carter,L.A,F,2016-17,82,5272727,5714400.5
Kyle Okposo,BUF,F,2016-17,65,6000000,5710348
Nathan MacKinnon,COL,F,2016-17,81,6300000,5680249.5
Rick Nash,NYR,F,2016-17,66,7800000,5643979
Zdeno Chara,BOS,D,2016-17,75,6916667,5601200.5
Zach Parise,MIN,F,2016-17,69,7538462,5600369
Ryan McDonagh,NYR,D,2016-17,76,4700000,5587116
Mike Green,DET,D,2016-17,72,6000000,5542305
Andrei Markov,MTL,D,2016-17,62,5750000,5532166.5
Oliver Ekman-Larsson,ARI,D,2016-17,77,5500000,5525977.5
Sean Monahan,CGY,F,2016-17,82,6375000,5475523
Tyler Seguin,DAL,F,2016-17,82,5750000,5471892.5
TJ Brodie,CGY,D,2016-17,82,4650400,5457688
Travis Zajac,N.J,F,2016-17,80,5750000,5445363
Derek Stepan,NYR,F,2016-17,80,6500000,5428330
Brad Marchand,BOS,F,2016-17,80,4500000,5407863.5
Roman Josi,NSH,D,2016-17,72,4000000,5385886
Alex Goligoski,ARI,D,2016-17,80,5475000,5319663.5
Alexander Radulov,MTL,F,2016-17,76,5750000,5315574.5
Mats Zuccarello,NYR,F,2016-17,79,4500000,5308749
Milan Lucic,EDM,F,2016-17,81,6000000,5297616.5
Thomas Vanek,FLA,F,2016-17,68,2600000,5295394.5
Tyson Barrie,COL,D,2016-17,74,5500000,5290226.5
Logan Couture,S.J,F,2016-17,72,6000000,5287601.5
Nick Foligno,CBJ,F,2016-17,79,5500000,5252222.5
Derick Brassard,OTT,F,2016-17,81,5000000,5242109.5
Wayne Simmonds,PHI,F,2016-17,82,3975000,5236939.5
David Backes,BOS,F,2016-17,74,6000000,5229881
Mikael Backlund,CGY,F,2016-17,81,3575000,5227838
Brandon Dubinsky,CBJ,F,2016-17,80,5850000,5204614
Jordan Staal,CAR,F,2016-17,75,6000000,5180537
Torey Krug,BOS,D,2016-17,81,5250000,5160783.5
Victor Hedman,T.B,D,2016-17,79,4000000,5160599
Matt Niskanen,WSH,D,2016-17,77,5750000,5159368.5
Alexander Edler,VAN,D,2016-17,68,5000000,5151080.5
Andrej Sekera,EDM,D,2016-17,79,5500000,5092576.5
Eric Staal,MIN,F,2016-17,82,3500000,5054947
Taylor Hall,N.J,F,2016-17,72,6000000,5052227
James Neal,NSH,F,2016-17,70,5000000,5014706.5
Jamie Benn,DAL,F,2016-17,77,5250000,5010289
Jarome Iginla,L.A,F,2016-17,79,5333333,4995345.5
Vincent Trocheck,FLA,F,2016-17,81,4750000,4991284
Nikita Kucherov,T.B,F,2016-17,74,4766667,4986993.5
Cam Fowler,ANA,D,2016-17,80,4000000,4965174
Mathieu Perreault,WPG,F,2016-17,65,3000000,4959639
Jeff Skinner,CAR,F,2016-17,79,5725000,4956412
Frans Nielsen,DET,F,2016-17,79,5250000,4942591
Jaden Schwartz,STL,F,2016-17,78,5350000,4930730.5
Max Pacioretty,MTL,F,2016-17,81,4500000,4927247.5
Justin Faulk,CAR,D,2016-17,75,4833333,4914540.5
P.K. Subban,NSH,D,2016-17,66,9000000,4907230
John Klingberg,DAL,D,2016-17,80,4250000,4903557
John Klingberg,DAL,D,2016-17,80,4250000,4903557
Jared Spurgeon,MIN,D,2016-17,76,5187500,4892681.5
Brayden Schenn,PHI,F,2016-17,79,5125000,4865600.5
Alec Martinez,L.A,D,2016-17,82,4000000,4858923.5
Jeff Petry,MTL,D,2016-17,80,5500000,4825689
Patrick Sharp,DAL,F,2016-17,48,5900000,4822172
Ryan Nugent-Hopkins,EDM,F,2016-17,81,6000000,4810993.5
Mark Streit,PIT,D,2016-17,68,5250000,4808526.5
Jordan Eberle,EDM,F,2016-17,81,6000000,4800006
John Carlson,WSH,D,2016-17,71,3966667,4783518
Matt Duchene,COL,F,2016-17,76,6000000,4775953
Bobby Ryan,OTT,F,2016-17,62,7250000,4772945.5
