player,position,team,season,age,plusMinus,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes
Connor McDavid,F,EDM,2019-20,22,-6,Standard (1-way),12500000,L,14,34,0,0,64,0.13000000000000006,0,-0.11,0.030000000000000027,147,46,37,27,-54,6,-16,-1,0,177,42,83861,65433,322,13942,211,143,0,49,34,21,0,10,37,30,0,3,53,49,0,3,73,57,0,12,31,18,0,9,13,6,0,5,319,299,1,10,349,333,2,1,18,16,0,0,63,30,0,29,20,16,0,2
Artemi Panarin,F,NYR,2019-20,27,36,Standard (1-way),11642857,R,8,17,0,1,69,0.17999999999999994,0.04999999999999999,0.58,0.13,278,74,20,20,46,34,-2,6,0,199,35,85300,66460,114,14325,208,144,1,50,32,21,0,6,25,21,0,2,56,46,0,3,82,63,1,13,16,7,0,4,10,4,0,2,1,0,0,0,1,0,0,0,18,16,0,1,63,37,0,18,12,12,2,0
Auston Matthews,F,TOR,2019-20,21,19,Standard (1-way),11634000,L,13,14,0,0,70,0.10999999999999999,0.030000000000000027,0.32999999999999996,0.010000000000000009,297,56,33,21,113,20,13,4,0,151,26,87890,70935,150,12093,290,199,0,71,47,31,0,12,40,40,0,0,78,73,0,3,48,42,0,2,19,11,0,4,10,5,0,4,502,454,2,18,416,371,4,2,60,53,0,0,33,16,0,8,20,22,-2,-2
Erik Karlsson,D,S.J,2019-20,29,-15,Standard (1-way),11500000,R,1,12,1,0,56,0.06000000000000005,0.040000000000000036,-0.010000000000000009,0.020000000000000018,76,-15,-7,-7,52,-4,-6,2,-12,126,13,82426,60326,8440,9215,120,86,5,20,6,4,1,1,26,20,1,2,52,41,6,2,68,55,2,6,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,74,55,1,12,35,22,0,11,4,8,0,-4
Drew Doughty,D,L.A,2019-20,29,-16,Standard (1-way),11000000,R,5,9,0,1,67,-0.020000000000000018,-0.050000000000000044,-0.08,0.07000000000000006,23,-15,-8,1,-44,-7,-11,1,-21,156,20,103715,79122,8163,11954,141,61,4,57,7,1,0,4,106,93,6,2,15,12,0,1,82,63,7,4,8,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,86,59,3,19,29,16,1,8,-24,-26,0,2
John Tavares,F,TOR,2019-20,28,-7,Standard (1-way),11000000,L,7,15,0,0,63,0.08999999999999997,0.010000000000000009,-0.2,0.040000000000000036,196,26,23,15,41,-12,5,-1,0,132,26,73631,59640,42,10431,197,145,0,27,26,13,0,6,32,28,0,2,35,30,0,3,47,42,0,3,22,11,0,4,7,1,0,3,615,446,4,117,498,376,11,4,31,27,0,0,33,16,0,12,8,12,0,0
Mitchell Marner,F,TOR,2019-20,22,6,Standard (1-way),10893000,R,6,20,0,1,59,0.040000000000000036,0.020000000000000018,-0.03,0.06999999999999995,102,20,19,7,45,-4,10,-1,-14,131,23,76062,54505,7551,10047,155,97,11,31,17,7,0,3,24,20,2,1,64,43,14,6,71,47,6,12,15,5,2,3,7,1,0,2,8,5,1,0,19,5,0,6,36,27,0,6,50,26,1,17,10,0,2,0
Jonathan Toews,F,CHI,2019-20,31,-2,Standard (1-way),10500000,L,3,9,1,0,70,0.06000000000000005,0.010000000000000009,-0.06000000000000001,0.040000000000000036,-27,7,-13,-5,-107,-1,-20,-6,-12,156,14,82933,58572,7644,12767,172,108,8,33,18,11,1,0,56,47,4,1,58,46,6,2,40,27,3,5,17,8,0,5,4,2,0,0,854,536,81,157,638,425,89,60,35,25,0,5,42,30,0,6,-20,-12,0,-4
Patrick Kane,F,CHI,2019-20,30,8,Standard (1-way),10500000,L,8,17,0,0,70,0.10000000000000003,-0.020000000000000018,-0.15,0.040000000000000036,116,35,3,6,-102,18,-8,4,-1,173,17,89445,70906,125,14110,275,182,0,55,33,19,0,7,24,22,0,0,43,39,0,3,41,29,0,10,21,11,0,3,8,2,0,3,1,1,0,0,3,1,0,0,19,18,0,0,52,32,0,12,4,12,0,-8
Jack Eichel,F,BUF,2019-20,22,5,Standard (1-way),10000000,R,11,16,1,0,68,0.13999999999999996,0.030000000000000027,0.009999999999999981,0.14,196,31,-10,0,-15,8,-18,-7,-2,180,24,90149,68775,1051,15187,227,137,1,54,36,17,1,9,40,34,0,4,44,37,1,2,66,48,1,12,22,8,0,4,12,1,0,3,615,459,2,106,696,541,57,14,42,36,0,2,43,19,0,16,44,48,2,-4
Anze Kopitar,F,L.A,2019-20,31,6,Standard (1-way),10000000,L,7,14,1,0,70,0.020000000000000018,-0.020000000000000018,-0.06000000000000001,0.08999999999999997,122,9,15,11,41,6,9,9,-16,157,22,88276,64984,7183,11473,135,87,5,33,21,12,1,7,49,44,2,2,39,27,6,1,49,37,5,4,21,8,1,8,13,6,1,6,775,525,77,102,632,437,80,61,56,48,0,4,41,18,0,13,24,20,2,2
Tyler Seguin,F,DAL,2019-20,27,-2,Standard (1-way),9850000,R,3,14,0,1,69,0.07000000000000006,-0.010000000000000009,0.01999999999999999,-0.050000000000000044,96,14,34,12,-19,-5,8,-2,-7,123,20,79480,61780,2808,10116,245,162,1,52,17,9,0,3,90,84,4,0,34,27,0,3,52,38,1,9,20,9,0,5,6,1,0,3,537,416,49,23,389,286,9,51,31,23,1,3,32,16,0,10,4,2,0,2
Alex Ovechkin,F,WSH,2019-20,33,-12,Standard (1-way),9538462,R,14,6,0,0,68,0.13,-0.010000000000000009,0.83,0.14,262,26,41,17,-11,-5,-8,-4,0,206,22,84048,60308,49,18640,311,189,0,81,48,28,0,9,184,167,0,11,28,18,0,6,48,34,0,11,31,11,0,7,18,5,0,6,1,1,0,0,0,0,0,0,29,26,0,0,19,10,0,2,-4,0,0,-6
Nikita Kucherov,F,T.B,2019-20,26,26,Standard (1-way),9500000,L,4,33,0,0,68,0.15999999999999998,0.040000000000000036,0.24,0.04999999999999993,266,57,39,15,68,24,12,1,0,158,27,76402,58578,56,13586,209,148,0,43,32,20,0,4,37,34,0,3,30,23,0,5,59,42,0,16,15,10,0,3,5,1,0,2,0,0,0,0,1,0,0,0,19,17,0,0,50,27,0,18,0,-2,0,-2
Evgeni Malkin,F,PIT,2019-20,32,7,Standard (1-way),9500000,L,7,18,0,0,55,0.13,0.030000000000000027,0.3,0.06999999999999995,255,30,46,12,78,12,20,8,0,144,19,64372,49394,190,11411,171,105,0,47,25,16,0,6,38,33,0,2,70,57,0,4,69,48,0,15,26,14,0,4,10,7,0,1,441,372,0,45,434,371,5,1,22,20,0,0,49,30,0,15,-14,-8,0,-14
Jamie Benn,F,DAL,2019-20,29,-4,Standard (1-way),9500000,L,11,7,1,0,69,0.09999999999999998,0.020000000000000018,-0.13,0,132,12,47,9,-8,-5,20,-1,-5,127,19,68271,54254,1073,9497,162,111,0,36,18,8,0,7,167,149,2,9,52,48,1,1,56,46,0,9,26,11,0,11,5,1,0,3,248,163,10,52,189,129,19,8,57,53,0,1,20,12,0,6,-1,4,0,-2
Mark Stone,F,VGK,2019-20,27,15,Standard (1-way),9500000,R,7,14,0,2,65,0.06999999999999995,0.04999999999999993,0.03,0.020000000000000018,254,28,-3,-3,174,10,5,-3,-8,147,22,75649,55114,7120,9324,169,127,9,28,21,13,0,6,56,48,1,2,77,60,12,2,38,31,2,4,11,9,2,0,3,3,0,0,16,12,1,1,30,23,0,3,51,39,0,8,42,25,1,9,2,0,2,-2
Mikko Rantanen,F,COL,2019-20,22,-2,Standard (1-way),9250000,L,10,12,0,0,42,0.12,0.020000000000000018,-0.14,0.050000000000000044,142,20,0,7,40,3,-9,-2,0,96,17,47591,36236,55,8148,107,69,0,27,19,9,0,7,28,27,0,1,34,31,0,2,16,11,0,5,12,5,0,4,7,1,0,4,44,32,0,8,31,22,1,0,23,19,0,1,23,13,0,5,12,6,2,0
P.K. Subban,D,N.J,2019-20,30,-21,Standard (1-way),9000000,R,2,4,0,0,68,0.020000000000000018,0.009999999999999953,0.03999999999999998,-0.050000000000000044,8,-24,-8,-2,-41,-18,-8,-4,-10,103,6,90178,70582,6385,9096,149,107,8,27,7,6,0,0,88,71,9,5,19,16,2,1,65,52,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90,74,4,7,11,7,0,4,-32,-28,-2,-2
Jeff Skinner,F,BUF,2019-20,27,-22,Standard (1-way),9000000,L,0,3,0,0,59,0.07000000000000006,-0.010000000000000009,-0.4,0,89,-9,-6,-5,-19,-12,-8,-4,0,89,6,58365,48030,3,8364,182,146,0,29,14,14,0,0,29,29,0,0,28,27,0,1,24,21,0,2,13,10,0,1,4,4,0,0,31,15,0,14,54,37,0,0,11,10,0,0,9,5,0,3,22,26,0,-2
Sidney Crosby,F,PIT,2019-20,31,-8,Standard (1-way),8700000,L,4,14,0,0,41,0.13,0.040000000000000036,-0.01999999999999999,0.07999999999999996,175,12,6,-1,45,0,-12,-1,-2,112,17,49798,37236,692,8966,110,78,0,19,16,9,0,3,28,22,1,2,26,23,0,2,25,22,0,2,12,7,0,2,4,1,0,2,494,357,5,96,393,283,33,11,17,16,0,1,30,18,0,12,12,12,0,-4
Steven Stamkos,F,T.B,2019-20,29,14,Standard (1-way),8500000,R,10,9,0,0,57,0.07000000000000006,-0.020000000000000018,-0.030000000000000013,0.09999999999999998,113,35,16,15,2,15,5,8,-5,120,22,62423,47060,1639,10567,173,94,3,57,28,13,0,9,69,58,4,2,23,20,0,1,33,23,0,8,24,11,1,8,11,4,0,4,363,239,37,62,304,203,33,47,38,30,0,1,34,22,0,8,6,4,-2,4
Leon Draisaitl,F,EDM,2019-20,23,-7,Standard (1-way),8500000,L,17,30,0,0,71,0.09000000000000002,0,-0.05,0.05999999999999994,85,44,46,28,-43,9,-8,0,-3,188,42,96187,72459,3113,15255,218,135,2,56,43,23,0,13,27,25,0,1,60,48,2,3,91,64,4,17,31,12,0,11,16,2,0,9,661,437,35,146,605,405,80,40,19,17,0,0,66,34,0,27,22,18,-2,2
Sebastian Aho,F,CAR,2019-20,21,10,Standard (1-way),8454000,L,9,11,5,1,68,0.08999999999999997,0.039999999999999925,0.09,0.010000000000000009,291,26,32,16,103,5,7,1,-5,192,18,79050,56026,6967,10606,207,120,19,42,38,21,2,8,55,47,2,3,71,51,14,1,58,47,3,6,41,16,8,9,22,7,2,6,409,329,8,49,481,376,54,12,20,14,0,2,26,16,0,6,4,-2,0,6
Claude Giroux,F,PHI,2019-20,31,7,Standard (1-way),8275000,R,7,16,1,1,69,0.10999999999999999,0.040000000000000036,0.10000000000000003,0.06999999999999995,221,26,17,10,67,4,-1,-1,-1,148,25,78091,59042,3634,11988,195,130,5,44,20,11,1,6,45,37,5,3,37,28,4,1,34,25,1,5,15,6,2,5,8,2,1,3,657,445,76,89,456,309,57,48,16,13,1,0,32,15,1,13,6,12,2,-6
Jakub Voracek,F,PHI,2019-20,29,14,Standard (1-way),8250000,L,7,14,0,0,69,0.10999999999999999,0.030000000000000027,-0.25,0.08999999999999997,204,40,33,20,36,15,12,7,0,142,25,70088,56175,136,11314,130,90,0,33,12,7,0,4,17,16,0,1,28,26,0,2,30,26,0,3,9,5,0,3,4,1,0,3,7,4,0,2,13,13,0,0,21,19,0,0,42,27,0,13,8,12,0,-6
Ryan Getzlaf,F,ANA,2019-20,34,-16,Standard (1-way),8250000,R,3,6,0,0,69,0.06000000000000005,0.010000000000000009,-0.1,-0.010000000000000009,67,-15,0,-8,-2,-11,-3,-6,-5,112,9,76484,59395,2303,9576,144,97,2,34,13,9,0,3,123,112,5,4,53,43,4,4,76,63,2,9,12,6,0,5,4,2,0,2,525,412,35,43,499,372,23,46,69,55,0,7,28,16,0,5,-4,-10,6,0
Blake Wheeler,F,WPG,2019-20,32,1,Standard (1-way),8250000,R,4,19,1,1,71,0.12999999999999995,0.040000000000000036,0.05,0.06999999999999995,221,27,11,3,18,1,-11,-7,-9,199,33,82315,61484,2636,13199,180,120,3,37,22,14,1,4,102,95,4,1,37,30,6,0,46,38,0,6,16,10,0,3,4,1,0,1,325,258,12,32,326,257,28,13,51,44,2,1,42,17,1,17,8,18,-2,-4
Oliver Ekman-Larsson,D,ARI,2019-20,27,-3,Standard (1-way),8250000,L,2,6,1,0,66,0,0,-0.05000000000000002,-0.08999999999999997,-66,10,5,7,-55,0,-4,-2,-8,92,17,90860,69023,7962,10011,133,99,2,24,9,5,0,2,129,114,11,2,19,13,3,1,45,37,1,6,9,4,0,3,4,1,0,2,0,0,0,0,0,0,0,0,64,44,4,13,21,16,0,4,-8,-2,-4,-2
Matt Duchene,F,NSH,2019-20,28,-4,Standard (1-way),8000000,L,6,7,0,0,66,0.14,0.06000000000000005,0.31000000000000005,0.020000000000000018,238,15,14,4,77,5,14,-1,0,142,14,66811,53373,101,9525,136,92,1,31,13,8,0,4,40,37,0,1,31,29,0,1,36,25,0,10,15,9,0,5,4,1,0,3,386,305,3,53,308,245,11,1,22,19,0,0,29,20,0,4,32,26,0,4
Logan Couture,F,S.J,2019-20,30,0,Standard (1-way),8000000,L,0,9,0,2,52,0.06000000000000005,0,0.04000000000000001,0.010000000000000009,94,5,6,6,13,-1,-4,3,-4,130,12,57569,40819,4999,8005,126,65,4,38,16,11,0,0,55,47,3,1,28,19,5,3,26,13,1,8,13,3,1,3,4,0,0,0,195,166,12,6,248,205,3,19,45,35,2,4,23,10,2,8,18,8,0,4
Phil Kessel,F,ARI,2019-20,31,-21,Standard (1-way),8000000,R,9,10,0,0,70,0.09000000000000002,0.020000000000000018,-0.14,-0.05999999999999994,89,1,8,1,-39,-11,-1,-5,0,120,16,72066,55776,104,12495,154,110,0,36,14,5,0,8,11,9,0,1,18,17,0,0,42,32,0,8,11,6,0,3,6,2,0,3,2,2,0,0,7,5,0,0,20,19,0,0,24,14,0,7,-10,-6,0,-2
John Carlson,D,WSH,2019-20,29,12,Standard (1-way),8000000,R,2,28,0,0,69,0.06000000000000005,-0.010000000000000009,-0.01999999999999999,0.040000000000000036,183,34,28,15,13,4,-13,-4,-7,177,21,101430,73799,5204,15254,189,134,1,32,15,11,0,0,55,45,0,7,42,31,0,8,80,59,5,6,11,2,0,2,4,1,0,0,0,0,0,0,1,0,0,0,109,84,2,13,59,25,0,20,-10,-12,-2,2
Jacob Trouba,D,NYR,2019-20,25,-12,Standard (1-way),8000000,R,4,4,0,2,70,-0.06,-0.019999999999999962,0.009999999999999995,-0.09999999999999998,-214,-27,-25,-12,-91,-15,-18,-6,-22,57,10,94702,74329,9742,6966,167,132,5,21,7,3,0,3,173,137,24,7,43,30,10,1,69,56,5,5,11,4,2,3,3,0,0,2,0,0,0,0,0,0,0,0,128,108,1,14,20,13,2,4,-13,-8,-5,0
Ryan Johansen,F,NSH,2019-20,26,-5,Standard (1-way),8000000,R,3,8,1,0,68,0.07000000000000006,0,0.04000000000000001,0.020000000000000018,122,6,-4,7,6,1,-4,4,-9,146,15,69613,51943,3609,10116,101,77,2,16,14,10,1,3,39,35,2,2,39,26,7,2,24,18,0,5,18,14,0,3,9,6,0,3,550,433,32,55,484,371,31,38,34,29,0,3,22,12,0,6,-23,-13,0,-10
Brent Burns,D,S.J,2019-20,34,-22,Standard (1-way),8000000,R,5,12,0,1,70,0.010000000000000009,-0.010000000000000009,-0.010000000000000009,-0.020000000000000018,-23,-10,-2,-9,-56,-9,2,-3,-9,138,12,106500,80560,9611,10624,225,152,3,53,12,7,0,4,72,65,5,0,49,37,6,4,76,59,6,4,10,4,0,3,3,0,0,2,0,0,0,0,0,0,0,0,115,87,5,11,33,16,1,11,-20,-16,0,-2
Victor Hedman,D,T.B,2019-20,28,27,Standard (1-way),7875000,L,7,25,0,0,66,0.030000000000000027,0.010000000000000009,-0.03,0.029999999999999916,74,43,28,13,47,28,18,6,-11,132,24,94048,68939,8320,11694,155,101,8,39,11,7,0,4,73,62,5,3,46,31,8,1,37,26,0,3,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,95,65,4,13,44,19,0,17,-6,-12,0,6
Shea Weber,D,MTL,2019-20,33,8,Standard (1-way),7857143,R,4,5,0,0,65,-0.040000000000000036,-0.010000000000000009,-0.12,0.010000000000000009,44,-8,11,-6,108,9,27,7,-26,95,8,93605,69650,11829,8025,185,134,6,26,15,8,0,3,113,102,4,3,18,10,4,2,80,60,10,5,5,1,0,1,4,1,0,1,0,0,0,0,0,0,0,0,117,74,5,25,21,14,0,3,-8,-8,0,-2
Evgeny Kuznetsov,F,WSH,2019-20,27,-2,Standard (1-way),7800000,L,8,8,0,0,63,0.040000000000000036,-0.09000000000000002,-0.14,-0.010000000000000009,38,20,-7,11,-113,2,-20,0,-1,117,13,67089,52423,33,11088,129,82,0,37,19,13,0,6,35,34,0,1,22,20,0,1,45,40,0,3,16,10,0,6,9,4,0,5,348,311,1,17,454,414,1,0,16,14,0,0,33,20,0,6,-4,-2,0,2
Zach Parise,F,MIN,2019-20,34,-11,Standard (1-way),7538462,L,12,6,1,1,69,0.050000000000000044,-0.010000000000000009,-0.06,-0.030000000000000027,42,15,25,14,-24,-2,12,3,-4,106,22,71199,53129,3588,10955,155,106,2,38,25,10,1,11,27,24,0,0,21,13,4,2,22,22,0,0,24,11,0,7,10,0,0,7,41,24,1,11,36,22,6,3,38,28,0,7,20,13,0,5,22,24,-2,0
Ryan Suter,D,MIN,2019-20,34,-6,Standard (1-way),7538462,L,2,16,0,1,69,0.010000000000000009,0.020000000000000018,-0.1,-0.050000000000000044,-82,-1,3,0,-31,4,8,1,-22,107,22,101856,75125,9251,11590,111,77,3,24,8,5,0,2,48,38,2,1,19,13,3,1,27,23,4,0,3,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,92,63,6,8,38,19,0,14,-2,-2,0,0
Vladimir Tarasenko,F,STL,2019-20,27,-2,Standard (1-way),7500000,L,1,2,0,0,10,0.09000000000000002,0.040000000000000036,-0.13,-0.12,16,1,-3,0,5,1,-3,0,0,8,3,9705,7956,2,1357,26,18,0,4,3,1,0,2,17,17,0,0,3,3,0,0,5,4,0,1,4,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,7,5,0,0,7,4,0,2,4,2,2,0
Ryan O'Reilly,F,STL,2019-20,28,11,Standard (1-way),7500000,L,4,18,1,0,71,0.040000000000000036,0.030000000000000027,-0.020000000000000004,0.040000000000000036,56,16,7,4,48,20,12,2,-19,137,24,86588,61620,8113,11323,118,75,9,24,12,7,0,2,16,13,0,2,68,56,6,5,22,15,1,5,18,12,0,3,7,3,0,2,867,571,88,122,672,430,92,85,40,20,0,11,48,30,0,12,10,8,0,-2
Aaron Ekblad,D,FLA,2019-20,23,12,Standard (1-way),7500000,R,0,6,0,1,66,0.030000000000000027,0.06000000000000005,0.09,-0.020000000000000018,68,0,-18,-6,114,17,-5,1,-21,62,8,90921,73738,7867,5359,147,116,6,17,5,4,0,0,32,27,3,0,36,31,4,1,73,66,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,68,0,7,35,27,1,5,-6,6,-6,-4
David Krejci,F,BOS,2019-20,33,14,Standard (1-way),7250000,R,5,16,0,0,61,0.050000000000000044,0,-0.06,-0.030000000000000027,70,27,2,8,-2,13,1,6,0,64,10,62650,52876,159,5862,83,55,0,14,13,5,0,2,37,34,0,0,30,24,0,0,37,26,0,5,9,4,0,1,5,1,0,1,373,315,4,37,364,324,8,3,32,29,0,0,30,14,0,9,-4,-6,0,0
Bobby Ryan,F,OTT,2019-20,32,3,Standard (1-way),7250000,R,0,0,0,0,24,0.12999999999999995,0.050000000000000044,-0.11,-0.019999999999999907,27,3,6,1,1,4,-1,-1,0,23,-1,19509,15576,8,3446,43,31,0,10,5,4,0,0,41,38,0,3,12,9,0,3,18,12,0,5,4,2,0,1,2,1,0,0,3,3,0,0,2,2,0,0,13,12,0,0,3,3,0,0,-6,-6,0,0
Kris Letang,D,PIT,2019-20,32,0,Standard (1-way),7250000,R,6,9,0,0,61,0.050000000000000044,0.020000000000000018,-0.03,0.05999999999999994,128,8,12,-1,45,-1,-8,1,-14,149,21,94078,70226,7765,11935,176,128,3,30,15,6,0,6,101,87,6,4,31,24,1,3,80,56,3,14,4,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,92,79,4,4,28,17,0,6,-18,-14,0,-2
Kevin Hayes,F,PHI,2019-20,27,-6,Standard (1-way),7142857,L,4,3,4,0,69,-0.040000000000000036,-0.030000000000000027,0.01999999999999999,-0.09999999999999998,6,-4,1,2,-9,-8,-2,-2,-8,52,9,73076,56071,8036,6372,175,121,17,22,23,12,4,4,88,80,3,2,43,29,8,1,34,24,5,4,28,15,5,3,6,1,3,1,412,334,25,37,409,315,33,29,22,19,0,1,18,12,0,3,-14,-2,-4,-4
Kyle Connor,F,WPG,2019-20,22,4,Standard (1-way),7142857,L,9,9,1,1,71,0.07000000000000006,-0.010000000000000009,-0.010000000000000009,0.09999999999999998,122,23,-13,0,-66,-2,-32,-9,-12,207,31,89790,67239,4277,13420,239,165,4,53,38,21,1,9,18,16,0,2,43,32,4,4,39,30,1,4,34,10,1,13,15,5,1,4,2,1,1,0,11,8,0,1,17,15,0,1,35,18,1,8,-2,0,0,-4
Anders Lee,F,NYI,2019-20,28,8,Standard (1-way),7000000,L,5,6,0,0,68,0.13000000000000006,0.04999999999999999,-0.1,0.050000000000000044,189,17,5,5,38,2,-3,-3,0,111,9,74570,61875,78,8688,193,149,0,28,20,15,0,2,102,98,0,2,24,20,0,2,44,36,0,8,16,10,0,3,5,1,0,2,89,69,0,13,109,87,3,0,50,48,0,0,22,16,0,3,-4,-4,0,-2
Joe Pavelski,F,DAL,2019-20,34,6,Standard (1-way),7000000,R,9,7,0,1,67,0.09999999999999998,0.030000000000000027,0.020000000000000004,0.010000000000000009,129,28,49,20,24,6,25,6,0,142,18,68116,51801,3109,10091,125,86,2,29,14,5,0,4,62,56,1,3,38,28,3,4,27,23,1,2,17,8,0,4,9,1,0,4,349,241,38,56,302,208,20,30,52,45,1,4,17,8,1,5,10,8,0,-2
James van Riemsdyk,F,PHI,2019-20,30,5,Standard (1-way),7000000,L,4,5,0,0,66,0.07999999999999996,0.020000000000000018,-0.29,-0.13,153,22,26,12,64,11,19,8,0,78,13,58628,47663,139,9602,150,107,0,33,18,15,0,3,25,24,0,1,17,16,0,0,16,10,0,6,23,14,0,5,3,3,0,0,8,7,0,1,15,15,0,0,18,18,0,0,21,15,0,5,0,4,0,-2
Max Pacioretty,F,VGK,2019-20,30,18,Standard (1-way),7000000,L,10,11,0,0,71,0.15000000000000002,0.05999999999999994,0.35,0.020000000000000018,409,44,22,8,213,15,11,1,0,158,24,76182,62444,147,10071,306,221,0,61,32,20,0,8,90,87,0,2,32,24,1,4,55,44,0,8,17,13,0,4,7,4,0,3,51,42,0,7,44,36,0,0,35,34,0,0,34,20,0,10,-4,-2,0,-2
Matthew Tkachuk,F,CGY,2019-20,21,-5,Standard (1-way),7000000,L,5,14,0,0,69,0.12999999999999995,0.040000000000000036,-0.06,-0.030000000000000027,187,24,26,9,13,-2,8,-4,0,146,24,75585,59961,24,11061,188,131,0,36,23,12,0,5,122,117,0,2,40,37,0,1,86,69,0,14,25,10,0,8,8,2,0,3,0,0,0,0,4,3,0,0,22,19,0,0,39,21,0,13,18,12,0,0
Evander Kane,F,S.J,2019-20,27,-12,Standard (1-way),7000000,L,14,4,2,0,64,0.07000000000000006,-0.010000000000000009,0.04999999999999999,0.030000000000000027,145,10,5,7,11,-11,-12,-2,1,151,21,74903,56312,5124,9908,215,154,10,41,26,9,2,11,134,129,3,1,45,41,2,0,51,36,2,10,33,10,1,15,17,3,1,9,106,54,8,34,96,52,33,3,24,18,0,4,20,11,0,4,-43,-33,5,-9
William Nylander,F,TOR,2019-20,23,-2,Standard (1-way),6962366,R,10,8,0,0,68,0.12,0.040000000000000036,0.88,-0.020000000000000018,244,29,12,14,89,2,1,1,0,119,20,74052,59862,58,10734,196,150,0,32,30,18,0,8,9,9,0,0,42,37,0,2,41,34,0,6,26,18,0,5,11,5,0,5,106,91,0,8,106,98,1,0,14,14,0,0,29,20,0,6,12,14,0,0
Brent Seabrook,D,CHI,2019-20,34,1,Standard (1-way),6875000,R,1,0,0,0,32,-0.06,-0.06,0.020000000000000018,0.010000000000000009,-85,-6,-12,-4,-65,0,-7,0,-7,14,1,34867,30165,2842,1064,40,32,2,6,3,2,0,1,52,45,4,0,3,2,1,0,27,24,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61,56,0,3,1,1,0,0,-6,-6,0,0
Patrice Bergeron,F,BOS,2019-20,33,23,Standard (1-way),6875000,R,12,12,1,0,61,0.10999999999999999,0.06000000000000005,0.03,0.05999999999999994,243,58,35,26,98,21,7,3,-6,182,33,68653,45748,5812,12436,200,115,9,55,30,13,1,7,46,40,2,3,44,29,8,6,22,16,1,4,26,5,2,10,17,4,1,4,757,476,66,148,552,328,115,61,46,30,2,8,26,12,0,8,-12,-12,0,-2
Johnny Gaudreau,F,CGY,2019-20,25,-10,Standard (1-way),6750000,L,9,15,0,0,70,0.09999999999999998,0,-0.14,-0.010000000000000009,156,18,30,9,-22,-4,5,-4,0,149,24,78602,62639,54,11472,209,146,0,44,18,11,0,6,1,1,0,0,40,33,0,2,71,50,0,13,14,10,0,3,4,1,0,2,1,0,0,0,3,0,0,0,11,11,0,0,40,19,0,12,10,12,0,-2
Patrik Laine,F,WPG,2019-20,21,8,Standard (1-way),6750000,R,8,8,0,0,68,0.10000000000000003,-0.020000000000000018,-0.07,0.050000000000000044,141,41,9,17,-96,3,-18,-4,0,188,31,79100,62695,10,12665,225,147,0,53,28,15,0,7,97,93,0,2,41,28,0,4,57,47,0,9,17,5,0,4,12,3,0,3,10,8,0,0,17,13,0,0,35,34,0,0,34,19,0,8,2,12,0,-8
