player,position,team,season,age,plusMinus,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes
Derek Grant,F,ANA,2019-20,29,1,Standard (1-way),700000,L,2,0,3,2,57,-0.13,-0.10999999999999999,0.010000000000000009,-0.07000000000000006,-156,-5,-1,3,-110,-6,-4,-1,-9,26,6,46962,35030,7522,2466,94,69,13,7,15,7,3,2,54,52,2,0,20,14,3,2,11,9,1,0,19,11,3,1,10,5,2,1,361,240,83,20,334,219,14,53,25,20,0,2,10,8,2,0,-8,-8,-2,2
Curtis Lazar,F,BUF,2019-20,24,-3,Standard (1-way),700000,R,0,0,0,1,38,-0.14,-0.030000000000000027,-0.04000000000000001,-0.88,-74,-9,-5,-2,-21,-6,-3,-1,-6,-1,0,26947,22440,3929,49,33,27,4,0,5,3,0,0,70,67,2,0,13,9,4,0,10,9,1,0,8,5,1,0,4,2,0,0,185,142,32,1,176,126,1,5,25,19,0,2,5,4,0,0,6,6,-2,0
Joseph Blandisi,F,PIT,2019-20,24,-3,Standard (2-way),700000,L,0,0,0,0,21,-0.12,-0.10000000000000003,0,-0.69,-28,-3,-6,-2,-25,-2,-4,-1,-1,0,0,10281,10206,64,9,12,12,0,0,2,2,0,0,26,26,0,0,8,7,0,0,1,1,0,0,1,1,0,0,1,1,0,0,33,33,0,0,48,48,0,0,9,8,0,0,3,3,0,0,2,2,0,0
Buddy Robinson,F,CGY,2019-20,27,0,Standard (2-way),700000,R,0,0,0,0,5,-0.020000000000000018,0.030000000000000027,-0.14,0,2,0,1,-1,3,0,1,-1,0,0,0,3617,3174,114,0,6,6,0,0,1,1,0,0,14,13,1,0,2,2,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,-2,-2,0,0
T.J. Tynan,F,COL,2019-20,27,-1,Standard (2-way),700000,R,0,0,0,0,16,-0.010000000000000009,-0.03999999999999998,0,-0.05999999999999994,9,0,-3,-1,1,-1,-4,-1,0,7,1,8135,7656,0,478,7,6,0,1,0,0,0,0,7,7,0,0,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,0,0,15,15,0,0,3,3,0,0,2,1,0,1,-2,-2,0,0
Trevor Carrick,D,S.J,2019-20,24,0,Standard (2-way),700000,L,0,0,0,0,3,-0.06000000000000005,-0.13999999999999996,0,-0.020000000000000018,0,0,0,0,-1,0,0,0,0,1,0,1042,951,0,91,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxim Letunov,F,S.J,2019-20,23,0,Standard (2-way),700000,L,0,0,0,0,3,0.07000000000000006,0.06000000000000005,0,0,6,0,3,1,6,0,3,1,0,0,0,1634,1634,0,0,3,3,0,0,1,1,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,1,0,0,1,1,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Ouellet,D,MTL,2019-20,25,0,Standard (2-way),700000,L,0,0,0,1,12,-0.050000000000000044,-0.040000000000000036,-0.11,0,-16,0,1,2,-12,-1,2,2,0,0,0,10015,9215,651,0,8,8,0,0,0,0,0,0,24,24,0,0,1,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,3,3,0,0,0,0,0,0
Brad Hunt,D,MIN,2019-20,30,-7,Standard (1-way),700000,L,3,7,0,0,59,0.08000000000000007,0,0.33999999999999997,0.050000000000000044,112,6,6,-2,17,0,2,-2,0,84,12,53588,44676,253,7628,106,74,0,27,8,5,0,3,12,11,0,1,15,12,0,1,14,12,0,2,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,39,39,0,0,11,4,0,7,-4,-2,0,-2
Luke Witkowski,F,T.B,2019-20,29,-4,Standard (2-way),700000,R,0,0,0,0,12,-0.13,-0.15000000000000002,0.12,-0.78,-38,-4,2,1,-36,-4,2,1,0,0,0,6362,6233,67,20,10,10,0,0,1,1,0,0,38,38,0,0,2,2,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,0,0,-6,-6,0,0
John Gilmour,D,BUF,2019-20,26,-2,Standard (1-way),700000,L,0,0,0,0,4,-0.02999999999999997,0.03999999999999998,-0.03,0,-7,-3,-1,-2,2,-2,1,-1,-1,0,0,4082,3710,310,0,5,4,1,0,0,0,0,0,3,3,0,0,0,0,0,0,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
Ilya Kovalchuk,F,WSH,2019-20,36,-4,35+ (2-way),700000,R,2,3,0,0,46,0.06999999999999995,0,-0.18,-0.07999999999999996,126,-1,16,1,50,-4,5,2,0,54,3,46837,38244,57,6375,115,79,0,23,10,6,0,2,52,46,0,4,11,10,0,1,25,20,0,4,12,7,0,3,3,2,0,1,9,9,0,0,16,10,0,0,23,18,0,0,15,10,0,1,4,2,0,-2
Sam Carrick,F,ANA,2019-20,27,-3,Standard (1-way),700000,R,0,0,1,0,9,0.10000000000000003,0.07,-0.009999999999999981,0.15000000000000002,18,-2,-3,-2,10,-3,-2,-2,0,5,0,7433,6500,174,649,16,15,1,0,1,0,1,0,13,13,0,0,1,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,33,30,1,0,39,31,3,5,7,6,0,1,1,1,0,0,2,2,0,0
Riley Barber,F,MTL,2019-20,25,-1,Standard (2-way),700000,R,0,0,0,0,9,-0.030000000000000027,-0.030000000000000027,0,0,8,-1,4,0,7,-1,4,0,0,0,0,4459,4428,0,0,6,6,0,0,0,0,0,0,15,15,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-2,-2,0,0
Carter Verhaeghe,F,T.B,2019-20,23,-9,Standard (2-way),700000,L,1,0,0,0,52,0.050000000000000044,0.030000000000000027,-0.11,0.07000000000000006,17,-7,4,0,9,-9,3,-2,-1,9,3,28811,27873,79,583,50,49,0,1,7,7,0,0,28,28,0,0,18,18,0,0,11,11,0,0,2,2,0,0,0,0,0,0,14,13,0,0,17,16,0,0,8,8,0,0,4,4,0,0,6,4,2,0
Brad Hunt,D,MIN,2019-20,30,-7,Standard (1-way),700000,L,3,7,0,0,59,0.08000000000000007,0,0.33999999999999997,0.050000000000000044,112,6,6,-2,17,0,2,-2,0,84,12,53588,44676,253,7628,106,74,0,27,8,5,0,3,12,11,0,1,15,12,0,1,14,12,0,2,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,39,39,0,0,11,4,0,7,-4,-2,0,-2
Luke Witkowski,F,T.B,2019-20,29,-4,Standard (2-way),700000,R,0,0,0,0,12,-0.13,-0.15000000000000002,0.12,-0.78,-38,-4,2,1,-36,-4,2,1,0,0,0,6362,6233,67,20,10,10,0,0,1,1,0,0,38,38,0,0,2,2,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,0,0,-6,-6,0,0
Ilya Kovalchuk,F,WSH,2019-20,36,-4,35+ (2-way),700000,R,2,3,0,0,46,0.06999999999999995,0,-0.18,-0.07999999999999996,126,-1,16,1,50,-4,5,2,0,54,3,46837,38244,57,6375,115,79,0,23,10,6,0,2,52,46,0,4,11,10,0,1,25,20,0,4,12,7,0,3,3,2,0,1,9,9,0,0,16,10,0,0,23,18,0,0,15,10,0,1,4,2,0,-2
Michael Amadio,F,L.A,2019-20,23,-11,Standard (2-way),700000,R,0,3,0,0,68,0.04999999999999993,0.020000000000000018,-0.06,-0.06000000000000005,133,-1,18,6,67,-7,11,6,0,75,8,53090,45784,600,5823,99,77,1,19,6,6,0,0,21,19,0,2,31,27,0,3,25,19,1,5,11,6,0,4,3,3,0,0,233,223,3,3,247,233,2,5,22,21,1,0,11,8,0,3,4,2,0,0
Fredrik Claesson,D,N.J,2019-20,26,1,Standard (2-way),700000,L,0,0,0,0,5,-0.040000000000000036,-0.020000000000000018,-0.03,0,-9,0,2,0,-5,2,3,1,-1,0,0,4346,4038,244,0,1,1,0,0,1,1,0,0,5,3,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,1,1,0,0,0,0,0,0
Dylan Gambrell,F,S.J,2019-20,22,-8,Standard (2-way),700000,R,0,1,0,0,50,-0.06,-0.050000000000000044,-0.05000000000000002,-0.010000000000000009,-61,-7,-7,-5,-32,-4,-7,-4,-4,15,2,35862,30475,2788,1973,43,40,2,1,5,5,0,0,40,39,1,0,11,10,1,0,17,14,2,1,5,4,0,1,0,0,0,0,170,143,18,5,199,162,7,16,29,22,0,7,7,6,0,1,-10,-10,-5,0
Tyler Graovac,F,VAN,2019-20,26,-2,Standard (2-way),700000,L,2,0,0,0,8,0.030000000000000027,0.010000000000000009,0,-0.18000000000000005,-5,0,2,1,-7,-2,0,-1,0,2,2,2885,2492,0,361,5,3,0,2,2,0,0,2,6,6,0,0,1,1,0,0,1,1,0,0,3,1,0,2,2,0,0,2,8,8,0,0,14,13,0,0,3,3,0,0,0,0,0,0,-2,-2,0,0
Derrick Pouliot,D,STL,2019-20,25,-1,Standard (2-way),700000,L,0,0,0,0,2,0.15000000000000002,0.18000000000000005,0,0,2,-1,0,0,2,-1,0,0,0,0,0,1000,1000,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-2,-2,0,0
Patrick Brown,F,VGK,2019-20,27,0,Standard (2-way),700000,R,0,0,0,0,1,0.07999999999999996,0.05999999999999994,0,0,3,0,2,1,3,0,2,1,0,0,0,604,604,0,0,2,2,0,0,1,1,0,0,6,6,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukas Radil,F,S.J,2019-20,28,-3,Standard (1-way),700000,R,0,0,0,0,14,-0.02999999999999997,-0.04999999999999999,0,-0.32999999999999996,-20,-3,-2,-1,-17,-3,-2,-1,0,-1,0,7885,7612,0,37,12,12,0,0,0,0,0,0,16,16,0,0,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,2,2,0,0,0,0,0,0,-6,-4,0,0
Dylan McIlrath,D,DET,2019-20,27,-4,Standard (2-way),700000,R,0,0,0,0,16,-0.10999999999999999,-0.009999999999999953,-0.13,0,-70,-11,-11,-4,-26,-7,-4,-1,-4,0,0,14228,11579,2440,0,14,12,1,0,0,0,0,0,48,37,11,0,4,4,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,-13,-13,0,0
Luke Schenn,D,T.B,2019-20,29,-8,Standard (1-way),700000,R,0,0,0,0,25,-0.12000000000000005,-0.07000000000000006,0.04999999999999999,-0.27,-56,-17,-6,-4,-27,-9,0,0,-8,-1,0,18441,15919,2205,49,31,29,1,0,1,1,0,0,83,78,4,0,5,3,1,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,0,0,2,2,0,0,-8,-6,-2,0
Jason Spezza,F,TOR,2019-20,36,-3,35+ (1-way),700000,R,2,5,0,0,58,0.030000000000000027,-0.010000000000000009,-0.15,0.040000000000000036,29,4,6,3,-18,3,6,2,-2,42,4,37671,32909,178,3610,73,57,0,14,9,7,0,2,13,13,0,0,20,19,0,1,33,25,1,7,7,5,0,1,2,1,0,1,215,176,7,24,183,163,1,3,19,17,0,1,16,11,0,5,-12,-12,0,0
Andreas Englund,D,OTT,2019-20,23,-8,Standard (2-way),700000,L,0,0,0,0,24,-0.06,-0.020000000000000018,0.03,-0.92,-34,-14,-6,-4,-16,-9,-2,1,-5,0,0,15691,14007,1502,42,10,10,0,0,0,0,0,0,58,55,3,0,4,4,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,3,3,0,0,4,4,0,0
Chad Ruhwedel,D,PIT,2019-20,29,4,Standard (1-way),700000,R,0,0,0,0,41,-0.040000000000000036,-0.010000000000000009,0.07,0.16000000000000003,-30,0,-4,-4,-5,2,-5,-3,-4,0,0,36317,32758,2978,74,44,41,1,0,2,2,0,0,74,62,10,0,7,7,0,0,17,15,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,0,1,4,4,0,0,6,4,0,2
Steven Fogarty,F,NYR,2019-20,26,-1,Standard (2-way),700000,R,0,0,0,0,7,-0.06,-0.08000000000000002,0.28,0,-3,-1,-1,0,-4,-1,-1,0,0,0,0,2474,2370,96,0,2,2,0,0,0,0,0,0,4,4,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0
Michael Stone,D,CGY,2019-20,29,-5,Standard (1-way),700000,R,0,0,0,0,33,-0.11000000000000004,-0.07,-0.03,-0.88,-74,-8,-8,-3,-42,-5,-7,-3,-3,0,0,32285,29275,2275,41,57,54,2,0,2,2,0,0,53,51,2,0,6,6,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,54,48,0,1,5,5,0,0,-16,-16,0,0
Jarred Tinordi,D,NSH,2019-20,27,-1,Standard (2-way),700000,L,0,0,0,1,28,-0.10999999999999999,-0.08000000000000002,0.06,-0.84,-103,-6,-7,0,-63,-3,1,3,-3,0,0,27936,24507,2482,15,20,19,0,0,1,1,0,0,71,67,3,0,1,1,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27,0,0,4,3,1,0,-10,-8,0,0
Zach Trotman,D,PIT,2019-20,28,-1,Standard (2-way),700000,R,0,0,0,0,8,0.010000000000000009,0,0.07,0.10999999999999999,15,0,-1,2,14,-1,-1,1,0,2,1,7059,6291,183,350,11,10,0,0,0,0,0,0,21,20,0,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,-4,-4,0,0
Martin Frk,F,L.A,2019-20,25,-1,Standard (2-way),700000,R,1,0,0,0,17,0.07000000000000006,0.020000000000000018,0,-0.04999999999999993,25,2,-5,-2,6,0,-4,-1,0,22,3,14115,12246,1,1486,26,16,0,9,6,4,0,1,14,14,0,0,2,2,0,0,10,8,0,2,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,0,0,-2,-2,0,0
Logan Shaw,F,WPG,2019-20,26,0,Standard (2-way),700000,R,0,1,0,0,35,-0.13,-0.12,-0.23,0.25,-37,1,-1,0,-39,0,-2,-1,0,3,1,14210,13722,169,195,20,19,0,1,3,3,0,0,24,24,0,0,2,1,1,0,5,5,0,0,2,2,0,0,0,0,0,0,11,9,2,0,9,9,0,0,13,13,0,0,2,1,0,1,0,0,0,0
Brian Lashoff,D,DET,2019-20,28,1,Standard (2-way),700000,L,0,0,0,0,9,-0.06,-0.040000000000000036,0.019999999999999997,-1,-11,-2,-3,-2,1,1,1,1,-2,0,0,7800,6986,699,39,6,5,1,0,0,0,0,0,16,14,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,1,1,0,0,-6,-6,0,0
Samuel Morin,D,PHI,2019-20,23,-1,Standard (1-way),700000,L,0,0,0,0,1,-0.14999999999999997,-0.09000000000000002,0,0,-5,-1,-7,-1,-5,-1,-7,-1,0,0,0,752,752,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Bardreau,F,NYI,2019-20,25,-2,Standard (2-way),700000,R,0,0,0,0,10,-0.07,-0.06,0.08000000000000002,0,-14,-2,0,-1,-8,-1,1,-1,-1,0,0,5319,4882,329,0,10,8,2,0,1,1,0,0,21,21,0,0,4,4,0,0,4,4,0,0,1,1,0,0,0,0,0,0,21,19,2,0,29,29,0,0,1,1,0,0,1,1,0,0,-6,-6,0,0
Cole Bardreau,F,NYI,2019-20,25,-2,Standard (2-way),700000,R,0,0,0,0,10,-0.07,-0.06,0.08000000000000002,0,-14,-2,0,-1,-8,-1,1,-1,-1,0,0,5319,4882,329,0,10,8,2,0,1,1,0,0,21,21,0,0,4,4,0,0,4,4,0,0,1,1,0,0,0,0,0,0,21,19,2,0,29,29,0,0,1,1,0,0,1,1,0,0,-6,-6,0,0
Jarred Tinordi,D,NSH,2019-20,27,-1,Standard (2-way),700000,L,0,0,0,1,28,-0.10999999999999999,-0.08000000000000002,0.06,-0.84,-103,-6,-7,0,-63,-3,1,3,-3,0,0,27936,24507,2482,15,20,19,0,0,1,1,0,0,71,67,3,0,1,1,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27,0,0,4,3,1,0,-10,-8,0,0
