player,team,position,season,games_played,cap_hit,projected_cap_hit
John Tavares,TOR,F,2018-19,82,11000000,8577331
Mark Giordano,CGY,D,2018-19,78,6750000,8525981
Alex Ovechkin,WSH,F,2018-19,81,9538462,8473233
Brent Burns,S.J,D,2018-19,82,8000000,8461765
Connor McDavid,EDM,F,2018-19,78,12500000,8243490
Claude Giroux,PHI,F,2018-19,82,8275000,8239512.5
Evgeni Malkin,PIT,F,2018-19,68,9500000,8141749.5
Ryan Suter,MIN,D,2018-19,82,7538462,8127730
Sidney Crosby,PIT,F,2018-19,79,8700000,8120238.5
Jonathan Toews,CHI,F,2018-19,82,10500000,8068522.5
Anze Kopitar,L.A,F,2018-19,81,10000000,7848340.5
Blake Wheeler,WPG,F,2018-19,82,5600000,7679749
Steven Stamkos,T.B,F,2018-19,82,8500000,7640421.5
John Carlson,WSH,D,2018-19,80,8000000,7633413
Kris Letang,PIT,D,2018-19,65,7250000,7628147
Phil Kessel,PIT,F,2018-19,82,8000000,7381395
Patrick Kane,CHI,F,2018-19,81,10500000,7374549.5
Ryan Getzlaf,ANA,F,2018-19,67,8250000,7337908
Dustin Byfuglien,WPG,D,2018-19,42,7600000,7253242.5
Drew Doughty,L.A,D,2018-19,82,7000000,7246122.5
Ryan O'Reilly,STL,F,2018-19,82,7500000,7239423
Patrice Bergeron,BOS,F,2018-19,65,6875000,7193131.5
Keith Yandle,FLA,D,2018-19,82,6350000,7154636
Leon Draisaitl,EDM,F,2018-19,82,8500000,7123096
Joe Thornton,S.J,F,2018-19,73,5000000,7069369
Jamie Benn,DAL,F,2018-19,78,9500000,7012728.5
Nathan MacKinnon,COL,F,2018-19,82,6300000,6995622.5
David Krejci,BOS,F,2018-19,81,7250000,6860749
Jason Spezza,DAL,F,2018-19,76,7500000,6845649
Dustin Brown,L.A,F,2018-19,72,5875000,6841625.5
Jeff Carter,L.A,F,2018-19,76,5272727,6779991
Brad Marchand,BOS,F,2018-19,79,6125000,6777389.5
Joe Pavelski,S.J,F,2018-19,75,6000000,6757682
Ryan Johansen,NSH,F,2018-19,80,8000000,6749798.5
Zach Parise,MIN,F,2018-19,74,7538462,6729915
Aleksander Barkov,FLA,F,2018-19,82,5900000,6727222.5
Alexander Radulov,DAL,F,2018-19,70,6250000,6726243
Jakub Voracek,PHI,F,2018-19,78,8250000,6634899.5
Victor Hedman,T.B,D,2018-19,70,7875000,6620940.5
Alexander Edler,VAN,D,2018-19,56,5000000,6564701.5
Sean Monahan,CGY,F,2018-19,78,6375000,6509644.5
Travis Zajac,N.J,F,2018-19,80,5750000,6488825.5
Tyler Seguin,DAL,F,2018-19,82,5750000,6456608.5
Evgeny Kuznetsov,WSH,F,2018-19,76,7800000,6424011
Duncan Keith,CHI,D,2018-19,82,5538462,6401629
Mikko Koivu,MIN,F,2018-19,48,5500000,6394876
Johnny Gaudreau,CGY,F,2018-19,82,6750000,6344808
Shea Weber,MTL,D,2018-19,58,7857143,6336316.5
Alex Pietrangelo,STL,D,2018-19,71,6500000,6320916.5
Patrick Marleau,TOR,F,2018-19,82,6250000,6310985.5
Mark Scheifele,WPG,F,2018-19,82,6125000,6295472.5
Erik Karlsson,S.J,D,2018-19,53,6500000,6270227
Ilya Kovalchuk,L.A,F,2018-19,64,6250000,6260622.5
