player,team,position,season,games_played,cap_hit,projected_cap_hit
Roman Josi,NSH,D,2018-19,82,4000000,6254164.5
Nikita Kucherov,T.B,F,2018-19,82,4766667,6207026.5
Jared Spurgeon,MIN,D,2018-19,82,5187500,6179022.5
Niklas Kronwall,DET,D,2018-19,79,4750000,6156104
Vladimir Tarasenko,STL,F,2018-19,76,7500000,6139161
Paul Stastny,VGK,F,2018-19,50,6500000,6132447
Logan Couture,S.J,F,2018-19,81,6000000,6128949.5
Mike Hoffman,FLA,F,2018-19,82,5187500,6098489.5
P.K. Subban,NSH,D,2018-19,63,9000000,6071039
T.J. Oshie,WSH,F,2018-19,69,5750000,6055643.5
Jeff Petry,MTL,D,2018-19,82,5500000,6045961.5
Gabriel Landeskog,COL,F,2018-19,73,5571429,6025357.5
Sean Couturier,PHI,F,2018-19,80,4333333,6024534
Jonathan Huberdeau,FLA,F,2018-19,82,5900000,5999461
David Pastrnak,BOS,F,2018-19,66,6666667,5998981.5
Mark Stone,VGK,F,2018-19,77,7350000,5973835.5
Dylan Larkin,DET,F,2018-19,76,6100000,5970862.5
Oliver Ekman-Larsson,ARI,D,2018-19,81,5500000,5923576.5
Justin Williams,CAR,F,2018-19,82,4500000,5886149
John Klingberg,DAL,D,2018-19,64,4250000,5883849
Matt Duchene,CBJ,F,2018-19,73,6000000,5876972
Cam Atkinson,CBJ,F,2018-19,80,5875000,5868035.5
Artemi Panarin,CBJ,F,2018-19,79,6000000,5864861
Tyler Bozak,STL,F,2018-19,72,5000000,5768555
Tyson Barrie,COL,D,2018-19,78,5500000,5762085
James van Riemsdyk,PHI,F,2018-19,66,7000000,5761893.5
Brent Seabrook,CHI,D,2018-19,78,6875000,5716063
Mika Zibanejad,NYR,F,2018-19,82,5350000,5710993
Bobby Ryan,OTT,F,2018-19,78,7250000,5680138.5
Ryan Nugent-Hopkins,EDM,F,2018-19,82,6000000,5633824.5
Mats Zuccarello,DAL,F,2018-19,48,4500000,5623401.5
Torey Krug,BOS,D,2018-19,64,5250000,5584645
Jonathan Marchessault,VGK,F,2018-19,82,5000000,5559341
Justin Faulk,CAR,D,2018-19,82,4833333,5547440
Kevin Shattenkirk,NYR,D,2018-19,73,6650000,5516672.5
Bo Horvat,VAN,F,2018-19,82,5500000,5514927.5
Aaron Ekblad,FLA,D,2018-19,82,7500000,5505220.5
Eric Staal,MIN,F,2018-19,81,3500000,5501368.5
Ryan Kesler,ANA,F,2018-19,60,6875000,5495037
Elias Lindholm,CGY,F,2018-19,81,4850000,5479572
Evander Kane,S.J,F,2018-19,75,7000000,5478898.5
Mattias Ekholm,NSH,D,2018-19,80,3750000,5433654.5
Jack Eichel,BUF,F,2018-19,77,10000000,5432649
Frans Nielsen,DET,F,2018-19,72,5250000,5409699.5
Derek Stepan,ARI,F,2018-19,72,6500000,5342743
Jordan Staal,CAR,F,2018-19,50,6000000,5317574.5
Alex Goligoski,ARI,D,2018-19,76,5475000,5313497.5
Josh Bailey,NYI,F,2018-19,82,5000000,5311701
Seth Jones,CBJ,D,2018-19,75,5400000,5302256
Morgan Rielly,TOR,D,2018-19,82,5000000,5294497
Mikael Backlund,CGY,F,2018-19,77,5350000,5262967
Matt Niskanen,WSH,D,2018-19,80,5750000,5258985.5
Johnny Boychuk,NYI,D,2018-19,74,6000000,5258813.5
Ryan Ellis,NSH,D,2018-19,82,2500000,5232948
William Nylander,TOR,F,2018-19,54,10277778,5201437.5
Kyle Palmieri,N.J,F,2018-19,74,4650000,5186602.5
Andy Greene,N.J,D,2018-19,82,5000000,5184499
Nazem Kadri,TOR,F,2018-19,73,4500000,5177035.5
Rasmus Ristolainen,BUF,D,2018-19,78,5400000,5170418
David Backes,BOS,F,2018-19,70,6000000,5165297.5
Alexander Steen,STL,F,2018-19,65,5750000,5126138
Jacob Trouba,WPG,D,2018-19,82,5500000,5100574.5
Nick Leddy,NYI,D,2018-19,82,5500000,5094439.5
Mikael Granlund,NSH,F,2018-19,79,5750000,5093670.5
David Perron,STL,F,2018-19,57,4000000,5092278
Erik Johnson,COL,D,2018-19,80,6000000,5089751.5
Gustav Nyquist,S.J,F,2018-19,81,4750000,5074429.5
Kevin Hayes,WPG,F,2018-19,71,5175000,5049003.5
Brayden Schenn,STL,F,2018-19,72,5125000,5013169
Nick Foligno,CBJ,F,2018-19,73,5500000,4993119
Jason Pominville,BUF,F,2018-19,73,5600000,4992695.5
Mike Green,DET,D,2018-19,43,5375000,4975494.5
Reilly Smith,VGK,F,2018-19,74,5000000,4970236
Tyler Myers,WPG,D,2018-19,80,5500000,4954009.5
Shayne Gostisbehere,PHI,D,2018-19,78,4500000,4925176
Corey Perry,ANA,F,2018-19,31,8625000,4923649
Jeff Skinner,BUF,F,2018-19,82,5725000,4918094
William Karlsson,VGK,F,2018-19,82,5250000,4889896.5
Zdeno Chara,BOS,D,2018-19,62,5000000,4887711
Taylor Hall,N.J,F,2018-19,33,6000000,4885314
Dougie Hamilton,CAR,D,2018-19,82,5750000,4857906
TJ Brodie,CGY,D,2018-19,79,4650400,4850053
Thomas Vanek,DET,F,2018-19,64,3000000,4816739.5
Ryan McDonagh,T.B,D,2018-19,82,4700000,4809336
Filip Forsberg,NSH,F,2018-19,64,6000000,4796236.5
Chris Kreider,NYR,F,2018-19,79,4625000,4783397.5
Shea Theodore,VGK,D,2018-19,79,5200000,4779467.5
James Neal,CGY,F,2018-19,63,5750000,4778260.5
Jaccob Slavin,CAR,D,2018-19,82,5300000,4768504.5
Derek Ryan,CGY,F,2018-19,81,3125000,4765137
Max Pacioretty,VGK,F,2018-19,66,4500000,4753313.5
Jordan Eberle,NYI,F,2018-19,78,6000000,4746060.5
Colton Parayko,STL,D,2018-19,80,5500000,4727154.5
Cam Fowler,ANA,D,2018-19,59,6500000,4725358
Tomas Hertl,S.J,F,2018-19,77,5625000,4724371
Kyle Turris,NSH,F,2018-19,55,6000000,4722752.5
Alec Martinez,L.A,D,2018-19,60,4000000,4708162
J.T. Miller,T.B,F,2018-19,75,5250000,4690755.5
Jay Bouwmeester,STL,D,2018-19,78,5400000,4684624.5
Bryan Little,WPG,F,2018-19,82,5291667,4683918.5
Jake Muzzin,TOR,D,2018-19,80,4000000,4655863.5
Ron Hainsey,TOR,D,2018-19,81,3000000,4613875.5
Loui Eriksson,VAN,F,2018-19,81,6000000,4610248.5
Esa Lindell,DAL,D,2018-19,82,2200000,4592418.5
Dion Phaneuf,L.A,D,2018-19,67,7000000,4583364.5
Brock Nelson,NYI,F,2018-19,82,4250000,4574454
Derick Brassard,COL,F,2018-19,70,5000000,4568777
Kyle Okposo,BUF,F,2018-19,78,6000000,4555972.5
Jaden Schwartz,STL,F,2018-19,69,5350000,4552677.5
Erik Gustafsson,CHI,D,2018-19,79,1200000,4536915.5
Hampus Lindholm,ANA,D,2018-19,76,5205556,4513892
Adam Henrique,ANA,F,2018-19,82,4000000,4484740
Oscar Klefbom,EDM,D,2018-19,61,4167000,4444240
Tomas Tatar,MTL,F,2018-19,80,5300000,4438596
Jonathan Drouin,MTL,F,2018-19,81,5500000,4421954
Andrew Ladd,NYI,F,2018-19,26,5500000,4418580.5
Nikolaj Ehlers,WPG,F,2018-19,62,6000000,4409753.5
Nino Niederreiter,CAR,F,2018-19,82,5250000,4400240
Vincent Trocheck,FLA,F,2018-19,55,4750000,4386623
Tyler Toffoli,L.A,F,2018-19,82,4600000,4378189.5
Lars Eller,WSH,F,2018-19,81,3500000,4371498
Anders Lee,NYI,F,2018-19,82,3750000,4368440
Brendan Gallagher,MTL,F,2018-19,82,3750000,4362525
Artem Anisimov,CHI,F,2018-19,78,4550000,4352620
Brandon Saad,CHI,F,2018-19,80,6000000,4351903
Jake Gardiner,TOR,D,2018-19,62,4050000,4350626
Colin Miller,VGK,D,2018-19,65,3875000,4349186.5
Craig Smith,NSH,F,2018-19,76,4250000,4333508.5
Justin Schultz,PIT,D,2018-19,29,5500000,4325149
Andrej Sekera,EDM,D,2018-19,24,5500000,4294165.5
Sam Reinhart,BUF,F,2018-19,82,3650000,4291349
Rickard Rakell,ANA,F,2018-19,69,3789444,4289771.5
Damon Severson,N.J,D,2018-19,82,4166666,4285430
Ondrej Palat,T.B,F,2018-19,64,5300000,4273118
Wayne Simmonds,NSH,F,2018-19,79,3975000,4220036.5
Max Domi,MTL,F,2018-19,82,3150000,4217898.5
Jack Johnson,PIT,D,2018-19,82,3250000,4204832.5
Alex Galchenyuk,ARI,F,2018-19,72,4900000,4203591.5
Kris Russell,EDM,D,2018-19,72,4000000,4202128
Jason Zucker,MIN,F,2018-19,81,5500000,4200281
Marc Staal,NYR,D,2018-19,79,5700000,4198926.5
Dmitry Orlov,WSH,D,2018-19,82,5100000,4190176.5
Brad Hunt,MIN,D,2018-19,42,650000,4154832.75
Sami Vatanen,N.J,D,2018-19,50,4875000,4122361.25
Marcus Johansson,BOS,F,2018-19,58,4583333,4111687.25
Brandon Dubinsky,CBJ,F,2018-19,61,5850000,4107606.5
Matt Dumba,MIN,D,2018-19,32,6000000,4088010.75
Viktor Arvidsson,NSH,F,2018-19,58,4250000,4085010
Darnell Nurse,EDM,D,2018-19,82,3200000,4071393.75
Justin Braun,S.J,D,2018-19,78,3800000,4038539.25
Ben Hutton,VAN,D,2018-19,69,2800000,4033733.25
Brandon Montour,BUF,D,2018-19,82,3387500,4028367
Nick Bonino,NSH,F,2018-19,81,4100000,4006551
Jakob Silfverberg,ANA,F,2018-19,73,3750000,3988100.5
Zach Bogosian,BUF,D,2018-19,65,5142857,3965731.25
Josh Manson,ANA,D,2018-19,72,4100000,3965696.25
Milan Lucic,EDM,F,2018-19,79,6000000,3935763.25
Brian Boyle,NSH,F,2018-19,73,2550000,3874672
Niklas Hjalmarsson,ARI,D,2018-19,82,4100000,3837906.75
Drew Stafford,N.J,F,2018-19,57,810000,3835570.5
Brandon Sutter,VAN,F,2018-19,26,4375000,3804426.75
Brian Dumoulin,PIT,D,2018-19,76,4100000,3785277.5
Nate Schmidt,VGK,D,2018-19,61,2225000,3767748
Andrew Shaw,MTL,F,2018-19,63,3900000,3767147.5
Tyler Johnson,T.B,F,2018-19,80,5000000,3750592
Jason Demers,ARI,D,2018-19,35,4500000,3749631
Mikkel Boedker,OTT,F,2018-19,71,4000000,3720961.75
Danny DeKeyser,DET,D,2018-19,52,5000000,3720660
Ian Cole,COL,D,2018-19,71,4250000,3704316.25
Mathieu Perreault,WPG,F,2018-19,82,4125000,3702703.5
Brad Richardson,ARI,F,2018-19,66,1250000,3698238.25
Adam Larsson,EDM,D,2018-19,82,4166666,3690197.5
Travis Hamonic,CGY,D,2018-19,69,3857143,3686142.25
David Savard,CBJ,D,2018-19,82,4250000,3661959.25
Justin Abdelkader,DET,F,2018-19,71,4250000,3634192.75
Alex Killorn,T.B,F,2018-19,82,4450000,3631306.25
Ryan Pulock,NYI,D,2018-19,82,2000000,3596640.25
Ryan Callahan,T.B,F,2018-19,52,5800000,3592938
Colin Wilson,COL,F,2018-19,65,3937500,3589284
Valtteri Filppula,NYI,F,2018-19,72,2750000,3574833.25
Nikita Zaitsev,TOR,D,2018-19,81,4500000,3568672.5
Ryan Dzingel,CBJ,F,2018-19,78,1800000,3555015.5
Noah Hanifin,CGY,D,2018-19,80,4950000,3554425.5
Alex Chiasson,EDM,F,2018-19,73,650000,3539969.25
Brady Skjei,NYR,D,2018-19,78,5250000,3522485.5
Tom Wilson,WSH,F,2018-19,63,5166666,3520092
Anthony Mantha,DET,F,2018-19,67,3300000,3504380.25
Nick Bjugstad,PIT,F,2018-19,64,4100000,3498459.5
Deryk Engelland,VGK,D,2018-19,74,1500000,3486805.75
Charlie Coyle,BOS,F,2018-19,81,3200000,3484499.25
Alexander Wennberg,CBJ,F,2018-19,75,4900000,3480537.75
Braydon Coburn,T.B,D,2018-19,74,3700000,3465731.25
Trevor Daley,DET,D,2018-19,44,3166666,3447029.25
Christopher Tanev,VAN,D,2018-19,55,4450000,3443100.5
Chris Tierney,OTT,F,2018-19,81,2937500,3425487.5
Phillip Danault,MTL,F,2018-19,81,3083333,3420001.75
Jonas Brodin,MIN,D,2018-19,82,4166667,3389079.5
Boone Jenner,CBJ,F,2018-19,77,3750000,3384852.25
Dan Girardi,T.B,D,2018-19,62,3000000,3381156.25
Cody Eakin,VGK,F,2018-19,78,3850000,3361122.5
Cody Ceci,OTT,D,2018-19,74,4300000,3356294.5
Sam Gagner,EDM,F,2018-19,32,3150000,3353829.5
Patrik Berglund,BUF,F,2018-19,23,3850000,3335562.5
Brett Pesce,CAR,D,2018-19,73,4025000,3306976.25
Jonathan Ericsson,DET,D,2018-19,52,4250000,3303908.25
Micheal Ferland,CAR,F,2018-19,71,1750000,3220756.25
Zack Smith,OTT,F,2018-19,70,3250000,3158563.75
Cal Clutterbuck,NYI,F,2018-19,73,3500000,3158001.25
Jay Beagle,VAN,F,2018-19,57,3000000,3153989
Andreas Athanasiou,DET,F,2018-19,76,3000000,3144433.5
Conor Sheary,BUF,F,2018-19,78,3000000,3118649.5
Sven Baertschi,VAN,F,2018-19,26,3366666,3095864.25
Vladislav Namestnikov,NYR,F,2018-19,78,4000000,3092129.75
Darren Helm,DET,F,2018-19,61,3850000,3034446.25
Jordan Weal,MTL,F,2018-19,63,1750000,3033524
Marco Scandella,BUF,D,2018-19,63,4000000,2983105.25
Jimmy Vesey,NYR,F,2018-19,81,2275000,2968144.5
Brendan Smith,NYR,D,2018-19,63,4350000,2966717
Joel Edmundson,STL,D,2018-19,64,3000000,2964009.5
Yanni Gourde,T.B,F,2018-19,80,1000000,2957523
Victor Rask,MIN,F,2018-19,49,4000000,2943686.75
Ryan Murray,CBJ,D,2018-19,56,2825000,2928043.75
Devon Toews,NYI,D,2018-19,48,700000,2927672.5
Ryan Strome,NYR,F,2018-19,81,3100000,2896187
Nick Holden,VGK,D,2018-19,61,2200000,2895097.75
Radko Gudas,PHI,D,2018-19,77,3350000,2894126.25
Michael Grabner,ARI,F,2018-19,41,3350000,2878763.75
Leo Komarov,NYI,F,2018-19,82,3000000,2867428.5
Troy Stecher,VAN,D,2018-19,78,2325000,2865537.25
Ben Lovejoy,DAL,D,2018-19,71,2666667,2865118
Derek Forbort,L.A,D,2018-19,81,2525000,2816174.75
John Moore,BOS,D,2018-19,61,2750000,2806494
Blake Comeau,DAL,F,2018-19,77,2400000,2805167.25
Brenden Dillon,S.J,D,2018-19,82,3270000,2797533.5
Matt Grzelcyk,BOS,D,2018-19,66,1400000,2796924.75
Ryan Spooner,VAN,F,2018-19,52,4000000,2782312.5
Ryan Reaves,VGK,F,2018-19,80,2775000,2781530.25
Luke Glendening,DET,F,2018-19,78,1800000,2776739.75
Andrew Cogliano,DAL,F,2018-19,78,3250000,2769573.75
Jean-Gabriel Pageau,OTT,F,2018-19,39,3100000,2757856.25
Josh Anderson,CBJ,F,2018-19,82,1850000,2751020.25
Andrew MacDonald,PHI,D,2018-19,47,5000000,2740182
Nick Jensen,WSH,D,2018-19,80,812500,2721236.75
Jesper Fast,NYR,F,2018-19,66,1850000,2699306.75
Dylan DeMelo,OTT,D,2018-19,77,900000,2686532.5
Zach Hyman,TOR,F,2018-19,71,2250000,2680390
Radek Faksa,DAL,F,2018-19,81,2200000,2678334
Josh Leivo,VAN,F,2018-19,76,925000,2678260.25
Jordan Oesterle,ARI,D,2018-19,71,650000,2650649.5
Markus Granlund,VAN,F,2018-19,77,1475000,2640612.5
Nate Thompson,MTL,F,2018-19,78,1650000,2622115.25
Markus Nutivaara,CBJ,D,2018-19,80,2700000,2608917.5
Brayden McNabb,VGK,D,2018-19,81,2500000,2590605.75
Paul Byron,MTL,F,2018-19,56,1166667,2588919.5
Erik Gudbranson,PIT,D,2018-19,76,4000000,2584926.75
Matt Calvert,COL,F,2018-19,82,2850000,2573216.5
Adam Lowry,WPG,F,2018-19,78,2916667,2550631
Thomas Hickey,NYI,D,2018-19,40,2500000,2547569.75
Adam McQuaid,CBJ,D,2018-19,50,2750000,2531813.25
Casey Cizikas,NYI,F,2018-19,73,3350000,2525354
Kevan Miller,BOS,D,2018-19,39,2500000,2495104
Ondrej Kase,ANA,F,2018-19,30,2600000,2492257.25
Antoine Roussel,VAN,F,2018-19,65,3000000,2460818
Alex Biega,VAN,D,2018-19,41,825000,2453228.75
Evan Rodrigues,BUF,F,2018-19,74,650000,2432349.25
Blake Coleman,N.J,F,2018-19,78,1800000,2432265.25
Jordie Benn,MTL,D,2018-19,81,1100000,2423672.5
Kevin Connauton,ARI,D,2018-19,50,1375000,2419627.5
Chris Kunitz,CHI,F,2018-19,56,1000000,2392298
Chris Wideman,FLA,D,2018-19,25,1000000,2389497.25
Ben Chiarot,WPG,D,2018-19,78,1400000,2388616.75
Carl Gunnarsson,STL,D,2018-19,25,2900000,2381583.25
Nathan Beaulieu,WPG,D,2018-19,48,2400000,2381119.75
Joel Armia,MTL,F,2018-19,57,1850000,2370249
Nick Ritchie,ANA,F,2018-19,60,1640000,2369145.75
Ben Street,ANA,F,2018-19,21,750000,2368341
Connor Murphy,CHI,D,2018-19,52,3850000,2367930
Kyle Brodziak,EDM,F,2018-19,70,1150000,2354623.25
Zack Kassian,EDM,F,2018-19,79,1950000,2348081.75
Bryan Rust,PIT,F,2018-19,72,3500000,2322849.5
Tyler Bertuzzi,DET,F,2018-19,73,1400000,2308812.25
Michael Del Zotto,STL,D,2018-19,42,3000000,2298027.75
Riley Nash,CBJ,F,2018-19,78,2750000,2293758.75
Tim Heed,S.J,D,2018-19,37,650000,2287391
Mattias Janmark,DAL,F,2018-19,81,2300000,2284624.75
Greg Pateryn,MIN,D,2018-19,80,2250000,2280511.75
Scott Mayfield,NYI,D,2018-19,79,1450000,2272328
Jared McCann,PIT,F,2018-19,78,1250000,2271806.75
Robert Bortuzzo,STL,D,2018-19,59,1150000,2241805
Dmitry Kulikov,WPG,D,2018-19,57,4333333,2236855
Austin Czarnik,CGY,F,2018-19,54,1250000,2227864.75
Adam Pelech,NYI,D,2018-19,78,1600000,2197345.25
Oscar Lindberg,OTT,F,2018-19,55,1700000,2160856.5
Trevor Lewis,L.A,F,2018-19,44,2000000,2153644.75
Michael Raffl,PHI,F,2018-19,67,2350000,2148474.75
Troy Brouwer,FLA,F,2018-19,75,850000,2147036.75
Tyler Ennis,TOR,F,2018-19,51,650000,2134621.75
Colton Sissons,NSH,F,2018-19,75,625000,2133238.25
Patrik Nemeth,COL,D,2018-19,74,2500000,2127208.75
Mark Pysyk,FLA,D,2018-19,70,2733333,2122721
Brett Connolly,WSH,F,2018-19,81,1500000,2100125.25
Dan Hamhuis,NSH,D,2018-19,57,1250000,2090487.5
Vinnie Hinostroza,ARI,F,2018-19,72,1500000,2082355.5
Tanner Pearson,VAN,F,2018-19,80,3750000,2080737.38
Jon Merrill,VGK,D,2018-19,57,1375000,2069365.25
Nikita Zadorov,COL,D,2018-19,70,2150000,2066115.75
Mike Reilly,MTL,D,2018-19,57,725000,2064314
Joonas Donskoi,S.J,F,2018-19,80,1900000,2060061.38
Jan Rutta,T.B,D,2018-19,37,2250000,2056646.38
Dominik Simon,PIT,F,2018-19,71,750000,2056242.75
Frank Vatrano,FLA,F,2018-19,81,925000,2055574.75
Miles Wood,N.J,F,2018-19,63,2750000,2033399.38
Derrick Pouliot,VAN,D,2018-19,62,1100000,2028126.25
Matt Cullen,PIT,F,2018-19,71,650000,2022770.88
Fredrik Claesson,NYR,D,2018-19,37,700000,2021459.75
Derek Grant,ANA,F,2018-19,56,650000,2018956
Trevor van Riemsdyk,CAR,D,2018-19,78,2300000,2007192.12
Carter Rowney,ANA,F,2018-19,62,1133333,2004790.38
Devin Shore,ANA,F,2018-19,76,2300000,1989767.12
Brandon Manning,EDM,D,2018-19,39,2250000,1980908.12
Brendan Leipsic,L.A,F,2018-19,62,650000,1964907.75
Jake McCabe,BUF,D,2018-19,59,1600000,1954944.5
Sam Bennett,CGY,F,2018-19,71,1950000,1950241.12
Carl Hagelin,WSH,F,2018-19,58,4000000,1945240.88
Tyler Pitlick,DAL,F,2018-19,47,1000000,1943177.38
Dalton Prout,CGY,D,2018-19,20,800000,1928426
Jordan Martinook,CAR,F,2018-19,82,1800000,1922389.25
Ryan Carpenter,VGK,F,2018-19,68,650000,1887331.62
Valentin Zykov,VGK,F,2018-19,28,675000,1872739.12
Marcus Foligno,MIN,F,2018-19,82,2875000,1863134.12
Dale Weise,MTL,F,2018-19,51,2350000,1843115.25
Johan Larsson,BUF,F,2018-19,73,1475000,1836766.25
Brooks Orpik,WSH,D,2018-19,53,1000000,1825285.5
Ty Rattie,EDM,F,2018-19,50,800000,1824780.75
Connor Carrick,N.J,D,2018-19,34,1300000,1815805.12
Jamie Oleksiak,DAL,D,2018-19,57,2137500,1798017.25
Matt Martin,NYI,F,2018-19,67,2500000,1789787.12
Matt Nieto,COL,F,2018-19,64,1975000,1782360.25
Brendan Leipsic,L.A,F,2018-19,62,650000,1765230
Nick Cousins,ARI,F,2018-19,81,1000000,1755176.38
Josh Archibald,ARI,F,2018-19,68,675000,1751849.88
Chris Wagner,BOS,F,2018-19,76,1250000,1744557.88
Jake Virtanen,VAN,F,2018-19,70,1250000,1726437.75
Mirco Mueller,N.J,D,2018-19,53,850000,1725011.88
Oliver Bjorkstrand,CBJ,F,2018-19,77,2500000,1701893
MacKenzie Weegar,FLA,D,2018-19,64,900000,1686115.25
Drake Caggiula,CHI,F,2018-19,55,1500000,1673917
Riley Sheahan,FLA,F,2018-19,82,2100000,1659208.12
Brandon Tanev,WPG,F,2018-19,80,1150000,1643596.62
Eric Fehr,MIN,F,2018-19,72,1000000,1630879.75
Sven Andrighetto,COL,F,2018-19,64,1400000,1630790.25
Valeri Nichushkin,DAL,F,2018-19,57,2950000,1588605.62
Oskar Sundqvist,STL,F,2018-19,74,700000,1588028.75
Stefan Noesen,N.J,F,2018-19,41,1725000,1586068.62
Tim Schaller,VAN,F,2018-19,47,1900000,1585373.88
Anthony Duclair,OTT,F,2018-19,74,650000,1583041.5
Matt Hendricks,WPG,F,2018-19,26,700000,1582563
Kyle Clifford,L.A,F,2018-19,72,1600000,1571990.12
Korbinian Holzer,ANA,D,2018-19,22,900000,1567303.25
Micheal Haley,S.J,F,2018-19,43,825000,1553900.38
Zemgus Girgensons,BUF,F,2018-19,72,1600000,1541649.25
Yannick Weber,NSH,D,2018-19,62,675000,1535074.12
Brian Gibbons,OTT,F,2018-19,64,1000000,1526260.75
Scott Laughton,PHI,F,2018-19,82,962500,1517289.62
Martin Frk,DET,F,2018-19,30,1050000,1503148.38
Melker Karlsson,S.J,F,2018-19,79,2000000,1501829.38
Noel Acciari,BOS,F,2018-19,72,725000,1489372.12
Brock McGinn,CAR,F,2018-19,82,887500,1480974.38
Charles Hudon,MTL,F,2018-19,32,650000,1473746.88
Jason Dickinson,DAL,F,2018-19,67,875000,1445387.75
Sean Kuraly,BOS,F,2018-19,71,1275000,1435784.5
Tomas Nosek,VGK,F,2018-19,68,962500,1428120.88
Robby Fabbri,STL,F,2018-19,32,925000,1394717.88
Colton Sceviour,FLA,F,2018-19,59,1200000,1382647.5
Daniel Sprong,ANA,F,2018-19,63,750000,1382043
Austin Watson,NSH,F,2018-19,37,1100000,1345964.12
Brett Kulak,MTL,D,2018-19,57,900000,1328881.12
Brett Ritchie,DAL,F,2018-19,53,1750000,1321951.38
Martin Marincin,TOR,D,2018-19,24,800000,1320158.5
Tobias Rieder,EDM,F,2018-19,67,2000000,1320009.38
Andreas Martinsen,CHI,F,2018-19,24,650000,1292825.12
Connor Brown,TOR,F,2018-19,82,2100000,1292303.12
Luke Witkowski,DET,F,2018-19,34,750000,1264030.88
Bogdan Kiselevich,FLA,D,2018-19,32,925000,1254296.25
Mark Borowiecki,OTT,D,2018-19,53,1200000,1248268.62
Christian Folin,MTL,D,2018-19,46,800000,1221459.62
Tom Pyatt,OTT,F,2018-19,37,1100000,1221185.12
Joe Morrow,WPG,D,2018-19,41,1000000,1205163.38
Auston Matthews,TOR,F,2018-19,68,925000,1204514.62
Steven Santini,N.J,D,2018-19,39,1416667,1202020.88
Madison Bowey,DET,D,2018-19,50,1000000,1197496.25
Andrew Copp,WPG,F,2018-19,69,1000000,1193911
Lukas Sedlak,CBJ,F,2018-19,47,825000,1170791.25
Mark Jankowski,CGY,F,2018-19,79,1675000,1169168.12
Barclay Goodrow,S.J,F,2018-19,82,650000,1160840.12
Scott Harrington,CBJ,D,2018-19,73,675000,1150749.62
