player,position,team,season,age,plusMinus,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,total_cap,percent_cap_hit,covid
Connor McDavid,F,EDM,2020-21,23,21,Standard (1-way),12500000,L,9,29,0,0,56,0.21999999999999997,0.10000000000000003,0.54,0.030000000000000027,340,68,60,30,109,16,11,-1,0,203,39,74418,57171,301,13303,200,130,0,57,33,19,0,9,61,58,1,0,36,31,0,3,47,33,0,13,27,20,0,4,9,3,0,3,316,298,0,11,321,312,1,3,24,22,0,0,72,37,0,24,34,34,2,-2,81500000,0.153374,post-covid
Artemi Panarin,F,NYR,2020-21,28,14,Standard (1-way),11642857,R,5,13,0,0,42,0.15999999999999998,0.020000000000000018,0.86,0.06000000000000005,156,40,24,18,-8,11,-3,-1,0,145,23,49500,37258,81,9353,106,58,0,35,17,9,0,5,13,9,0,2,21,17,0,3,26,23,0,2,8,3,0,3,6,2,0,3,0,0,0,0,3,1,0,1,7,6,0,0,41,22,0,11,12,10,0,-2,81500000,0.142857,post-covid
Auston Matthews,F,TOR,2020-21,22,21,Standard (1-way),11640250,L,10,5,0,0,52,0.10999999999999999,0.040000000000000036,-0.03,-0.050000000000000044,225,39,50,19,92,25,27,8,0,112,12,67248,53020,495,9175,222,159,0,46,41,28,0,8,57,56,0,0,47,39,1,3,53,41,0,6,26,13,0,7,9,3,0,5,453,403,4,19,414,364,11,7,47,39,1,1,25,16,0,3,18,20,0,-2,81500000,0.142825,post-covid
Erik Karlsson,D,S.J,2020-21,30,-18,Standard (1-way),11500000,R,3,5,0,1,52,0.06,0,0.03,-0.040000000000000036,51,-13,2,-8,-39,-10,-7,-4,-6,98,9,73638,58206,3704,8837,110,79,1,21,8,4,0,3,20,18,2,0,39,31,1,6,47,36,2,7,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,69,60,1,5,14,7,1,4,0,4,0,-2,81500000,0.141104,post-covid
Drew Doughty,D,L.A,2020-21,30,-14,Standard (1-way),11000000,R,6,12,0,1,56,0.08000000000000002,0.04999999999999999,-0.03,0.07999999999999996,69,0,-19,-1,36,-4,-15,-1,-12,129,23,88561,66443,6946,10585,101,50,2,40,8,0,0,5,91,81,7,0,8,5,1,1,40,34,1,2,3,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,83,61,0,13,25,12,1,9,-10,-12,-2,4,81500000,0.134969,post-covid
John Tavares,F,TOR,2020-21,29,12,Standard (1-way),11000000,L,6,6,0,0,56,0.08999999999999997,0,-0.18,-0.07000000000000006,161,32,38,21,28,10,10,5,0,95,12,61140,49377,108,7967,163,114,0,34,19,11,0,5,51,43,0,4,32,30,0,1,55,48,0,5,27,12,0,8,9,4,0,4,470,368,1,66,381,305,13,0,28,26,1,0,31,19,0,5,12,14,0,0,81500000,0.134969,post-covid
Mitchell Marner,F,TOR,2020-21,23,21,Standard (1-way),10903000,R,0,15,0,2,55,0.050000000000000044,0.020000000000000018,0.06999999999999998,-0.06000000000000005,150,32,49,21,57,24,22,5,-7,117,15,74009,53845,6089,9316,156,103,9,24,20,17,0,0,23,19,4,0,53,41,9,0,69,52,1,10,24,16,2,1,10,7,0,0,4,0,1,0,1,1,0,0,41,34,2,2,47,29,2,11,6,6,0,0,81500000,0.133779,post-covid
Patrick Kane,F,CHI,2020-21,31,-7,Standard (1-way),10500000,L,3,19,0,0,56,0.08000000000000002,-0.019999999999999962,0,-0.07000000000000006,41,19,4,3,-100,0,-7,-2,-1,118,20,74973,59084,233,12496,187,123,0,44,15,11,0,3,12,11,0,0,32,24,0,6,45,34,0,8,6,1,0,4,2,0,0,1,2,2,0,0,5,3,0,0,14,13,0,0,51,25,0,16,-4,-6,2,0,81500000,0.128834,post-covid
Jack Eichel,F,BUF,2020-21,23,-9,Standard (1-way),10000000,R,1,8,0,0,21,0.16999999999999998,0.07000000000000006,-0.13,0.05999999999999994,95,2,0,-2,12,-6,-2,-5,-1,76,12,25832,20316,56,4252,61,38,0,17,2,1,0,1,20,20,0,0,4,3,0,0,11,6,0,4,5,2,0,1,0,0,0,0,195,143,0,42,197,156,7,0,15,13,0,0,16,7,0,8,4,4,0,0,81500000,0.122699,post-covid
Anze Kopitar,F,L.A,2020-21,32,-7,Standard (1-way),10000000,L,3,20,0,0,56,0.08000000000000002,0.06,-0.07,0.08999999999999997,60,2,-8,-6,49,-1,-1,-3,-17,129,23,71182,49730,6735,10387,118,85,1,22,13,9,0,3,45,38,2,4,12,9,2,0,34,26,0,7,10,7,0,1,1,0,0,1,661,397,91,112,493,316,75,71,37,31,0,4,37,15,0,17,12,12,0,0,81500000,0.122699,post-covid
