player,position,team,season,cap_hit,age,total_cap,percent_cap_hit,type,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,plusMinus,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,covid
Cody Eakin,F,WSH,2011-12,571667,20,64300000,0.008891,Entry_Level,L,0,0,0,0,2,30,0.04999999999999999,0.030000000000000027,-0.1,-0.10999999999999999,-10,2,-3,1,-14,2,-3,1,0,4,0,16698,16020,41,614,31,30,0,1,4,4,0,0,15,15,0,0,6,6,0,0,5,5,0,0,1,1,0,0,0,0,0,0,21,21,0,0,19,18,0,0,7,7,0,0,4,4,0,0,6,6,0,0,pre-covid
Corey Perry,F,ANA,2011-12,5325000,26,64300000,0.082815,Standard (1-way),R,14,9,1,1,-7,80,0.14999999999999997,0.07,0.039999999999999994,0.020000000000000018,246,15,5,9,27,-10,-20,-4,-9,225,31,102621,75815,5878,15769,278,185,12,63,37,18,1,13,69,58,2,6,35,29,3,1,50,35,4,10,33,8,1,17,19,4,0,11,19,10,8,1,29,16,0,10,45,35,1,7,23,10,1,8,2,10,-11,1,pre-covid
Craig Smith,F,NSH,2011-12,715000,21,64300000,0.01112,Entry_Level,R,6,7,0,0,-10,72,0.09000000000000002,0.009999999999999953,-0.11,0,56,9,2,5,-55,-5,-9,-4,0,100,16,61290,50241,96,9024,172,131,0,28,14,8,0,6,44,40,0,2,32,31,0,1,26,20,0,6,8,2,0,4,3,0,0,3,173,144,1,21,220,177,6,1,17,15,0,0,22,15,0,7,-6,-8,0,0,pre-covid
Darren Helm,F,DET,2011-12,912500,24,64300000,0.014191,Standard (1-way),L,0,0,0,0,5,68,-0.07000000000000006,0.020000000000000018,0.05000000000000002,-0.06000000000000005,-14,-15,-17,-10,85,7,5,3,-20,2,-1,59211,48258,9277,706,124,108,13,2,9,9,0,0,97,88,6,0,27,20,6,0,18,17,1,0,7,6,1,0,1,1,0,0,403,308,77,9,374,282,15,36,27,18,0,3,17,17,0,0,54,44,0,2,pre-covid
David Perron,F,STL,2011-12,2150000,23,64300000,0.033437,Standard (1-way),R,5,6,1,1,15,57,0.05999999999999994,-0.020000000000000018,0.05000000000000002,0.030000000000000027,143,41,30,16,15,16,-2,5,-2,113,21,62540,49052,2396,8310,114,73,4,23,21,14,1,3,32,26,3,2,29,18,4,1,9,5,2,2,20,8,2,4,6,3,1,1,2,2,0,0,8,7,1,0,13,10,0,0,21,12,1,4,8,8,0,-4,pre-covid
David Savard,D,CBJ,2011-12,740167,20,64300000,0.011511,Entry_Level,R,1,3,0,0,0,31,0.09000000000000002,0.020000000000000018,0.15,-0.010000000000000009,44,5,6,3,-16,1,2,1,0,58,5,30829,25836,368,3965,34,21,0,9,2,0,0,1,30,29,1,0,5,4,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,8,5,0,3,-12,-12,0,0,pre-covid
Derek Stepan,F,NYR,2011-12,820833,21,64300000,0.012766,Entry_Level,R,5,14,0,0,12,82,0.06,-0.010000000000000009,0.010000000000000009,0.030000000000000027,118,25,29,12,-17,13,11,8,-12,152,18,93212,68843,6080,13988,169,121,10,25,17,11,0,4,137,122,6,3,51,37,8,4,25,11,0,12,16,11,0,2,8,5,0,2,386,280,15,50,481,349,46,35,44,32,3,7,34,20,0,7,-2,0,2,0,pre-covid
Derick Brassard,F,CBJ,2011-12,3200000,23,64300000,0.049767,Standard (1-way),L,5,10,0,0,-20,74,0.09000000000000008,0,0.37,-0.020000000000000018,121,1,23,5,-61,-9,15,3,-1,166,16,72535,56304,531,12834,125,85,1,30,14,8,0,5,137,126,0,9,35,26,2,3,28,19,0,5,13,8,0,5,6,2,0,4,278,230,7,27,339,285,9,9,16,15,0,0,27,17,0,9,18,16,-2,2,pre-covid
Dmitry Kulikov,D,FLA,2011-12,900000,20,64300000,0.013997,Entry_Level,L,2,8,0,0,-9,58,0.040000000000000036,-0.020000000000000018,0.07999999999999999,0.010000000000000009,0,7,3,5,-70,-3,-3,-2,-7,116,18,76058,61218,3689,9675,104,64,2,32,4,2,0,2,104,93,4,2,25,22,0,2,44,34,3,5,3,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,74,68,1,4,24,14,0,8,-14,-12,2,-2,pre-covid
Dmitry Orlov,D,WSH,2011-12,690000,19,64300000,0.010731,Entry_Level,L,0,2,0,0,1,60,0.03999999999999998,0.030000000000000027,0.06,-0.05999999999999994,-1,3,-5,3,-1,3,-8,2,-2,21,3,60749,54804,1969,2587,51,44,0,6,3,3,0,0,99,91,6,0,23,21,1,1,48,43,3,1,3,1,0,2,1,1,0,0,0,0,0,0,1,1,0,0,54,50,0,2,16,12,0,2,4,2,0,0,pre-covid
