player,position,team,season,cap_hit,age,total_cap,percent_cap_hit,type,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,plusMinus,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,covid
Jeff Carter,F,L.A,2011-12,5272727,26,64300000,0.082002,Standard (1-way),R,14,3,0,0,-12,55,0.06000000000000005,-0.020000000000000018,0.04999999999999999,0.010000000000000009,72,1,0,1,-56,-11,-8,-3,-1,123,12,63305,48275,2399,9464,184,122,1,44,21,9,0,9,16,14,0,1,26,20,2,0,20,12,1,6,17,6,0,6,8,1,0,4,393,268,6,82,381,265,62,5,17,14,0,2,13,9,0,3,-4,-2,2,-2,pre-covid
Jeff Petry,D,EDM,2011-12,850000,23,64300000,0.013219,Entry_Level,R,1,5,0,0,-7,73,-0.009999999999999953,0.010000000000000009,0.03,0.010000000000000009,-126,-17,-26,-13,-29,-2,-11,0,-17,70,8,95311,76359,10390,5433,111,83,2,21,2,1,0,1,126,96,18,2,36,23,10,1,89,73,12,2,6,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,126,100,2,11,23,18,0,4,-2,6,0,-4,pre-covid
Jeff Skinner,F,CAR,2011-12,900000,19,64300000,0.013997,Entry_Level,L,4,9,0,0,-8,64,0.11000000000000004,0.030000000000000027,0.06,0.020000000000000018,141,9,21,1,-15,-3,-7,-4,0,126,14,71519,55147,813,11809,210,148,1,40,20,15,0,4,44,36,1,2,46,39,0,2,40,32,0,8,23,14,1,5,9,6,0,2,67,61,2,3,92,83,2,3,15,13,0,0,24,14,0,9,54,52,0,0,pre-covid
Joe Pavelski,F,S.J,2011-12,4000000,26,64300000,0.062208,Standard (1-way),R,8,10,1,0,15,82,0.07999999999999996,0.050000000000000044,0,0,287,33,26,11,117,18,18,11,-16,225,30,101416,74747,7170,15002,269,192,3,58,31,19,1,8,50,47,1,1,73,52,8,5,61,45,2,10,23,16,1,4,11,7,0,2,507,315,67,88,357,228,51,39,84,54,0,19,30,17,0,8,24,18,2,0,pre-covid
Joe Thornton,F,S.J,2011-12,7000000,31,64300000,0.108865,Standard (1-way),L,4,20,0,1,19,82,0.12,0.06000000000000005,0.020000000000000004,0.010000000000000009,368,46,44,25,150,19,24,13,-6,233,30,100706,75226,4891,15856,156,115,2,30,18,12,0,4,42,38,1,3,96,77,10,5,95,76,0,14,23,12,0,6,7,3,0,2,557,373,36,93,436,298,69,24,26,23,0,1,59,32,1,16,34,42,2,-8,pre-covid
John Carlson,D,WSH,2011-12,845833,21,64300000,0.013154,Entry_Level,R,5,4,0,1,-16,82,-0.03999999999999998,-0.010000000000000009,0.020000000000000004,-0.030000000000000027,-109,-31,-14,-10,-22,-11,2,-1,-24,59,4,107543,84680,11868,6879,152,115,6,21,9,4,0,4,83,67,7,5,31,27,1,3,92,61,21,1,7,2,0,4,5,1,0,3,0,0,0,0,1,0,0,1,153,113,0,22,23,16,1,3,2,2,0,2,pre-covid
John Moore,D,CBJ,2011-12,840000,20,64300000,0.013064,Entry_Level,L,0,0,0,1,-23,67,-0.10000000000000003,-0.03999999999999998,-0.04000000000000001,-0.2699999999999999,-211,-37,-20,-14,-119,-23,-8,-5,-13,1,0,63603,56926,5244,257,64,61,0,0,2,2,0,0,47,45,1,0,4,3,0,0,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,61,1,1,5,4,1,0,0,-2,0,0,pre-covid
John Tavares,F,NYI,2011-12,900000,20,64300000,0.013997,Entry_Level,L,7,18,0,0,-6,82,0.13000000000000006,0.03999999999999998,0.19,0.09999999999999998,314,30,63,27,96,-2,26,5,0,187,34,101196,81886,359,14770,286,205,1,55,31,19,0,7,27,26,0,1,99,84,1,5,65,50,0,13,47,29,0,11,16,7,0,6,813,607,5,137,772,573,43,8,23,22,0,0,50,29,0,17,58,48,4,-2,pre-covid
Johnny Boychuk,D,BOS,2011-12,1875000,27,64300000,0.02916,Standard (1-way),R,1,0,0,0,28,77,-0.010000000000000009,0.039999999999999925,0.010000000000000009,-0.10999999999999999,81,14,5,1,174,20,12,2,-7,11,1,95237,80622,9713,1562,171,147,2,9,5,5,0,0,145,121,16,2,8,5,3,0,31,28,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,133,111,0,8,10,10,0,0,-4,-2,-2,0,pre-covid
Jonathan Toews,F,CHI,2011-12,6300000,23,64300000,0.097978,Standard (1-way),L,5,7,1,2,21,59,0.08999999999999997,0.06999999999999995,0.04999999999999999,0.020000000000000018,216,20,35,8,136,10,18,1,-13,145,15,73786,53726,6233,10891,185,136,10,24,29,21,1,4,32,27,2,1,82,63,14,2,25,21,0,4,25,13,3,4,10,5,1,3,675,437,59,127,462,308,61,50,14,11,0,2,28,17,1,6,20,20,0,0,pre-covid
Jordan Eberle,F,EDM,2011-12,875000,21,64300000,0.013608,Entry_Level,R,10,10,0,0,4,78,0.12000000000000005,0.019999999999999962,-0.01999999999999999,0.07999999999999996,99,37,7,8,-50,14,-1,0,0,149,27,82355,65140,863,12989,180,126,1,44,34,23,0,9,45,40,0,3,40,37,0,1,47,38,0,7,15,10,0,3,6,3,0,2,12,11,1,0,15,13,1,0,24,23,0,0,42,31,0,8,24,22,4,-4,pre-covid
Jordan Staal,F,PIT,2011-12,4000000,22,64300000,0.062208,Standard (1-way),L,6,2,3,2,13,62,-0.010000000000000009,0.020000000000000018,0.03,0.010000000000000009,119,9,0,-6,100,4,-5,-2,-7,72,8,74512,54624,9307,7063,149,107,10,17,25,13,3,4,101,92,6,2,39,25,11,1,26,18,3,3,16,6,1,4,7,2,0,3,591,399,90,47,567,370,46,103,23,16,0,4,25,19,1,2,0,4,-2,2,pre-covid
Jordie Benn,D,DAL,2011-12,550000,23,64300000,0.008554,Entry_Level,L,0,0,0,0,1,3,-0.09000000000000002,-0.06,-0.31,-0.33999999999999997,-3,1,1,1,-6,0,0,0,0,0,0,2512,2074,135,162,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,pre-covid
Josh Bailey,F,NYI,2011-12,1050000,21,64300000,0.01633,Standard (1-way),L,1,3,3,0,-10,80,-0.03999999999999998,-0.019999999999999962,0.009999999999999995,-0.06999999999999995,-132,-13,-14,-4,-85,-8,-12,-3,-4,37,3,73057,58497,7311,5533,104,76,7,11,13,8,3,1,64,61,1,0,62,45,13,2,39,29,4,5,23,14,3,3,7,3,2,1,323,243,41,21,413,309,14,45,35,26,2,3,19,16,0,3,0,4,-2,-2,pre-covid
Justin Braun,D,S.J,2011-12,662500,24,64300000,0.010303,Entry_Level,R,1,2,0,0,-4,66,0.020000000000000018,0.040000000000000036,0.020000000000000004,0,127,0,29,7,80,-3,21,7,-9,92,11,65502,55715,3796,4289,113,81,1,20,2,1,0,1,46,39,5,1,16,10,1,3,31,26,0,5,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,66,52,1,8,9,6,0,2,0,0,-2,2,pre-covid
Justin Faulk,D,CAR,2011-12,840000,19,64300000,0.013064,Entry_Level,R,5,7,0,0,-16,66,0.010000000000000009,-0.010000000000000009,0.009999999999999981,-0.010000000000000009,27,-5,7,-7,-28,-9,2,-7,-10,101,19,90463,68191,6689,11297,101,52,3,32,8,2,0,5,113,102,3,2,32,27,1,4,20,13,2,1,5,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,85,64,1,12,14,6,0,5,-8,-8,2,-2,pre-covid
Keith Yandle,D,ARI,2011-12,5250000,24,64300000,0.081649,Standard (1-way),L,0,14,0,0,10,82,0.11999999999999994,0.030000000000000027,-0.03,0.010000000000000009,197,21,22,11,29,10,8,2,-2,153,14,109903,89172,784,16050,196,155,0,24,11,10,0,0,31,26,1,3,24,18,0,3,75,53,1,17,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77,72,1,0,32,19,0,10,-14,-12,0,-2,pre-covid
Kevin Shattenkirk,D,STL,2011-12,875000,22,64300000,0.013608,Entry_Level,R,5,13,0,1,17,81,0.05999999999999994,0.010000000000000009,0.03,0.030000000000000027,239,38,43,13,119,20,16,6,-6,182,24,104981,78328,8939,13266,178,109,4,50,9,4,0,4,72,59,5,3,40,27,3,6,42,29,5,4,6,1,0,5,4,0,0,4,1,0,0,1,3,3,0,0,103,83,1,12,34,19,1,12,-32,-12,-2,-12,pre-covid
Kris Letang,D,PIT,2011-12,3500000,24,64300000,0.054432,Standard (1-way),R,5,12,1,1,20,51,0.09999999999999998,0.020000000000000018,0.04000000000000001,-0.020000000000000018,236,51,35,28,77,24,5,11,0,151,23,75909,55661,4694,11774,142,83,2,34,10,3,0,4,83,65,4,4,28,25,1,1,34,26,1,4,7,0,0,3,4,0,0,2,0,0,0,0,0,0,0,0,86,64,4,9,32,20,1,9,6,0,4,-2,pre-covid
Kris Russell,D,STL,2011-12,1300000,24,64300000,0.020218,Standard (1-way),L,0,2,0,0,15,55,0.030000000000000027,-0.010000000000000009,0.22999999999999998,-0.09000000000000008,130,12,13,6,72,11,5,6,0,56,0,56143,47454,1019,5984,56,43,1,8,6,5,0,0,61,58,1,0,16,10,0,4,13,11,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78,69,1,2,6,5,0,1,0,4,-2,-2,pre-covid
Kyle Clifford,F,L.A,2011-12,710000,20,64300000,0.011042,Entry_Level,L,0,0,0,0,-6,81,-0.030000000000000027,-0.030000000000000027,-0.11,0.010000000000000009,0,-8,-7,2,20,-5,-7,2,-3,5,0,45719,43596,1027,840,88,87,0,1,5,5,0,0,179,172,6,1,8,8,0,0,21,19,1,0,9,8,0,1,2,2,0,0,1,1,0,0,7,7,0,0,9,8,0,1,7,7,0,0,-19,-22,0,-4,pre-covid
Kyle Okposo,F,NYI,2011-12,2800000,23,64300000,0.043546,Standard (1-way),R,3,3,0,0,-15,79,0.04999999999999999,0.020000000000000018,-0.01999999999999999,-0.08999999999999997,77,-8,15,6,10,-5,8,6,-1,52,4,80898,70241,430,7592,152,133,0,10,24,20,0,3,51,47,0,1,62,58,0,1,30,27,0,2,22,17,0,3,7,4,0,2,68,44,1,16,74,38,5,0,33,30,0,1,21,16,0,3,-6,-6,0,-6,pre-covid
Kyle Palmieri,F,ANA,2011-12,900000,20,64300000,0.013997,Entry_Level,R,0,0,0,0,3,18,0.040000000000000036,0,0,0.10999999999999999,15,4,-2,2,-3,3,-4,1,0,18,1,12442,11351,50,1017,34,29,0,5,4,4,0,0,20,20,0,0,1,1,0,0,7,6,0,1,1,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,6,6,0,0,3,3,0,0,-2,-2,0,-2,pre-covid
Kyle Turris,F,OTT,2011-12,1400000,21,64300000,0.021773,Standard (1-way),R,1,4,0,0,9,55,0.05999999999999994,0.010000000000000009,0.06,0.010000000000000009,84,17,12,5,29,7,-2,-1,0,55,6,55618,48037,346,5785,142,117,1,13,12,9,0,1,23,22,0,1,21,18,0,1,18,15,0,2,13,7,1,1,4,2,0,1,338,274,3,47,385,318,11,5,14,14,0,0,17,11,0,4,-6,-6,0,0,pre-covid
Lars Eller,F,MTL,2011-12,845833,22,64300000,0.013154,Entry_Level,L,2,1,2,1,-5,79,-0.02999999999999997,-0.010000000000000009,0.06999999999999998,-0.030000000000000027,-88,-12,-12,-9,-71,-7,-4,-4,-7,21,3,72575,60449,7678,3061,129,103,8,11,16,12,2,2,72,67,4,1,42,36,3,0,31,27,3,1,12,8,1,2,3,2,1,0,319,267,32,11,366,321,6,17,55,39,0,5,12,10,1,1,-20,-14,-4,-6,pre-covid
Logan Couture,F,S.J,2011-12,816667,22,64300000,0.012701,Entry_Level,L,11,16,2,0,1,80,0.08999999999999997,0.040000000000000036,0.06,0.039999999999999925,322,23,43,15,129,3,22,5,-7,207,29,89102,67798,4916,12376,245,177,6,45,31,17,2,11,42,37,3,0,61,43,10,5,36,19,1,11,35,18,1,13,15,5,1,9,468,387,13,43,442,364,32,24,76,58,1,10,34,15,0,15,13,9,2,-2,pre-covid
Loui Eriksson,F,DAL,2011-12,4250000,25,64300000,0.066096,Standard (1-way),L,5,7,2,1,18,82,0.050000000000000044,0.020000000000000018,0.020000000000000018,0.030000000000000027,48,26,3,12,4,9,-11,0,-10,126,17,97228,71483,8495,12507,187,126,14,32,26,15,2,4,20,19,1,0,50,37,5,3,43,35,1,4,20,10,0,6,7,3,0,3,7,3,2,0,9,3,1,1,40,33,0,5,45,32,1,6,26,22,2,0,pre-covid
Luke Schenn,D,TOR,2011-12,3600000,21,64300000,0.055988,Standard (1-way),R,0,1,0,1,-6,79,-0.07,-0.030000000000000027,-0.01999999999999999,-0.13,-224,-24,-28,-7,-126,-9,-17,-4,-12,3,1,76007,68231,5998,324,81,74,3,0,2,1,0,0,270,246,17,0,28,21,4,0,58,52,5,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115,95,0,3,20,18,0,1,-20,-20,-7,5,pre-covid
Marc Staal,D,NYR,2011-12,3975000,24,64300000,0.06182,Standard (1-way),L,3,1,0,1,-7,46,-0.09000000000000002,-0.07,0.09999999999999999,-0.020000000000000018,-23,-10,1,-6,-3,-6,1,-2,-5,17,3,54902,47661,4499,1367,61,48,1,4,2,1,0,1,55,54,1,0,14,11,1,1,19,18,1,0,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,68,59,0,3,3,1,1,1,6,2,0,2,pre-covid
Marco Scandella,D,MIN,2011-12,643333,21,64300000,0.010005,Entry_Level,L,1,5,0,0,-22,63,-0.020000000000000018,-0.010000000000000009,-0.03,-0.040000000000000036,-188,-23,-5,-8,-142,-22,0,-4,-8,67,10,82202,63592,8834,6400,77,54,2,14,3,1,0,1,46,37,8,0,24,20,1,2,35,25,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106,73,1,21,9,3,0,5,8,0,2,2,pre-covid
Marcus Foligno,F,BUF,2011-12,826667,19,64300000,0.012856,Entry_Level,L,2,1,0,0,6,14,0.010000000000000009,-0.010000000000000009,-0.18,0.06000000000000005,4,8,-3,-1,-3,8,0,1,-1,12,2,13285,12050,30,1076,23,20,0,3,6,4,0,2,44,44,0,0,7,7,0,0,2,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,3,2,0,0,11,11,0,0,7,6,0,1,2,2,0,0,pre-covid
Marcus Johansson,F,WSH,2011-12,900000,20,64300000,0.013997,Entry_Level,L,1,7,0,0,-11,80,0.030000000000000027,-0.03999999999999998,0,-0.030000000000000027,-40,10,-6,-2,-99,3,-3,-3,-2,108,15,80657,64918,2596,10777,90,75,1,12,14,13,0,1,61,57,0,2,39,30,1,4,47,42,0,4,6,4,1,1,1,1,0,0,307,239,2,48,403,315,36,5,28,26,0,1,32,22,0,7,28,20,-2,6,pre-covid
Mark Borowiecki,D,OTT,2011-12,610000,21,64300000,0.009487,Entry_Level,L,0,0,0,0,-1,2,0.06,0.08000000000000002,-0.09,0.06999999999999995,-1,-1,2,0,-2,-1,2,0,0,1,0,1499,1453,13,33,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pre-covid
Mark Giordano,D,CGY,2011-12,4020000,27,64300000,0.062519,Standard (1-way),L,5,5,0,1,0,61,0.02999999999999997,0.010000000000000009,0.04000000000000001,0,21,10,5,3,-29,2,-6,-1,-9,134,17,84254,61608,7503,11682,125,81,2,33,9,4,0,5,84,70,7,3,26,18,5,1,51,38,6,5,4,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,127,87,4,20,18,10,1,4,-28,-18,-6,-2,pre-covid
Mark Scheifele,F,WPG,2011-12,925000,18,64300000,0.014386,Entry_Level,R,1,0,0,0,0,7,0.020000000000000018,0,-0.22,0.020000000000000018,11,0,0,0,6,0,0,0,-1,9,1,4597,3659,189,499,5,2,0,3,1,0,0,1,3,3,0,0,0,0,0,0,2,1,1,0,1,0,0,1,1,0,0,1,18,14,0,3,33,25,3,4,1,1,0,0,0,0,0,0,4,4,0,0,pre-covid
Mathieu Perreault,F,WSH,2011-12,525000,23,64300000,0.008165,Standard (2-way),L,2,0,0,0,8,64,0.10999999999999999,0.06000000000000005,0.15,0.020000000000000018,63,13,1,-1,32,12,0,-3,0,30,1,46182,41487,106,3716,61,51,0,8,16,14,0,2,49,48,0,1,33,33,0,0,12,12,0,0,7,5,0,2,4,2,0,2,229,215,0,12,222,198,3,0,29,28,0,0,14,13,0,0,6,6,0,0,pre-covid
Mats Zuccarello,F,NYR,2011-12,900000,23,64300000,0.013997,Entry_Level,L,1,1,0,0,0,10,0.20000000000000007,0.05999999999999994,0.91,-0.09999999999999998,29,4,0,-1,5,0,-2,-1,0,22,4,6026,4238,36,1689,10,6,1,3,2,1,0,1,8,8,0,0,2,2,0,0,2,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,1,-4,-4,0,0,pre-covid
Matt Duchene,F,COL,2011-12,900000,20,64300000,0.013997,Entry_Level,L,5,4,0,0,-11,58,0.09999999999999998,0.010000000000000009,-0.14,0.010000000000000009,151,1,24,6,35,-4,12,3,0,103,11,56684,45899,173,7993,132,103,0,20,14,8,0,4,43,42,0,1,31,29,0,1,21,15,0,4,17,12,0,2,5,2,0,2,200,172,1,13,191,172,0,1,41,37,0,0,14,9,0,4,30,26,2,0,pre-covid
Matt Martin,F,NYI,2011-12,631667,22,64300000,0.009824,Entry_Level,L,0,0,0,2,-17,82,-0.04999999999999999,-0.019999999999999962,0,0.010000000000000009,-88,-25,-20,-11,-29,-11,-5,-2,-10,13,1,60761,51746,5748,2170,135,113,10,6,8,6,0,1,374,362,3,4,36,23,13,0,21,18,3,0,17,11,2,2,5,3,0,1,11,9,0,0,13,10,1,0,41,33,0,5,8,6,2,0,-8,-6,0,0,pre-covid
Mattias Ekholm,D,NSH,2011-12,900000,21,64300000,0.013997,Entry_Level,L,0,0,0,0,-1,2,0.17000000000000004,0.14000000000000007,-0.33,0.12,-2,-1,-1,0,-1,-1,-1,0,0,0,0,1490,1370,28,67,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,pre-covid
Max Pacioretty,F,MTL,2011-12,1625000,22,64300000,0.025272,Standard (1-way),L,4,9,0,0,2,79,0.12999999999999995,0.06,-0.07999999999999999,0.030000000000000027,205,28,31,14,16,6,-1,3,0,152,18,86556,69086,438,14064,286,226,0,42,33,25,0,4,104,101,0,1,33,27,0,5,36,28,0,6,28,16,0,5,12,6,0,3,1,1,0,0,4,4,0,0,39,34,0,0,32,20,0,9,0,14,2,-12,pre-covid
Michael Del Zotto,D,NYR,2011-12,875000,21,64300000,0.013608,Entry_Level,L,2,16,1,2,16,77,0.08000000000000002,-0.010000000000000009,0.09000000000000001,0.020000000000000018,139,39,40,19,-22,14,7,5,-3,179,25,103664,75812,6312,18430,113,71,4,31,10,8,1,1,156,131,12,8,28,20,3,2,35,28,1,4,3,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,95,72,6,6,31,12,2,13,-12,-14,0,2,pre-covid
Michael Stone,D,ARI,2011-12,591667,21,64300000,0.009202,Entry_Level,R,0,0,0,0,5,13,-0.09000000000000002,-0.08000000000000002,0.020000000000000004,-0.13,-19,7,0,2,-13,7,0,2,0,3,0,10829,9918,502,162,13,13,0,0,1,1,0,0,16,16,0,0,1,0,1,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,18,17,0,0,2,2,0,0,0,0,0,0,pre-covid
Mika Zibanejad,F,OTT,2011-12,925000,18,64300000,0.014386,Entry_Level,R,0,1,0,0,-3,9,-0.040000000000000036,-0.08000000000000002,0,-0.010000000000000009,-10,-2,1,-2,-10,-3,-1,-3,0,4,1,6966,6223,4,443,12,10,0,0,0,0,0,0,15,14,0,0,4,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,22,21,0,0,28,22,1,0,5,3,0,0,1,0,0,1,0,0,0,0,pre-covid
Mikael Backlund,F,CGY,2011-12,845833,22,64300000,0.013154,Entry_Level,L,2,1,0,0,-13,41,0.04999999999999999,0.06,0.06,0.040000000000000036,31,-12,0,-3,20,-11,-4,-4,-3,40,3,37843,32002,2212,2710,85,72,7,5,4,2,0,2,25,22,2,0,29,24,3,0,17,15,1,0,6,4,1,1,1,0,0,1,225,181,22,13,271,215,10,27,19,18,0,0,7,6,0,1,4,4,0,0,pre-covid
Mike Hoffman,F,OTT,2011-12,610000,21,64300000,0.009487,Entry_Level,L,0,0,0,0,-1,1,0.13,0.15000000000000002,0,0,-1,-1,0,0,0,0,0,0,0,0,0,541,541,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pre-covid
Milan Lucic,F,BOS,2011-12,4083333,23,64300000,0.063504,Standard (1-way),L,7,5,0,0,9,81,0.08999999999999997,0.030000000000000027,-0.15,0.020000000000000018,218,30,12,11,95,10,-7,-1,0,114,20,82761,70089,137,10450,149,115,0,25,26,19,0,5,201,186,0,10,25,23,0,2,46,41,0,5,15,9,0,5,4,1,0,2,14,12,0,1,16,9,0,0,26,25,0,0,35,30,0,4,-53,-37,0,-6,pre-covid
Nate Thompson,F,T.B,2011-12,900000,26,64300000,0.013997,Standard (1-way),L,0,0,0,0,-23,68,-0.14,-0.03999999999999998,-0.04999999999999999,0.08000000000000007,-173,-48,-28,-16,-34,-23,-8,-7,-23,5,0,60477,48258,10270,511,85,76,7,0,9,9,0,0,107,102,4,0,29,17,8,0,14,12,1,1,8,6,2,0,3,3,0,0,293,205,71,4,299,198,3,20,56,32,0,6,6,5,0,0,4,8,-2,0,pre-covid
Nathan Gerbe,F,BUF,2011-12,1450000,23,64300000,0.022551,Standard (1-way),L,0,1,0,1,2,62,-0.010000000000000009,-0.010000000000000009,0.09,-0.15000000000000002,-20,2,-5,2,-13,2,-3,3,0,4,1,52852,48672,1555,1343,137,125,2,4,6,5,0,0,53,52,0,0,18,14,2,0,17,16,0,1,8,8,0,0,1,1,0,0,7,7,0,0,12,9,0,1,13,12,0,0,19,17,1,1,20,18,0,0,pre-covid
Nazem Kadri,F,TOR,2011-12,870000,20,64300000,0.01353,Entry_Level,L,1,0,0,0,2,21,0.09000000000000002,0.04999999999999999,-0.08,0.010000000000000009,12,8,-2,5,-8,3,-4,0,0,24,5,17841,15602,17,1993,28,25,0,2,5,4,0,1,25,24,0,1,8,7,0,1,9,7,0,1,4,3,0,1,2,1,0,1,4,4,0,0,11,9,0,0,5,5,0,0,2,2,0,0,6,4,0,0,pre-covid
Nick Bonino,F,ANA,2011-12,693000,23,64300000,0.010778,Standard (2-way),L,0,1,0,0,1,50,-0.030000000000000027,-0.03999999999999998,-0.06,-0.030000000000000027,18,2,-9,2,-7,2,-9,2,0,32,1,37431,34587,143,2189,63,56,0,7,5,5,0,0,18,16,0,1,28,27,0,0,9,8,0,1,5,3,0,2,1,1,0,0,195,182,0,9,259,241,1,2,39,37,0,0,13,12,0,1,0,2,0,-2,pre-covid
Nick Foligno,F,OTT,2011-12,1200000,23,64300000,0.018663,Standard (1-way),L,1,5,0,0,1,82,0.06000000000000005,0.010000000000000009,-0.16,0.010000000000000009,113,7,17,7,70,-3,7,-1,-2,46,5,72053,63268,757,6286,153,139,0,7,15,10,0,0,196,186,2,3,35,31,1,3,26,22,1,3,21,14,0,1,9,4,0,0,62,49,2,6,87,71,1,1,30,25,0,0,32,26,0,3,-25,-7,0,-10,pre-covid
Nick Leddy,D,CHI,2011-12,900000,20,64300000,0.013997,Entry_Level,L,0,11,0,0,-11,82,0.020000000000000018,0,-0.039999999999999994,0.050000000000000044,89,-10,-10,-6,75,-8,-6,-9,-17,118,17,108646,89175,6208,10295,94,70,0,20,3,2,0,0,67,52,7,3,30,23,3,1,41,32,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,64,1,8,34,22,0,11,8,4,2,2,pre-covid
Nicklas Backstrom,F,WSH,2011-12,6700000,23,64300000,0.104199,Standard (1-way),L,3,18,0,0,-2,42,0.10000000000000003,0.010000000000000009,0.03,0.06999999999999995,92,16,11,10,-11,-5,-6,-2,-4,104,17,48294,36339,2376,7672,95,65,1,16,14,9,0,2,31,29,0,1,28,21,2,1,18,13,2,3,10,4,0,3,4,1,0,1,353,236,18,76,338,252,45,11,25,22,0,2,30,11,0,12,-12,-2,0,-12,pre-covid
Nino Niederreiter,F,NYI,2011-12,870000,18,64300000,0.01353,Entry_Level,L,0,0,0,0,-29,55,-0.010000000000000009,-0.020000000000000018,0,-0.15999999999999992,-27,-28,-2,-8,-36,-27,-7,-8,0,9,0,33381,32094,0,1207,74,72,0,1,1,1,0,0,129,127,0,2,21,21,0,0,13,12,0,1,10,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,14,13,0,0,0,0,0,0,0,4,0,-4,pre-covid
Patric Hornqvist,F,NSH,2011-12,3083333,24,64300000,0.047952,Standard (1-way),R,9,3,0,0,10,76,0.15999999999999998,0.07,-0.14,-0.010000000000000009,226,34,28,13,75,9,9,-3,-1,123,19,69910,56780,53,11016,230,184,0,37,27,16,0,7,62,54,0,7,28,27,0,1,12,8,0,3,36,21,0,9,13,3,0,6,6,5,0,1,3,2,0,0,28,27,0,0,16,14,0,1,34,40,0,-10,pre-covid
