player,position,team,season,age,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,plusMinus,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,total_cap,percent_cap_hit,covid
Marian Gaborik,F,CBJ,2012-13,30,Standard (1-way),7500000,L,1,8,0,0,-3,47,0.09999999999999998,0.030000000000000027,0.35,0.020000000000000018,112,12,25,9,23,0,5,2,0,66,10,52225,42714,148,7106,151,123,0,12,12,9,0,0,21,19,0,1,19,17,0,1,18,14,0,4,13,8,0,0,6,3,0,0,1,0,0,0,2,1,0,0,18,17,0,0,15,6,0,5,-2,-4,0,0,60000000,0.125,pre-covid
Steven Stamkos,F,T.B,2012-13,22,Standard (1-way),7500000,R,10,8,0,0,-4,48,0.13000000000000006,0.03999999999999998,0.04000000000000001,-0.010000000000000009,108,15,18,6,4,-1,4,0,-5,94,13,63426,47722,2000,10300,157,105,2,34,29,15,0,7,63,56,0,2,24,16,2,4,31,19,0,6,25,8,1,9,12,3,0,4,406,307,19,62,413,331,26,20,17,12,1,1,28,16,0,5,0,4,-2,-2,60000000,0.125,pre-covid
Scott Gomez,F,S.J,2012-13,32,Standard (1-way),7357143,L,0,8,0,0,-10,39,0.06999999999999995,0.010000000000000009,-0.18,-0.050000000000000044,49,-1,8,0,-7,-8,-1,-3,0,50,7,31669,26031,28,5083,58,40,0,15,2,2,0,0,4,4,0,0,20,16,0,2,21,14,0,7,7,4,0,1,1,1,0,0,181,135,0,33,143,108,2,0,11,11,0,0,13,5,0,8,-4,-4,0,0,60000000,0.122619,pre-covid
Brian Campbell,D,FLA,2012-13,33,Standard (1-way),7142875,L,6,11,0,0,-22,48,0.11000000000000004,0.040000000000000036,0.04999999999999999,0.020000000000000018,113,-11,10,5,12,-22,-1,-1,-11,130,23,76080,57820,5438,10381,70,40,1,24,8,2,0,4,14,10,2,1,14,9,0,1,27,22,0,3,4,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,65,47,0,11,19,5,0,10,2,6,0,-4,60000000,0.119048,pre-covid
Thomas Vanek,F,BUF,2012-13,28,Standard (1-way),7142857,R,9,5,1,0,-1,38,0.13,0.020000000000000018,0.04000000000000001,0.020000000000000018,51,18,28,12,-50,-2,6,-1,1,73,12,41965,32507,411,6887,119,70,1,28,20,7,1,6,13,10,1,1,34,28,1,3,30,22,0,7,27,11,1,7,11,1,1,4,8,7,0,0,4,2,1,0,4,4,0,0,21,14,0,4,0,-2,2,0,60000000,0.119048,pre-covid
Alexander Semin,F,CAR,2012-13,28,Standard (1-way),7000000,R,4,5,0,1,14,44,0.08000000000000007,-0.020000000000000018,0.12,0.07999999999999996,100,27,13,6,-10,17,-9,-1,-1,123,11,55289,41969,1946,8489,150,106,5,31,13,7,0,4,14,12,0,2,46,37,2,2,35,27,1,5,9,1,1,5,5,0,0,3,5,4,0,0,16,9,3,3,21,14,1,3,31,22,1,4,-18,-20,0,2,60000000,0.116667,pre-covid
Jarome Iginla,F,PIT,2012-13,35,Standard (1-way),7000000,R,8,9,0,0,-9,44,0.12000000000000005,0.02999999999999997,-0.010000000000000009,0,127,17,9,-1,17,0,-8,-10,-1,109,18,49604,38341,493,8314,134,90,0,36,14,8,0,5,65,59,0,4,18,13,0,4,17,14,0,3,17,8,0,6,6,2,0,3,123,92,2,25,124,84,10,5,13,10,0,1,19,12,0,4,4,6,2,-6,60000000,0.116667,pre-covid
Joe Thornton,F,S.J,2012-13,32,Standard (1-way),7000000,L,3,24,0,0,11,48,0.13,0.040000000000000036,0,0.06000000000000005,209,32,47,21,58,9,16,4,0,134,20,52929,40269,1408,9097,85,58,0,20,7,4,0,1,23,18,0,4,37,33,1,1,42,34,1,4,14,8,0,4,5,2,0,1,410,289,28,55,291,217,25,16,21,17,0,2,33,14,0,15,-6,0,0,-6,60000000,0.116667,pre-covid
Drew Doughty,D,L.A,2012-13,22,Standard (1-way),7000000,R,4,8,0,0,-3,48,0.05999999999999994,0.029999999999999916,-0.009999999999999995,-0.019999999999999907,128,9,23,11,68,-1,3,0,-9,97,15,76016,58232,5769,7779,114,76,1,24,6,2,0,2,128,114,8,4,9,3,3,1,36,29,2,3,9,0,0,3,4,0,0,2,0,0,0,0,0,0,0,0,46,36,0,6,16,6,0,6,0,0,-8,6,60000000,0.116667,pre-covid
Jason Spezza,F,OTT,2012-13,29,Standard (1-way),7000000,R,1,1,0,0,2,5,0.06999999999999995,-0.020000000000000018,0.19,0.020000000000000018,10,5,10,3,-2,3,0,1,0,10,1,5753,4294,562,668,12,5,2,3,2,0,0,0,0,0,0,0,5,2,3,0,3,3,0,0,2,0,0,0,2,0,0,0,68,45,8,10,51,37,4,7,2,1,0,1,3,2,0,1,-2,-2,0,0,60000000,0.116667,pre-covid
Zdeno Chara,D,BOS,2012-13,35,Standard (1-way),6916667,L,3,5,0,1,21,48,0.010000000000000009,0.020000000000000018,0.03,0,74,12,5,-1,63,14,0,4,-7,74,7,71816,53339,8401,6652,119,80,5,26,7,4,0,2,101,86,10,0,12,7,2,1,34,24,6,3,7,1,0,3,3,0,0,2,0,0,0,0,1,0,0,0,64,47,2,9,12,9,1,1,-38,-30,-4,0,60000000,0.115278,pre-covid
Patrick Marleau,F,S.J,2012-13,32,Standard (1-way),6900000,L,7,11,1,0,-2,48,0.08999999999999997,0.020000000000000018,0.039999999999999994,0.06000000000000005,204,15,45,17,91,0,19,4,-6,138,18,55039,39830,4101,8879,150,99,5,31,17,10,1,5,38,32,1,2,25,16,2,2,26,20,1,4,23,12,0,8,8,2,0,5,71,33,20,7,79,46,6,22,13,9,0,2,14,6,0,6,-4,-4,2,-6,60000000,0.115,pre-covid
Anze Kopitar,F,L.A,2012-13,24,Standard (1-way),6800000,L,1,19,0,0,12,47,0.10999999999999999,0.06999999999999995,0.010000000000000009,0.010000000000000009,204,29,19,10,138,14,4,-2,-7,84,20,57751,43519,4109,6951,98,76,1,7,10,10,0,0,70,62,2,2,27,19,4,1,35,23,2,5,6,3,0,2,2,2,0,0,473,360,32,50,415,309,48,30,25,21,0,4,32,14,0,13,8,8,4,-2,60000000,0.113333,pre-covid
Mikko Koivu,F,MIN,2012-13,29,Standard (1-way),6750000,L,0,13,0,0,-4,48,0.13999999999999996,0.09000000000000008,-0.04999999999999999,0.050000000000000044,198,11,32,2,93,-1,5,-3,-10,137,16,60740,43011,4393,9031,127,93,1,21,11,7,0,0,47,41,2,2,26,21,1,3,19,12,1,6,7,3,0,2,1,0,0,0,524,383,46,60,447,323,43,38,18,15,0,2,26,12,0,9,-2,-4,2,0,60000000,0.1125,pre-covid
Pavel Datsyuk,F,DET,2012-13,33,Standard (1-way),6700000,L,8,10,0,3,23,47,0.12,0.04999999999999993,0.09999999999999999,0,182,39,5,5,67,15,0,-1,-6,122,20,56911,41390,3358,9330,107,72,3,22,15,5,0,8,31,29,1,0,56,48,4,2,38,20,2,14,8,1,0,5,5,0,0,4,488,285,66,88,399,270,62,40,30,21,0,5,34,19,2,8,8,6,0,4,60000000,0.111667,pre-covid
Nicklas Backstrom,F,WSH,2012-13,24,Standard (1-way),6700000,L,3,17,0,0,6,48,0.09000000000000002,0.030000000000000027,-0.03,0.020000000000000018,36,26,4,4,-18,6,1,-3,-11,114,31,57314,41084,4058,9399,82,62,3,13,8,5,0,3,31,26,0,3,33,25,1,4,26,20,1,5,8,5,0,3,2,0,0,2,432,315,31,48,408,304,47,25,35,26,2,4,40,21,0,15,4,4,-2,0,60000000,0.111667,pre-covid
Jay Bouwmeester,D,STL,2012-13,28,Standard (1-way),6680000,L,1,6,0,2,-6,47,-0.08000000000000002,-0.030000000000000027,-0.14,0.020000000000000018,-91,-14,-17,-10,-24,-7,-3,-5,-17,53,11,69468,54050,7691,4713,79,65,0,12,7,6,0,1,41,35,6,0,11,9,1,1,28,20,4,0,3,2,0,1,3,2,0,1,0,0,0,0,0,0,0,0,61,48,0,11,15,6,1,6,-12,-12,0,0,60000000,0.111333,pre-covid
Brad Richards,F,NYR,2012-13,32,Standard (1-way),6666666,L,3,6,0,0,5,46,0.10999999999999999,0.030000000000000027,0.12999999999999998,-0.10999999999999999,149,21,24,15,75,8,11,7,-1,68,12,51933,41439,290,8381,110,77,0,29,11,8,0,3,25,25,0,0,31,28,0,1,24,21,0,3,8,6,0,2,5,3,0,2,391,319,5,44,382,309,22,5,43,39,1,0,23,16,0,4,-2,-4,4,0,60000000,0.111111,pre-covid
Dan Boyle,D,S.J,2012-13,35,Standard (1-way),6666666,R,6,12,0,1,0,46,0.12,0.06000000000000005,0.020000000000000004,0.050000000000000044,246,19,51,12,133,8,27,2,-4,134,16,62922,48420,3114,9046,97,50,1,31,7,1,0,1,29,24,1,0,16,12,1,2,42,32,0,5,8,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,81,68,2,6,13,4,1,8,-10,-8,0,-2,60000000,0.111111,pre-covid
Ilya Kovalchuk,F,N.J,2012-13,29,Standard (1-way),6666666,R,2,12,4,0,-6,37,0.06999999999999995,-0.050000000000000044,-0.05000000000000002,0,101,10,8,-2,-16,-3,-1,-2,-5,132,16,54917,36815,3638,11095,123,64,7,42,11,5,3,1,13,9,3,0,10,6,2,1,41,28,1,8,7,2,1,2,2,0,1,0,7,4,0,1,15,12,0,1,12,4,3,3,20,8,0,10,0,2,0,-4,60000000,0.111111,pre-covid
Paul Stastny,F,COL,2012-13,26,Standard (1-way),6600000,L,2,8,0,0,-7,40,0.02999999999999997,-0.020000000000000018,-0.020000000000000004,0.06999999999999995,4,0,-3,2,-12,-8,3,1,-3,73,12,46456,33685,4766,5941,87,63,0,14,9,5,0,2,21,20,0,0,23,19,2,1,15,11,0,3,12,8,0,2,4,2,0,1,409,291,39,52,372,274,36,38,29,21,0,5,15,5,0,8,2,2,0,0,60000000,0.11,pre-covid
Wade Redden,D,BOS,2012-13,35,Standard (1-way),6500000,L,0,2,0,0,0,29,0.07999999999999996,0.06999999999999995,0.030000000000000013,0.020000000000000018,72,-1,9,0,57,-1,6,0,-2,18,4,26219,23733,331,1332,28,24,0,3,3,3,0,0,16,16,0,0,7,7,0,0,5,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30,29,0,1,4,3,0,1,-4,-2,0,-2,60000000,0.108333,pre-covid
Dion Phaneuf,D,TOR,2012-13,27,Standard (1-way),6500000,L,3,14,0,0,-10,48,0,-0.040000000000000036,-0.03,0,-127,11,0,9,-141,-2,-12,3,-10,89,20,72513,51568,8336,8782,88,52,0,24,9,5,0,1,131,109,12,4,15,8,5,1,53,32,8,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,91,66,2,14,19,5,0,12,-18,-20,-2,4,60000000,0.108333,pre-covid
Daniel Briere,F,PHI,2012-13,34,Standard (1-way),6500000,R,3,3,0,0,-13,34,0.07000000000000006,-0.020000000000000018,-0.11,-0.07000000000000006,40,0,13,1,-27,-6,6,-1,0,58,10,32762,25637,83,5402,87,56,0,23,6,2,0,3,15,13,0,2,7,7,0,0,13,9,0,4,14,5,0,6,2,0,0,2,62,43,0,14,73,59,1,0,6,5,0,0,10,7,0,3,8,8,0,0,60000000,0.108333,pre-covid
Erik Karlsson,D,OTT,2012-13,22,Standard (1-way),6500000,R,2,5,1,0,8,17,0.14,0.06999999999999995,0.03,0.08000000000000007,68,10,4,4,32,4,0,2,-2,55,4,27698,19569,1768,4455,79,51,4,16,6,2,1,2,10,10,0,0,18,15,1,0,18,13,1,3,4,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,14,13,0,1,8,5,0,1,8,12,0,-4,60000000,0.108333,pre-covid
Kimmo Timonen,D,PHI,2012-13,37,Standard (1-way),6333333,L,3,14,0,0,3,45,0.10000000000000003,0.06,0.020000000000000018,0.06000000000000005,146,20,33,4,52,4,5,-1,-11,147,25,58769,38634,7338,9718,78,42,1,28,5,1,0,3,31,25,6,0,13,9,2,2,21,14,2,3,6,1,0,4,2,0,0,2,0,0,0,0,0,0,0,0,79,50,7,16,24,7,0,12,-28,-20,-2,-6,60000000,0.105556,pre-covid
Jonathan Toews,F,CHI,2012-13,24,Standard (1-way),6300000,L,3,7,2,1,37,47,0.09999999999999998,0.039999999999999925,0.12,0.040000000000000036,203,37,17,8,118,28,10,7,0,77,4,54545,40868,3893,7267,143,114,5,18,23,19,2,2,24,20,1,1,56,40,8,2,16,12,0,2,17,13,1,2,8,6,1,1,559,390,34,77,374,295,33,19,16,11,1,2,25,17,1,2,18,16,-2,4,60000000,0.105,pre-covid
Patrick Kane,F,CHI,2012-13,23,Standard (1-way),6300000,L,8,10,0,0,18,47,0.020000000000000018,-0.050000000000000044,-0.18,-0.06000000000000005,102,29,20,17,24,7,5,2,0,59,10,56558,46163,14,7653,138,98,0,20,23,11,0,5,11,10,0,0,36,33,0,1,25,21,0,3,19,8,0,4,12,4,0,3,2,1,0,0,8,4,0,0,9,7,0,0,32,19,0,6,16,10,0,0,60000000,0.105,pre-covid
Daniel Sedin,F,VAN,2012-13,31,Standard (1-way),6100000,L,3,11,0,0,10,47,0.22000000000000003,0.15000000000000002,-0.1,0.040000000000000036,194,29,30,12,82,14,18,6,0,97,14,53640,42188,206,9545,138,107,0,18,12,8,0,2,15,15,0,0,16,14,0,2,21,17,0,2,10,6,0,2,4,2,0,1,3,1,0,2,4,4,0,0,7,6,1,0,28,17,0,9,8,14,2,-8,60000000,0.101667,pre-covid
Henrik Sedin,F,VAN,2012-13,31,Standard (1-way),6100000,L,1,14,1,0,19,48,0.21000000000000002,0.14,0,0.030000000000000027,199,35,33,14,85,20,17,7,0,92,13,55721,43808,436,9449,70,53,0,12,11,8,0,1,22,21,0,0,21,18,0,1,19,10,0,7,10,7,0,0,4,2,0,0,440,320,12,76,451,345,46,6,9,8,0,0,34,19,0,9,2,2,-2,2,60000000,0.101667,pre-covid
Henrik Zetterberg,F,DET,2012-13,31,Standard (1-way),6083333,L,5,21,2,0,5,46,0.07999999999999996,0.020000000000000018,0.01999999999999999,0.010000000000000009,137,25,-2,8,30,2,-12,0,-2,125,20,56643,40779,3006,9812,173,113,4,37,11,5,1,2,20,18,1,1,29,21,2,3,27,22,0,4,6,4,0,1,3,1,0,1,263,210,19,18,281,227,13,22,10,7,0,1,37,13,0,17,4,2,0,2,60000000,0.101389,pre-covid
Mike Green,D,WSH,2012-13,26,Standard (1-way),6083333,R,5,11,0,0,-3,35,0.07,-0.030000000000000027,-0.08000000000000002,-0.07000000000000006,25,23,9,12,-37,-4,-6,-2,-1,89,24,52193,40140,2155,7950,96,59,0,27,12,7,0,3,36,30,2,4,14,11,0,3,25,20,2,2,3,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,61,54,1,3,14,4,0,8,-12,-8,2,0,60000000,0.101389,pre-covid
Patrik Elias,F,N.J,2012-13,36,Standard (1-way),6000000,L,5,9,1,0,5,48,0.13,0.039999999999999925,0.04999999999999999,0.09000000000000008,225,15,23,2,80,3,10,-2,-4,133,12,53912,37072,4621,8838,118,79,6,21,14,7,1,3,20,13,1,2,26,17,7,1,21,12,2,6,13,7,0,2,4,1,0,1,71,36,4,19,92,51,19,7,14,9,1,3,22,10,0,6,4,6,0,-4,60000000,0.1,pre-covid
Patrick Sharp,F,CHI,2012-13,30,Standard (1-way),5900000,R,3,8,0,0,9,28,0.030000000000000027,-0.030000000000000027,0.11,-0.050000000000000044,57,17,17,13,19,6,6,3,0,37,5,31632,24157,1483,4835,88,60,2,16,6,4,0,1,26,23,1,1,14,11,1,0,14,8,2,4,7,4,0,1,3,1,0,1,40,28,0,7,22,13,6,0,12,9,1,1,14,7,0,3,16,10,0,2,60000000,0.098333,pre-covid
Brent Seabrook,D,CHI,2012-13,27,Standard (1-way),5800000,R,3,5,0,0,11,47,-0.030000000000000027,-0.030000000000000027,-0.04000000000000001,0,43,10,1,-5,47,8,2,-4,-7,67,4,62037,47586,5598,6533,65,39,0,21,8,4,0,3,106,91,9,5,15,10,2,2,40,33,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,76,3,19,12,5,0,4,-12,-12,3,-5,60000000,0.096667,pre-covid
Brent Burns,D,S.J,2012-13,27,Standard (1-way),5760000,R,2,1,0,0,-1,30,0.10999999999999999,0.040000000000000036,1,-0.030000000000000027,90,6,8,2,37,3,4,0,0,45,4,29307,25073,34,3359,81,61,0,17,9,7,0,2,54,51,0,2,5,5,0,0,19,18,0,1,5,2,0,3,3,1,0,2,4,3,0,1,9,8,0,0,13,11,0,0,11,10,0,1,-18,-10,0,-6,60000000,0.096,pre-covid
Mike Richards,F,L.A,2012-13,27,Standard (1-way),5750000,L,7,13,0,0,-3,48,0.04999999999999993,-0.029999999999999916,-0.020000000000000004,0.04999999999999993,79,9,26,15,2,-9,5,1,-5,94,19,47096,34205,3494,6643,82,50,2,19,12,6,0,5,58,53,2,2,21,17,3,0,19,13,1,4,13,5,1,5,5,2,0,3,216,178,13,14,225,179,12,20,19,15,1,3,20,8,0,6,-2,-2,2,-2,60000000,0.095833,pre-covid
Andrei Markov,D,MTL,2012-13,33,Standard (1-way),5750000,L,8,16,0,0,-10,48,0.040000000000000036,-0.010000000000000009,-0.030000000000000013,-0.010000000000000009,58,9,20,13,-9,-5,2,2,-13,134,24,69493,46562,6088,12561,79,39,1,28,10,2,0,4,22,15,4,1,18,10,4,2,50,38,4,6,9,1,0,5,6,1,0,2,0,0,0,0,0,0,0,0,60,44,1,9,20,5,0,12,0,0,0,0,60000000,0.095833,pre-covid
Martin St. Louis,F,T.B,2012-13,37,35+ (1-way),5625000,L,3,17,0,0,0,48,0.09000000000000002,0.010000000000000009,0.05,-0.030000000000000027,73,21,10,8,-26,4,-1,1,-4,92,15,63312,48268,2129,9886,112,80,1,22,17,13,0,1,23,20,0,3,43,35,5,2,40,27,3,8,11,7,0,2,7,4,0,1,12,10,1,0,16,15,1,0,32,23,1,4,43,22,0,12,24,22,0,-2,60000000,0.09375,pre-covid
Lubomir Visnovsky,D,NYI,2012-13,35,Standard (1-way),5600000,L,1,7,0,0,14,35,0.13,0.07999999999999996,0.08000000000000002,0.050000000000000044,196,24,25,7,112,13,8,-1,-3,89,14,47891,37999,1855,6197,69,50,0,14,3,2,0,1,20,19,1,0,13,12,1,0,30,18,1,9,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,52,40,1,4,11,4,0,7,-12,-6,-2,-2,60000000,0.093333,pre-covid
Duncan Keith,D,CHI,2012-13,28,Standard (1-way),5538462,L,2,13,0,2,26,47,-0.010000000000000009,-0.020000000000000018,0,0.030000000000000027,63,22,-7,-1,54,15,-7,-2,-6,74,5,67986,51793,6136,7261,91,57,3,22,3,1,0,2,19,15,2,2,26,16,8,1,29,23,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,49,1,11,24,14,1,6,-14,-14,0,0,60000000,0.092308,pre-covid
John Tavares,F,NYI,2012-13,21,Standard (1-way),5500000,L,9,9,0,0,-6,48,0.13999999999999996,0.050000000000000044,-0.15,0.030000000000000027,232,20,38,12,78,2,7,0,0,127,19,59831,47869,359,8890,162,105,0,38,28,17,0,8,33,32,0,0,27,24,0,2,44,33,0,9,22,8,0,10,12,3,0,7,459,334,1,94,471,350,36,2,22,20,0,0,19,11,0,6,24,26,0,-2,60000000,0.091667,pre-covid
