player,position,team,season,age,type,cap_hit,shoots_catches,skater_stats_power_play_goals,skater_stats_power_play_assists,skater_stats_short_handed_goals,skater_stats_short_handed_assists,plusMinus,games_played,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,diff_4on5_goals,diff_5on4_shots_on_goal,diff_5on4_goals,all_icetime,x5on5_icetime,x4on5_icetime,x5on4_icetime,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,total_cap,percent_cap_hit,covid
Alex Ovechkin,F,WSH,2012-13,26,Standard (1-way),9538462,R,17,12,0,0,0,48,0.13999999999999996,0.010000000000000009,-0.16,0.07999999999999996,107,41,34,19,-35,5,3,-2,-1,140,35,60147,45238,157,12033,220,135,0,71,32,14,0,16,120,109,1,5,30,21,0,9,25,20,0,3,33,14,0,14,14,1,0,11,0,0,0,0,1,1,0,0,18,17,0,0,24,13,0,11,14,14,0,0,60000000,0.158974,pre-covid
Evgeni Malkin,F,PIT,2012-13,25,Standard (1-way),8700000,L,4,20,0,0,3,31,0.23000000000000004,0.08999999999999997,-0.03,0.13,220,31,19,15,83,9,4,3,0,112,18,36592,27136,60,7618,99,66,0,28,9,4,0,4,12,10,0,1,23,21,0,2,21,15,0,5,7,5,0,1,2,1,0,1,195,168,3,18,218,190,11,0,11,9,1,0,24,9,0,12,4,8,0,-2,60000000,0.145,pre-covid
Sidney Crosby,F,PIT,2012-13,24,Standard (1-way),8700000,L,5,19,0,0,23,36,0.18,0.08999999999999997,-0.05,0.09000000000000008,187,49,27,12,74,28,5,3,0,117,15,45585,33113,1469,8468,124,86,1,27,15,12,0,2,21,21,0,0,15,13,0,2,28,19,0,5,12,8,0,2,4,3,0,1,453,294,30,87,381,270,45,23,18,16,0,1,41,26,0,10,18,16,0,0,60000000,0.145,pre-covid
Eric Staal,F,CAR,2012-13,27,Standard (1-way),8250000,L,3,6,1,0,5,48,0.06000000000000005,-0.020000000000000018,0.08000000000000002,0.10999999999999999,78,16,8,5,-24,10,-10,1,-5,132,13,60468,44668,3237,9363,152,100,5,34,18,13,1,3,35,31,1,2,48,37,6,3,24,20,0,4,22,8,0,8,8,4,0,3,527,404,20,77,487,362,61,26,24,17,1,2,35,27,0,5,-16,-14,4,-6,60000000,0.1375,pre-covid
Shea Weber,D,NSH,2012-13,26,Standard (1-way),7857143,R,3,9,0,0,-2,48,0.06,-0.009999999999999953,0.05,0.08000000000000007,54,1,19,4,-25,-2,14,3,-13,129,15,74581,56137,5336,10218,124,72,2,39,9,3,0,3,112,95,7,1,14,11,2,0,36,29,1,6,7,3,0,3,3,0,0,2,0,0,0,0,0,0,0,0,90,83,0,6,19,8,0,9,6,6,5,-1,60000000,0.130952,pre-covid
Rick Nash,F,NYR,2012-13,28,Standard (1-way),7800000,L,3,6,1,0,19,44,0.10999999999999999,0.06000000000000005,0,-0.07999999999999996,148,28,13,9,108,21,7,6,-2,56,10,52722,41571,1348,7755,176,133,2,33,21,17,1,3,46,45,0,0,19,18,1,0,32,22,2,5,9,7,1,1,5,3,1,1,5,4,0,1,7,4,1,1,25,23,0,0,21,14,0,4,-2,-4,2,0,60000000,0.13,pre-covid
Vincent Lecavalier,F,T.B,2012-13,32,Standard (1-way),7727272,L,5,4,0,0,-5,39,0.08000000000000002,-0.009999999999999953,-0.1,-0.010000000000000009,27,12,7,6,-51,-3,2,1,0,68,10,41846,32553,294,6646,86,53,0,17,10,5,0,3,74,70,0,3,12,11,0,0,7,5,0,1,10,5,0,1,4,2,0,1,404,300,3,69,338,265,18,3,13,13,0,0,22,16,0,3,2,2,2,0,60000000,0.128788,pre-covid
Ryan Suter,D,MIN,2012-13,27,Standard (1-way),7538462,L,3,12,0,0,-3,48,0.040000000000000036,-0.010000000000000009,-0.03,0.07000000000000006,93,9,30,4,10,0,2,-2,-13,143,18,78436,57736,5858,9866,91,54,1,26,4,0,0,3,33,28,2,0,9,7,0,1,19,13,3,2,7,1,0,6,3,0,0,3,0,0,0,0,0,0,0,0,74,53,1,13,28,13,0,9,-16,-16,2,0,60000000,0.125641,pre-covid
Zach Parise,F,MIN,2012-13,27,Standard (1-way),7538462,L,7,6,0,0,-5,48,0.13999999999999996,0.09000000000000008,-0.08,0.050000000000000044,205,15,33,6,97,-2,5,-2,-6,136,16,59520,42497,4001,8898,182,130,0,41,18,10,0,5,59,52,3,3,24,17,6,1,16,12,2,2,28,11,0,14,8,3,0,4,3,1,0,0,6,5,1,0,41,34,0,5,20,10,0,5,14,10,2,-2,60000000,0.125641,pre-covid
Dany Heatley,F,MIN,2012-13,31,Standard (1-way),7500000,L,3,4,0,0,-12,36,0.06000000000000005,-0.010000000000000009,-0.17,-0.040000000000000036,46,0,8,6,-34,-12,-2,-1,0,64,10,40031,30923,83,5637,83,52,0,18,11,8,0,2,26,25,0,1,8,8,0,0,8,7,0,1,12,8,0,1,5,3,0,1,12,8,0,3,19,13,1,0,22,18,0,0,10,5,0,4,4,8,0,-4,60000000,0.125,pre-covid
