player,team,position,season,games_played,cap_hit,projected_cap_hit
Mark Giordano,CGY,D,2017-18,82,6750000,6673681
Dustin Brown,L.A,F,2017-18,81,5875000,6657562.5
Erik Karlsson,OTT,D,2017-18,71,6500000,6625734
Dion Phaneuf,L.A,D,2017-18,79,7000000,6586863.5
David Pastrnak,BOS,F,2017-18,82,6666667,6580494
Artemi Panarin,CBJ,F,2017-18,81,6000000,6552621.5
Mark Stone,OTT,F,2017-18,58,3500000,6512215.5
Jakub Voracek,PHI,F,2017-18,82,8250000,6495266.5
Nathan MacKinnon,COL,F,2017-18,73,6300000,6439489
Mikko Koivu,MIN,F,2017-18,82,6750000,6413351.5
Sean Monahan,CGY,F,2017-18,74,6375000,6355880.5
Loui Eriksson,VAN,F,2017-18,50,6000000,6327428.5
Matt Duchene,OTT,F,2017-18,82,6000000,6318845.5
Daniel Sedin,VAN,F,2017-18,81,7000000,6305877
Henrik Zetterberg,DET,F,2017-18,81,6083333,6269915
Jonathan Huberdeau,FLA,F,2017-18,81,5900000,6256969.5
David Backes,BOS,F,2017-18,57,6000000,6235792.5
Alexander Radulov,DAL,F,2017-18,81,6250000,6219045
Derek Stepan,ARI,F,2017-18,82,6500000,6159332.5
Mike Green,DET,D,2017-18,65,6000000,6156921.5
Mark Scheifele,WPG,F,2017-18,60,6125000,6153350
Sean Couturier,PHI,F,2017-18,82,4333333,6137870.5
Brent Seabrook,CHI,D,2017-18,81,6875000,6098554
Ryan Callahan,T.B,F,2017-18,67,5800000,6085743.5
Jamie Benn,DAL,F,2017-18,81,9500000,6085349.5
Tyler Seguin,DAL,F,2017-18,81,5750000,6039673
Jeff Carter,L.A,F,2017-18,27,5272727,6019118
Aaron Ekblad,FLA,D,2017-18,81,7500000,6009624.5
Rickard Rakell,ANA,F,2017-18,77,3789444,6004910
Andrew Ladd,NYI,F,2017-18,73,5500000,5989376
Duncan Keith,CHI,D,2017-18,82,5538462,5975853
Alex Pietrangelo,STL,D,2017-18,78,6500000,5961917
Taylor Hall,N.J,F,2017-18,76,6000000,5921953.5
Blake Wheeler,WPG,F,2017-18,81,5600000,5888627
Alexander Steen,STL,F,2017-18,76,5750000,5870091
Jaden Schwartz,STL,F,2017-18,62,5350000,5851376.5
Andrej Sekera,EDM,D,2017-18,36,5500000,5739537.5
John Tavares,NYI,F,2017-18,82,5500000,5736057
Oliver Ekman-Larsson,ARI,D,2017-18,82,5500000,5725286
Alex Goligoski,ARI,D,2017-18,78,5475000,5688813.5
Johnny Boychuk,NYI,D,2017-18,58,6000000,5628479.5
Kyle Okposo,BUF,F,2017-18,76,6000000,5574632
Mike Hoffman,OTT,F,2017-18,82,5187500,5546497
T.J. Oshie,WSH,F,2017-18,74,5750000,5537212
Mikael Granlund,MIN,F,2017-18,77,5750000,5536672.5
Jason Pominville,BUF,F,2017-18,82,5600000,5531608
Jonathan Marchessault,VGK,F,2017-18,77,750000,5521368.5
Logan Couture,S.J,F,2017-18,78,6000000,5517899.5
Jordan Eberle,NYI,F,2017-18,81,6000000,5512700
Jordan Staal,CAR,F,2017-18,79,6000000,5487147
Dougie Hamilton,CGY,D,2017-18,82,5750000,5483021
Ryan Nugent-Hopkins,EDM,F,2017-18,62,6000000,5470942
Cam Atkinson,CBJ,F,2017-18,65,3500000,5468026
Marc Staal,NYR,D,2017-18,72,5700000,5413651.5
Travis Zajac,N.J,F,2017-18,63,5750000,5406532.5
Filip Forsberg,NSH,F,2017-18,67,6000000,5395770.5
Brayden Schenn,STL,F,2017-18,82,5125000,5386154.5
Vincent Trocheck,FLA,F,2017-18,81,4750000,5374546
Brandon Dubinsky,CBJ,F,2017-18,62,5850000,5356452
Seth Jones,CBJ,D,2017-18,78,5400000,5355216.5
Brandon Saad,CHI,F,2017-18,82,6000000,5348422
Nick Leddy,NYI,D,2017-18,80,5500000,5328700
Danny DeKeyser,DET,D,2017-18,64,5000000,5324358.5
Torey Krug,BOS,D,2017-18,76,5250000,5323728
Josh Bailey,NYI,F,2017-18,76,3300000,5319487.5
Rasmus Ristolainen,BUF,D,2017-18,73,5400000,5288114
John Klingberg,DAL,D,2017-18,81,4250000,5228937.5
Alex Killorn,T.B,F,2017-18,82,4450000,5200403
Jeff Petry,MTL,D,2017-18,82,5500000,5190748
James Neal,VGK,F,2017-18,71,5000000,5169147
Tomas Plekanec,TOR,F,2017-18,77,6000000,5145880.5
John Carlson,WSH,D,2017-18,82,3966667,5089031
Alexei Emelin,NSH,D,2017-18,76,4100000,5083426.5
Jeff Skinner,CAR,F,2017-18,82,5725000,5066955.5
Frans Nielsen,DET,F,2017-18,78,5250000,5035552.5
Ondrej Palat,T.B,F,2017-18,56,5300000,5013654.5
Marc Methot,DAL,D,2017-18,36,4900000,5006771.5
Jared Spurgeon,MIN,D,2017-18,61,5187500,4993934
Christopher Tanev,VAN,D,2017-18,42,4450000,4985801
Evander Kane,S.J,F,2017-18,78,5250000,4964151.5
Mika Zibanejad,NYR,F,2017-18,72,5350000,4940882.5
Brooks Orpik,WSH,D,2017-18,81,5500000,4919299
Nikita Zaitsev,TOR,D,2017-18,60,4500000,4893171
Gabriel Landeskog,COL,F,2017-18,77,5571429,4879066.5
Eric Staal,MIN,F,2017-18,82,3500000,4874481.5
Nick Foligno,CBJ,F,2017-18,72,5500000,4872717.5
Artem Anisimov,CHI,F,2017-18,72,4550000,4799131.5
Jonathan Ericsson,DET,D,2017-18,80,4250000,4782458
Max Pacioretty,MTL,F,2017-18,64,4500000,4729331.5
Justin Faulk,CAR,D,2017-18,76,4833333,4726644.5
Anders Lee,NYI,F,2017-18,82,3750000,4692853
Roman Josi,NSH,D,2017-18,75,4000000,4687518
Jonathan Drouin,MTL,F,2017-18,77,5500000,4663543.5
Ryan McDonagh,T.B,D,2017-18,63,4700000,4660572.5
Andrew MacDonald,PHI,D,2017-18,66,5000000,4658483
Tyler Toffoli,L.A,F,2017-18,82,4600000,4644279
Tyler Johnson,T.B,F,2017-18,81,5000000,4634893.5
Tyson Barrie,COL,D,2017-18,68,5500000,4625933
TJ Brodie,CGY,D,2017-18,73,4650400,4623384
Tyler Bozak,TOR,F,2017-18,81,4200000,4620090
Matt Dumba,MIN,D,2017-18,82,2550000,4615876
Martin Hanzal,DAL,F,2017-18,37,4750000,4614670.5
Reilly Smith,VGK,F,2017-18,67,5000000,4597880.5
Justin Schultz,PIT,D,2017-18,63,5500000,4582252.5
Milan Lucic,EDM,F,2017-18,82,6000000,4574565
Craig Smith,NSH,F,2017-18,79,4250000,4552106
Alexander Wennberg,CBJ,F,2017-18,66,4900000,4533111
Gustav Nyquist,DET,F,2017-18,81,4750000,4520497.5
Brian Dumoulin,PIT,D,2017-18,80,4100000,4510260.5
Alex Galchenyuk,MTL,F,2017-18,82,4900000,4492275
Shayne Gostisbehere,PHI,D,2017-18,78,4500000,4480448.5
Jake Muzzin,L.A,D,2017-18,74,4000000,4453305.5
Jay Bouwmeester,STL,D,2017-18,35,5400000,4444586.5
Jack Johnson,CBJ,D,2017-18,77,4357143,4438958.5
Hampus Lindholm,ANA,D,2017-18,69,5205556,4430404.5
Niklas Kronwall,DET,D,2017-18,78,4750000,4424842.5
Oscar Klefbom,EDM,D,2017-18,66,4167000,4420449
Nino Niederreiter,MIN,F,2017-18,63,5250000,4408077
Colton Parayko,STL,D,2017-18,82,5500000,4392948.5
Niklas Hjalmarsson,ARI,D,2017-18,48,4100000,4389384
Bryan Little,WPG,F,2017-18,82,4700000,4384397.5
Bo Horvat,VAN,F,2017-18,64,5500000,4361855.5
Cam Fowler,ANA,D,2017-18,67,4000000,4355532
Yanni Gourde,T.B,F,2017-18,82,1000000,4338647
Sami Vatanen,N.J,D,2017-18,72,4875000,4326760.5
Trevor Daley,DET,D,2017-18,76,3166666,4307251.5
Tyler Myers,WPG,D,2017-18,82,5500000,4294524.5
Kyle Palmieri,N.J,F,2017-18,62,4650000,4288785
Wayne Simmonds,PHI,F,2017-18,75,3975000,4276418
Justin Braun,S.J,D,2017-18,81,3800000,4260135.5
William Karlsson,VGK,F,2017-18,82,1000000,4259855
Jake Gardiner,TOR,D,2017-18,82,4050000,4254168
David Perron,VGK,F,2017-18,70,3750000,4246431.5
Morgan Rielly,TOR,D,2017-18,76,5000000,4239485.5
Marco Scandella,BUF,D,2017-18,82,4000000,4236357
James van Riemsdyk,TOR,F,2017-18,81,4250000,4222990
Mattias Ekholm,NSH,D,2017-18,81,3750000,4211672
Erik Gudbranson,VAN,D,2017-18,52,3500000,4209256.5
Dmitry Orlov,WSH,D,2017-18,82,5100000,4207291
Tomas Tatar,VGK,F,2017-18,81,5300000,4205407
Dmitry Kulikov,WPG,D,2017-18,62,4333333,4183354.5
Justin Williams,CAR,F,2017-18,82,4500000,4168180.25
Valtteri Filppula,PHI,F,2017-18,81,5000000,4163617
Alec Martinez,L.A,D,2017-18,77,4000000,4159848
Mats Zuccarello,NYR,F,2017-18,80,4500000,4122843.5
Patrick Maroon,N.J,F,2017-18,74,2000000,4122335.5
Erik Haula,VGK,F,2017-18,76,2750000,4103432.75
Travis Hamonic,CGY,D,2017-18,74,3857143,4102019.25
Erik Johnson,COL,D,2017-18,61,6000000,4025461
Viktor Arvidsson,NSH,F,2017-18,78,4250000,4025336.25
Nick Bjugstad,FLA,F,2017-18,81,4100000,4003735.25
Mikael Backlund,CGY,F,2017-18,82,3575000,3992612.75
Dan Hamhuis,DAL,D,2017-18,79,3750000,3979370.5
Patrick Marleau,TOR,F,2017-18,82,6250000,3978992.75
David Savard,CBJ,D,2017-18,81,4250000,3962754.25
Justin Abdelkader,DET,F,2017-18,74,4250000,3957740.25
Nazem Kadri,TOR,F,2017-18,80,4500000,3947282.5
Adam Henrique,ANA,F,2017-18,81,4000000,3934579.5
Jakob Silfverberg,ANA,F,2017-18,77,3750000,3826029
Brian Boyle,N.J,F,2017-18,69,2550000,3785351.5
Jason Demers,ARI,D,2017-18,69,4500000,3777364
Kris Russell,EDM,D,2017-18,78,4000000,3771796.75
Chris Kreider,NYR,F,2017-18,58,4625000,3760712
Tanner Pearson,L.A,F,2017-18,82,3750000,3734903.75
J.T. Miller,T.B,F,2017-18,82,2750000,3730590.25
Brenden Dillon,S.J,D,2017-18,81,3270000,3692816.75
Darren Helm,DET,F,2017-18,74,3850000,3676162.25
Patrik Berglund,STL,F,2017-18,57,3850000,3642701.5
Josh Gorges,BUF,D,2017-18,34,3900000,3640030
Mathieu Perreault,WPG,F,2017-18,70,4125000,3634104.75
Nick Bonino,NSH,F,2017-18,71,4100000,3589137.25
Ryan Spooner,NYR,F,2017-18,59,2825000,3560474.5
Brendan Gallagher,MTL,F,2017-18,82,3750000,3530756.5
Ron Hainsey,TOR,D,2017-18,80,3000000,3527466.75
Mattias Janmark,DAL,F,2017-18,80,700000,3523864.5
Kevin Bieksa,ANA,D,2017-18,59,4000000,3509150.75
Esa Lindell,DAL,D,2017-18,79,2200000,3501791
Jonas Brodin,MIN,D,2017-18,73,4166667,3499491
Kyle Turris,NSH,F,2017-18,76,3500000,3487162.5
Connor Murphy,CHI,D,2017-18,76,3850000,3484399.5
Carl Hagelin,PIT,F,2017-18,81,4000000,3462154.75
Braydon Coburn,T.B,D,2017-18,72,3700000,3426467.5
Brendan Smith,NYR,D,2017-18,44,4350000,3338174.75
Jason Zucker,MIN,F,2017-18,82,2000000,3329457.5
Joel Ward,S.J,F,2017-18,52,3275000,3312252
Charlie Coyle,MIN,F,2017-18,66,3200000,3306351.25
Elias Lindholm,CAR,F,2017-18,81,2700000,3304324
Kevin Shattenkirk,NYR,D,2017-18,46,6650000,3260875.5
Matt Niskanen,WSH,D,2017-18,68,5750000,3248667.75
Carl Gunnarsson,STL,D,2017-18,63,2900000,3242539.25
Victor Rask,CAR,F,2017-18,71,4000000,3237084.75
Tomas Hertl,S.J,F,2017-18,79,3000000,3227191
Jamie McGinn,FLA,F,2017-18,75,3333333,3186977
Josh Anderson,CBJ,F,2017-18,63,1850000,3175640.25
Antoine Vermette,ANA,F,2017-18,64,1750000,3140781.5
Mikkel Boedker,S.J,F,2017-18,74,4000000,3093791.5
Brandon Sutter,VAN,F,2017-18,61,4375000,3076849
Ryan Murray,CBJ,D,2017-18,44,2825000,3063288.5
Damon Severson,N.J,D,2017-18,76,4166666,3054329.25
Leo Komarov,TOR,F,2017-18,74,2950000,3039140.25
Conor Sheary,PIT,F,2017-18,79,3000000,3008322
Lars Eller,WSH,F,2017-18,81,3500000,3000595.25
Radko Gudas,PHI,D,2017-18,70,3350000,2996559.75
Matt Stajan,CGY,F,2017-18,68,3125000,2992422.25
Ryan Ellis,NSH,D,2017-18,44,2500000,2980811.5
Marcus Johansson,N.J,F,2017-18,29,4583333,2949814.75
Zack Smith,OTT,F,2017-18,68,3250000,2877749.75
Boone Jenner,CBJ,F,2017-18,75,2900000,2847282.25
Ryan Strome,EDM,F,2017-18,82,2500000,2842449.25
Luca Sbisa,VGK,D,2017-18,30,3600000,2827049
Nick Jensen,DET,D,2017-18,80,812500,2807203.5
Brian Gionta,BOS,F,2017-18,20,700000,2801594
Cal Clutterbuck,NYI,F,2017-18,76,3500000,2783668.75
Dan Girardi,T.B,D,2017-18,77,3000000,2778479
Luke Schenn,ARI,D,2017-18,64,1250000,2775081.25
Michael Stone,CGY,D,2017-18,82,3500000,2753348
Derek Ryan,CAR,F,2017-18,80,1425000,2658482
Andrew Cogliano,ANA,F,2017-18,80,3000000,2636375.5
Trevor Lewis,L.A,F,2017-18,68,2000000,2628361.25
Colin Miller,VGK,D,2017-18,82,1000000,2625220.75
Vladislav Namestnikov,NYR,F,2017-18,81,1937500,2614267.25
Jannik Hansen,S.J,F,2017-18,46,2500000,2604802.75
Ryan Dzingel,OTT,F,2017-18,79,1800000,2594754.25
Zach Hyman,TOR,F,2017-18,82,2250000,2593975.5
Michael Del Zotto,VAN,D,2017-18,82,3000000,2568516.25
Thomas Vanek,CBJ,F,2017-18,80,2000000,2558954.5
Sam Gagner,VAN,F,2017-18,74,3150000,2557316.5
Matt Hunwick,PIT,D,2017-18,42,2250000,2556027
Nate Schmidt,VGK,D,2017-18,76,2225000,2554287
Melker Karlsson,S.J,F,2017-18,71,2000000,2551920.25
Cody Eakin,VGK,F,2017-18,80,3850000,2533908.5
Mark Pysyk,FLA,D,2017-18,81,2733333,2530451.25
Jean-Gabriel Pageau,OTT,F,2017-18,78,3100000,2522829
Andrew Shaw,MTL,F,2017-18,56,3900000,2515327.75
Troy Brouwer,CGY,F,2017-18,76,4500000,2494204.5
Stephen Johns,DAL,D,2017-18,74,725000,2489515.25
Cody Ceci,OTT,D,2017-18,82,2800000,2472761.5
Jacob Trouba,WPG,D,2017-18,55,2812500,2396846.5
Kevin Hayes,NYR,F,2017-18,76,2600000,2371275.25
Benoit Pouliot,BUF,F,2017-18,74,1150000,2363661.5
Micheal Ferland,CGY,F,2017-18,77,1750000,2341412
Karl Alzner,MTL,D,2017-18,82,4625000,2322827.75
Lee Stempniak,CAR,F,2017-18,37,2500000,2314934.25
Brock Nelson,NYI,F,2017-18,82,2500000,2314342.25
Joonas Donskoi,S.J,F,2017-18,66,1900000,2307871.75
Jamie Oleksiak,PIT,D,2017-18,68,964688,2299726
Radim Vrbata,FLA,F,2017-18,42,2500000,2283836.75
Mark Letestu,CBJ,F,2017-18,80,1800000,2282274
Anthony Bitetto,NSH,D,2017-18,32,612500,2272633.75
Andreas Athanasiou,DET,F,2017-18,70,1387500,2271729
Nikita Zadorov,COL,D,2017-18,76,2150000,2262197.5
Brayden McNabb,VGK,D,2017-18,76,1700000,2238184.75
Kevan Miller,BOS,D,2017-18,68,2500000,2237725.75
Riley Sheahan,PIT,F,2017-18,81,2075000,2231206.5
Radek Faksa,DAL,F,2017-18,78,2200000,2224858.75
Thomas Hickey,NYI,D,2017-18,69,2200000,2220285.25
Alexandre Burrows,OTT,F,2017-18,71,2500000,2217366.5
Tom Wilson,WSH,F,2017-18,78,2000000,2217317.5
Andy Greene,N.J,D,2017-18,81,5000000,2185508
Colin Wilson,COL,F,2017-18,55,3937500,2168625
Casey Cizikas,NYI,F,2017-18,64,3350000,2084193.88
Matt Calvert,CBJ,F,2017-18,69,2200000,2054454.88
Connor Brown,TOR,F,2017-18,82,2100000,2051389.38
Jay Beagle,WSH,F,2017-18,79,1750000,1991813.12
Ben Hutton,VAN,D,2017-18,61,2800000,1990619.12
Zack Kassian,EDM,F,2017-18,74,1950000,1984696.75
Oscar Lindberg,VGK,F,2017-18,63,1700000,1979268.12
Jussi Jokinen,VAN,F,2017-18,60,1100000,1973156.88
Ben Chiarot,WPG,D,2017-18,57,1400000,1965217.5
Derek Dorsett,VAN,F,2017-18,20,2650000,1960556.5
Johan Larsson,BUF,F,2017-18,80,1475000,1943302
Chris Kunitz,T.B,F,2017-18,82,2000000,1943271.62
Brandon Manning,PHI,D,2017-18,65,975000,1939122.62
Scottie Upshall,STL,F,2017-18,63,800000,1937551.62
Kris Versteeg,CGY,F,2017-18,24,1750000,1934557.38
Blake Comeau,COL,F,2017-18,78,2400000,1930761.75
Jesper Fast,NYR,F,2017-18,71,1850000,1916631.38
Luke Glendening,DET,F,2017-18,68,1800000,1911399.75
Sam Bennett,CGY,F,2017-18,82,1950000,1897456.75
Brad Richardson,ARI,F,2017-18,76,2083333,1893585.88
Ben Lovejoy,N.J,D,2017-18,57,2666667,1888971.38
Ian Cole,CBJ,D,2017-18,67,2100000,1840902.12
Michael Raffl,PHI,F,2017-18,76,2350000,1833171.38
David Schlemko,MTL,D,2017-18,37,2100000,1811642.38
Marcus Foligno,MIN,F,2017-18,77,2875000,1809397.88
Paul Byron,MTL,F,2017-18,82,1166667,1798587.62
Sven Andrighetto,COL,F,2017-18,50,1400000,1797223.62
Adam Larsson,EDM,D,2017-18,63,4166666,1785268
Jake McCabe,BUF,D,2017-18,53,1600000,1774116.62
Brett Ritchie,DAL,F,2017-18,70,1750000,1771321.5
Zdeno Chara,BOS,D,2017-18,73,4000000,1770141
Christian Folin,L.A,D,2017-18,65,850000,1760758.88
Tyler Ennis,MIN,F,2017-18,73,4600000,1754736.25
Antoine Roussel,DAL,F,2017-18,72,2000000,1749715.25
Gustav Olofsson,MIN,D,2017-18,41,725000,1743157.62
Taylor Chorney,CBJ,D,2017-18,25,800000,1721050.38
Johnny Oduya,PHI,D,2017-18,52,1000000,1713777.5
Jordan Martinook,ARI,F,2017-18,81,1800000,1659995.12
Dale Weise,PHI,F,2017-18,46,2350000,1649943.62
Sven Baertschi,VAN,F,2017-18,53,1850000,1649361.38
Jason Chimera,ANA,F,2017-18,74,2250000,1647153.12
Nate Thompson,L.A,F,2017-18,69,1650000,1641084.75
Francois Beauchemin,ANA,D,2017-18,67,1000000,1627664
Cody McLeod,NYR,F,2017-18,48,1333333,1617312.12
Tyler Pitlick,DAL,F,2017-18,79,1000000,1607493.38
John Moore,N.J,D,2017-18,81,1666667,1598124.25
Tobias Rieder,L.A,F,2017-18,78,2225000,1596399.12
Nick Holden,BOS,D,2017-18,73,1650000,1593544
Dennis Seidenberg,NYI,D,2017-18,28,1250000,1586033.75
Brett Connolly,WSH,F,2017-18,70,1500000,1557425.12
Michael Grabner,N.J,F,2017-18,80,1650000,1534230.38
Zemgus Girgensons,BUF,F,2017-18,71,1600000,1524477.38
Adam Pelech,NYI,D,2017-18,78,1600000,1524173.88
Matt Martin,TOR,F,2017-18,50,2500000,1522781.25
Colton Sissons,NSH,F,2017-18,81,625000,1508655.25
Bryan Rust,PIT,F,2017-18,69,640000,1496703.38
Andrej Sustr,T.B,D,2017-18,44,1950000,1491341.88
Jordan Weal,PHI,F,2017-18,69,1750000,1483445
Joel Edmundson,STL,D,2017-18,69,1050000,1468827.88
Anthony Duclair,CHI,F,2017-18,56,1200000,1451262.75
Austin Watson,NSH,F,2017-18,76,1100000,1448300.5
Shawn Matthias,WPG,F,2017-18,27,2125000,1432599
Greg Pateryn,DAL,D,2017-18,72,800000,1365286.88
Jordan Oesterle,CHI,D,2017-18,55,650000,1351112.5
Robert Bortuzzo,STL,D,2017-18,72,1150000,1347422.88
Drew Stafford,N.J,F,2017-18,59,800000,1321140.38
Fredrik Claesson,OTT,D,2017-18,64,650000,1316499
Jake Dotchin,T.B,D,2017-18,48,812500,1306892.62
Chad Ruhwedel,PIT,D,2017-18,44,650000,1298354.12
Andrew Copp,WPG,F,2017-18,82,1000000,1259866.75
Dominic Moore,TOR,F,2017-18,50,1000000,1245393.38
Nick Shore,CGY,F,2017-18,64,925000,1233117.62
Mirco Mueller,N.J,D,2017-18,28,850000,1232976.88
David Desharnais,NYR,F,2017-18,71,1000000,1231321.5
Markus Granlund,VAN,F,2017-18,53,900000,1218792.25
Jon Merrill,VGK,D,2017-18,34,1137500,1188899.75
Nail Yakupov,COL,F,2017-18,57,875000,1182516
Josh Manson,ANA,D,2017-18,80,825000,1166823.38
Chris Thorburn,STL,F,2017-18,50,900000,1158515.88
Brandon Davidson,NYI,D,2017-18,51,1425000,1156079.25
Joel Armia,WPG,F,2017-18,79,925000,1145234.25
Adam McQuaid,BOS,D,2017-18,38,2750000,1138726.88
Kevin Connauton,ARI,D,2017-18,73,1000000,1131424.62
Adam Lowry,WPG,F,2017-18,45,1125000,1129123.88
Patrick Sharp,CHI,F,2017-18,70,800000,1128270.88
Matt Nieto,COL,F,2017-18,73,1000000,1124021.5
Kyle Brodziak,STL,F,2017-18,81,950000,1117101.88
Scott Hartnell,NSH,F,2017-18,62,1000000,1087264.38
Tim Schaller,BOS,F,2017-18,82,775000,1079105.88
Patrik Nemeth,COL,D,2017-18,67,945000,1055503.88
Brad Hunt,VGK,D,2017-18,45,650000,1022098.5
Cody Franson,CHI,D,2017-18,23,1000000,1018798.06
Scott Mayfield,NYI,D,2017-18,47,625000,1014447.75
Chris Stewart,CGY,F,2017-18,54,1150000,1010873.56
Alex Biega,VAN,D,2017-18,44,750000,1008614.25
Colton Sceviour,FLA,F,2017-18,75,950000,1003526.19
Kyle Clifford,L.A,F,2017-18,50,1600000,999755.81
Deryk Engelland,VGK,D,2017-18,79,1000000,960180.94
Xavier Ouellet,DET,D,2017-18,45,1250000,925143.56
Tom Pyatt,OTT,F,2017-18,81,1100000,921521.12
Mathew Barzal,NYI,F,2017-18,82,863333,920494.56
Patrik Laine,WPG,F,2017-18,82,925000,912845.12
Noah Hanifin,CAR,D,2017-18,79,925000,911232.81
Clayton Keller,ARI,F,2017-18,82,885833,909147.75
Riley Nash,BOS,F,2017-18,76,900000,908157.44
Mikko Rantanen,COL,F,2017-18,80,894167,903891.5
Nolan Patrick,PHI,F,2017-18,73,925000,902314.25
Sam Reinhart,BUF,F,2017-18,82,894167,899686.19
Sebastian Aho,CAR,F,2017-18,78,925000,899499.31
Jack Eichel,BUF,F,2017-18,67,925000,897200.44
Trevor van Riemsdyk,CAR,D,2017-18,79,825000,895439.75
Torrey Mitchell,L.A,F,2017-18,60,1200000,894480
Mikhail Sergachev,T.B,D,2017-18,79,894166,893431
Connor McDavid,EDM,F,2017-18,82,925000,892209.56
Matthew Tkachuk,CGY,F,2017-18,68,925000,891994.25
Samuel Girard,COL,D,2017-18,72,728333,891738.25
Mark Barberio,COL,D,2017-18,45,750000,889480.94
Nico Hischier,N.J,F,2017-18,82,925000,888868.25
Kyle Connor,WPG,F,2017-18,76,925000,888153.69
Pierre-Luc Dubois,CBJ,F,2017-18,82,894166,886843.88
Brock Boeser,VAN,F,2017-18,62,925000,885655.88
Alex DeBrincat,CHI,F,2017-18,82,778333,885356.25
Charlie McAvoy,BOS,D,2017-18,63,916667,883316.19
Mitchell Marner,TOR,F,2017-18,82,894167,882993
Tommy Wingels,BOS,F,2017-18,75,750000,882780.31
Jesper Bratt,N.J,F,2017-18,74,749167,881619.38
Tyson Jost,COL,F,2017-18,64,885833,879695.88
Auston Matthews,TOR,F,2017-18,62,925000,878519.44
Scott Laughton,PHI,F,2017-18,81,962500,877120.75
William Nylander,TOR,F,2017-18,82,894167,876065.81
Timo Meier,S.J,F,2017-18,81,894167,875588.12
Kevin Fiala,NSH,F,2017-18,80,863333,874686.25
Jakob Chychrun,ARI,D,2017-18,50,925000,872626
Alex Tuch,VGK,F,2017-18,78,925000,871797.19
Kevin Labanc,S.J,F,2017-18,77,717500,871231.12
Lance Bouma,CHI,F,2017-18,53,1000000,870832.94
Christian Fischer,ARI,F,2017-18,79,821666,870831.88
Joe Morrow,WPG,D,2017-18,56,650000,870644.62
Cory Conacher,T.B,F,2017-18,36,650000,868633.88
Pavel Buchnevich,NYR,F,2017-18,74,925000,868560.5
Dylan DeMelo,S.J,D,2017-18,63,650000,868130.31
Adrian Kempe,L.A,F,2017-18,81,894167,868088.31
Derek MacKenzie,FLA,F,2017-18,74,1375000,867674.12
Travis Konecny,PHI,F,2017-18,81,894167,867593.38
Nikolaj Ehlers,WPG,F,2017-18,82,894167,866482.44
Vince Dunn,STL,D,2017-18,75,722500,865618.12
Shea Theodore,VGK,D,2017-18,61,863333,865020.81
Will Butcher,N.J,D,2017-18,81,925000,864238.12
Yohann Auvitu,EDM,D,2017-18,33,700000,864189
Jake DeBrusk,BOS,F,2017-18,70,863333,863668.56
