player,team,position,season,games_played,cap_hit,projected_cap_hit
Evgeni Malkin,PIT,F,2017-18,78,9500000,9515936
Jonathan Toews,CHI,F,2017-18,74,10500000,9434531
Anze Kopitar,L.A,F,2017-18,82,10000000,9428563
Patrick Kane,CHI,F,2017-18,82,10500000,9291658
Sidney Crosby,PIT,F,2017-18,82,8700000,8868590
Ryan Getzlaf,ANA,F,2017-18,56,8250000,8784231
Corey Perry,ANA,F,2017-18,71,8625000,8486316
Steven Stamkos,T.B,F,2017-18,78,8500000,8474787
Leon Draisaitl,EDM,F,2017-18,78,8500000,8386057.5
Phil Kessel,PIT,F,2017-18,82,8000000,8334911.5
Nikita Kucherov,T.B,F,2017-18,80,4766667,8152100.5
Brent Burns,S.J,D,2017-18,82,8000000,8063550
Shea Weber,MTL,D,2017-18,26,7857143,7956530
Rick Nash,BOS,F,2017-18,71,7800000,7939425.5
Victor Hedman,T.B,D,2017-18,77,7875000,7916228
Dustin Byfuglien,WPG,D,2017-18,69,7600000,7816590
Joe Thornton,S.J,F,2017-18,47,8000000,7797303
David Krejci,BOS,F,2017-18,64,7250000,7769073
Zach Parise,MIN,F,2017-18,42,7538462,7750265.5
Alex Ovechkin,WSH,F,2017-18,82,9538462,7745699
Claude Giroux,PHI,F,2017-18,82,8275000,7704611
Patrice Bergeron,BOS,F,2017-18,64,6875000,7684949
Paul Stastny,WPG,F,2017-18,82,7000000,7567672
Vladimir Tarasenko,STL,F,2017-18,80,7500000,7502914.5
Evgeny Kuznetsov,WSH,F,2017-18,79,7800000,7446904
Aleksander Barkov,FLA,F,2017-18,78,5900000,7421871
Ryan Kesler,ANA,F,2017-18,44,6875000,7386536
Ryan O'Reilly,BUF,F,2017-18,81,7500000,7372835.5
Ryan Suter,MIN,D,2017-18,78,7538462,7170038
Drew Doughty,L.A,D,2017-18,82,7000000,7163297
Kris Letang,PIT,D,2017-18,79,7250000,7094233.5
P.K. Subban,NSH,D,2017-18,82,9000000,7085423.5
Joe Pavelski,S.J,F,2017-18,82,6000000,7070802
Jason Spezza,DAL,F,2017-18,77,7500000,7054375.5
Brad Marchand,BOS,F,2017-18,68,6125000,6923898.5
Alexander Edler,VAN,D,2017-18,70,5000000,6820794.5
Henrik Sedin,VAN,F,2017-18,82,7000000,6816305.5
Bobby Ryan,OTT,F,2017-18,62,7250000,6793574.5
Ryan Johansen,NSH,F,2017-18,79,8000000,6787414
Derick Brassard,PIT,F,2017-18,72,5000000,6753868
Keith Yandle,FLA,D,2017-18,81,6350000,6716432.5
Johnny Gaudreau,CGY,F,2017-18,80,6750000,6709585.5
