player,position,team,age,shoots_catches,season,games_played,cap_hit,type,diff_all_corsi_percentage,diff_5on5_corsi_percentage,diff_4on5_corsi_percentage,diff_5on4_corsi_percentage,diff_all_shots_on_goal,diff_all_goals,diff_all_high_danger_shots,diff_all_high_danger_goals,diff_5on5_shots_on_goal,diff_5on5_goals,diff_5on5_high_danger_shots,diff_5on5_high_danger_goals,all_i_f_shots_on_goal,x5on5_i_f_shots_on_goal,x4on5_i_f_shots_on_goal,x5on4_i_f_shots_on_goal,all_i_f_goals,x5on5_i_f_goals,x4on5_i_f_goals,x5on4_i_f_goals,all_i_f_hits,x5on5_i_f_hits,x4on5_i_f_hits,x5on4_i_f_hits,all_i_f_takeaways,x5on5_i_f_takeaways,x4on5_i_f_takeaways,x5on4_i_f_takeaways,all_i_f_giveaways,x5on5_i_f_giveaways,x4on5_i_f_giveaways,x5on4_i_f_giveaways,all_i_f_high_danger_shots,x5on5_i_f_high_danger_shots,x4on5_i_f_high_danger_shots,x5on4_i_f_high_danger_shots,all_i_f_high_danger_goals,x5on5_i_f_high_danger_goals,x4on5_i_f_high_danger_goals,x5on4_i_f_high_danger_goals,all_faceoffs_won,x5on5_faceoffs_won,x4on5_faceoffs_won,x5on4_faceoffs_won,all_faceoffs_lost,x5on5_faceoffs_lost,x4on5_faceoffs_lost,x5on4_faceoffs_lost,all_shots_blocked_by_player,x5on5_shots_blocked_by_player,x4on5_shots_blocked_by_player,x5on4_shots_blocked_by_player,all_assists,x5on5_assists,x4on5_assists,x5on4_assists,all_diff_penalty_minutes,x5on5_diff_penalty_minutes,x4on5_diff_penalty_minutes,x5on4_diff_penalty_minutes,std_all_icetime,std_5on5_icetime,std_5on4_icetime,std_4on5_icetime,std_power_play_goals,std_shorthanded_goals,std_power_play_assists,std_shorthanded_assists,std_plus_minus
Connor McDavid,F,EDM,24,L,2021-22,80,12500000,Standard (1-way),0.15999999999999998,0.06999999999999995,0.15,0.04000000000000003,17.742026850960176,2.719084574859797,3.534809947317736,1.5974621877301307,9.385964912280702,1.0087719298245612,1.4035087719298245,0.2631578947368421,10.706395513510452,9.078947368421053,0,15.570752235665438,1.4954965161728886,0.9649122807017544,0,2.1041557075223567,2.5491417889310597,2.850877192982456,0,1.262493424513414,2.481164674559565,2.8947368421052633,3.438395415472779,0.21041557075223566,2.311221888630828,2.1052631578947367,0,3.3666491320357705,1.835382088030363,1.4473684210526316,0,1.893740136770121,0.7477482580864443,0.3508771929824561,0,1.0520778537611783,19.101569138390076,23.464912280701753,13.753581661891117,2.7354024197790636,16.450461677901774,19.298245614035086,37.82234957020057,1.0520778537611783,0.883702486829434,1.0964912280701753,0,0,2.6850960176740495,1.5789473684210527,3.438395415472779,6.31246712256707,69,55,6,0,2.1248495093008732,1.9954877135711773,3.2740597185146307,-0.47452895096445974,3.135073387756843,-0.34627365976938823,6.6986675057219145,3.183761316559526,2.670948256711477
Artemi Panarin,F,NYR,29,R,2021-22,75,11642857,Standard (1-way),0.12999999999999995,0.02000000000000001,0.92,-0.02000000000000001,8.323603195338782,2.746789054461798,2.4138449266482467,1.2485404793008172,-1.7657751233445858,0.8828875616722929,-0.25967281225655675,-0.1038691249026227,7.366388827874822,6.18021293170605,97.2972972972973,10.53279950723745,0.9155963514872659,0.6751493118670475,0,1.108715737603942,0.9155963514872659,1.0906258114775382,0,0.2771789344009855,2.330608894694859,2.4928589976629447,0,0.8315368032029566,2.954879134345268,2.648662685016879,0,3.603326147212812,0.6658882556271025,0.15580368735393405,0,1.108715737603942,0.37456214379024516,0.1038691249026227,0,0.8315368032029566,0.04161801597669391,0.05193456245131135,0,0,0.04161801597669391,0,0,0,0.5826522236737147,0.5193456245131135,0,0,3.079733182275349,1.8177096857958972,0,8.315368032029566,16,16,0,0,1.4775983636861623,1.45710488563837,2.2971124650973964,-0.7828720018259251,1.8062247557211653,-0.34627365976938823,5.954557257062557,-0.39674348418597355,2.0107171757092264
Auston Matthews,F,TOR,23,L,2021-22,73,11640250,Standard (1-way),0.15000000000000002,0.08999999999999997,0.55,0.01,17.98604187437687,2.6321036889332006,2.59222333000997,1.036889332003988,11.402331917954108,1.3941715882214631,1.6431308004038672,0.19916736974592328,13.878364905284148,12.149209554501322,0,19.77715877437326,2.3928215353938183,1.8920900125862714,0,3.8997214484679668,2.6719840478564305,2.9875105461888496,31.718061674008812,0.2785515320334262,3.668993020937188,3.9833473949184657,0,0.8356545961002786,1.914257228315055,1.941881855022752,0,1.1142061281337048,1.5952143569292123,0.9460450062931357,0,3.62116991643454,0.7577268195413759,0.19916736974592328,0,2.5069637883008355,27.557328015952145,31.31906889254644,95.15418502202644,5.2924791086350975,21.455633100697906,23.70091699976487,206.16740088105726,1.392757660167131,2.4725822532402795,2.6389676491334835,0,0,1.834496510468594,1.3941715882214631,0,3.064066852367688,8,8,0,-2,1.603235154530363,1.5829469147657453,2.2819402680047722,-0.7248668734460455,5.12834633581036,-0.34627365976938823,2.047978451600934,-0.39674348418597355,1.916398449851762
Erik Karlsson,D,SJS,31,R,2021-22,50,11500000,Standard (1-way),0.09000000000000002,0.04999999999999999,0.11,0.02000000000000001,4.345911860362728,-0.20451349931118717,0.20451349931118717,-0.40902699862237435,2.3024632702287846,0.1315693297273591,-0.06578466486367955,-0.1315693297273591,5.982019854852225,5.789050508003801,0.8598041557200861,8.016825436100458,0.511283748277968,0.46049265404575684,0,0,0.9203107469003423,0.9867699729551933,0.8598041557200861,0.44537919089446987,2.6586754910454333,2.9603099188655797,2.579412467160258,0.44537919089446987,3.221087614151198,3.420802572911337,2.579412467160258,2.2268959544723494,0.051128374827796794,0.06578466486367955,0,0,0.051128374827796794,0.06578466486367955,0,0,0,0,0,0,0,0,0,0,2.3007768672508555,2.762955924274541,0,0.8907583817889397,1.2782093706949198,0.8552006432278343,0,4.008412718050229,8,6,0,2,0.9412502701114236,0.8414365741784584,1.1343057972955193,0.4840821180503929,-0.5192603503412712,-0.34627365976938823,1.303868202941577,-0.39674348418597355,-1.2904382293020276
Drew Doughty,D,LAK,31,R,2021-22,39,11000000,Standard (1-way),0.04999999999999993,0.03999999999999992,-0.05,0.04000000000000003,10.461293215104115,0.05977881837202351,0.5380093653482116,0.23911527348809403,10.33605220228385,0.15660685154975532,0.31321370309951063,0.31321370309951063,5.918103018830328,4.854812398042415,3.1088082901554404,12.71725307333616,0.4184517286041646,0.15660685154975532,0,2.0347604917337856,3.586729102321411,4.306688417618271,1.5544041450777202,0.5086901229334464,0.5380093653482116,0.3915171288743883,0,2.0347604917337856,1.4346916409285644,1.566068515497553,1.5544041450777202,0.5086901229334464,0.23911527348809403,0,0,1.0173802458668928,0.17933645511607055,0,0,1.0173802458668928,0,0,0,0,0,0,0,0,3.1682773737172463,2.740619902120718,0,7.121661721068249,1.4346916409285644,1.0962479608482871,0,4.578211106401017,-22,-20,0,0,0.6016075898483402,0.4723477666573699,0.8958178242458374,0.6199362345190583,0.8095882816944069,-0.34627365976938823,1.1178406407767376,-0.39674348418597355,0.40729883613233153
John Tavares,F,TOR,30,L,2021-22,79,11000000,Standard (1-way),0.07999999999999996,-0.02000000000000001,-0.22,0.01,11.219665931295305,1.6808488286584726,2.3952095808383236,0.7563819728963126,0.9545273763754474,-0.21211719475009944,0.7954394803128729,-0.10605859737504972,9.95902930980145,8.060453400503778,0,16.87751153445453,1.134572959344469,0.7954394803128729,0,2.4110730763506476,3.781909864481563,4.401431791064563,0,1.3394850424170264,1.6808488286584726,1.7499668566883202,0,1.071588033933621,2.731379346570018,2.916611427813867,0,1.6073820509004317,1.7648912700913963,1.3787617658756464,0,2.143176067867242,0.46223342788107996,0.3181757921251491,0,0.8036910254502159,34.163252442483454,32.45393079676521,88.88888888888889,40.98824229796101,22.2292257590083,20.94657298157232,755.5555555555555,0.26789700848340525,1.8489337115243198,2.0681426488134695,0,0,2.059039815106629,1.2727031685005965,0,4.0184551272510785,4,4,2,-6,1.4499309356148735,1.3967361482326461,2.403791975904908,-0.7694392352537425,3.135073387756843,-0.34627365976938823,2.6060611380954515,-0.39674348418597355,-0.7245258741572412
Mitchell Marner,F,TOR,24,R,2021-22,72,10903000,Standard (1-way),0.08999999999999997,0.05999999999999994,-0.01999999999999999,-0.02000000000000001,11.732103664619682,1.7558250382424014,2.6337375573636024,0.9178176336267099,8.215222689662667,1.3412608472918641,1.732461927751991,0.39120108046012697,8.938745649234043,7.20927705419377,8.66738894907909,14.77855845898792,1.3966790076928193,1.229489110017542,0.866738894907909,1.4210152364411464,2.992883587913184,3.688467330052626,1.3001083423618636,1.136812189152917,2.873168244396657,3.0178369064066937,6.067172264355363,0.28420304728822926,2.514022213847075,2.738407563220889,3.0335861321776814,1.136812189152917,1.2370585496707827,0.726516292283093,0.866738894907909,1.7052182837293757,0.6384818320881459,0.39120108046012697,0.4333694474539545,0.8526091418646878,0.3990511450550912,0.16765760591148302,1.733477789815818,0,0.31924091604407295,0.055885868637161,0,1.4210152364411464,1.2370585496707827,1.229489110017542,0.866738894907909,1.136812189152917,2.4741170993415653,2.1795488768492786,0.4333694474539545,4.831451803899897,12,8,2,2,1.6013684364918181,1.2503493426436443,2.2210144140547046,1.7418775334456775,1.4740125977122458,4.566964823847376,3.3501713867548086,3.183761316559526,2.1993546274241553
Patrick Kane,F,CHI,32,L,2021-22,78,10500000,Standard (1-way),0.15000000000000008,0.03999999999999998,-0.08,0.05999999999999994,8.494805792447103,0.669714979487531,0.14099262726053283,0.17624078407566604,0,-0.08960238939705059,-0.22400597349262646,-0.26880716819115175,10.116221005943231,7.661004293447824,0,18.009534459419694,0.9164520771934634,0.6720179204778794,0,1.9068918839385558,0.3877297249664653,0.35840955758820237,0,0.4237537519863457,1.4804225862355946,1.5680418144483852,0,0.6356306279795186,1.7271596839415273,1.7920477879410117,0,1.6950150079453827,0.5992186658572646,0.44801194698525293,0,1.0593843799658642,0.24673709770593247,0.08960238939705059,0,0.8475075039726914,0.14099262726053283,0.17920477879410118,0,0,0.14099262726053283,0.13440358409557587,0,0,0.9164520771934634,0.8960238939705059,0,0,2.3263783497987918,1.52324061974986,0,3.6019068918839383,12,18,0,-2,1.9986793704456596,1.9227161747697283,3.2460859801251054,-0.7587540800258699,2.4706490717390044,-0.34627365976938823,3.536198948919648,-0.39674348418597355,-1.7620318585893495
Jonathan Toews,F,CHI,33,L,2021-22,71,10500000,Standard (1-way),0.04999999999999999,0.02999999999999997,-0.03999999999999999,0.02000000000000001,-1.7408825307273825,-0.5802941769091275,0.19343139230304252,-0.2901470884545638,-3.9100180405728797,-0.26508596885239866,0.795257906557196,0.26508596885239866,6.044731009470079,5.83189131475277,3.9173014145810665,6.916110145457872,0.5802941769091275,0.4639004454916976,0.6528835690968444,1.317354313420547,1.2089462018940156,1.192886859835794,0.6528835690968444,0.9880157350654103,2.32117670763651,2.5845881963108868,3.2644178454842216,0.6586771567102735,1.6441668345758613,1.6567873053274917,1.3057671381936888,2.3053700484859574,0.5802941769091275,0.5301719377047973,0,0.9880157350654103,0.24178924037880317,0.198814476639299,0,0.6586771567102735,38.10598428369937,32.93693162991053,61.37105549510338,42.81401518616778,26.500100745516825,24.18909465778138,37.21436343852013,27.993779160186627,1.063872657666734,0.9940723831964949,0,1.9760314701308206,1.2089462018940156,1.3254298442619934,0,0.9880157350654103,-10,-6,-4,0,1.0757206373880237,0.8244776416577729,1.809468567917282,0.8892021462614469,0.8095882816944069,1.2914725014361998,0.0016752677877021377,-0.39674348418597355,-1.2904382293020276
Jack Eichel,F,VGK,24,R,2021-22,34,10000000,Standard (1-way),0.04999999999999993,-0.04000000000000003,-0.02,0.02000000000000001,9.919360954523622,1.4560529841502565,0,0,2.391950895399608,0.6834145415427451,0,0.1139024235904575,12.103440430749009,11.276339935455294,0,13.228346456692913,1.2740463611314745,1.139024235904575,0,1.889763779527559,4.095149017922596,4.897804214389673,0,0,2.275082787734776,2.6197557425805225,0,0,2.63909603377234,2.505853318990065,0,4.409448818897638,0.9100331150939104,0.6834145415427451,0,1.2598425196850394,0.18200662301878207,0.1139024235904575,0,0.6299212598425197,16.74460931772795,16.288046573435423,0,15.118110236220472,17.745645744331252,18.566095045244573,87.8048780487805,0.6299212598425197,3.185115902828686,3.758779978485098,0,0,1.0010364266033014,0.5695121179522875,0,3.1496062992125986,8,4,0,0,-0.08717803212399187,-0.13382860495887433,0.5729345048684356,-0.7691339451043746,0.47737612368548726,-0.34627365976938823,0.3737303921173806,-0.39674348418597355,0.3129801102748672
