player,team,position,season,games_played,cap_hit,projected_cap_hit,projected_percent_cap_hit
Erik Karlsson,S.J,D,2020-21,52,11500000,7922692.52,0.09721095114946365
Claude Giroux,PHI,F,2015-16,78,8275000,7905114.43,0.11071588844060898
Ryan Getzlaf,ANA,F,2017-18,56,8250000,7904850.51,0.10539800673723221
Evgeni Malkin,PIT,F,2020-21,33,9500000,7875457.3,0.09663137793540955
Patrick Kane,CHI,F,2015-16,82,10500000,7855191.57,0.11001668870449066
Evgeni Malkin,PIT,F,2016-17,62,9500000,7854688.76,0.10759847611188889
Patrick Kane,CHI,F,2016-17,82,10500000,7846480.33,0.10748603194952011
Sidney Crosby,PIT,F,2010-11,41,8700000,7826729.06,0.13176311552524567
Brent Burns,SJS,D,2021-22,82,8000000,7823132.95,0.09598936140537262
Ryan Getzlaf,ANA,F,2018-19,67,8250000,7819007.7,0.09835229814052582
Steven Stamkos,TBL,F,2021-22,81,8500000,7818958.91,0.09593814611434937
Ryan Suter,MIN,D,2018-19,82,7538462,7779954.19,0.09786105901002884
Alex Ovechkin,WSH,F,2010-11,79,9538462,7775765.11,0.1309051364660263
Alex Ovechkin,WSH,F,2016-17,81,9538462,7756211.6,0.10624947398900986
Sidney Crosby,PIT,F,2015-16,80,8700000,7748856.33,0.10852739959955215
Sidney Crosby,PIT,F,2013-14,80,8700000,7745658.72,0.12046125531196594
Claude Giroux,PHI,F,2019-20,69,8275000,7725596.05,0.09479258954524994
Ryan O'Reilly,STL,F,2018-19,82,7500000,7724567.42,0.09716437011957169
Brent Burns,S.J,D,2017-18,82,8000000,7724417.19,0.1029922291636467
Claude Giroux,PHI,F,2017-18,82,8275000,7707975.8,0.10277301073074341
Ryan Getzlaf,ANA,F,2019-20,69,8250000,7688265.23,0.09433454275131226
Claude Giroux,PHI,F,2016-17,82,8275000,7665182.51,0.1050025001168251
Dustin Byfuglien,WPG,D,2016-17,80,7600000,7644163.79,0.10471457242965698
Steven Stamkos,T.B,F,2018-19,82,8500000,7642458.09,0.09613154828548431
John Carlson,WSH,D,2019-20,69,8000000,7638955.75,0.09372951835393906
John Carlson,WSH,D,2021-22,78,8000000,7631361.82,0.09363634139299393
Evgeny Kuznetsov,WSH,F,2021-22,79,7800000,7607503.45,0.09334360063076019
Patrice Bergeron,BOS,F,2021-22,73,6875000,7602453.18,0.09328163415193558
Claude Giroux,FLA,F,2021-22,75,8275000,7594944.27,0.09318950027227402
John Tavares,TOR,F,2019-20,63,11000000,7586162.02,0.09308174252510071
Ryan O'Reilly,BUF,F,2017-18,81,7500000,7582505.98,0.10110007971525192
Kris Letang,PIT,D,2019-20,61,7250000,7574211.27,0.09293510764837265
Tyler Seguin,DAL,F,2021-22,81,9850000,7534376.88,0.09244634211063385
Ryan Suter,MIN,D,2019-20,69,7538462,7520291.75,0.0922735184431076
Sebastian Aho,CAR,F,2020-21,56,8460250,7520019.11,0.09227017313241959
Nathan MacKinnon,COL,F,2021-22,65,6300000,7519074.27,0.09225858002901077
Mitchell Marner,TOR,F,2021-22,72,10903000,7512878.78,0.09218256175518036
Victor Hedman,TBL,D,2021-22,82,7875000,7510055.2,0.09214791655540466
Ryan Suter,MIN,D,2015-16,82,7538462,7506893.9,0.10513857007026672
Kyle Connor,WPG,F,2021-22,79,7142857,7505849.58,0.09209631383419037
Gabriel Landeskog,COL,F,2020-21,54,5571429,7489310.06,0.09189337491989136
Mark Stone,VGK,F,2021-22,37,9500000,7483812.87,0.0918259248137474
Steven Stamkos,T.B,F,2019-20,57,8500000,7481368.8,0.09179593622684479
John Tavares,TOR,F,2021-22,79,11000000,7473694.12,0.09170176833868027
Ryan O'Reilly,STL,F,2019-20,71,7500000,7449633.54,0.09140654653310776
Patrice Bergeron,BOS,F,2020-21,54,6875000,7446925.33,0.09137331694364548
Steven Stamkos,T.B,F,2020-21,38,8500000,7443008.14,0.09132525324821472
Victor Hedman,T.B,D,2020-21,54,7875000,7438781.27,0.09127338975667953
Anze Kopitar,L.A,F,2016-17,76,10000000,7434943.62,0.1018485426902771
Evgeni Malkin,PIT,F,2015-16,57,9500000,7430754.42,0.1040721908211708
Alexander Radulov,DAL,F,2018-19,70,6250000,7403567.86,0.09312663972377777
Dustin Byfuglien,WPG,D,2018-19,42,7600000,7397944.95,0.09305591136217117
Sidney Crosby,PIT,F,2014-15,77,8700000,7397778.09,0.10721417516469955
Ryan Getzlaf,ANA,F,2016-17,76,8250000,7375851.34,0.10103905946016312
Jamie Benn,DAL,F,2017-18,81,9500000,7352888.21,0.09803850948810577
Claude Giroux,PHI,F,2020-21,54,8275000,7351323.64,0.09020029008388519
Ryan Suter,MIN,D,2017-18,78,7538462,7346612.96,0.09795483946800232
Patrice Bergeron,BOS,F,2019-20,61,6875000,7345631.54,0.09013044834136963
Kris Letang,PIT,D,2020-21,55,7250000,7339790.06,0.09005877375602722
Matt Duchene,NSH,F,2021-22,78,8000000,7334006.27,0.08998780697584152
Sidney Crosby,PIT,F,2011-12,22,8700000,7330613.92,0.11400643736124039
Cale Makar,COL,D,2021-22,77,9000000,7325772.33,0.08988677710294724
Evgeni Malkin,PIT,F,2010-11,43,8700000,7321400.08,0.1232558935880661
Aleksander Barkov,FLA,F,2020-21,50,5900000,7310048.31,0.08969384431838989
Aaron Ekblad,FLA,D,2020-21,35,7500000,7308117.34,0.08967015147209167
Kris Letang,PIT,D,2018-19,65,7250000,7307895.55,0.09192321449518204
Nathan MacKinnon,COL,F,2018-19,82,6300000,7303271.89,0.09186505526304245
Evgeni Malkin,PIT,F,2013-14,60,8700000,7298569.73,0.11350808292627335
Ryan Suter,MIN,D,2014-15,77,7538462,7293072.34,0.10569670051336288
Joe Pavelski,DAL,F,2021-22,82,7000000,7280461.4,0.08933081477880478
Gabriel Landeskog,COL,F,2021-22,51,7000000,7279387.84,0.08931764215230942
Jonathan Toews,CHI,F,2021-22,71,10500000,7276601.29,0.08928345143795013
John Carlson,WSH,D,2020-21,52,8000000,7245988.18,0.08890783041715622
Nathan MacKinnon,COL,F,2019-20,69,6300000,7242861.59,0.08886946737766266
Evgeni Malkin,PIT,F,2011-12,75,8700000,7239543.23,0.11259009689092636
Sebastian Aho,CAR,F,2019-20,68,8454000,7239065.24,0.08882288634777069
John Tavares,TOR,F,2020-21,56,11000000,7235562.17,0.08877990394830704
Brent Burns,S.J,D,2015-16,82,5760000,7233644.11,0.10131154209375381
Brent Burns,S.J,D,2016-17,81,5760000,7232682,0.09907783567905426
Joe Thornton,S.J,F,2017-18,47,8000000,7228530.94,0.09638041257858276
Drew Doughty,L.A,D,2018-19,82,7000000,7222686.01,0.09085139632225037
Jason Spezza,DAL,F,2014-15,82,7000000,7219561.06,0.10463131964206696
Nikita Kucherov,T.B,F,2019-20,68,9500000,7216066.08,0.0885406881570816
Mark Stone,VGK,F,2020-21,55,9500000,7214949.4,0.08852698653936386
Steven Stamkos,T.B,F,2017-18,78,8500000,7214369.44,0.09619159251451492
