player,team,position,season,games_played,cap_hit,projected_cap_hit,projected_percent_cap_hit
Filip Forsberg,NSH,F,2016-17,82,6000000,4830149.44,0.06616643071174622
Erik Johnson,COL,D,2016-17,46,6000000,4826999.76,0.06612328439950943
Valtteri Filppula,PHI,F,2016-17,79,5000000,4825927.75,0.066108599305152893
Mikael Granlund,NSH,F,2020-21,51,3750000,4821976.72,0.059165358543395996
Aleksander Barkov,FLA,F,2016-17,60,5900000,4820558.44,0.06603504717350006
Jeff Skinner,CAR,F,2015-16,82,5725000,4820124.19,0.0675087422132492
Marcus Johansson,BOS,F,2018-19,58,4583333,4819594.06,0.06062382459640503
Josh Bailey,NYI,F,2018-19,82,5000000,4817382.92,0.06059601157903671
Ryan Kesler,VAN,F,2011-12,77,5000000,4816697.19,0.0749097540974617
Wayne Simmonds,BUF,F,2019-20,68,5000000,4813839.03,0.05906550958752632
Mika Zibanejad,NYR,F,2017-18,72,5350000,4811932.71,0.0641591027379036
Drake Batherson,OTT,F,2021-22,46,4975000,4811188.81,0.05903299152851105
Kyle Turris,NSH,F,2018-19,55,6000000,4810963.64,0.06051526591181755
Andrej Sekera,EDM,D,2016-17,79,5500000,4810115.17,0.06589198857545853
Tyler Bertuzzi,DET,F,2021-22,68,4750000,4809779.75,0.059015702456235886
Johnny Boychuk,NYI,D,2014-15,72,3366667,4808122.4,0.06968293339014053
John Carlson,WSH,D,2016-17,71,3966667,4808059.8,0.06586383283138275
Nate Schmidt,WPG,D,2021-22,77,5950000,4806020.44,0.05896957591176033
Nick Foligno,TOR,F,2020-21,49,5500000,4804166.89,0.05894683301448822
Anders Lee,NYI,F,2021-22,76,7000000,4801194.54,0.05891036242246628
Ryan McDonagh,T.B,D,2019-20,50,6750000,4799677.09,0.058891743421554565
Rasmus Ristolainen,BUF,D,2020-21,49,5400000,4799671.32,0.058891672641038895
Jordan Eberle,EDM,F,2013-14,80,6000000,4798573.88,0.07462789863348007
Jordan Eberle,NYI,F,2018-19,78,6000000,4797914.8,0.06035112962126732
Jaden Schwartz,STL,F,2020-21,40,5350000,4797783.47,0.05886850878596306
Erik Johnson,COL,D,2018-19,80,6000000,4795596.46,0.06032196804881096
Jakob Silfverberg,ANA,F,2019-20,66,5250000,4795222.81,0.05883708968758583
Duncan Keith,CHI,D,2010-11,82,5538462,4794566.63,0.08071660995483398
Jason Pominville,BUF,F,2017-18,82,5600000,4794112.22,0.0639214962720871
Ben Chiarot,FLA,D,2021-22,74,3500000,4791367.86,0.05878978967666626
Alex Iafallo,LAK,F,2021-22,79,4000000,4787529,0.05874268710613251
Jaccob Slavin,CAR,D,2018-19,82,5300000,4786865.94,0.0602121502161026
Jake Muzzin,L.A,D,2017-18,74,4000000,4786841.2,0.06382454931735992
Samuel Girard,COL,D,2020-21,48,5000000,4786391.98,0.05872873589396477
Jean-Gabriel Pageau,NYI,F,2021-22,77,5000000,4781882.14,0.058673400431871414
Tomas Tatar,MTL,F,2018-19,80,5300000,4775597.92,0.06007041409611702
Zdeno Chara,BOS,D,2017-18,73,4000000,4774613.68,0.06366151571273804
Anton Stralman,T.B,D,2014-15,82,4500000,4772731.93,0.0691700279712677
Logan Couture,S.J,F,2013-14,65,2875000,4772174.12,0.07421732693910599
Nick Bonino,SJS,F,2021-22,80,2050000,4771547.21,0.05854659155011177
Kevin Shattenkirk,NYR,D,2018-19,73,6650000,4770198.02,0.060002490878105164
William Nylander,TOR,F,2018-19,54,10277778,4769085.35,0.05998849496245384
Nick Foligno,CBJ,F,2017-18,72,5500000,4769036.36,0.06358715146780014
TJ Brodie,TOR,D,2020-21,56,5000000,4767229.86,0.05849361792206764
Mark Scheifele,WPG,F,2016-17,79,6125000,4764732.24,0.0652703046798706
Jonathan Drouin,MTL,F,2017-18,77,5500000,4759120.01,0.06345493346452713
Mattias Ekholm,NSH,D,2017-18,81,3750000,4757079.85,0.06342773139476776
Valtteri Filppula,DET,F,2019-20,70,3000000,4755766.41,0.058352962136268616
Max Pacioretty,MTL,F,2015-16,82,4500000,4755676.38,0.06660611182451248
Paul Stastny,COL,F,2010-11,74,6600000,4753610.83,0.08002711832523346
Bryan Little,WPG,F,2017-18,82,4700000,4751006.33,0.0633467510342598
Andrej Sekera,EDM,D,2015-16,81,5500000,4748890.56,0.06651107221841812
Ryan Suter,NSH,D,2011-12,79,3500000,4748533.34,0.07384966313838959
Shea Weber,NSH,D,2010-11,82,4500000,4747489.28,0.07992406189441681
Jack Johnson,CBJ,D,2015-16,60,4357143,4745052.38,0.06645731627941132
Alex Goligoski,DAL,D,2015-16,82,4600000,4740927.48,0.06639954447746277
Frans Nielsen,DET,F,2016-17,79,5250000,4739356.4,0.06492269039154053
Brent Seabrook,CHI,D,2011-12,78,5800000,4735691.81,0.07364995032548904
Cam Atkinson,CBJ,F,2017-18,65,3500000,4733731.78,0.06311642378568649
Valtteri Filppula,PHI,F,2017-18,81,5000000,4727330.25,0.06303106993436813
Mats Zuccarello,NYR,F,2015-16,81,4500000,4725676.39,0.06618594378232956
Evander Kane,WPG,F,2013-14,63,5250000,4724295.63,0.07347271591424942
Anthony Mantha,WSH,F,2020-21,56,5700000,4720672.61,0.05792236328125
Derek Stepan,ARI,F,2019-20,70,6500000,4719076.52,0.057902779430150986
Rickard Rakell,PIT,F,2021-22,70,3789444,4719063.47,0.05790261924266815
Justin Williams,CAR,F,2017-18,82,4500000,4718885.76,0.06291847676038742
Dmitry Orlov,WSH,D,2019-20,69,5100000,4717785.27,0.05788693577051163
TJ Brodie,CGY,D,2018-19,79,4650400,4713738.86,0.05929231271147728
Kyle Okposo,BUF,F,2018-19,78,6000000,4711829.22,0.0592682920396328
Mark Streit,PIT,D,2016-17,68,5250000,4710973.92,0.06453388929367065
Devon Toews,COL,D,2020-21,53,4100000,4710739.06,0.05780047923326492
Paul Stastny,WPG,F,2021-22,71,3750000,4710421.78,0.05779658630490303
Jaccob Slavin,CAR,D,2020-21,52,5300000,4709757.18,0.0577884316444397
Tom Wilson,WSH,F,2019-20,68,5166666,4707528.67,0.05776108801364899
Hampus Lindholm,BOS,D,2021-22,71,5205556,4706228.91,0.05774514004588127
John Klingberg,DAL,D,2015-16,76,4250000,4704444.87,0.06588858366012573
Corey Perry,DAL,F,2019-20,57,1500000,4703372.54,0.05771009251475334
Hampus Lindholm,ANA,D,2018-19,76,5205556,4702352.97,0.05914909392595291
Kris Letang,PIT,D,2013-14,37,3500000,4701322.2,0.07311543077230453
Shayne Gostisbehere,PHI,D,2017-18,78,4500000,4697504.08,0.06263338774442673
Nick Leddy,NYI,D,2017-18,80,5500000,4695947.84,0.0626126378774643
John Klingberg,DAL,D,2019-20,58,4250000,4693099.55,0.057584043592214584
Mike Fisher,NSH,F,2016-17,72,4400000,4692757.33,0.06428434699773788
William Karlsson,VGK,F,2019-20,63,5900000,4691766.7,0.05756768956780434
Rickard Rakell,ANA,F,2017-18,77,3789444,4690461.05,0.0625394806265831
Charlie McAvoy,BOS,D,2020-21,51,4900000,4688450.66,0.057527001947164536
Joe Pavelski,S.J,F,2010-11,74,4000000,4686822.09,0.0789027288556099
Jake Muzzin,TOR,D,2019-20,53,4000000,4685827.46,0.057494815438985825
Claude Giroux,PHI,F,2012-13,48,3750000,4684374.33,0.07807290554046631
Kyle Turris,NSH,F,2019-20,62,6000000,4680984.86,0.05743539705872536
Oscar Klefbom,EDM,D,2018-19,61,4167000,4680380.81,0.05887271463871002
Damon Severson,N.J,D,2020-21,56,4166666,4678143.67,0.05740053579211235
Tyler Myers,WPG,D,2015-16,73,5500000,4678037.81,0.06551873683929443
Ryan Nugent-Hopkins,EDM,F,2017-18,62,6000000,4675951.41,0.062346018850803375
Kyle Palmieri,NYI,F,2020-21,51,4650000,4674325.15,0.057353682816028595
Ondrej Palat,TBL,F,2021-22,77,5300000,4665068.65,0.05724010616540909
Brandon Saad,CHI,F,2017-18,82,6000000,4664506.2,0.06219341605901718
Mikael Granlund,NSH,F,2019-20,63,5750000,4661768.7,0.057199615985155106
Jordan Eberle,EDM,F,2014-15,81,6000000,4657503.27,0.0675000473856926
Ryan Strome,NYR,F,2020-21,56,4500000,4654150.49,0.0571061410009861
Paul Stastny,COL,F,2011-12,79,6600000,4652973.74,0.07236351072788239
Patrik Laine,CBJ,F,2020-21,46,6750000,4652688.6,0.057088203728199005
Neal Pionk,WPG,D,2021-22,77,5875000,4651471.73,0.05707327276468277
Mattias Ekholm,NSH,D,2019-20,68,3750000,4651294.73,0.057071100920438766
Jaden Schwartz,STL,F,2018-19,69,5350000,4650395.44,0.05849554017186165
Milan Lucic,L.A,F,2015-16,81,6000000,4648909.71,0.06511078029870987
Roman Josi,NSH,D,2015-16,81,4000000,4648865.56,0.06511016190052032
Jay Bouwmeester,STL,D,2016-17,81,5400000,4647572.93,0.06366538256406784
Dougie Hamilton,CAR,D,2018-19,82,5750000,4646935.7,0.058452021330595016
Brandon Sutter,VAN,F,2016-17,81,4375000,4639560.3,0.06355562061071396
James Neal,CGY,F,2018-19,63,5750000,4638004.97,0.0583396852016449
Evander Kane,WPG,F,2014-15,37,5250000,4634094.69,0.06716079264879227
Tyler Myers,WPG,D,2014-15,71,5500000,4629242.71,0.0670904740691185
Kyle Turris,OTT,F,2015-16,57,3500000,4628827.79,0.064829520881176
Morgan Rielly,TOR,D,2017-18,76,5000000,4628493.92,0.06171325221657753
Matt Niskanen,WSH,D,2017-18,68,5750000,4626369.66,0.061684928834438324
Alexander Steen,STL,F,2018-19,65,5750000,4624750.31,0.058172959834337234
T.J. Oshie,WSH,F,2016-17,67,4175000,4624316.63,0.06334680318832397
Alex Tuch,BUF,F,2021-22,50,4750000,4623499.73,0.056730058044195175
Kyle Turris,NSH,F,2017-18,76,3500000,4621663.22,0.06162217631936073
Travis Konecny,PHI,F,2021-22,79,5500000,4621447.32,0.05670487508177757
Brent Burns,S.J,D,2013-14,69,5760000,4620286.63,0.07185515761375427
Kevin Shattenkirk,STL,D,2015-16,72,4250000,4614607.13,0.06463035196065903
Alexander Radulov,DAL,F,2021-22,71,6250000,4611365.3,0.05658116936683655
Travis Sanheim,PHI,D,2021-22,80,4675000,4610484.22,0.05657035857439041
Kyle Turris,OTT,F,2016-17,78,3500000,4609150.19,0.06313904374837875
Travis Zajac,N.J,F,2017-18,63,5750000,4605154.79,0.06140206381678581
Valeri Nichushkin,COL,F,2021-22,62,2500000,4604062.54,0.05649156495928764
Travis Konecny,PHI,F,2019-20,66,5500000,4603312.32,0.056482359766960144
Jakub Voracek,PHI,F,2014-15,82,4250000,4600214.1,0.0666697695851326
Torey Krug,BOS,D,2015-16,81,3400000,4599486.37,0.06441857665777206
Joel Eriksson Ek,MIN,F,2021-22,77,5250000,4597538.85,0.05641151964664459
Ryan Kesler,VAN,F,2010-11,82,5000000,4593384.34,0.07732970267534256
Ryan Ellis,NSH,D,2018-19,82,2500000,4589432.86,0.05772871524095535
Nazem Kadri,TOR,F,2016-17,82,4500000,4587477.17,0.06284215301275253
Cam Atkinson,CBJ,F,2016-17,82,3500000,4585765.54,0.06281870603561401
Mike Hoffman,STL,F,2020-21,52,4000000,4583762.49,0.05624248459935188
Brandon Saad,CHI,F,2018-19,80,6000000,4582206.25,0.057637814432382584
John Carlson,WSH,D,2015-16,56,3966667,4581563.19,0.0641675516963005
Gabriel Landeskog,COL,F,2016-17,71,5571429,4579039.77,0.06272657215595245
Daniel Sedin,VAN,F,2017-18,81,7000000,4577770.83,0.06103694438934326
Jakob Silfverberg,ANA,F,2020-21,47,5250000,4576610.93,0.05615473538637161
Jonathan Drouin,MTL,F,2018-19,81,5500000,4573585.31,0.057529374957084656
Tyler Bozak,TOR,F,2017-18,81,4200000,4572841.15,0.0609712153673172
Brady Skjei,CAR,D,2021-22,82,5250000,4567846.29,0.056047193706035614
Alex Goligoski,DAL,D,2014-15,81,4600000,4566744.78,0.06618470698595047
Jordan Staal,CAR,F,2013-14,82,6000000,4565300.63,0.07100000977516174
Tyson Barrie,COL,D,2015-16,78,2600000,4564437.97,0.06392770260572433
Justin Schultz,PIT,D,2018-19,29,5500000,4563701.84,0.057405054569244385
Jeff Petry,MTL,D,2016-17,80,5500000,4562665.34,0.06250226497650146
Evander Kane,BUF,F,2016-17,70,5250000,4561901.17,0.06249179691076279
Esa Lindell,DAL,D,2019-20,69,5800000,4559868.6,0.05594930797815323
Connor Brown,OTT,F,2021-22,64,3600000,4558613.78,0.055933911353349686
Matt Dumba,MIN,D,2020-21,51,6000000,4557302.78,0.05591782554984093
Dustin Brown,L.A,F,2016-17,80,5875000,4553592.13,0.06237797439098358
Ryan Strome,NYR,F,2019-20,70,3100000,4552507.24,0.05585898458957672
Patrick Marleau,TOR,F,2017-18,82,6250000,4551429.58,0.06068572774529457
Rasmus Andersson,CGY,D,2020-21,56,4550000,4547356.78,0.05579578876495361
Vincent Trocheck,CAR,F,2019-20,61,4750000,4547129.68,0.055793002247810364
Artem Anisimov,CHI,F,2018-19,78,4550000,4542720.34,0.05714113637804985
Nazem Kadri,TOR,F,2017-18,80,4500000,4542350.02,0.060564666986465454
Cam Fowler,ANA,D,2018-19,59,6500000,4541533.63,0.057126209139823914
Corey Perry,ANA,F,2012-13,44,5325000,4541413.93,0.07569023221731186
Noah Hanifin,CGY,D,2021-22,81,4950000,4541197.12,0.05572021007537842
Rickard Rakell,ANA,F,2018-19,69,3789444,4540807.14,0.057117071002721786
Kris Letang,PIT,D,2012-13,35,3500000,4535032.06,0.07558386772871017
Sami Vatanen,N.J,D,2017-18,72,4875000,4533159.27,0.06044212356209755
Jakob Silfverberg,ANA,F,2021-22,53,5250000,4531345.24,0.05559932813048363
Patrice Bergeron,BOS,F,2011-12,81,5000000,4528202.23,0.07042305171489716
Jakob Chychrun,ARI,D,2021-22,47,4600000,4527725.89,0.05555491894483566
Tyler Myers,WPG,D,2018-19,80,5500000,4526316.3,0.056934796273708344
Jaden Schwartz,STL,F,2016-17,78,5350000,4525943.09,0.06199922040104866
Brendan Gallagher,MTL,F,2019-20,59,3750000,4521914.47,0.0554836131632328
Ryan Johansen,NSH,F,2015-16,80,4000000,4517954.83,0.06327667832374573
Matt Duchene,COL,F,2014-15,82,6000000,4515427.28,0.06544097512960434
Brent Burns,MIN,D,2010-11,80,3550000,4515039.8,0.07601077109575272
Sam Bennett,FLA,F,2021-22,71,4425000,4515026.75,0.055399101227521896
Adam Henrique,ANA,F,2018-19,82,4000000,4513735.99,0.05677655339241028
Blake Wheeler,WPG,F,2013-14,82,5600000,4512013.89,0.0701712891459465
William Karlsson,VGK,F,2018-19,82,5250000,4511733.06,0.05675135925412178
Francois Beauchemin,COL,D,2016-17,80,4500000,4511068.45,0.06179545819759369
Dustin Brown,LAK,F,2021-22,64,5875000,4510906.14,0.05534854158759117
Anders Lee,NYI,F,2018-19,82,3750000,4510714.56,0.05673854798078537
Colton Parayko,STL,D,2018-19,80,5500000,4508188.61,0.05670677497982979
Mikael Backlund,CGY,F,2017-18,82,3575000,4506719.95,0.0600895993411541
Marco Scandella,BUF,D,2017-18,82,4000000,4498733.95,0.05998311936855316
Kris Letang,PIT,D,2010-11,82,3500000,4498730.42,0.07573620229959488
Damon Severson,N.J,D,2019-20,69,4166666,4498467.49,0.055195920169353485
Niklas Kronwall,DET,D,2016-17,57,4750000,4498265.22,0.0616200715303421
Nick Leddy,NYI,D,2019-20,60,5500000,4495618.71,0.05516096577048302
Mikhail Sergachev,T.B,D,2020-21,56,4800000,4493548.39,0.055135563015937805
Josh Bailey,NYI,F,2019-20,68,5000000,4490676.22,0.055100321769714355
Ryan McDonagh,T.B,D,2017-18,63,4700000,4486541.08,0.059820547699928284
Ryan Johansen,CBJ,F,2014-15,82,4000000,4486489.67,0.0650215893983841
Kyle Okposo,NYI,F,2015-16,79,2800000,4483059.63,0.06278795003890991
Wayne Simmonds,NSH,F,2018-19,79,3975000,4481681.35,0.05637335032224655
Kevin Fiala,MIN,F,2020-21,50,3000000,4480085.66,0.05497037619352341
Victor Hedman,T.B,D,2015-16,78,4000000,4479646.5,0.06274014711380005
Mattias Ekholm,NSH,D,2018-19,80,3750000,4479423.42,0.05634494870901108
Milan Lucic,CGY,F,2020-21,56,6000000,4478788.33,0.05495445802807808
Patric Hornqvist,PIT,F,2015-16,82,4250000,4472486.17,0.06263986229896545
Dylan Strome,CHI,F,2021-22,69,3000000,4470037.65,0.05484708771109581
Tyler Bozak,STL,F,2019-20,68,5000000,4469966.91,0.05484621971845627
Alec Martinez,L.A,D,2016-17,82,4000000,4468620.64,0.06121398136019707
Jeff Petry,MTL,D,2015-16,51,5500000,4468161.24,0.06257928907871246
Andrew Ladd,WPG,F,2013-14,78,4400000,4466411,0.06946206837892532
Jason Demers,ARI,D,2019-20,50,4500000,4466357.27,0.054801929742097855
Brendan Gallagher,MTL,F,2021-22,56,6500000,4463537.03,0.05476732552051544
Brent Seabrook,CHI,D,2013-14,82,5800000,4462141.5,0.06939566880464554
Joe Thornton,S.J,F,2019-20,70,2000000,4459811.72,0.054721616208553314
Brian Gionta,BUF,F,2016-17,82,4250000,4459090.29,0.06108342856168747
Josh Bailey,NYI,F,2021-22,74,5000000,4458143.98,0.05470115318894386
Kevin Shattenkirk,STL,D,2014-15,56,4250000,4455542.47,0.06457307934761047
Jacob Trouba,WPG,D,2016-17,60,3308824,4452987.54,0.060999829322099686
Damon Severson,N.J,D,2018-19,82,4166666,4451968.45,0.05599960312247276
TJ Brodie,TOR,D,2021-22,82,5000000,4451047.98,0.05461408570408821
Christopher Tanev,CGY,D,2021-22,82,4500000,4449895.78,0.05459994822740555
Roman Josi,NSH,D,2014-15,81,4000000,4448206.41,0.06446675956249237
Josh Bailey,NYI,F,2017-18,76,3300000,4447745.16,0.059303268790245056
Niklas Kronwall,DET,D,2017-18,78,4750000,4445265.79,0.059270210564136505
TJ Brodie,CGY,D,2016-17,82,4650400,4443733.21,0.06087305769324303
Mark Giordano,CGY,D,2011-12,61,4020000,4439569.53,0.06904462724924088
Jack Johnson,CBJ,D,2013-14,82,4357143,4439518.75,0.0690438374876976
Evander Kane,WPG,F,2012-13,48,5250000,4437779.64,0.0739629939198494
Colton Parayko,STL,D,2020-21,32,5500000,4436886.65,0.05444032698869705
Kyle Turris,OTT,F,2014-15,82,3500000,4434461.18,0.06426755338907242
Jacob Trouba,WPG,D,2018-19,82,5500000,4434430.11,0.05577899515628815
Adam Henrique,ANA,F,2017-18,81,4000000,4434278.79,0.05912371724843979
Dmitry Orlov,WSH,D,2021-22,76,5100000,4432766.95,0.05438977852463722
Jeff Skinner,CAR,F,2014-15,77,5725000,4432157.55,0.0642341673374176
Justin Schultz,PIT,D,2019-20,46,5500000,4431914.11,0.05437931418418884
Travis Zajac,NYI,F,2020-21,46,5750000,4429156.1,0.054345473647117615
Jussi Jokinen,FLA,F,2016-17,68,4000000,4428357.37,0.06066242977976799
Max Domi,MTL,F,2019-20,71,3150000,4427405.48,0.05432399362325668
Anthony Mantha,DET,F,2019-20,43,3300000,4426804.63,0.05431662127375603
Andrej Sekera,CAR,D,2013-14,74,2750000,4425171.97,0.06882071495056152
Darnell Nurse,EDM,D,2018-19,82,3200000,4423335.05,0.05563943460583687
Nate Schmidt,VAN,D,2020-21,54,5950000,4418220.64,0.054211296141147614
Nikolaj Ehlers,WPG,F,2019-20,71,6000000,4415492.99,0.05417782813310623
Brandon Saad,CHI,F,2019-20,58,6000000,4412910.78,0.05414614453911781
Tyler Ennis,BUF,F,2015-16,23,4600000,4409246.47,0.06175415217876434
Rickard Rakell,ANA,F,2019-20,65,3789444,4407035.9,0.054074060171842575
Erik Gustafsson,CGY,D,2019-20,66,1200000,4406411.68,0.05406640097498894
Alexander Edler,VAN,D,2013-14,63,5000000,4406365.51,0.06852823495864868
Loui Eriksson,DAL,F,2012-13,48,4250000,4405727.68,0.07342879474163055
Milan Lucic,BOS,F,2014-15,81,6000000,4400671.07,0.06377784162759781
Tom Wilson,WSH,F,2018-19,63,5166666,4400559.71,0.05535295233130455
Nick Foligno,CBJ,F,2014-15,79,3083333,4399248.59,0.06375722587108612
Kyle Palmieri,N.J,F,2017-18,62,4650000,4398962.76,0.058652836829423904
TJ Brodie,CGY,D,2019-20,64,4650400,4397576.29,0.0539579913020134
Alex Killorn,T.B,F,2017-18,82,4450000,4396201.48,0.058616019785404205
Nick Schmaltz,ARI,F,2020-21,52,5850000,4394336.15,0.05391823500394821
Oscar Klefbom,EDM,D,2017-18,66,4167000,4394202.68,0.05858936905860901
Max Pacioretty,MTL,F,2014-15,80,4500000,4393198.26,0.06366953998804092
Tyler Toffoli,VAN,F,2019-20,68,4600000,4390902.61,0.053876105695962906
Loui Eriksson,BOS,F,2014-15,81,4250000,4389402.73,0.06361453235149384
Jeff Carter,PHI,F,2010-11,80,5000000,4388214.1,0.07387565821409225
Hampus Lindholm,ANA,D,2016-17,66,5713415,4387492.56,0.060102637857198715
Charlie Coyle,BOS,F,2019-20,70,3200000,4386675.13,0.05382423475384712
Brent Seabrook,CHI,D,2012-13,47,5800000,4384461.79,0.07307436317205429
Esa Lindell,DAL,D,2020-21,56,5800000,4382683.86,0.05377526208758354
Justin Faulk,STL,D,2019-20,69,4833333,4382395.73,0.0537717267870903
Patrick Eaves,ANA,F,2016-17,79,1000000,4382069.68,0.060028351843357086
Erik Johnson,COL,D,2014-15,47,3750000,4381654.37,0.063502237200737
Brendan Gallagher,MTL,F,2018-19,82,3750000,4376863.61,0.055054888129234314
Shayne Gostisbehere,PHI,D,2018-19,78,4500000,4374759.39,0.05502841994166374
Jake Gardiner,TOR,D,2017-18,82,4050000,4374541.81,0.05832722410559654
John Klingberg,DAL,D,2016-17,80,4250000,4371987.82,0.05989024415612221
Keith Yandle,ARI,D,2012-13,48,5250000,4365035.89,0.07275059819221497
Brian Dumoulin,PIT,D,2020-21,41,4100000,4363912.19,0.05354493483901024
Jean-Gabriel Pageau,NYI,F,2020-21,54,5000000,4360168.66,0.0534990020096302
Zach Bogosian,BUF,D,2014-15,62,5142857,4353141.9,0.06308901309967041
Trevor Daley,DET,D,2017-18,76,3166666,4351734.37,0.0580231249332428
Milan Lucic,CGY,F,2019-20,68,6000000,4351557.64,0.053393345326185226
Reilly Smith,VGK,F,2017-18,67,5000000,4350930.27,0.058012403547763824
Jay Bouwmeester,STL,D,2018-19,78,5400000,4344953.49,0.05465350300073624
Nick Leddy,NYI,D,2015-16,81,5500000,4342405.05,0.06081799790263176
John Carlson,WSH,D,2013-14,82,3966667,4342309.7,0.06753203272819519
Jake Muzzin,L.A,D,2015-16,82,4000000,4339727.37,0.060780495405197144
Gustav Nyquist,DET,F,2017-18,81,4750000,4338916.76,0.05785222351551056
Jordan Eberle,EDM,F,2016-17,81,6000000,4338188.45,0.05942723900079727
Jake Muzzin,TOR,D,2018-19,80,4000000,4331132.86,0.05447965860366821
Marc Staal,NYR,D,2018-19,79,5700000,4329692.33,0.054461538791656494
Roope Hintz,DAL,F,2020-21,41,3150000,4318898.19,0.05299261584877968
Tyler Johnson,T.B,F,2019-20,65,5000000,4318101.52,0.052982840687036514
Brett Pesce,CAR,D,2021-22,70,4025000,4317705.91,0.05297798663377762
Danny DeKeyser,DET,D,2018-19,52,5000000,4317501.18,0.05430819094181061
Brady Skjei,NYR,D,2018-19,78,5250000,4316544.58,0.054296158254146576
David Perron,EDM,F,2013-14,78,3812500,4310820.28,0.06704230606555939
Alex Galchenyuk,MTL,F,2017-18,82,4900000,4310715.29,0.05747620388865471
Erik Johnson,COL,D,2021-22,69,6000000,4308732.99,0.052867889404296875
Erik Haula,FLA,F,2019-20,48,2750000,4307825.49,0.05285675451159477
Jordan Eberle,NYI,F,2017-18,81,6000000,4305273.48,0.057403646409511566
Bryan Little,WPG,F,2018-19,82,5291667,4304388.08,0.05414324626326561
Andrew Ladd,WPG,F,2011-12,82,4400000,4299807.37,0.0668710321187973
Andrew Copp,NYR,F,2021-22,72,3640000,4299708.45,0.05275715887546539
Brett Pesce,CAR,D,2020-21,55,4025000,4295060.16,0.05270012468099594
Charlie McAvoy,BOS,D,2019-20,67,4900000,4291638.46,0.052658140659332275
Jeff Carter,L.A,F,2012-13,48,5272727,4291443.23,0.07152405381202698
Jason Zucker,PIT,F,2019-20,60,5500000,4291196.41,0.052652716636657715
Andy Greene,N.J,D,2015-16,82,5000000,4290253.76,0.06008758768439293
Tyler Bozak,STL,F,2020-21,31,5000000,4289263.62,0.052629001438617706
Antoine Vermette,ANA,F,2016-17,72,1750000,4287088.67,0.058727242052555084
Max Domi,MTL,F,2018-19,82,3150000,4286740.76,0.05392126739025116
Jakob Silfverberg,ANA,F,2018-19,73,3750000,4286553.88,0.05391891673207283
Andy Greene,N.J,D,2014-15,82,3000000,4285538.29,0.06210925057530403
Brandon Saad,STL,F,2021-22,78,4500000,4283872.7,0.05256285518407822
Jack Johnson,CBJ,D,2012-13,44,4357143,4283823.97,0.07139706611633301
Hampus Lindholm,ANA,D,2017-18,69,5205556,4282153.96,0.05709538608789444
Jake Gardiner,TOR,D,2018-19,62,4050000,4279748.11,0.053833309561014175
Victor Hedman,T.B,D,2014-15,59,4000000,4279699.25,0.06202462688088417
Andy Greene,N.J,D,2016-17,66,5000000,4278064.95,0.05860362946987152
Ondrej Palat,T.B,F,2019-20,69,5300000,4268288.64,0.052371639758348465
Kevin Bieksa,ANA,D,2016-17,81,4000000,4264294.41,0.058414991945028305
MacKenzie Weegar,FLA,D,2021-22,80,3250000,4257288.2,0.05223666504025459
Erik Johnson,COL,D,2015-16,73,3750000,4256054.11,0.05960860103368759
Nick Foligno,CBJ,F,2015-16,72,5500000,4255270.79,0.05959763005375862
Tyler Johnson,T.B,F,2016-17,66,3333333,4253828.56,0.058271624147892
Zach Bogosian,BUF,D,2018-19,65,5142857,4253260.1,0.05350012704730034
Jakob Chychrun,ARI,D,2019-20,63,4600000,4248560.29,0.05212957412004471
Tomas Tatar,NJD,F,2021-22,76,4500000,4247086.87,0.05211149528622627
Matt Dumba,MIN,D,2017-18,82,2550000,4246479.74,0.05661972984671593
Victor Olofsson,BUF,F,2020-21,56,3050000,4244383.21,0.05207832157611847
Kevin Hayes,WPG,F,2018-19,71,5175000,4244222.76,0.05338644981384277
Patrick Sharp,CHI,F,2017-18,70,800000,4242110.25,0.05656147003173828
Gabriel Landeskog,COL,F,2015-16,75,5571429,4240351.91,0.05938868224620819
Marc Staal,NYR,D,2019-20,52,5700000,4238827.43,0.052010152488946915
Alec Martinez,VGK,D,2019-20,51,4000000,4237848.59,0.051998142153024673
Joe Pavelski,S.J,F,2012-13,48,4000000,4235787.84,0.07059646397829056
Andrew Ladd,NYI,F,2016-17,78,5500000,4230275.85,0.05794898420572281
Bobby Ryan,OTT,F,2016-17,62,7250000,4229054.81,0.057932257652282715
Tyler Johnson,T.B,F,2018-19,80,5000000,4228221.2,0.053185172379016876
Lars Eller,WSH,F,2019-20,69,3500000,4223439.5,0.05182134360074997
Keith Yandle,ARI,D,2011-12,82,5250000,4222396.46,0.06566713005304337
Frans Nielsen,DET,F,2017-18,78,5250000,4222370.03,0.05629826709628105
Jared Spurgeon,MIN,D,2016-17,76,5187500,4221816.14,0.057833097875118256
Dennis Wideman,CGY,D,2016-17,57,5250000,4220676.69,0.0578174889087677
James Neal,PIT,F,2012-13,40,5000000,4217070.04,0.07028450071811676
Mike Ribeiro,NSH,F,2016-17,46,3500000,4216009.28,0.0577535517513752
James van Riemsdyk,TOR,F,2016-17,82,4250000,4215571.99,0.05774756148457527
Andrew Ladd,NYI,F,2017-18,73,5500000,4214840.29,0.0561978705227375
Robert Thomas,STL,F,2021-22,72,2800000,4214642.98,0.05171341076493263
Nino Niederreiter,CAR,F,2018-19,82,5250000,4211768.89,0.05297822505235672
