player,team,position,season,games_played,cap_hit,projected_cap_hit
Connor McDavid,EDM,F,2021-22,80,12500000,10105631
Auston Matthews,TOR,F,2021-22,73,11640250,9763209
Roman Josi,NSH,D,2021-22,80,9059000,9133950
Leon Draisaitl,EDM,F,2021-22,80,8500000,8997646
Patrick Kane,CHI,F,2021-22,78,10500000,8778746
Artemi Panarin,NYR,F,2021-22,75,11642857,8728170
Kris Letang,PIT,D,2021-22,78,7250000,8559170
John Tavares,TOR,F,2021-22,79,11000000,8290432.5
Mikko Rantanen,COL,F,2021-22,75,9250000,8217121.5
Steven Stamkos,TBL,F,2021-22,81,8500000,8203502
Brent Burns,SJS,D,2021-22,82,8000000,8189397
Sidney Crosby,PIT,F,2021-22,69,8700000,8130636.5
Anze Kopitar,LAK,F,2021-22,81,10000000,8028765.5
Victor Hedman,TBL,D,2021-22,82,7875000,7978979.5
John Carlson,WSH,D,2021-22,78,8000000,7973649.5
Kirill Kaprizov,MIN,F,2021-22,81,9000000,7928070.5
Mitchell Marner,TOR,F,2021-22,72,10903000,7874599.5
Evgeni Malkin,PIT,F,2021-22,41,9500000,7840996.5
Mats Zuccarello,MIN,F,2021-22,70,6000000,7741123.5
Cale Makar,COL,D,2021-22,77,9000000,7660850.5
Claude Giroux,FLA,F,2021-22,75,8275000,7580905
Mark Stone,VGK,F,2021-22,37,9500000,7415677
Nikita Kucherov,TBL,F,2021-22,47,9500000,7369538.5
Matt Duchene,NSH,F,2021-22,78,8000000,7356805.5
Patrice Bergeron,BOS,F,2021-22,73,6875000,7345598
Nazem Kadri,COL,F,2021-22,71,4500000,7220493
Alex Pietrangelo,VGK,D,2021-22,80,8800000,7192752
Jonathan Toews,CHI,F,2021-22,71,10500000,7172646.5
Joe Pavelski,DAL,F,2021-22,82,7000000,7153153
Mark Scheifele,WPG,F,2021-22,67,6125000,7035699
Blake Wheeler,WPG,F,2021-22,65,8250000,7026522
Jakub Voracek,CBJ,F,2021-22,79,8250000,7026513
Drew Doughty,LAK,D,2021-22,39,11000000,6986042.5
Johnny Gaudreau,CGY,F,2021-22,82,6750000,6984041.5
Tyler Seguin,DAL,F,2021-22,81,9850000,6983647
Nathan MacKinnon,COL,F,2021-22,65,6300000,6978422
Brady Tkachuk,OTT,F,2021-22,79,8330674,6850610
Evgeny Kuznetsov,WSH,F,2021-22,79,7800000,6842837
Ryan O'Reilly,STL,F,2021-22,78,7500000,6756471
Quinn Hughes,VAN,D,2021-22,76,7850000,6733072.5
Jake Guentzel,PIT,F,2021-22,76,6000000,6704143.5
Kyle Connor,WPG,F,2021-22,79,7142857,6670520.5
Thomas Chabot,OTT,D,2021-22,59,8000000,6618463.5
Andrei Svechnikov,CAR,F,2021-22,78,7750000,6577515.5
Alex DeBrincat,CHI,F,2021-22,82,6400000,6574116
Mark Giordano,TOR,D,2021-22,75,6750000,6573727.5
Mika Zibanejad,NYR,F,2021-22,81,5350000,6571610
Morgan Rielly,TOR,D,2021-22,82,5000000,6549323.5
Miro Heiskanen,DAL,D,2021-22,70,8450000,6539873
William Nylander,TOR,F,2021-22,81,6962366,6516815.5
Jonathan Huberdeau,FLA,F,2021-22,80,5900000,6506238
Brayden Point,TBL,F,2021-22,66,6750000,6483144.5
Gabriel Landeskog,COL,F,2021-22,51,7000000,6481574.5
J.T. Miller,VAN,F,2021-22,80,5250000,6431903
Jack Eichel,VGK,F,2021-22,34,10000000,6431782.5
David Pastrnak,BOS,F,2021-22,72,6666667,6428827
Sebastian Aho,CAR,F,2021-22,79,8460250,6423969
Ryan Johansen,NSH,F,2021-22,79,8000000,6415229.5
Brad Marchand,BOS,F,2021-22,70,6125000,6320016.5
Shea Theodore,VGK,D,2021-22,78,5200000,6306515.5
Aleksander Barkov,FLA,F,2021-22,67,5900000,6246951
Seth Jones,CHI,D,2021-22,63,5400000,6233013.5
Max Pacioretty,VGK,F,2021-22,39,7000000,6232995.5
Vladimir Tarasenko,STL,F,2021-22,75,7500000,6223419
Jeff Skinner,BUF,F,2021-22,80,9000000,6151461.5
Logan Couture,SJS,F,2021-22,77,8000000,6123322
Aaron Ekblad,FLA,D,2021-22,61,7500000,6109054
Jamie Benn,DAL,F,2021-22,82,9500000,6097355.5
Erik Karlsson,SJS,D,2021-22,50,11500000,6073776.5
Torey Krug,STL,D,2021-22,64,6500000,6066339
Dougie Hamilton,NJD,D,2021-22,62,9000000,6062741
Timo Meier,SJS,F,2021-22,77,6000000,6045034.5
Oliver Ekman-Larsson,VAN,D,2021-22,79,8250000,6032674
Phil Kessel,ARI,F,2021-22,82,8000000,6030045.5
Mikael Granlund,NSH,F,2021-22,80,5000000,6026680.5
Matthew Tkachuk,CGY,F,2021-22,82,7000000,5996588
Justin Faulk,STL,D,2021-22,76,6500000,5976548.5
Charlie McAvoy,BOS,D,2021-22,78,4900000,5973396.5
Filip Forsberg,NSH,F,2021-22,69,6000000,5963935
Bo Horvat,VAN,F,2021-22,70,5500000,5943857.5
Jacob Trouba,NYR,D,2021-22,81,8000000,5919741.5
Jeff Carter,PIT,F,2021-22,76,5272727,5907167.5
Rasmus Andersson,CGY,D,2021-22,82,4550000,5900158
Oliver Bjorkstrand,CBJ,F,2021-22,80,5400000,5863636.5
Shayne Gostisbehere,ARI,D,2021-22,82,4500000,5863482.5
Chris Kreider,NYR,F,2021-22,81,6500000,5856093
John Klingberg,DAL,D,2021-22,74,4250000,5848553
Ivan Provorov,PHI,D,2021-22,79,6750000,5806444.5
Rasmus Dahlin,BUF,D,2021-22,80,6000000,5794347
Jaccob Slavin,CAR,D,2021-22,79,5300000,5788106.5
David Perron,STL,F,2021-22,67,4000000,5785633
Patrik Laine,CBJ,F,2021-22,56,7500000,5751498.5
Dylan Larkin,DET,F,2021-22,71,6100000,5748772
Elias Pettersson,VAN,F,2021-22,80,7350000,5748044
Devon Toews,COL,D,2021-22,66,4100000,5736240
Cam Fowler,ANA,D,2021-22,76,6500000,5694249
Colton Parayko,STL,D,2021-22,80,5500000,5677600
Jordan Eberle,SEA,F,2021-22,79,5500000,5659172.5
Jeff Petry,MTL,D,2021-22,68,6250000,5616127.5
Darnell Nurse,EDM,D,2021-22,71,5600000,5596817.5
Jonathan Marchessault,VGK,F,2021-22,76,5000000,5578969.5
Mathew Barzal,NYI,F,2021-22,73,7000000,5572418.5
Jared Spurgeon,MIN,D,2021-22,65,7575000,5555356
Clayton Keller,ARI,F,2021-22,67,7150000,5551513.5
Kevin Hayes,PHI,F,2021-22,48,7142857,5547535
Pierre-Luc Dubois,WPG,F,2021-22,81,5000000,5535714.5
Jonas Brodin,MIN,D,2021-22,73,6000000,5505210
MacKenzie Weegar,FLA,D,2021-22,80,3250000,5493512.5
Nate Schmidt,WPG,D,2021-22,77,5950000,5488218.5
Taylor Hall,BOS,F,2021-22,81,6000000,5480539.5
Cam Atkinson,PHI,F,2021-22,73,5875000,5479827
Sam Reinhart,FLA,F,2021-22,78,6500000,5473037
Brock Nelson,NYI,F,2021-22,72,6000000,5471194.5
Bryan Rust,PIT,F,2021-22,60,3500000,5436561
Damon Severson,NJD,D,2021-22,80,4166666,5418408
Brock Boeser,VAN,F,2021-22,71,5875000,5411311.5
Elias Lindholm,CGY,F,2021-22,82,4850000,5392983
Tomas Hertl,SJS,F,2021-22,82,5625000,5331009.5
Tyler Bertuzzi,DET,F,2021-22,68,4750000,5322164.5
T.J. Oshie,WSH,F,2021-22,44,5750000,5314831
Nick Leddy,STL,D,2021-22,75,5500000,5295694
Alex Ovechkin,WSH,F,2021-22,77,9500000,5284938.5
Boone Jenner,CBJ,F,2021-22,59,3750000,5277602
Ryan Nugent-Hopkins,EDM,F,2021-22,63,5125000,5257268.5
Mattias Ekholm,NSH,D,2021-22,76,3750000,5254187
Neal Pionk,WPG,D,2021-22,77,5875000,5244610
Nikolaj Ehlers,WPG,F,2021-22,62,6000000,5243953.5
Kevin Fiala,MIN,F,2021-22,82,5100000,5241958
